ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalAgrarischGebruik_2,Glastuinbouw_3,OverigAgrarischGebruik_4,Bossen_5,TotaalBebouwdeGrond_6,Woongebied_7,Delfstoffenwinning_8,Bedrijfsterreinen_9,DienstverlenendeSector_10,OverigeOpenbareVoorzieningen_11,SociaalCultureleVoorzieningen_12,TotaalVerkeer_13,SpoorTramEnMetrowegen_14,VerhardeWegen_15,OnverhardeEnHalfverhardeWegen_16,Vliegvelden_17,TotaalRecreatie_18,ParkenEnPlantsoenen_19,Sportterreinen_20,Dagrecreatie_21,Volkstuinen_22,Verblijfsrecreatie_23,TotaalNatuurlijkTerrein_24,DroogNatuurlijkTerrein_25,NatNatuurlijkTerrein_26,TotaalOverigeGronden_27,Stortplaatsen_28,Wrakkenopslagplaatsen_29,Begraafplaatsen_30,BouwterreinVoorBedrijfsterreinen_31,BouwterreinVoorOverigeBestemmingen_32,OverigeGronden_33,TotaalWater_34,IJsselmeer_35,SpaarbekkensWaterreservoirs_36,WaterMetRecreatieveHoofdfunctie_37,OverigWaterBrederDan6Meter_38,WaddenzeeEemsDollard_39,OosterEnWesterschelde_40,Noordzee_41
0,NL1   ,1989JJ00,39857942.0,23991364.0,127083.0,23864281.0,3098206.0,2969623.0,2101305.0,64554.0,477806.0,69876.0,97778.0,158304.0,1305530.0,101315.0,1068212.0,104140.0,31863.0,760993.0,147878.0,268724.0,121500.0,43967.0,178924.0,1406571.0,866684.0,539887.0,346324.0,22005.0,4290.0,37450.0,119467.0,95233.0,67879.0,5979335.0,169200.0,11749.0,38340.0,1577769.0,2593443.0,644005.0,944829.0
1,NL1   ,1993JJ00,41027851.0,23755282.0,141631.0,23613651.0,3108145.0,3093237.0,2168207.0,66171.0,526355.0,72658.0,98869.0,160977.0,1331256.0,101234.0,1096418.0,100720.0,32884.0,809427.0,154226.0,293792.0,127972.0,46524.0,186913.0,1409176.0,865907.0,543269.0,373542.0,26591.0,4257.0,37798.0,123877.0,112997.0,68022.0,7147834.0,1339239.0,12131.0,46428.0,1574905.0,2590400.0,643690.0,941041.0
2,NL1   ,1996JJ00,41526179.0,23508133.0,143441.0,23364692.0,3233348.0,3200964.0,2242331.0,50914.0,567057.0,83004.0,99601.0,158057.0,1340332.0,99256.0,1131644.0,80964.0,28468.0,827049.0,158375.0,308589.0,120830.0,42757.0,196498.0,1378500.0,839053.0,539447.0,385170.0,30765.0,4055.0,38377.0,117545.0,117072.0,77356.0,7652683.0,1834868.0,11952.0,51738.0,1580396.0,2590570.0,642478.0,940681.0
3,PV20  ,1989JJ00,2967659.0,1962343.0,1057.0,1961286.0,38205.0,151997.0,105452.0,5836.0,24454.0,2471.0,7610.0,6174.0,74164.0,6137.0,61417.0,6410.0,200.0,31992.0,8688.0,12211.0,6632.0,1928.0,2533.0,59240.0,15143.0,44097.0,24543.0,966.0,116.0,3057.0,13110.0,3590.0,3704.0,625177.0,0.0,0.0,1936.0,59067.0,528422.0,0.0,35752.0
4,PV20  ,1993JJ00,2967112.0,1950960.0,918.0,1950042.0,38864.0,154014.0,106872.0,5808.0,24876.0,2664.0,7124.0,6670.0,76588.0,6106.0,64540.0,5742.0,200.0,32964.0,9412.0,12406.0,6599.0,1877.0,2670.0,59049.0,15416.0,43633.0,27840.0,958.0,121.0,3033.0,14513.0,4838.0,4377.0,626832.0,0.0,0.0,2729.0,59025.0,527055.0,0.0,38023.0
5,PV20  ,1996JJ00,2967095.0,1934089.0,886.0,1933203.0,52207.0,155686.0,107950.0,6015.0,25617.0,2642.0,6517.0,6945.0,75496.0,6083.0,65313.0,3900.0,200.0,33507.0,9211.0,12907.0,6444.0,1667.0,3278.0,60907.0,16693.0,44214.0,27707.0,1599.0,131.0,3064.0,13691.0,5720.0,3502.0,627496.0,0.0,0.0,2788.0,59758.0,526926.0,0.0,38024.0
6,PV21  ,1989JJ00,5315202.0,2705565.0,777.0,2704788.0,100464.0,141649.0,109963.0,4083.0,16972.0,1723.0,3348.0,5560.0,100877.0,5388.0,87665.0,6363.0,1461.0,41035.0,4938.0,14168.0,7720.0,2063.0,12146.0,255771.0,148472.0,107299.0,15612.0,1152.0,299.0,2189.0,4208.0,2972.0,4792.0,1954222.0,33126.0,112.0,1062.0,177252.0,1559189.0,0.0,183481.0
7,PV21  ,1993JJ00,5740738.0,2685378.0,907.0,2684471.0,102523.0,145723.0,111847.0,4539.0,18818.0,1850.0,2902.0,5767.0,100851.0,5223.0,88497.0,5569.0,1562.0,42087.0,4750.0,14752.0,8167.0,1825.0,12593.0,264909.0,148766.0,116143.0,19215.0,1080.0,352.0,2196.0,4599.0,5641.0,5347.0,2380072.0,458125.0,0.0,1331.0,177973.0,1557586.0,0.0,185057.0
8,PV21  ,1996JJ00,5740749.0,2665426.0,911.0,2664515.0,108532.0,150175.0,114749.0,3284.0,20892.0,2481.0,2964.0,5805.0,101528.0,5214.0,91198.0,3356.0,1760.0,43029.0,4519.0,15377.0,7764.0,1492.0,13877.0,270196.0,146216.0,123980.0,18494.0,1578.0,311.0,2135.0,3044.0,6787.0,4639.0,2383369.0,457906.0,0.0,1639.0,181271.0,1557926.0,0.0,184627.0
9,PV22  ,1989JJ00,2680473.0,1986267.0,2050.0,1984217.0,280698.0,140081.0,97860.0,13635.0,14439.0,2838.0,5291.0,6018.0,89819.0,3282.0,70574.0,15229.0,734.0,40228.0,3132.0,12424.0,5006.0,1120.0,18546.0,106079.0,74878.0,31201.0,8832.0,2030.0,314.0,2115.0,1433.0,2614.0,326.0,28467.0,0.0,267.0,2047.0,26153.0,0.0,0.0,0.0
10,PV22  ,1993JJ00,2680473.0,1979250.0,3275.0,1975975.0,281368.0,144220.0,100407.0,13611.0,15677.0,3119.0,5378.0,6028.0,90878.0,3300.0,72728.0,14115.0,735.0,42365.0,3475.0,13515.0,5104.0,1326.0,18945.0,103729.0,75003.0,28726.0,9806.0,2380.0,216.0,2160.0,2138.0,2781.0,131.0,28869.0,0.0,267.0,2122.0,26480.0,0.0,0.0,0.0
