ID,SBI93,Voorzieningsgebied,DrinkwaterVanWaterleidingbedrijf_1,AnderWaterVanWaterleidingbedrijf_2,ZelfgewonnenZoetGrondwater_3,ZelfgewonnenZoutBrakGrondwater_4,ZelfgewonnenZoetOppervlaktewater_5,ZelfgewonnenZoutBrakOppervlaktewater_6,DrinkwaterVanWaterleidingbedrijf_7,AnderWaterVanWaterleidingbedrijf_8,ZelfgewonnenZoetGrondwater_9,ZelfgewonnenZoutBrakGrondwater_10,ZelfgewonnenZoetOppervlaktewater_11,ZelfgewonnenZoutBrakOppervlaktewater_12,DrinkwaterVanWaterleidingbedrijf_13,AnderWaterVanWaterleidingbedrijf_14,ZelfgewonnenZoetGrondwater_15,ZelfgewonnenZoutBrakGrondwater_16,ZelfgewonnenZoetOppervlaktewater_17,ZelfgewonnenZoutBrakOppervlaktewater_18
0,1114,22,0.35,0.38,0.08,0.0,1.17,0.0,0.14,0.38,0.02,0.0,0.03,0.0,0.2,0.0,0.05,0.0,1.14,0.0
1,1114, 1,,,,,,,,,,,,,,,,,,
2,1114, 2,,,,,,,,,,,,,,,,,,
3,1114, 3,,,,,,,,,,,,,,,,,,
4,1114, 4,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1114, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1114, 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1114, 7,,,,,,,,,,,,,,,,,,
8,1114, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1114, 9,,,,,,,,,,,,,,,,,,
10,1114,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1114,11,,,,,,,,,,,,,,,,,,
12,1114,12,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
