ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
0,10,1998MM01,31.0,651.0,157.0,24.0,188.0,3190.0,2653.0,,5195.0,102.0,440.0,56.0,466.0,7743.0,14368.0,294.0,,40.0,3.0,43.0,4.0,10.0,558.0,626.0,41.0
1,10,1998MM02,29.0,656.0,139.0,25.0,150.0,3204.0,2662.0,,5230.0,114.0,415.0,56.0,451.0,7764.0,14435.0,312.0,,43.0,3.0,47.0,4.0,10.0,598.0,662.0,47.0
2,10,1998MM03,31.0,659.0,146.0,26.0,174.0,3202.0,2634.0,,5271.0,113.0,485.0,56.0,511.0,7794.0,14517.0,308.0,,46.0,3.0,61.0,4.0,18.0,645.0,707.0,52.0
3,10,1998MM04,28.0,664.0,136.0,23.0,156.0,3206.0,2661.0,,5328.0,114.0,462.0,60.0,450.0,7866.0,14659.0,321.0,,48.0,4.0,55.0,5.0,16.0,689.0,750.0,55.0
4,10,1998MM05,27.0,670.0,136.0,25.0,155.0,3212.0,2661.0,,5389.0,102.0,454.0,60.0,486.0,7894.0,14769.0,323.0,,50.0,3.0,53.0,4.0,26.0,720.0,782.0,52.0
5,10,1998MM06,36.0,669.0,168.0,30.0,170.0,3240.0,2685.0,,5368.0,100.0,434.0,57.0,542.0,7844.0,14829.0,310.0,,52.0,3.0,48.0,5.0,20.0,753.0,822.0,45.0
6,10,1998MM07,29.0,676.0,138.0,26.0,183.0,3221.0,2691.0,,5468.0,109.0,480.0,60.0,525.0,7859.0,14943.0,321.0,,55.0,4.0,55.0,5.0,17.0,796.0,866.0,55.0
7,10,1998MM08,25.0,679.0,119.0,21.0,136.0,3225.0,2672.0,,5530.0,108.0,440.0,59.0,450.0,7908.0,15024.0,321.0,,58.0,3.0,49.0,5.0,5.0,845.0,916.0,48.0
8,10,1998MM09,29.0,682.0,133.0,25.0,156.0,3228.0,2674.0,,5602.0,136.0,521.0,60.0,462.0,8026.0,15321.0,433.0,,61.0,4.0,74.0,5.0,30.0,894.0,965.0,71.0
9,10,1998MM10,28.0,687.0,132.0,24.0,163.0,3220.0,2665.0,,5626.0,138.0,536.0,59.0,500.0,8121.0,15395.0,406.0,,64.0,4.0,60.0,5.0,19.0,940.0,1009.0,61.0
