ID,Afzetkanalen,Perioden,Bedrag_1,Aantal_2,Bedrag_3,Aantal_4,Bedrag_5,Aantal_6
0,90,1998JJ00,1656.0,353.0,4125.0,1364.0,655.0,42.0
1,90,1999JJ00,1636.0,310.0,4519.0,1263.0,642.0,38.0
2,90,2000JJ00,1406.0,281.0,5146.0,2365.0,635.0,36.0
3,90,2001JJ00,1252.0,213.0,4583.0,1739.0,323.0,17.0
4,90,2002JJ00,1167.0,181.0,4544.0,1506.0,227.0,13.0
5,90,2003JJ00,1132.0,167.0,4282.0,1419.0,342.0,14.0
6,90,2004JJ00,997.0,181.0,4887.0,1480.0,227.0,10.0
7,90,2005JJ00,1019.0,175.0,4580.0,1378.0,52.0,3.0
8,90,2006JJ00,1072.0,155.0,4056.0,1098.0,,
9,90,2007JJ00,1234.0,156.0,4296.0,1277.0,,
10,90,2008JJ00,1470.0,161.0,4036.0,1223.0,,
11,90,2009JJ00,1064.0,114.0,3097.0,762.0,,
12,90,2010JJ00,1056.0,121.0,2964.0,733.0,,
13,90,2011JJ00,1295.0,146.0,2766.0,689.0,,
14,90,2012JJ00,1166.0,126.0,2250.0,575.0,,
15,10,1998JJ00,370.0,120.0,1400.0,1062.0,120.0,6.0
16,10,1999JJ00,347.0,86.0,1816.0,876.0,60.0,4.0
17,10,2000JJ00,294.0,88.0,2301.0,1988.0,36.0,2.0
18,10,2001JJ00,176.0,31.0,1880.0,1363.0,26.0,2.0
19,10,2002JJ00,172.0,23.0,1882.0,1121.0,53.0,4.0
20,10,2003JJ00,118.0,14.0,1637.0,1105.0,85.0,4.0
21,10,2004JJ00,110.0,32.0,1837.0,1148.0,26.0,1.0
22,10,2005JJ00,136.0,33.0,1570.0,1064.0,7.0,0.0
23,10,2006JJ00,169.0,26.0,1099.0,758.0,,
24,10,2007JJ00,161.0,22.0,1248.0,828.0,,
25,10,2008JJ00,184.0,25.0,1170.0,903.0,,
26,10,2009JJ00,148.0,19.0,815.0,511.0,,
27,10,2010JJ00,166.0,24.0,1157.0,483.0,,
28,10,2011JJ00,174.0,21.0,1204.0,499.0,,
29,10,2012JJ00,184.0,22.0,1069.0,440.0,,
30,20,1998JJ00,491.0,123.0,1190.0,158.0,275.0,17.0
31,20,1999JJ00,483.0,99.0,1319.0,172.0,401.0,23.0
32,20,2000JJ00,339.0,83.0,1234.0,140.0,482.0,27.0
33,20,2001JJ00,297.0,69.0,984.0,118.0,16.0,1.0
