ID,GeboorteGeneratie,GemiddeldAantalKinderenPerVrouw_1,KinderlozeVrouwen_2,VrouwenMet1Kind_3,VrouwenMet2Kind_4,VrouwenMet3OfMeerKinderen_5,LeeftijdMoederBijGeboorte1eKind_6
0,1935,2.5,11.7,10.2,32.5,45.6,25.5
1,1936,2.4,11.9,10.0,34.6,43.5,25.4
2,1937,2.4,10.2,10.8,36.5,42.4,25.3
3,1938,2.3,12.1,10.1,37.7,40.0,25.2
4,1939,2.3,11.6,10.3,40.1,38.0,25.1
5,1940,2.2,11.9,10.1,42.4,35.6,25.0
6,1941,2.2,10.0,12.1,44.3,33.6,24.8
7,1942,2.1,11.1,12.7,44.8,31.4,24.7
8,1943,2.1,10.3,13.6,47.3,28.8,24.6
9,1944,2.0,10.5,13.6,48.8,27.1,24.5
10,1945,2.0,11.7,13.6,49.6,25.1,24.5
11,1946,1.9,11.7,14.7,50.6,23.0,24.6
12,1947,1.9,12.8,14.4,50.4,22.4,24.6
13,1948,1.9,12.8,15.1,49.7,22.4,24.7
14,1949,1.9,13.9,15.1,48.8,22.2,24.9
15,1950,1.9,14.6,15.2,47.2,23.1,25.1
16,1951,1.9,15.3,15.2,46.6,23.0,25.2
17,1952,1.9,15.9,15.3,45.4,23.4,25.4
18,1953,1.9,16.3,15.4,44.5,23.8,25.8
19,1954,1.9,16.5,15.3,43.6,24.6,26.0
20,1955,1.9,17.1,15.2,42.9,24.9,26.3
21,1956,1.9,17.0,15.2,42.4,25.4,26.6
22,1957,1.9,17.2,15.0,42.2,25.6,26.9
23,1958,1.9,17.7,14.8,41.8,25.7,27.1
24,1959,1.9,17.7,15.2,41.8,25.3,27.4
25,1960,1.9,17.3,15.5,41.7,25.5,27.5
26,1961,1.8,18.0,15.4,42.0,24.6,27.7
27,1962,1.8,17.8,15.6,42.2,24.4,27.8
28,1963,1.8,18.0,16.0,42.3,23.7,28.1
29,1964,1.8,18.2,16.4,42.1,23.3,28.2
30,1965,1.8,18.1,16.6,42.3,23.0,28.4
31,1966,1.8,18.1,16.9,42.4,22.5,28.6
32,1967,1.8,18.1,17.4,42.6,22.0,28.7
33,1968,1.8,17.8,18.1,42.3,21.8,28.8
34,1969,1.8,17.9,18.1,42.6,21.3,28.9
35,1970,1.8,18.2,18.0,42.6,21.3,28.9
36,1971,1.8,18.6,17.6,42.6,21.1,28.9
37,1972,1.8,19.1,16.8,42.7,21.5,29.0
38,1973,1.8,18.8,16.6,43.5,21.1,29.0
39,1974,1.8,18.6,16.6,43.6,21.2,29.0
40,1975,1.8,18.9,16.3,43.9,20.8,29.0
41,1976,1.8,19.3,15.9,44.1,20.7,29.0
42,1977,1.8,18.7,16.4,44.4,20.5,29.0
43,1978,1.8,18.6,16.4,44.5,20.5,29.0
44,1979,1.8,18.5,16.4,44.5,20.5,28.9
45,1980,1.8,18.3,16.6,44.6,20.5,28.9
46,1981,1.8,18.4,16.4,44.7,20.4,28.9
47,1982,1.8,18.5,16.3,44.8,20.4,28.9
48,1983,1.8,18.6,16.2,44.8,20.4,28.9
49,1984,1.8,18.7,16.0,44.8,20.4,28.9
50,1985,1.8,18.9,15.9,44.8,20.4,28.9
51,1986,1.8,19.1,15.8,44.8,20.3,28.9
52,1987,1.8,19.3,15.6,44.8,20.3,28.9
53,1988,1.8,19.5,15.4,44.8,20.3,28.9
54,1989,1.8,19.6,15.3,44.8,20.3,28.9
55,1990,1.8,19.8,15.2,44.8,20.2,28.9
56,1991,1.8,19.9,15.0,44.8,20.2,29.0
57,1992,1.8,20.0,14.9,44.8,20.2,29.0
58,1993,1.8,20.1,14.9,44.9,20.2,29.0
59,1994,1.8,20.1,14.8,44.9,20.2,29.0
60,1995,1.8,20.1,14.8,44.9,20.2,29.0
61,1996,1.8,20.1,14.8,44.9,20.2,29.0
62,1997,1.8,20.1,14.8,44.9,20.1,29.0
63,1998,1.8,20.1,14.8,44.9,20.1,29.0
64,1999,1.8,20.1,14.8,44.9,20.1,29.0
65,2000,1.8,20.1,14.8,44.9,20.1,29.0
66,2001,1.8,20.1,14.8,45.0,20.1,29.0
67,2002,1.8,20.1,14.8,45.0,20.1,29.0
68,2003,1.8,20.1,14.8,45.0,20.1,29.0
69,2004,1.8,20.1,14.9,45.0,20.1,29.0
70,2005,1.8,20.1,14.9,45.0,20.1,29.0
71,2006,1.8,20.1,14.9,45.0,20.1,29.0
72,2007,1.8,20.1,14.9,45.0,20.1,29.0
73,2008,1.8,20.0,14.9,45.0,20.1,29.0
74,2009,1.8,20.0,14.9,45.0,20.0,29.0
75,2010,1.8,20.0,14.9,45.0,20.0,29.0
76,2011,1.8,20.0,14.9,45.0,20.0,29.0
77,2012,1.8,20.0,15.0,45.0,20.0,29.0
78,2013,1.8,20.0,15.0,45.0,20.0,29.0
79,2014,1.8,20.0,15.0,45.0,20.0,29.0
80,2015,1.8,20.0,15.0,45.0,20.0,29.0
81,2016,1.8,20.0,15.0,45.0,20.0,29.0
82,2017,1.8,20.0,15.0,45.0,20.0,29.0
83,2018,1.8,20.0,14.9,45.0,20.0,29.0
84,2019,1.8,20.0,14.9,45.0,20.0,29.0
85,2020,1.7,20.1,14.9,45.0,20.0,29.0
