ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
0,NL01,1990JJ00,70.0,,323.0,31.0,,103.0,15.0,,50.0,56.0,56.0,,,
1,NL01,1991JJ00,143.0,37.0,429.0,71.0,14.0,161.0,41.0,8.0,83.0,88.0,88.0,,,
2,NL01,1992JJ00,88.0,20.0,497.0,48.0,9.0,200.0,22.0,4.0,101.0,137.0,147.0,,,
3,NL01,1993JJ00,145.0,9.0,633.0,68.0,1.0,268.0,30.0,0.0,131.0,173.0,174.0,,,
4,NL01,1994JJ00,106.0,15.0,724.0,61.0,3.0,325.0,23.0,1.0,152.0,221.0,238.0,,,
5,NL01,1995JJ00,336.0,52.0,1008.0,268.0,25.0,568.0,109.0,12.0,250.0,314.0,317.0,,,
6,NL01,1996JJ00,131.0,24.0,1115.0,123.0,6.0,685.0,48.0,2.0,296.0,435.0,437.0,,,
7,NL01,1997JJ00,89.0,56.0,1148.0,103.0,26.0,763.0,43.0,14.0,324.0,489.0,475.0,,,
8,NL01,1998JJ00,62.0,17.0,1193.0,105.0,6.0,862.0,42.0,3.0,363.0,571.0,640.0,,,
9,NL01,1999JJ00,70.0,10.0,1253.0,115.0,2.0,975.0,48.0,1.0,410.0,642.0,645.0,,,
10,NL01,2000JJ00,47.0,9.0,1291.0,89.0,3.0,1062.0,38.0,1.0,447.0,744.0,829.0,,,
11,NL01,2001JJ00,60.0,9.0,1342.0,121.0,4.0,1179.0,40.0,2.0,485.0,822.0,825.0,,,
12,NL01,2002JJ00,153.0,41.0,1454.0,459.0,29.0,1608.0,201.0,14.0,672.0,1020.0,947.0,20.2,733.0,1773.0
13,NL01,2003JJ00,200.0,56.0,1598.0,567.0,26.0,2148.0,243.0,10.0,905.0,1359.0,1320.0,18.7,685.0,1635.0
14,NL01,2004JJ00,168.0,112.0,1654.0,461.0,76.0,2533.0,204.0,35.0,1075.0,1763.0,1871.0,21.6,802.0,1897.0
15,NL01,2005JJ00,125.0,69.0,1710.0,378.0,42.0,2869.0,166.0,17.0,1224.0,2034.0,2067.0,20.4,763.0,1789.0
16,NL01,2006JJ00,121.0,37.0,1794.0,492.0,27.0,3334.0,240.0,11.0,1453.0,2477.0,2666.0,22.4,845.0,1959.0
17,NL01,2007JJ00,123.0,62.0,1855.0,494.0,55.0,3773.0,211.0,23.0,1641.0,2862.0,3108.0,23.4,892.0,2047.0
18,NL01,2008JJ00,131.0,44.0,1942.0,604.0,39.0,4338.0,296.0,16.0,1921.0,3376.0,3664.0,23.7,912.0,2083.0
19,NL01,2009JJ00,52.0,118.0,1876.0,224.0,87.0,4475.0,110.0,36.0,1994.0,3762.0,3846.0,21.9,853.0,1916.0
20,NL01,2010JJ00,28.0,27.0,1877.0,58.0,31.0,4502.0,30.0,15.0,2009.0,3737.0,3315.0,19.0,740.0,1661.0
21,NL01,2011JJ00,47.0,42.0,1882.0,224.0,66.0,4660.0,98.0,20.0,2088.0,3982.0,4298.0,24.0,939.0,2099.0
22,NL01,2012JJ00,65.0,65.0,1882.0,353.0,104.0,4909.0,161.0,44.0,2205.0,4156.0,4193.0,22.4,884.0,1968.0
23,NL01,2013JJ00,111.0,16.0,1977.0,789.0,39.0,5658.0,295.0,15.0,2485.0,4632.0,4856.0,23.0,891.0,2013.0
24,NL01,2014JJ00,62.0,11.0,2028.0,394.0,34.0,6018.0,169.0,17.0,2637.0,5060.0,5049.0,22.8,875.0,1996.0
25,NL01,2015JJ00,148.0,144.0,2032.0,1065.0,129.0,6953.0,453.0,57.0,3034.0,5882.0,6420.0,25.6,986.0,2247.0
26,NL01,2016JJ00,98.0,89.0,2041.0,839.0,130.0,7662.0,323.0,57.0,3300.0,6041.0,5901.0,21.0,794.0,1845.0
27,NL01,2017JJ00,64.0,124.0,1981.0,246.0,304.0,7605.0,84.0,139.0,3245.0,6267.0,6869.0,24.2,908.0,2116.0
28,NL01,2018JJ00,66.0,18.0,2029.0,632.0,38.0,8199.0,207.0,16.0,3436.0,6578.0,6918.0,23.7,877.0,2075.0
29,NL01,2019JJ00,49.0,46.0,2032.0,485.0,168.0,8515.0,159.0,68.0,3527.0,7429.0,7935.0,25.9,943.0,2265.0
30,NL01,2020JJ00,206.0,88.0,2150.0,2252.0,212.0,10555.0,745.0,84.0,4188.0,8962.0,9794.0,29.0,1035.0,2549.0
31,NL01,2021JJ00,285.0,127.0,2308.0,3673.0,328.0,13900.0,1147.0,149.0,5186.0,10454.0,10058.0,24.2,809.0,2122.0
32,NL01,2022JJ00,257.0,119.0,2446.0,3522.0,323.0,17099.0,1085.0,141.0,6131.0,12957.0,13440.0,27.3,873.0,2388.0
33,NL01,2023JJ00,133.0,88.0,2491.0,2244.0,251.0,19091.0,670.0,109.0,6692.0,15717.0,17842.0,31.7,981.0,2776.0
34,NL01,2024JJ00,56.0,30.0,2517.0,1005.0,83.0,20013.0,301.0,39.0,6955.0,17198.0,18021.0,29.7,909.0,2613.0
35,PV20,1990JJ00,3.0,,11.0,1.0,,1.0,0.0,,1.0,,,,,
36,PV20,1991JJ00,4.0,1.0,14.0,2.0,0.0,3.0,1.0,0.0,2.0,,,,,
37,PV20,1992JJ00,6.0,,20.0,2.0,,5.0,0.0,,2.0,,,,,
38,PV20,1993JJ00,60.0,2.0,78.0,26.0,0.0,31.0,12.0,0.0,14.0,,,,,
39,PV20,1994JJ00,2.0,,80.0,2.0,,33.0,1.0,,15.0,,,,,
40,PV20,1995JJ00,107.0,,187.0,89.0,,122.0,37.0,,52.0,,,,,
41,PV20,1996JJ00,15.0,1.0,201.0,6.0,0.0,128.0,2.0,0.0,54.0,,,,,
42,PV20,1997JJ00,,1.0,200.0,,0.0,128.0,,0.0,54.0,,,,,
