ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
0,10000,2005JJ00,83.0,78.0,30.0,78.0,22.0,3.0,12.0,3.0,3.0,0.0,5.0,24.0,19.0,5.0,2.0,54.0,34.0,21.0,31.0,25.0,7.0,3.0,69.0,43.0,27.0,78.0,73.0,21.0,10.0,3.0,100.0,93.0,27.0,12.0,4.0
1,10000,2006JJ00,84.0,78.0,35.0,80.0,20.0,2.0,12.0,3.0,3.0,0.0,3.0,14.0,9.0,4.0,2.0,66.0,44.0,24.0,18.0,12.0,5.0,2.0,82.0,54.0,30.0,80.0,73.0,26.0,11.0,5.0,100.0,91.0,32.0,13.0,6.0
2,10000,2007JJ00,86.0,78.0,41.0,83.0,17.0,2.0,11.0,2.0,3.0,1.0,2.0,9.0,5.0,4.0,1.0,74.0,50.0,26.0,11.0,6.0,4.0,1.0,89.0,60.0,31.0,83.0,73.0,35.0,16.0,10.0,100.0,89.0,42.0,19.0,12.0
3,10000,2008JJ00,88.0,77.0,51.0,86.0,14.0,2.0,8.0,2.0,3.0,0.0,2.0,12.0,5.0,6.0,1.0,74.0,47.0,30.0,14.0,5.0,7.0,1.0,86.0,54.0,36.0,85.0,73.0,46.0,19.0,13.0,98.0,84.0,54.0,22.0,15.0
4,10000,2009JJ00,91.0,78.0,60.0,90.0,10.0,0.0,7.0,2.0,2.0,0.0,1.0,13.0,3.0,5.0,1.0,77.0,55.0,29.0,14.0,4.0,6.0,1.0,86.0,61.0,33.0,89.0,74.0,55.0,25.0,20.0,99.0,83.0,62.0,28.0,23.0
5,10000,2010JJ00,92.0,75.0,66.0,91.0,9.0,1.0,7.0,1.0,2.0,0.0,1.0,7.0,2.0,3.0,2.0,84.0,56.0,31.0,8.0,2.0,3.0,2.0,92.0,62.0,35.0,91.0,72.0,63.0,32.0,23.0,99.0,79.0,69.0,35.0,26.0
6,10000,2011JJ00,94.0,75.0,72.0,94.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,,,,83.0,,,10.0,,,,89.0,,,93.0,71.0,70.0,46.0,28.0,99.0,76.0,74.0,50.0,30.0
7,10000,2012JJ00,94.0,73.0,75.0,94.0,6.0,1.0,5.0,1.0,1.0,0.0,1.0,12.0,,,,82.0,,,12.0,,,,88.0,,,93.0,69.0,73.0,55.0,34.0,99.0,73.0,78.0,59.0,36.0
8,10000,2013JJ00,95.0,68.0,76.0,95.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,8.0,,,,87.0,,,9.0,,,,91.0,,,94.0,66.0,74.0,65.0,58.0,99.0,69.0,78.0,69.0,61.0
9,21590,2005JJ00,69.0,61.0,20.0,62.0,38.0,6.0,20.0,6.0,5.0,0.0,8.0,23.0,20.0,4.0,2.0,39.0,27.0,13.0,37.0,33.0,6.0,4.0,63.0,43.0,21.0,62.0,55.0,14.0,8.0,2.0,100.0,88.0,22.0,12.0,3.0
