ID,Bedrijfsactiviteiten,Grootteklassen,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,IndustrieleVerkopen_4,VoorraadmutatiesProducten_5,MargeHandelOvOpbrengsten_6,TotaalVerbruikswaarde_7,IndustrieleInkopen_8,VoorraadmutatiesGrondEnHulpstoffen_9,Energieverbruik_10,OverigeBedrijfskosten_11,TotaalToegevoegdeWaarde_12,Arbeidskosten_13,HeffingenEnBelastingen_14,TotaalBrutoBedrijfsresultaat_15,SaldoInterest_16,SaldoOverigeBatenEnLasten_17,AfschrijvingenOpVasteActiva_18,ResultaatVoorBelastingen_19,CodeBedrijfsactiviteit_20
0,Dx    ,T,1996JJ00,60838.0,8331.0,156644.0,148092.0,278.0,8274.0,108278.0,85015.0,151.0,3338.0,20076.0,48365.0,27901.0,1687.0,18777.0,-1316.0,137.0,6848.0,10748.0,Dx    
1,Dx    ,T,1997JJ00,62493.0,8281.0,168510.0,158653.0,836.0,9021.0,117188.0,91523.0,294.0,3695.0,22264.0,51322.0,28255.0,1698.0,21369.0,-1223.0,-146.0,6987.0,13014.0,Dx    
2,Dx    ,T,1998JJ00,62152.0,8481.0,174593.0,163114.0,1338.0,10141.0,121884.0,94752.0,46.0,3570.0,23608.0,52709.0,29725.0,1578.0,21406.0,-1271.0,497.0,7419.0,13212.0,Dx    
3,Dx    ,T,1999JJ00,63533.0,8489.0,177748.0,167475.0,38.0,10235.0,124528.0,96872.0,394.0,3402.0,24648.0,53219.0,30427.0,1751.0,21041.0,-1316.0,897.0,7666.0,12993.0,Dx    
4,Dx    ,S,1996JJ00,54626.0,1663.0,17744.0,16636.0,32.0,1076.0,10931.0,8075.0,36.0,246.0,2646.0,6813.0,4093.0,35.0,2685.0,-259.0,-10.0,822.0,1594.0,Dx    
5,Dx    ,S,1997JJ00,56143.0,1675.0,18417.0,17240.0,37.0,1140.0,11459.0,8493.0,33.0,262.0,2737.0,6957.0,3992.0,30.0,2935.0,-241.0,-6.0,859.0,1829.0,Dx    
6,Dx    ,S,1998JJ00,55719.0,1806.0,19886.0,18771.0,69.0,1046.0,12215.0,9074.0,65.0,262.0,2944.0,7671.0,4502.0,-51.0,3220.0,-236.0,29.0,962.0,2052.0,Dx    
7,Dx    ,S,1999JJ00,56942.0,1821.0,20202.0,18861.0,47.0,1294.0,12297.0,8983.0,56.0,277.0,3093.0,7904.0,4718.0,6.0,3180.0,-253.0,42.0,973.0,2031.0,Dx    
8,Dx    ,L,1996JJ00,6212.0,6668.0,138900.0,131456.0,247.0,7197.0,97348.0,76940.0,113.0,3091.0,17430.0,41552.0,23808.0,1652.0,16092.0,-1057.0,147.0,6027.0,9155.0,Dx    
9,Dx    ,L,1997JJ00,6350.0,6607.0,150094.0,141413.0,801.0,7880.0,105729.0,83030.0,262.0,3434.0,19527.0,44365.0,24262.0,1668.0,18435.0,-983.0,-139.0,6128.0,11185.0,Dx    
10,Dx    ,L,1998JJ00,6433.0,6675.0,154707.0,144343.0,1269.0,9095.0,109668.0,85678.0,-17.0,3309.0,20664.0,45039.0,25223.0,1629.0,18187.0,-1036.0,467.0,6457.0,11161.0,Dx    
11,Dx    ,L,1999JJ00,6591.0,6668.0,157546.0,148615.0,-10.0,8941.0,112231.0,87889.0,338.0,3125.0,21555.0,45315.0,25708.0,1746.0,17861.0,-1063.0,856.0,6692.0,10962.0,Dx    
12,DA    ,T,1996JJ00,7029.0,1449.0,40091.0,38551.0,49.0,1491.0,29671.0,25302.0,133.0,547.0,3955.0,10420.0,4576.0,1637.0,4207.0,-234.0,135.0,1270.0,2839.0,DA    
13,DA    ,T,1997JJ00,6974.0,1415.0,41869.0,40125.0,124.0,1620.0,30985.0,26381.0,171.0,587.0,4188.0,10884.0,4576.0,1664.0,4644.0,-171.0,51.0,1292.0,3232.0,DA    
14,DA    ,T,1998JJ00,6812.0,1448.0,43312.0,41228.0,81.0,2003.0,32267.0,27375.0,20.0,589.0,4323.0,11044.0,4759.0,1659.0,4626.0,-142.0,398.0,1398.0,3485.0,DA    
15,DA    ,T,1999JJ00,6680.0,1446.0,43275.0,41365.0,96.0,1814.0,31866.0,26791.0,-14.0,570.0,4491.0,11409.0,4898.0,1817.0,4694.0,-187.0,576.0,1484.0,3599.0,DA    
16,DA    ,S,1996JJ00,6148.0,326.0,2867.0,2727.0,1.0,139.0,1916.0,1521.0,1.0,69.0,327.0,951.0,546.0,6.0,399.0,-49.0,9.0,140.0,219.0,DA    
17,DA    ,S,1997JJ00,6092.0,302.0,2835.0,2673.0,6.0,156.0,1911.0,1511.0,4.0,71.0,333.0,924.0,530.0,4.0,390.0,-48.0,-5.0,141.0,197.0,DA    
18,DA    ,S,1998JJ00,5921.0,328.0,2936.0,2854.0,3.0,79.0,1982.0,1556.0,0.0,68.0,358.0,954.0,602.0,-44.0,396.0,-41.0,15.0,141.0,228.0,DA    
19,DA    ,S,1999JJ00,5785.0,311.0,3028.0,2887.0,3.0,138.0,2055.0,1632.0,-2.0,71.0,350.0,973.0,608.0,2.0,363.0,-38.0,11.0,136.0,200.0,DA    
20,DA    ,L,1996JJ00,881.0,1124.0,37224.0,35825.0,47.0,1352.0,27755.0,23780.0,130.0,477.0,3628.0,9469.0,4030.0,1630.0,3809.0,-185.0,126.0,1130.0,2620.0,DA    
21,DA    ,L,1997JJ00,882.0,1113.0,39034.0,37452.0,119.0,1463.0,29075.0,24871.0,167.0,516.0,3855.0,9960.0,4046.0,1660.0,4254.0,-123.0,55.0,1151.0,3035.0,DA    
22,DA    ,L,1998JJ00,891.0,1120.0,40375.0,38375.0,76.0,1924.0,30285.0,25820.0,21.0,521.0,3965.0,10090.0,4157.0,1703.0,4230.0,-101.0,384.0,1257.0,3257.0,DA    
