ID,Landen,Perioden,GebruikskostenVanKantoorruimte_1
0,AU,2001MM01,374.0
1,AU,2001MM07,373.0
2,AU,2002MM01,360.0
3,AU,2002MM07,414.0
4,AU,2003MM01,397.0
5,AU,2003MM08,472.0
6,AU,2004MM01,527.0
7,AU,2004MM08,490.0
8,AU,2005MM01,540.0
9,AU,2005MM08,435.0
10,AU,2006MM05,426.0
11,AU,2006MM11,462.0
12,AU,2007MM05,529.0
13,AU,2007MM11,563.0
14,AU,2008MM05,738.0
15,AU,2008MM11,639.0
16,AU,2009MM05,456.0
17,AU,2009MM11,560.0
18,AU,2010MM05,574.0
19,AU,2010MM11,615.0
20,AU,2012MM04,1269.0
21,AU,2013MM04,1283.0
22,BE,2001MM01,291.0
23,BE,2001MM07,297.0
24,BE,2002MM01,313.0
25,BE,2002MM07,366.0
26,BE,2003MM01,426.0
27,BE,2003MM08,471.0
28,BE,2004MM01,510.0
29,BE,2004MM08,534.0
30,BE,2005MM01,583.0
31,BE,2005MM08,531.0
32,BE,2006MM05,544.0
33,BE,2006MM11,571.0
34,BE,2007MM05,600.0
35,BE,2007MM11,642.0
36,BE,2008MM05,697.0
37,BE,2008MM11,618.0
38,BE,2009MM05,543.0
39,BE,2009MM11,582.0
40,BE,2010MM05,537.0
41,BE,2010MM11,595.0
42,BE,2012MM04,581.0
43,BE,2013MM04,559.0
44,CA,2001MM01,
45,CA,2001MM07,
46,CA,2002MM01,
47,CA,2002MM07,
48,CA,2003MM01,
49,CA,2003MM08,
50,CA,2004MM01,
51,CA,2004MM08,
52,CA,2005MM01,
53,CA,2005MM08,
54,CA,2006MM05,
55,CA,2006MM11,576.0
56,CA,2007MM05,597.0
57,CA,2007MM11,693.0
58,CA,2008MM05,713.0
59,CA,2008MM11,
60,CA,2009MM05,
61,CA,2009MM11,
62,CA,2010MM05,
63,CA,2010MM11,
64,CA,2012MM04,
65,CA,2013MM04,
66,CB,2001MM01,408.0
67,CB,2001MM07,383.0
68,CB,2002MM01,367.0
69,CB,2002MM07,376.0
70,CB,2003MM01,371.0
71,CB,2003MM08,386.0
72,CB,2004MM01,449.0
73,CB,2004MM08,385.0
74,CB,2005MM01,465.0
75,CB,2005MM08,406.0
76,CB,2006MM05,543.0
77,CB,2006MM11,568.0
78,CB,2007MM05,562.0
79,CB,2007MM11,686.0
80,CB,2008MM05,672.0
81,CB,2008MM11,662.0
82,CB,2009MM05,558.0
83,CB,2009MM11,654.0
84,CB,2010MM05,644.0
85,CB,2010MM11,636.0
86,CB,2012MM04,766.0
87,CB,2013MM04,661.0
88,DK,2001MM01,287.0
89,DK,2001MM07,280.0
90,DK,2002MM01,291.0
91,DK,2002MM07,316.0
92,DK,2003MM01,335.0
93,DK,2003MM08,368.0
94,DK,2004MM01,400.0
95,DK,2004MM08,381.0
96,DK,2005MM01,416.0
97,DK,2005MM08,378.0
98,DK,2006MM05,381.0
99,DK,2006MM11,410.0
100,DK,2007MM05,452.0
101,DK,2007MM11,494.0
102,DK,2008MM05,562.0
103,DK,2008MM11,498.0
104,DK,2009MM05,476.0
105,DK,2009MM11,498.0
106,DK,2010MM05,450.0
107,DK,2010MM11,453.0
108,DK,2012MM04,458.0
109,DK,2013MM04,436.0
110,DE,2001MM01,628.0
111,DE,2001MM07,654.0
112,DE,2002MM01,651.0
113,DE,2002MM07,610.0
114,DE,2003MM01,614.0
115,DE,2003MM08,660.0
116,DE,2004MM01,651.0
117,DE,2004MM08,634.0
118,DE,2005MM01,676.0
119,DE,2005MM08,684.0
120,DE,2006MM05,582.0
121,DE,2006MM11,606.0
122,DE,2007MM05,654.0
123,DE,2007MM11,726.0
124,DE,2008MM05,889.0
125,DE,2008MM11,798.0
126,DE,2009MM05,735.0
127,DE,2009MM11,812.0
128,DE,2010MM05,750.0
129,DE,2010MM11,756.0
130,DE,2012MM04,739.0
131,DE,2013MM04,711.0
132,FI,2001MM01,335.0
133,FI,2001MM07,319.0
134,FI,2002MM01,326.0
135,FI,2002MM07,354.0
136,FI,2003MM01,336.0
137,FI,2003MM08,364.0
138,FI,2004MM01,387.0
139,FI,2004MM08,377.0
140,FI,2005MM01,398.0
141,FI,2005MM08,365.0
142,FI,2006MM05,402.0
143,FI,2006MM11,363.0
144,FI,2007MM05,473.0
145,FI,2007MM11,475.0
146,FI,2008MM05,616.0
147,FI,2008MM11,562.0
148,FI,2009MM05,512.0
149,FI,2009MM11,537.0
150,FI,2010MM05,477.0
151,FI,2010MM11,580.0
152,FI,2012MM04,555.0
153,FI,2013MM04,545.0
154,FR,2001MM01,908.0
155,FR,2001MM07,864.0
156,FR,2002MM01,824.0
157,FR,2002MM07,901.0
158,FR,2003MM01,882.0
159,FR,2003MM08,975.0
160,FR,2004MM01,1016.0
161,FR,2004MM08,902.0
162,FR,2005MM01,1038.0
163,FR,2005MM08,964.0
164,FR,2006MM05,993.0
165,FR,2006MM11,1136.0
166,FR,2007MM05,1202.0
167,FR,2007MM11,1372.0
168,FR,2008MM05,1528.0
169,FR,2008MM11,1417.0
170,FR,2009MM05,1237.0
171,FR,2009MM11,1319.0
172,FR,2010MM05,1219.0
173,FR,2010MM11,1246.0
174,FR,2012MM04,1333.0
175,FR,2013MM04,1284.0
176,HU,2001MM01,269.0
177,HU,2001MM07,259.0
178,HU,2002MM01,254.0
179,HU,2002MM07,267.0
180,HU,2003MM01,283.0
181,HU,2003MM08,305.0
182,HU,2004MM01,330.0
183,HU,2004MM08,322.0
184,HU,2005MM01,352.0
185,HU,2005MM08,459.0
186,HU,2006MM05,377.0
187,HU,2006MM11,397.0
188,HU,2007MM05,435.0
189,HU,2007MM11,484.0
190,HU,2008MM05,549.0
191,HU,2008MM11,500.0
192,HU,2009MM05,433.0
193,HU,2009MM11,472.0
194,HU,2010MM05,436.0
195,HU,2010MM11,440.0
196,HU,2012MM04,430.0
197,HU,2013MM04,414.0
198,IE,2001MM01,571.0
199,IE,2001MM07,547.0
200,IE,2002MM01,568.0
201,IE,2002MM07,621.0
202,IE,2003MM01,648.0
203,IE,2003MM08,716.0
204,IE,2004MM01,750.0
205,IE,2004MM08,730.0
206,IE,2005MM01,805.0
207,IE,2005MM08,874.0
208,IE,2006MM05,939.0
209,IE,2006MM11,996.0
210,IE,2007MM05,1146.0
