ID,Geslacht,Perioden,TotaalGezorgdVoorLangdurendZieke_1,TotaalVerlofOpgenomenOmTeZorgen_2,ADVOfVakantieverlof_3,Calamiteitenverlof_4,BijzonderOfBuitengewoonVerlof_5,KortdurendZorgverlof_6,LangdurendZorgverlof_7,OnbetaaldVerlof_8,OverigeSoortenVerlof_9,TotaalGeenVerlofWelBehoefte_10,FinancieelNietHaalbaar_11,WerkLietHetNietToe_12,WasNietBekendMetRegelingen_13,TeWeinigVerlof_14,AndereRedenGeenVerlof_15,GeenVerlofGeenBehoefte_16,GebruikEnBehoefteVerlofOnbekend_17,TotaalGezorgd_18,VerlofOpgenomenOmTeKunnenZorgen_19,GeenVerlofWelBehoefte_20,GeenVerlofGeenBehoefte_21,GebruikEnBehoefteZorgverlofOnbekend_22,TotaalGezorgd_23,VerlofOpgenomenOmTeKunnenZorgen_24,GeenVerlofWelBehoefte_25,GeenVerlofGeenBehoefte_26,GebruikEnBehoefteZorgverlofOnbekend_27,TotaalGezorgd_28,VerlofOpgenomenOmTeKunnenZorgen_29,GeenVerlofWelBehoefte_30,GeenVerlofGeenBehoefte_31,GebruikEnBehoefteZorgverlofOnbekend_32,TotaalGezorgd_33,VerlofOpgenomenOmTeKunnenZorgen_34,GeenVerlofWelBehoefte_35,GeenVerlofGeenBehoefte_36,GebruikEnBehoefteZorgverlofOnbekend_37,TotaalGezorgd_38,VerlofOpgenomenOmTeKunnenZorgen_39,GeenVerlofWelBehoefte_40,GeenVerlofGeenBehoefte_41,GebruikEnBehoefteZorgverlofOnbekend_42,TotaalGezorgd_43,VerlofOpgenomenOmTeKunnenZorgen_44,GeenVerlofWelBehoefte_45,GeenVerlofGeenBehoefte_46,GebruikEnBehoefteZorgverlofOnbekend_47,TotaalGezorgd_48,VerlofOpgenomenOmTeKunnenZorgen_49,GeenVerlofWelBehoefte_50,GeenVerlofGeenBehoefte_51,GebruikEnBehoefteZorgverlofOnbekend_52,TotaalGezorgd_53,VerlofOpgenomenOmTeKunnenZorgen_54,GeenVerlofWelBehoefte_55,GeenVerlofGeenBehoefte_56,GebruikEnBehoefteZorgverlofOnbekend_57,TotaalGezorgd_58,VerlofOpgenomenOmTeKunnenZorgen_59,GeenVerlofWelBehoefte_60,GeenVerlofGeenBehoefte_61,GebruikEnBehoefteZorgverlofOnbekend_62,TotaalNietgezorgdVoorLangdurendZieke_63,TotaalHadWelWillenZorgen_64,TeZwaar_65,WerkLietHetNietToe_66,NietBekendMetVerlofregelingen_67,TeWeinigVerlofdagen_68,FinancieelNietHaalbaar_69,ZorgDoorIemandAndersVerleend_70,AndereRedenGeenZorgVerleend_71,WildeNietZorgenVoorZieke_72,OnbekendOfWerknemerWildeZorgen_73,KindInHetHuishouden_74,PartnerVanDeWerknemer_75,OuderVanDeWerknemer_76,Arbeidsduur12Tot35UurPerWeek_77,Arbeidsduur35UurOfMeerPerWeek_78,TotaalGezorgdVoorKortdurendZieke_79,TotaalVerlofOpgenomenOmTeZorgen_80,ADVOfVakantieverlof_81,Calamiteitenverlof_82,BijzonderOfBuitengewoonVerlof_83,KortdurendZorgverlof_84,OnbetaaldVerlof_85,OverigeSoortenVerlof_86,TotaalGeenVerlofWelBehoefte_87,FinancieelNietHaalbaar_88,WerkLietHetNietToe_89,WasNietBekendMetRegelingen_90,TeWeinigVerlof_91,AndereRedenGeenVerlof_92,GeenVerlofGeenBehoefte_93,GebruikEnBehoefteVerlofOnbekend_94,TotaalGezorgd_95,VerlofOpgenomenOmTeKunnenZorgen_96,GeenVerlofWelBehoefte_97,GeenVerlofGeenBehoefte_98,GebruikEnBehoefteZorgverlofOnbekend_99,TotaalGezorgd_100,VerlofOpgenomenOmTeKunnenZorgen_101,GeenVerlofWelBehoefte_102,GeenVerlofGeenBehoefte_103,GebruikEnBehoefteZorgverlofOnbekend_104,TotaalGezorgd_105,VerlofOpgenomenOmTeKunnenZorgen_106,GeenVerlofWelBehoefte_107,GeenVerlofGeenBehoefte_108,GebruikEnBehoefteZorgverlofOnbekend_109,TotaalGezorgd_110,VerlofOpgenomenOmTeKunnenZorgen_111,GeenVerlofWelBehoefte_112,GeenVerlofGeenBehoefte_113,GebruikEnBehoefteZorgverlofOnbekend_114,TotaalNietgezorgdVoorKortdurendZieke_115,TotaalHadWelWillenZorgen_116,TeZwaar_117,WerkLietHetNietToe_118,NietBekendMetVerlofregelingen_119,TeWeinigVerlofdagen_120,FinancieelNietHaalbaar_121,ZorgDoorIemandAndersVerleend_122,AndereRedenGeenZorgVerleend_123,WildeNietZorgenVoorZieke_124,OnbekendOfWerknemerWildeZorgen_125,Arbeidsduur12Tot35UurPerWeek_126,Arbeidsduur35UurOfMeerPerWeek_127
0,3,2005JJ00,463,65,14,6,13,23,5,3.0,4.0,86,10,35,9,6.0,25,308,5.0,52,10,15,27,,63,20,15,28,,356,37,60,256,3.0,134,21,27,84,2.0,330,44,59.0,224,3.0,211,37,49,123,3.0,252,28,37,185,2.0,223,26,40,154,3.0,240,40,46,154,,158,77,4.0,50,,,,,20,80,,11.0,9,143,30,128,461,142,52,14,22,27,7.0,21,62,6.0,21,9.0,3.0,21,254,3.0,214,64,34,115,2.0,247,78,28,139,,245,71,34,138,2.0,215,70,28,116,,228,96,2.0,65,,,,,27,114,18.0,65,163
1,3,2007JJ00,449,74,12,6,14,31,8,4.0,6.0,103,11,39,13,6.0,34,265,7.0,57,11,15,30,,77,25,23,28,,323,40,68,210,5.0,123,24,32,65,2.0,326,50,72.0,200,5.0,232,47,59,121,4.0,217,27,44,144,2.0,224,32,49,138,4.0,225,42,54,126,2.0,199,89,4.0,40,,,,23.0,20,109,,12.0,12,180,53,146,458,154,48,15,24,42,6.0,22,59,4.0,25,10.0,2.0,18,238,8.0,259,88,36,130,5.0,200,66,22,109,3.0,222,67,29,121,5.0,236,87,30,117,2.0,230,74,2.0,32,,,,25.0,13,155,,78,152
2,3,2009JJ00,532,83,17,7,14,29,10,4.0,9.0,105,9,40,13,7.0,34,339,5.0,71,16,16,38,,94,26,21,45,,378,44,69,261,3.0,139,22,30,85,2.0,393,61,75.0,254,3.0,272,48,59,162,3.0,260,35,45,177,3.0,254,32,50,168,4.0,278,51,55,170,,215,93,3.0,40,,,,34.0,15,121,,11.0,12,197,60,155,509,157,50,14,22,42,7.0,24,62,5.0,23,8.0,3.0,23,285,6.0,285,92,36,152,4.0,224,64,26,132,,251,67,35,144,4.0,259,89,27,141,2.0,250,71,,31,,,,24.0,15,179,,90,160
3,3,2011JJ00,369,56,9,5,10,19,5,3.0,6.0,68,8,26,5,3.0,27,239,5.0,56,11,10,34,,62,15,17,29,,256,33,42,177,3.0,93,18,16,58,,276,38,52.0,182,4.0,202,33,45,121,3.0,167,22,23,119,3.0,181,25,30,122,4.0,188,31,38,118,,134,64,3.0,30,,,,15.0,14,70,,12.0,8,115,36,98,404,140,51,11,22,35,4.0,18,47,2.0,17,3.0,3.0,23,212,5.0,246,86,31,126,3.0,159,54,17,86,,197,65,24,106,2.0,207,75,23,106,3.0,200,57,,27,,,,15.0,13,143,,78,122
4,3,2013JJ00,443,74,23,4,11,26,8,2.0,4.0,76,11,29,6,5.0,25,285,8.0,55,11,11,32,,78,25,17,34,2.0,317,41,50,222,5.0,120,23,22,72,3.0,324,51,54.0,214,5.0,237,47,44,140,5.0,207,27,32,145,3.0,226,36,40,147,4.0,217,38,36,139,4.0,154,73,3.0,29,,,,20.0,21,81,,11.0,10,135,50,105,431,151,65,11,15,40,6.0,19,49,5.0,21,3.0,3.0,16,226,6.0,244,89,31,122,3.0,187,62,18,104,3.0,213,67,24,119,3.0,219,84,24,107,3.0,208,65,,30,,,,18.0,15,143,,84,124
5,1,2005JJ00,222,32,6,3,7,11,2,,3.0,41,5,19,4,2.0,11,148,2.0,27,6,7,15,,43,14,10,19,,154,13,25,115,,62,8,14,40,,161,24,27.0,108,,79,17,19,43,,144,15,22,105,,32,3,6,23,,191,30,35,124,,130,61,2.0,45,,,,,12,67,,10.0,8,117,12,118,208,70,26,6,12,12,3.0,11,25,,9,4.0,,11,112,,73,26,11,36,,135,44,14,76,,35,13,4,17,,173,57,21,94,,166,77,,55,,,,,19,79,10.0,21,145
6,1,2007JJ00,212,37,7,3,7,13,4,2.0,3.0,47,4,20,6,3.0,13,126,2.0,28,5,7,16,,52,17,15,20,,136,16,26,92,2.0,51,10,12,29,,161,27,35.0,97,2.0,93,23,25,45,,119,15,22,82,2.0,37,5,8,23,,176,32,39,103,2.0,150,66,3.0,34,,,,16.0,12,83,,10.0,10,134,18,132,209,75,26,5,12,20,3.0,11,26,2.0,11,5.0,,8,105,3.0,104,40,14,48,2.0,105,35,11,57,,29,8,4,17,,180,68,22,88,2.0,147,55,,28,,,,17.0,9,91,,19,128
7,1,2009JJ00,250,46,11,3,8,15,5,2.0,5.0,46,4,18,6,3.0,14,157,,35,9,7,19,,59,18,13,27,,161,21,26,113,,60,10,12,37,,191,36,34.0,120,,110,25,23,61,,141,21,23,96,,37,4,6,26,,214,42,40,132,,159,69,2.0,33,,,,25.0,8,88,,9.0,9,144,20,139,237,82,27,7,13,20,3.0,12,26,2.0,11,3.0,,8,127,2.0,121,48,14,58,,116,34,12,69,,42,12,6,24,,195,70,20,103,2.0,154,52,,25,,,,16.0,10,103,,18,136
8,1,2011JJ00,167,26,5,2,4,8,3,,3.0,28,3,13,2,,10,110,2.0,27,5,4,16,,37,9,10,17,,106,13,15,77,,41,9,6,26,,125,17,22.0,84,2.0,74,13,17,43,,93,13,11,67,,25,4,3,18,,141,22,25,93,,101,50,2.0,27,,,,10.0,11,51,,10.0,5,87,11,90,186,69,27,5,13,16,,8,20,,7,2.0,,8,95,2.0,103,39,13,51,,83,30,7,45,,31,10,3,18,,155,59,17,78,2.0,122,42,,22,,,,11.0,8,80,,16,106
9,1,2013JJ00,198,33,14,2,6,9,3,,2.0,31,5,11,2,2.0,10,130,4.0,28,4,5,18,,45,14,10,19,,129,16,16,94,3.0,48,9,8,29,2.0,150,24,22.0,100,3.0,90,19,17,52,2.0,108,15,13,78,2.0,30,3,6,21,,168,30,25,109,3.0,109,51,,23,,,,12.0,13,58,,8.0,7,95,17,92,200,76,34,5,9,18,4.0,9,20,2.0,9,2.0,,6,101,3.0,104,42,12,49,,96,34,8,53,,32,9,3,20,,168,67,17,82,2.0,120,44,,24,,,,11.0,8,76,,17,103
