ID,RegioS,Perioden,CultuurgrondTotaal_1,k_001Tot1Ha_2,k_1Tot5Ha_3,k_5Tot10Ha_4,k_10Tot30Ha_5,k_30HaOfMeer_6,AkkerbouwTotaal_7,k_001Tot1Ha_8,k_1Tot5Ha_9,k_5Tot10Ha_10,k_10Tot30Ha_11,k_30HaOfMeer_12,TuinbouwOpenGrondTotaal_13,k_001Tot05Ha_14,k_05Tot1Ha_15,k_1Tot3Ha_16,k_3Tot10Ha_17,k_10HaOfMeer_18,TuinbouwOnderGlasTotaal_19,k_001Tot25Are_20,k_25Tot75Are_21,k_75Tot150Are_22,k_150Tot300Are_23,k_300AreOfMeer_24,BlijvendEnNatuurlijkGraslandTotaal_25,k_001Tot1Ha_26,k_1Tot5Ha_27,k_5Tot10Ha_28,k_10Tot30Ha_29,k_30HaOfMeer_30,BlijvendGraslandTotaal_31,k_001Tot1Ha_32,k_1Tot5Ha_33,k_5Tot10Ha_34,k_10Tot30Ha_35,k_30HaOfMeer_36,NatuurlijkGraslandTotaal_37,k_001Tot1Ha_38,k_1Tot5Ha_39,k_5Tot10Ha_40,k_10Tot30Ha_41,k_30HaOfMeer_42,NietCultuurgrondTotaal_43,k_001Tot1Ha_44,k_1Tot5Ha_45,k_5Tot10Ha_46,k_10Tot30Ha_47,k_30HaOfMeer_48,CultuurgrondTotaal_49,k_001Tot1Ha_50,k_1Tot5Ha_51,k_5Tot10Ha_52,k_10Tot30Ha_53,k_30HaOfMeer_54,AkkerbouwTotaal_55,k_001Tot1Ha_56,k_1Tot5Ha_57,k_5Tot10Ha_58,k_10Tot30Ha_59,k_30HaOfMeer_60,TuinbouwOpenGrondTotaal_61,k_001Tot05Ha_62,k_05Tot1Ha_63,k_1Tot3Ha_64,k_3Tot10Ha_65,k_10HaOfMeer_66,TuinbouwOnderGlasTotaal_67,k_001Tot25Are_68,k_25Tot75Are_69,k_75Tot150Are_70,k_150Tot300Are_71,k_300AreOfMeer_72,BlijvendEnNatuurlijkGraslandTotaal_73,k_001Tot1Ha_74,k_1Tot5Ha_75,k_5Tot10Ha_76,k_10Tot30Ha_77,k_30HaOfMeer_78,BlijvendGraslandTotaal_79,k_001Tot1Ha_80,k_1Tot5Ha_81,k_5Tot10Ha_82,k_10Tot30Ha_83,k_30HaOfMeer_84,NatuurlijkGraslandTotaal_85,k_001Tot1Ha_86,k_1Tot5Ha_87,k_5Tot10Ha_88,k_10Tot30Ha_89,k_30HaOfMeer_90,NietCultuurgrondTotaal_91,k_001Tot1Ha_92,k_1Tot5Ha_93,k_5Tot10Ha_94,k_10Tot30Ha_95,k_30HaOfMeer_96
0,NL1   ,2000JJ00,96249,6418,22602,14872,28911,23446,58712,4975,17017,12088,15067,9565,16457,2829,2408,4582,4321,2317,11432,3562,2884,2788,1635,563,61504,5641,16988,9912,19760,9203,60789,5476,16772,9827,19671,9043,1632,402,602,276,249,103,68007,41335,23646,1875,875,276,1976743,3553,60720,105868,544022,1262580,958306,2266,46660,85957,258904,564519,80040,660,1626,7828,23764,46161,1052088,32981,136815,290176,329224,262892,927875,2891,45071,70118,367368,442426,901123,2814,44606,69528,365749,418427,26752,174,1475,1840,4032,19231,168473,17848,45656,12456,13552,78962
1,NL1   ,2001JJ00,91524,5809,21329,13855,26921,23610,55462,4441,15117,11381,14933,9590,15100,2524,2147,4237,3883,2309,10671,3306,2550,2572,1619,624,58588,5125,16174,9408,18514,9367,57791,4961,15943,9260,18464,9163,1737,386,633,319,267,132,62636,36421,23187,1838,935,255,1946132,3193,57324,98612,505252,1281751,956044,2031,41546,81224,256624,574620,78888,598,1457,7314,21613,47907,1052403,31336,122008,269168,328598,301292,900675,2616,43156,66549,344038,444316,875147,2538,42606,65512,343449,421042,25528,175,1530,2165,4309,17350,130985,16136,45256,12320,14625,42647
2,NL1   ,2002JJ00,88360,5884,20040,12999,25104,24333,51640,2678,13617,10790,14832,9723,14947,2366,2049,4059,4094,2379,10280,3286,2313,2394,1603,684,57192,5190,15555,9055,17535,9857,56460,5042,15342,8948,17420,9708,1382,284,509,239,222,128,63871,35297,25213,2016,1021,324,1964075,3202,54342,93040,473982,1339508,958942,1380,38644,77794,256788,584336,83381,578,1404,7075,22958,51367,1053833,30438,111084,251248,326467,334597,911212,2714,41890,64299,330928,471381,888150,2637,41376,63515,328842,451780,23063,142,1304,1668,3769,16180,135659,16610,49261,13631,15815,40342
3,NL1   ,2003JJ00,84411,5492,18871,12227,23699,24122,49587,2293,11725,9401,14902,11266,14137,2212,1840,3783,3926,2376,9806,3082,2232,2193,1596,703,51592,4939,14569,8265,14954,8865,50682,4779,14294,8143,14777,8689,1589,316,555,264,288,166,61570,33293,25099,2020,880,278,1945650,2982,51102,87688,446721,1357157,1035317,1201,33382,67748,265299,667686,82942,535,1270,6581,22044,52512,1053920,29660,107547,230637,327380,358696,816852,2576,39055,58459,280592,436170,785800,2491,38415,57588,277528,409779,31051,158,1390,1823,4862,22818,151810,15807,48838,13571,13538,60056
4,NL1   ,2004JJ00,82813,5178,18412,12153,22861,24209,49026,2135,11077,9221,14782,11811,13611,2095,1814,3624,3749,2329,9326,2929,2130,1979,1538,750,49651,4782,14205,8042,13890,8732,48655,4631,13936,7895,13671,8522,1770,333,607,282,359,189,60064,32093,25079,1886,808,198,1949403,2797,50145,87216,429785,1379459,1066894,1132,31642,66674,264997,702449,81225,516,1251,6347,21136,51975,1048602,28576,102305,209540,315902,392280,790798,2479,38213,56943,259851,433312,756687,2402,37562,55915,256182,404626,34111,160,1530,1948,5935,24539,130286,15305,48742,12660,12501,41078
5,NL1   ,2005JJ00,80435,5190,17234,11763,22058,24190,47355,1643,10261,9150,14888,11413,12625,1648,1681,3440,3549,2307,8951,2819,1983,1858,1494,797,48566,4496,13355,7875,13883,8957,47731,4380,13172,7733,13670,8776,1590,282,559,267,334,148,59706,31514,25231,1897,808,256,1937695,2797,47469,84681,413794,1388953,1051612,919,29891,66198,265014,689589,80644,483,1152,6042,19999,52967,1053966,26997,95334,195738,308009,427888,794900,2362,36721,56124,259704,439989,770584,2302,36282,55124,256155,420720,24316,131,1467,1851,5573,15294,134643,15365,48947,12772,12377,45182
6,NL1   ,2006JJ00,78091,4961,16237,11418,21470,24005,46445,1631,10283,9586,14153,10792,12651,1770,1631,3261,3588,2401,8335,2586,1830,1733,1364,822,48128,4565,12953,7581,13517,9512,47696,4531,12923,7502,13403,9337,1409,192,465,302,316,134,65154,33394,28169,2202,940,293,1919704,2635,45335,82408,401816,1387510,1007616,924,30321,69658,250019,656693,84579,444,1134,5741,20320,56939,1038066,24622,87391,184065,282698,459290,817129,2394,35961,54172,254667,469935,794654,2375,35905,53586,252513,450275,22476,95,1275,2141,5217,13748,191793,16402,55090,15037,14538,90726
7,NL1   ,2007JJ00,75175,4506,15400,10973,20496,23800,44919,1596,9705,9243,13832,10543,12019,1646,1500,3092,3329,2452,7762,2386,1650,1566,1278,882,47209,4379,12743,7419,12987,9681,46693,4346,12710,7323,12842,9472,1672,220,535,359,416,142,62603,31435,27773,2155,946,294,1914332,2411,43596,79260,383600,1405465,997445,899,28402,67236,244537,656370,85809,423,1046,5460,18746,60134,1037372,22303,78133,166094,265436,505406,820703,2286,35798,53126,244266,485227,794297,2274,35694,52432,241707,462190,26406,108,1517,2568,6957,15257,160470,15525,54585,14628,14667,61065
8,NL1   ,2008JJ00,73810,4190,15225,10797,19790,23808,44750,1563,9629,9037,14037,10484,11748,1568,1379,2981,3320,2500,7115,2101,1564,1382,1179,889,47256,4614,13028,7324,12542,9748,46677,4594,13013,7199,12399,9472,1991,269,633,408,476,205,58575,32472,24206,1191,502,204,1929274,2227,43640,77881,369337,1436189,1003407,864,28289,66040,247807,660406,87891,401,966,5293,18825,62406,1016542,19541,74235,145248,245772,531746,827809,2407,36498,52177,236173,500555,791558,2402,36436,51268,233612,467841,36252,134,1802,2917,7957,23441,120799,16346,42700,7931,7995,45827
9,NL1   ,2009JJ00,71376,3741,14545,10369,19011,23710,43498,1684,9162,8686,13582,10384,11366,1537,1340,2834,3192,2463,6585,1897,1425,1209,1122,932,46622,4769,12687,7146,12139,9881,45814,4761,12687,6958,11909,9499,2748,272,854,665,669,288,65008,36107,26893,1266,507,235,1917482,2091,42085,74805,355039,1443462,992901,928,27003,63485,240191,661295,87009,393,953,5083,18103,62477,1032406,17545,67600,127584,235897,583779,827247,2465,35754,50964,228955,509108,784823,2460,35721,49544,224771,472328,42423,139,2452,4805,11154,23873,139653,17811,47271,8366,7836,58369
