ID,Periode,Totaal_1,KredietMetVasteLooptijd_2,DoorlopendeKredietfaciliteiten_3,Totaal_4,KredietMetVasteLooptijd_5,DoorlopendeKredietfaciliteiten_6,Totaal_7,KredietMetVasteLooptijd_8,DoorlopendeKredietfaciliteiten_9,Totaal_10,KredietMetVasteLooptijd_11,DoorlopendeKredietfaciliteiten_12,Totaal_13,KredietMetVasteLooptijd_14,DoorlopendeKredietfaciliteiten_15,Totaal_16,KredietMetVasteLooptijd_17,DoorlopendeKredietfaciliteiten_18,Totaal_19,VasteGeldleningen_20,DoorlopendGeldkrediet_21,SomDerToegezegdeLimieten_22,Totaal_23,VasteGeldleningen_24,DoorlopendGeldkrediet_25,SomDerToegezegdeLimieten_26,Totaal_27,VasteGeldleningen_28,VastGoederenkrediet_29,DoorlopendGeldkrediet_30,SomDerToegezegdeLimieten_31,Totaal_32,SomDerToegezegdeLimieten_33,Totaal_34,SomDerToegezegdeLimieten_35,Totaal_36,KredietenMetVasteLooptijd_37,DoorlopendeKredietfaciliteiten_38,SomDerToegezegdeLimieten_39,Totaal_40,VasteGeldleningen_41,DoorlopendGeldkrediet_42,SomDerToegezegdeLimieten_43,Totaal_44,VasteGeldleningen_45,DoorlopendGeldkrediet_46,SomDerToegezegdeLimieten_47,Totaal_48,VasteGeldleningen_49,VastGoederenkrediet_50,DoorlopendGeldkrediet_51,SomDerToegezegdeLimieten_52,Totaal_53,SomDerToegezegdeLimieten_54,Totaal_55,SomDerToegezegdeLimieten_56,Totaal_57,KredietenMetVasteLooptijd_58,DoorlopendeKredietfaciliteiten_59,SomDerToegezegdeLimieten_60,Totaal_61,VasteGeldleningen_62,DoorlopendGeldkrediet_63,Totaal_64,VasteGeldleningen_65,DoorlopendGeldkrediet_66,Totaal_67,VasteGeldleningen_68,VastGoederenkrediet_69,DoorlopendGeldkrediet_70,Postorderbedrijven_71,CreditCardOrganisaties_72,Totaal_73,KredietenMetVasteLooptijd_74,DoorlopendeKredietfaciliteiten_75,Totaal_76,VasteGeldleningen_77,DoorlopendGeldkrediet_78,Totaal_79,VasteGeldleningen_80,DoorlopendGeldkrediet_81,Totaal_82,VasteGeldleningen_83,VastGoederenkrediet_84,DoorlopendGeldkrediet_85,Postorderbedrijven_86,CreditCardOrganisaties_87,Totaal_88,KredietenMetVasteLooptijd_89,DoorlopendeKredietfaciliteiten_90,TotaalGemeentelijkeKredietbanken_91,TotaalBanken_92,TotaalFinancieringsmaatschappijen_93,TotaalAlleMaatschappijen_94,TotaalGemeentelijkeKredietbanken_95,TotaalBanken_96,TotaalFinancieringsmaatschappijen_97,TotaalAlleMaatschappijen_98
0,1993MM01,9095,3796,5298,419,127,291,514,162,351,95,35,60,563,241,321,9046,3717,5328,377,343,34,46,3490,848,2641,4483,4730,1774,751,2204,3001,290,823,159,1311,9046,3717,5328,9664,198,191,7,7,784,191,592,698,913,342,147,425,492,796,1234,556,1274,3246,871,2375,3705,17,15,2,149,30,119,191,44,37,110,24,36,419,127,291,21,19,3,186,39,147,239,60,44,134,29,39,514,162,351,15,30,44,90,6,6,8,20
1,1993MM02,9046,3717,5328,456,131,325,555,170,384,99,39,59,500,195,305,9101,3693,5408,379,344,35,47,3507,849,2659,4514,4762,1752,748,2262,3079,294,928,159,1415,9101,3693,5408,9983,198,191,7,7,788,192,596,702,921,337,147,436,502,832,1390,537,1325,3275,868,2407,3927,20,17,3,157,34,123,212,51,29,131,29,39,456,131,325,24,20,3,193,42,151,263,69,39,156,34,42,555,170,384,17,34,51,102,7,7,8,22
2,1993MM03,9101,3693,5408,527,147,379,633,191,442,106,44,62,578,218,359,9156,3666,5490,379,343,36,49,3537,853,2684,4553,4780,1728,741,2310,3152,298,1029,162,1527,9156,3666,5490,10309,198,191,7,7,790,190,599,711,925,333,147,445,517,841,1512,528,1384,3282,861,2421,4131,24,20,3,187,39,148,234,58,31,145,32,52,527,147,379,28,25,4,225,49,177,288,78,40,170,37,54,633,191,442,20,39,58,116,8,8,9,25
3,1993MM04,9156,3666,5490,486,138,348,584,177,407,98,39,59,528,204,324,9212,3638,5573,380,344,37,50,3565,857,2709,4581,4793,1701,737,2355,3216,302,1127,172,1627,9212,3638,5573,10600,200,193,7,7,794,190,604,712,926,328,147,451,523,860,1633,544,1432,3324,857,2466,4307,20,17,2,181,39,142,212,50,31,131,25,48,486,138,348,24,21,2,218,49,169,262,68,39,155,29,50,584,177,407,17,39,50,107,7,8,8,23
4,1993MM05,9212,3638,5573,442,123,319,536,156,380,94,34,61,529,190,339,9220,3605,5615,377,340,37,51,3574,857,2717,4613,4791,1670,737,2384,3231,300,1220,177,1723,9220,3605,5615,10839,195,188,7,7,799,190,609,715,922,322,147,452,522,844,1726,547,1476,3307,847,2460,4446,18,15,2,161,34,127,189,43,30,116,25,50,442,123,319,21,19,2,196,42,155,236,57,39,141,30,52,536,156,380,15,34,43,92,6,7,7,20
5,1993MM06,9220,3605,5615,483,143,340,580,182,399,98,39,59,602,215,387,9199,3571,5627,377,339,38,51,3568,860,2707,4643,4780,1639,733,2408,3271,293,1306,182,1823,9199,3571,5627,11094,195,188,7,7,800,189,611,717,925,316,147,462,531,798,1786,531,1524,3248,840,2408,4565,22,20,2,176,41,135,212,49,32,130,15,57,483,143,340,27,24,3,213,51,162,261,66,40,155,20,59,580,182,399,20,41,49,111,7,8,8,23
6,1993MM07,9199,3571,5627,505,142,364,606,181,425,100,39,61,566,207,359,9238,3545,5693,378,339,39,54,3592,862,2729,4702,4796,1615,730,2451,3359,292,1375,181,1918,9238,3545,5693,11406,196,189,8,8,804,189,614,723,927,311,147,469,532,788,1889,501,1564,3215,836,2379,4716,24,20,4,191,39,151,216,53,29,134,18,56,505,142,364,28,24,5,230,49,180,267,71,37,159,22,59,606,181,425,20,39,53,112,8,8,9,25
7,1993MM08,9238,3545,5693,500,134,366,598,172,426,98,38,60,551,201,350,9285,3516,5769,381,339,41,55,3627,865,2762,4732,4791,1587,725,2480,3397,299,1482,187,2015,9285,3516,5769,11681,195,187,8,8,808,189,619,727,925,304,147,475,541,826,2048,484,1608,3238,827,2411,4931,22,19,4,183,39,144,201,49,28,125,32,61,500,134,366,27,23,4,220,49,171,250,64,35,151,38,64,598,172,426,19,39,49,107,8,8,8,23
8,1993MM09,9285,3516,5769,507,137,371,602,173,429,94,36,58,541,194,347,9346,3495,5851,383,339,44,57,3657,869,2788,4757,4797,1568,719,2510,3441,300,1580,209,2121,9346,3495,5851,11957,193,185,8,8,816,194,623,729,927,300,146,481,544,821,2155,569,1675,3326,825,2501,5112,22,19,3,191,40,150,205,49,29,127,23,68,507,137,371,26,22,4,226,50,176,252,64,36,151,28,70,602,173,429,19,40,49,108,8,8,8,24
9,1993MM10,9346,3495,5851,501,143,358,594,178,416,93,35,58,575,199,376,9364,3474,5891,383,339,44,59,3676,871,2805,4779,4787,1541,724,2523,3456,304,1680,214,2225,9364,3474,5891,12198,195,186,8,8,819,192,627,732,924,294,147,483,544,833,2276,521,1721,3292,820,2472,5281,21,18,3,188,40,147,208,48,37,123,28,57,501,143,358,25,21,4,223,49,174,255,63,44,148,32,59,594,178,416,18,40,48,105,7,8,7,23
