ID,Classificaties,Perioden,TotaalAanbod_1,ProductieBasisprijzen_2,Invoer_3,TotaalMarges_4,HandelsEnVervoersmarges_5,BelProductgebonden_6,SubsProductgebonden_7,TotaalGebruik_8,Uitvoer_9,IntermediairVerbruik_10,HuishoudensConsumptieveBestedingen_11,OverheidConsumptieveBestedingen_12,IZWConsumptieveBestedingen_13,InvesteringenInVasteActiva_14,VeranderingenInVoorraden_15
0,MacroTot,1987JJ00,500490.0,398163.0,102327.0,15735.0,0.0,23717.0,-7982.0,516225.0,107044.0,205251.0,105702.0,51377.0,1176.0,45826.0,-151.0
1,MacroTot,1988JJ00,528890.0,417495.0,111395.0,16733.0,0.0,24553.0,-7820.0,545623.0,116797.0,216632.0,108179.0,52238.0,1257.0,50945.0,-425.0
2,MacroTot,1989JJ00,572630.0,448007.0,124623.0,17785.0,0.0,24586.0,-6801.0,590415.0,131475.0,235515.0,113483.0,53452.0,1326.0,53089.0,2075.0
3,MacroTot,1990JJ00,598889.0,470618.0,128271.0,19820.0,0.0,26257.0,-6437.0,618709.0,137551.0,246786.0,119719.0,56121.0,1383.0,55328.0,1821.0
4,MacroTot,1991JJ00,634474.0,497936.0,136538.0,20446.0,0.0,27719.0,-7273.0,654920.0,147152.0,261007.0,127353.0,59820.0,1485.0,56927.0,1176.0
5,MacroTot,1992JJ00,651441.0,513027.0,138414.0,22084.0,0.0,29603.0,-7519.0,673525.0,148574.0,266812.0,132186.0,63816.0,1591.0,58773.0,1773.0
6,MacroTot,1993JJ00,655609.0,519935.0,135674.0,23212.0,0.0,30495.0,-7283.0,678821.0,150658.0,267134.0,136129.0,66426.0,1676.0,58302.0,-1504.0
7,MacroTot,1994JJ00,694132.0,545755.0,148377.0,25567.0,0.0,32221.0,-6654.0,719699.0,164709.0,281274.0,142350.0,69254.0,1734.0,59649.0,729.0
8,MacroTot,1995JJ00,737839.0,573963.0,163876.0,29575.0,0.0,33683.0,-4108.0,767414.0,181219.0,298277.0,149298.0,72687.0,1760.0,63500.0,673.0
9,MacroTot,1996JJ00,780914.0,607125.0,173789.0,32676.0,0.0,36162.0,-3486.0,813590.0,190674.0,320046.0,158673.0,72830.0,1985.0,69149.0,233.0
