ID,KenmerkenGebruikers,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
0,100,1,2007JJ00,23.8,4.3,2.7,5.2,0.4,1.5,1.7,4.0,0.3,0.1,0.4,0.0,,0.0
1,100,1,2008JJ00,25.7,4.8,3.0,5.9,0.7,1.5,1.6,4.1,0.5,0.3,0.5,0.0,,0.0
2,100,1,2009JJ00,25.7,5.2,3.1,6.2,0.5,1.6,1.5,4.2,0.5,0.2,0.4,0.1,,0.0
3,100,2,2007JJ00,22.7,3.7,2.2,4.6,0.3,1.2,1.4,3.5,0.2,0.0,0.2,0.0,,0.0
4,100,2,2008JJ00,24.5,4.2,2.6,5.3,0.5,1.2,1.3,3.6,0.4,0.1,0.3,0.0,,0.0
5,100,2,2009JJ00,24.5,4.6,2.7,5.5,0.3,1.3,1.2,3.6,0.3,0.1,0.3,0.0,,0.0
6,100,3,2007JJ00,25.0,4.9,3.2,5.9,0.7,1.9,2.1,4.6,0.6,0.2,0.6,0.2,,0.2
7,100,3,2008JJ00,26.8,5.4,3.5,6.6,0.9,1.9,2.0,4.7,0.8,0.5,0.7,0.1,,0.0
8,100,3,2009JJ00,26.9,5.8,3.6,6.9,0.7,2.0,1.9,4.8,0.7,0.4,0.6,0.2,,0.2
9,101,1,2007JJ00,29.5,6.3,3.9,7.5,0.7,2.8,2.6,5.9,0.5,0.1,0.4,0.1,,0.0
10,101,1,2008JJ00,32.1,7.2,4.6,8.2,1.1,2.9,2.8,6.5,0.7,0.4,0.5,0.1,,0.0
11,101,1,2009JJ00,32.9,7.8,4.8,8.3,0.7,2.8,2.0,6.3,0.7,0.3,0.4,0.0,,0.0
12,101,2,2007JJ00,27.7,5.3,3.2,6.5,0.4,2.2,2.0,5.0,0.3,0.0,0.2,0.0,,0.0
