ID,Perioden,Mestproductie_1,StikstofuitscheidingN_2,FosfaatuitscheidingP2O5_3,RundveeTotaal_4,MelkEnKalfkoeien_5,OverigRundvee_6,Varkens_7,Pluimvee_8,MestproductieTotaal_9,Rundveemest_10,Varkensmest_11,Pluimveemest_12,OverigeMest_13,StikstofuitscheidingTotaal_14,Rundvee_15,Varkens_16,Pluimvee_17,OverigeDiersoorten_18,FosfaatuitscheidingTotaal_19,Rundvee_20,Varkens_21,Pluimvee_22,OverigeDiersoorten_23,TotaalGasvormigeStikstofverliezenN_24,AmmoniakUitgedruktInN_25,OverigeGasvormigeStikstofverliezenN_26,AmmoniakverliesTijdensBeweidingN_27,AfgevoerdeMestTotaal_28,StikstofInAfgevoerdeMest_29,FosfaatInAfgevoerdeMest_30,AangevoerdeMestTotaal_31,StikstofInAangevoerdeMest_32,FosfaatInAangevoerdeMest_33,VerwerkteStikstofN_34,VerwerktFosfaatP2O5_35,StikstofafvoerNNaarHetBuitenland_36,FosfaatafvoerP2O5NaarHetBuitenland_37,BemestbareCultuurgrondTotaal_38,Bouwland_39,Grasland_40,PlaatsingsruimteStikstofN_41,PlaatsingsruimteFosfaatP2O5_42,StikstofgebruikNInDeLandbouw_43,FosfaatgebruikP2O5InDeLandbouw_44
0,1950JJ00,49.019,,117.089,2726.0,1520.0,1206.0,1864.0,23991.0,49.019,43.295,2.643,0.946,2.135,,,,,,117.089,80.291,13.0,18.0,5.798,,,,,,,,,,,,,,,2336.0,1019.0,1317.0,,,,
1,1960JJ00,60.696,,143.42,3507.0,1628.0,1879.0,2955.0,43954.0,60.696,53.859,3.918,0.997,1.922,,,,,,143.42,100.204,19.0,19.0,5.217,,,,,,,,,,,,,,,2317.0,990.0,1327.0,,,,
2,1965JJ00,64.115,,153.436,3751.0,1723.0,2028.0,3752.0,43196.0,64.115,56.446,5.268,0.927,1.474,,,,,,153.436,105.455,26.0,18.0,3.981,,,,,,,,,,,,,,,2256.0,919.0,1337.0,,,,
3,1970JJ00,68.192,,181.343,4314.0,1896.0,2418.0,5533.0,57312.0,68.192,57.063,8.783,1.103,1.243,,,,,,181.343,113.0,43.0,22.0,3.343,,,,,,,,,,,,,,,2143.0,809.0,1334.0,,,,
4,1974JJ00,85.688,,212.454,4979.0,2199.0,2780.0,6719.0,64825.0,85.688,72.077,11.106,1.168,1.337,,,,,,212.454,133.872,52.0,23.0,3.582,,,,,,,,,,,,,,,2092.0,794.0,1298.0,,,,
5,1976JJ00,79.477,,211.587,4964.0,2238.0,2726.0,7507.0,70553.0,79.477,65.6,11.242,1.296,1.339,,,,,,211.587,130.0,53.0,25.0,3.587,,,,,,,,,,,,,,,2073.0,803.0,1270.0,,,,
6,1978JJ00,82.123,,227.706,4990.0,2247.0,2743.0,9172.0,75316.0,82.123,65.722,13.52,1.496,1.385,,,,,,227.706,131.0,64.0,29.0,3.706,,,,,,,,,,,,,,,2045.0,824.0,1221.0,,,,
7,1980JJ00,85.634,565.135,231.58,5225.857,2355.986,2869.871,10137.516,82665.685,85.634,67.922,14.634,1.738,1.34,565.135,380.571,119.0,52.75,12.813,231.58,122.66,73.28,32.06,3.58,,67.228,,12.805,,,,,,,,,,,2014.718,817.127,1197.592,,,,
8,1982JJ00,87.393,612.243,241.218,5240.687,2438.629,2802.058,10253.907,88148.63,87.393,69.548,14.738,1.902,1.205,612.243,422.857,125.0,50.85,13.536,241.218,134.95,68.7,34.35,3.218,,72.696,,13.847,,,,,,,,,,,1999.621,822.122,1177.499,,,,
9,1984JJ00,99.739,659.302,255.315,5516.243,2549.031,2967.212,11146.085,84444.69,99.739,80.366,15.926,2.21,1.237,659.302,450.286,136.5,58.75,13.766,255.315,144.37,70.99,36.64,3.315,,78.516,,14.955,,,,,,,,,,,2011.659,833.116,1178.543,,,,
10,1986JJ00,94.648,696.328,260.695,5124.466,2288.483,2835.983,13483.341,93798.55,94.648,71.737,19.097,2.438,1.376,696.328,472.0,147.5,63.15,13.678,260.695,142.5,77.86,36.64,3.695,,82.747,,15.761,8.738,,29.089,8.501,,28.3,,,3.0,,2019.462,864.646,1154.817,,,,259.906
11,1988JJ00,87.511,656.149,239.636,4710.491,1970.641,2739.85,13933.819,94761.98,87.511,64.18,19.24,2.364,1.727,656.149,432.0,154.5,57.0,12.649,239.636,125.08,73.28,36.64,4.636,,79.557,,15.154,,,,,,,,,3.0,,2004.163,890.154,1114.009,,457.916,,
12,1990JJ00,87.445,691.151,229.065,4926.023,1877.684,3048.339,13915.048,94901.94,87.445,66.192,16.356,2.49,2.407,691.151,451.806,149.741,64.913,24.691,229.065,120.819,69.037,32.961,6.249,88.963,70.785,18.178,14.639,,,,,,,,,6.0,3.2,1992.387,895.891,1096.496,,456.744,,
13,1991JJ00,88.7,718.706,236.659,5062.071,1852.165,3209.906,13216.614,95983.51,88.7,67.0,16.4,2.5,2.7,718.706,476.762,142.226,70.068,29.649,236.659,124.128,69.09,34.902,8.539,90.273,73.692,16.581,16.926,,,,,,,,,7.0,3.4,1972.849,892.992,1079.857,,378.099,,
14,1992JJ00,86.7,716.819,233.762,4919.607,1775.259,3144.348,14160.402,101758.877,86.7,64.9,16.3,2.6,2.8,716.819,459.836,150.888,76.537,29.557,233.762,119.507,69.154,36.289,8.812,90.535,74.333,16.203,17.379,,,,,,,,,11.0,5.6,1965.156,902.094,1063.062,,379.755,,
15,1993JJ00,85.7,709.462,241.856,4796.768,1746.733,3050.035,14964.445,98085.668,85.7,63.4,17.0,2.5,2.8,709.462,447.317,157.884,74.538,29.723,241.856,125.532,72.141,35.041,9.141,90.582,74.448,16.135,14.607,,,,,,,,,15.0,7.7,1960.673,896.885,1063.788,,370.605,,
16,1994JJ00,83.003,680.957,226.539,4715.711,1697.868,3017.843,14565.011,93952.535,83.003,61.689,16.38,2.257,2.677,680.957,434.569,152.938,65.162,28.288,226.539,120.19,65.226,32.7,8.423,89.064,70.976,18.087,10.464,16.991,155.254,78.514,15.534,129.309,65.024,4.556,1.824,21.165,11.547,1957.01,906.452,1050.558,,329.131,565.949,213.049
17,1995JJ00,82.554,679.963,215.878,4654.195,1707.875,2946.32,14397.463,91636.828,82.554,61.678,16.146,2.086,2.643,679.963,437.726,149.552,65.069,27.615,215.878,118.706,60.026,29.068,8.079,87.284,69.37,17.914,13.149,16.983,153.853,72.386,15.418,127.239,60.063,3.381,0.969,22.047,10.785,1953.406,905.172,1048.234,,256.804,566.065,203.554
18,1996JJ00,81.192,668.56,198.126,4551.317,1664.648,2886.669,14418.673,93551.978,81.192,60.163,16.157,2.136,2.736,668.56,426.208,147.753,65.143,29.457,198.126,103.562,58.0,28.781,7.783,84.436,67.337,17.099,16.315,16.31,148.263,67.453,14.822,126.94,57.948,2.818,0.558,12.951,6.234,1967.747,915.626,1052.12,,242.755,562.801,188.62
19,1997JJ00,77.872,644.594,196.807,4410.635,1590.571,2820.064,15189.064,95368.993,77.872,58.007,15.072,2.165,2.629,644.594,411.927,142.517,62.054,28.096,196.807,104.581,55.304,28.712,8.209,80.653,64.028,16.626,11.369,15.83,138.001,63.703,14.818,123.651,57.171,2.383,0.503,11.041,5.603,1950.997,920.507,1030.489,,240.372,549.59,190.275
20,1998JJ00,76.931,602.443,196.057,4283.084,1610.63,2672.454,13445.866,101162.699,76.931,57.188,15.163,1.984,2.596,602.443,376.388,136.125,61.511,28.42,196.057,104.383,53.997,29.134,8.542,77.941,61.789,16.152,5.6,13.301,98.314,60.466,11.51,80.88,49.141,5.014,2.162,9.757,7.24,1957.689,925.918,1031.771,933.881,221.034,507.068,184.732
21,1999JJ00,75.445,585.325,199.649,4205.69,1588.489,2617.201,13566.817,107281.687,75.445,56.039,14.66,2.075,2.671,585.325,360.25,131.526,66.555,26.994,199.649,108.509,49.781,32.552,8.808,77.086,60.787,16.299,6.023,15.27,117.122,71.962,13.923,98.215,58.152,5.205,2.426,12.883,10.364,1939.975,921.962,1018.013,924.214,218.968,489.332,185.839
22,2000JJ00,75.56,549.075,190.924,4068.855,1504.076,2564.779,13117.817,106516.961,75.56,56.726,14.127,2.085,2.622,549.075,339.222,120.623,62.608,26.623,190.924,102.146,48.171,32.064,8.543,70.539,55.353,15.186,4.236,13.212,102.544,65.049,11.484,77.973,46.955,4.256,1.77,14.746,13.123,1925.592,914.399,1011.193,870.995,207.727,453.965,172.83
