ID,Geslacht,Leeftijd,Herkomst,Perioden,TotaalUniekeGebruikersToevoegingen_1,Civiel_2,Ambtshalve_3,Straf_4,Erfrecht_5,PersonenEnFamilierecht_6,Verbintenissenrecht_7,Arbeidsrecht_8,Huurrecht_9,Faillissementsrecht_10,Goederenrecht_11,OverigCiviel_12,SocialeVoorzieningen_13,Vreemdelingenrecht_14,SocialeVerzekeringen_15,Bestuursrecht_16,Woonrecht_17,FiscaalRecht_18,Ambtenarenrecht_19,Milieurecht_20,StrafrechtVerdachten_21,StrafrechtOverig_22,Onbekend_23
0,1100,10000,1000,2007JJ00,209340,161990,28170,34930,770,73310,28740,15790,9200,880,230,1260,14500,15590,10810,4640,1220,1000,460,0,46130,17280,670
1,1100,10000,1000,2008JJ00,215020,163910,30940,36830,900,77270,30320,16420,9350,850,250,1370,13840,13070,9880,4930,1020,1110,490,20,49080,19100,810
2,1100,10000,1000,2009JJ00,209040,166390,21680,38110,920,79600,31900,18430,9490,790,280,1370,13420,11390,9300,5720,1060,1140,480,20,41530,17940,200
3,1100,10000,1000,2010JJ00,202830,162490,21650,33970,980,81320,31600,15060,9100,520,270,1490,12910,10810,8660,5810,890,1200,430,30,37690,17890,40
4,1100,10000,1000,2011JJ00,194780,153770,22180,33550,950,79070,28210,13140,8990,290,230,1950,13140,9620,8220,5370,620,870,420,10,37510,17450,30
5,1100,10000,6030,2007JJ00,109480,83360,15120,18530,610,47060,15070,8420,5000,510,190,750,5110,240,4040,1830,510,400,230,0,24780,9100,580
6,1100,10000,6030,2008JJ00,112340,84910,16280,19140,680,48630,15870,8380,4920,530,200,810,4870,160,3770,2050,430,440,220,20,25690,10040,690
7,1100,10000,6030,2009JJ00,109300,86820,11180,19220,660,50180,16550,9320,4970,460,220,790,4550,100,3430,2320,420,470,240,20,21310,8990,160
8,1100,10000,6030,2010JJ00,106410,85210,11000,17110,720,51370,16250,7690,4700,340,220,880,4320,90,3250,2320,320,450,240,20,19220,8970,30
9,1100,10000,6030,2011JJ00,101710,80480,11140,16770,710,49890,14340,6810,4540,200,180,1090,4300,70,2950,2140,230,310,190,10,18840,8830,20
10,1100,10000,1100,2007JJ00,99860,78630,13050,16400,170,26240,13670,7370,4200,370,50,510,9390,15340,6770,2810,710,600,230,0,21350,8180,90
11,1100,10000,1100,2008JJ00,102690,79000,14670,17690,220,28640,14450,8040,4430,320,50,560,8970,12910,6110,2880,590,660,270,10,23390,9060,120
