ID,Sectoren,COFOGOverheidsfuncties,Perioden,Overheidsconsumptie_1
0,10,18300 ,1995JJ00,72687.0
1,10,18300 ,1996JJ00,72830.0
2,10,18300 ,1997JJ00,76472.0
3,10,18300 ,1998JJ00,80489.0
4,10,18300 ,1999JJ00,85867.0
5,10,18300 ,2000JJ00,91871.0
6,10,18300 ,2001JJ00,101385.0
7,10,18300 ,2002JJ00,110246.0
8,10,18300 ,2003JJ00,116793.0
9,10,18300 ,2004JJ00,118942.0
10,10,18300 ,2005JJ00,121685.0
11,10,18300 ,2006JJ00,135442.0
12,10,18300 ,2007JJ00,143872.0
13,10,18300 ,2008JJ00,152813.0
14,10,18300 ,2009JJ00,164140.0
15,10,18300 ,2010JJ00,166970.0
16,10,18300 ,2011JJ00,167330.0
17,10,18300 ,2012JJ00,170614.0
18,10,10000 ,1995JJ00,5634.0
19,10,10000 ,1996JJ00,5619.0
20,10,10000 ,1997JJ00,5785.0
21,10,10000 ,1998JJ00,6160.0
22,10,10000 ,1999JJ00,6398.0
23,10,10000 ,2000JJ00,6942.0
24,10,10000 ,2001JJ00,7306.0
25,10,10000 ,2002JJ00,8144.0
26,10,10000 ,2003JJ00,8456.0
27,10,10000 ,2004JJ00,8616.0
28,10,10000 ,2005JJ00,8809.0
29,10,10000 ,2006JJ00,8759.0
30,10,10000 ,2007JJ00,9081.0
31,10,10000 ,2008JJ00,9692.0
32,10,10000 ,2009JJ00,10810.0
33,10,10000 ,2010JJ00,11176.0
34,10,10000 ,2011JJ00,10656.0
35,10,10000 ,2012JJ00,10969.0
36,10,10100 ,1995JJ00,3321.0
37,10,10100 ,1996JJ00,3281.0
38,10,10100 ,1997JJ00,3732.0
39,10,10100 ,1998JJ00,4063.0
40,10,10100 ,1999JJ00,4421.0
41,10,10100 ,2000JJ00,5018.0
42,10,10100 ,2001JJ00,5204.0
43,10,10100 ,2002JJ00,5730.0
44,10,10100 ,2003JJ00,5979.0
45,10,10100 ,2004JJ00,5888.0
46,10,10100 ,2005JJ00,6072.0
47,10,10100 ,2006JJ00,6127.0
48,10,10100 ,2007JJ00,6345.0
49,10,10100 ,2008JJ00,6684.0
50,10,10100 ,2009JJ00,7082.0
51,10,10100 ,2010JJ00,7275.0
52,10,10100 ,2011JJ00,6722.0
53,10,10100 ,2012JJ00,6621.0
54,10,10200 ,1995JJ00,252.0
55,10,10200 ,1996JJ00,269.0
56,10,10200 ,1997JJ00,148.0
57,10,10200 ,1998JJ00,364.0
58,10,10200 ,1999JJ00,146.0
59,10,10200 ,2000JJ00,158.0
60,10,10200 ,2001JJ00,154.0
61,10,10200 ,2002JJ00,154.0
62,10,10200 ,2003JJ00,147.0
63,10,10200 ,2004JJ00,164.0
64,10,10200 ,2005JJ00,183.0
65,10,10200 ,2006JJ00,206.0
66,10,10200 ,2007JJ00,225.0
67,10,10200 ,2008JJ00,233.0
68,10,10200 ,2009JJ00,241.0
69,10,10200 ,2010JJ00,271.0
70,10,10200 ,2011JJ00,294.0
71,10,10200 ,2012JJ00,309.0
72,10,10300 ,1995JJ00,299.0
73,10,10300 ,1996JJ00,289.0
74,10,10300 ,1997JJ00,244.0
75,10,10300 ,1998JJ00,259.0
76,10,10300 ,1999JJ00,229.0
77,10,10300 ,2000JJ00,179.0
78,10,10300 ,2001JJ00,287.0
79,10,10300 ,2002JJ00,304.0
80,10,10300 ,2003JJ00,378.0
81,10,10300 ,2004JJ00,429.0
82,10,10300 ,2005JJ00,526.0
83,10,10300 ,2006JJ00,530.0
84,10,10300 ,2007JJ00,652.0
85,10,10300 ,2008JJ00,720.0
86,10,10300 ,2009JJ00,833.0
87,10,10300 ,2010JJ00,954.0
88,10,10300 ,2011JJ00,970.0
89,10,10300 ,2012JJ00,961.0
90,10,10400 ,1995JJ00,952.0
91,10,10400 ,1996JJ00,997.0
92,10,10400 ,1997JJ00,1007.0
93,10,10400 ,1998JJ00,990.0
94,10,10400 ,1999JJ00,1082.0
95,10,10400 ,2000JJ00,1135.0
96,10,10400 ,2001JJ00,1180.0
97,10,10400 ,2002JJ00,1210.0
98,10,10400 ,2003JJ00,1251.0
99,10,10400 ,2004JJ00,1300.0
100,10,10400 ,2005JJ00,1319.0
101,10,10400 ,2006JJ00,1325.0
102,10,10400 ,2007JJ00,1344.0
103,10,10400 ,2008JJ00,1448.0
104,10,10400 ,2009JJ00,1522.0
105,10,10400 ,2010JJ00,1548.0
106,10,10400 ,2011JJ00,1604.0
107,10,10400 ,2012JJ00,1659.0
108,10,10500 ,1995JJ00,22.0
109,10,10500 ,1996JJ00,20.0
110,10,10500 ,1997JJ00,22.0
111,10,10500 ,1998JJ00,23.0
112,10,10500 ,1999JJ00,24.0
113,10,10500 ,2000JJ00,27.0
114,10,10500 ,2001JJ00,28.0
115,10,10500 ,2002JJ00,29.0
116,10,10500 ,2003JJ00,16.0
117,10,10500 ,2004JJ00,16.0
118,10,10500 ,2005JJ00,12.0
119,10,10500 ,2006JJ00,10.0
120,10,10500 ,2007JJ00,11.0
121,10,10500 ,2008JJ00,11.0
122,10,10500 ,2009JJ00,11.0
123,10,10500 ,2010JJ00,14.0
124,10,10500 ,2011JJ00,11.0
125,10,10500 ,2012JJ00,6.0
126,10,10600 ,1995JJ00,22.0
127,10,10600 ,1996JJ00,-19.0
128,10,10600 ,1997JJ00,20.0
129,10,10600 ,1998JJ00,19.0
130,10,10600 ,1999JJ00,18.0
131,10,10600 ,2000JJ00,50.0
132,10,10600 ,2001JJ00,18.0
133,10,10600 ,2002JJ00,63.0
134,10,10600 ,2003JJ00,15.0
135,10,10600 ,2004JJ00,14.0
136,10,10600 ,2005JJ00,50.0
137,10,10600 ,2006JJ00,92.0
138,10,10600 ,2007JJ00,137.0
139,10,10600 ,2008JJ00,140.0
140,10,10600 ,2009JJ00,92.0
141,10,10600 ,2010JJ00,49.0
142,10,10600 ,2011JJ00,9.0
143,10,10600 ,2012JJ00,11.0
144,10,10700 ,1995JJ00,766.0
145,10,10700 ,1996JJ00,782.0
146,10,10700 ,1997JJ00,612.0
147,10,10700 ,1998JJ00,442.0
148,10,10700 ,1999JJ00,478.0
149,10,10700 ,2000JJ00,375.0
150,10,10700 ,2001JJ00,435.0
151,10,10700 ,2002JJ00,654.0
152,10,10700 ,2003JJ00,670.0
153,10,10700 ,2004JJ00,805.0
154,10,10700 ,2005JJ00,647.0
155,10,10700 ,2006JJ00,469.0
156,10,10700 ,2007JJ00,367.0
157,10,10700 ,2008JJ00,456.0
158,10,10700 ,2009JJ00,1029.0
159,10,10700 ,2010JJ00,1065.0
160,10,10700 ,2011JJ00,1046.0
161,10,10700 ,2012JJ00,1402.0
162,10,10800 ,1995JJ00,0.0
163,10,10800 ,1996JJ00,0.0
164,10,10800 ,1997JJ00,0.0
165,10,10800 ,1998JJ00,0.0
166,10,10800 ,1999JJ00,0.0
167,10,10800 ,2000JJ00,0.0
168,10,10800 ,2001JJ00,0.0
169,10,10800 ,2002JJ00,0.0
170,10,10800 ,2003JJ00,0.0
171,10,10800 ,2004JJ00,0.0
172,10,10800 ,2005JJ00,0.0
173,10,10800 ,2006JJ00,0.0
174,10,10800 ,2007JJ00,0.0
175,10,10800 ,2008JJ00,0.0
176,10,10800 ,2009JJ00,0.0
177,10,10800 ,2010JJ00,0.0
178,10,10800 ,2011JJ00,0.0
179,10,10800 ,2012JJ00,0.0
180,10,10900 ,1995JJ00,6081.0
181,10,10900 ,1996JJ00,5938.0
182,10,10900 ,1997JJ00,6112.0
183,10,10900 ,1998JJ00,5978.0
184,10,10900 ,1999JJ00,6990.0
185,10,10900 ,2000JJ00,6806.0
186,10,10900 ,2001JJ00,7204.0
187,10,10900 ,2002JJ00,7293.0
188,10,10900 ,2003JJ00,7409.0
189,10,10900 ,2004JJ00,7217.0
190,10,10900 ,2005JJ00,6529.0
191,10,10900 ,2006JJ00,7163.0
192,10,10900 ,2007JJ00,7638.0
193,10,10900 ,2008JJ00,7986.0
194,10,10900 ,2009JJ00,8412.0
195,10,10900 ,2010JJ00,7947.0
196,10,10900 ,2011JJ00,7901.0
197,10,10900 ,2012JJ00,7294.0
198,10,11000 ,1995JJ00,5492.0
199,10,11000 ,1996JJ00,5350.0
200,10,11000 ,1997JJ00,5286.0
201,10,11000 ,1998JJ00,4971.0
202,10,11000 ,1999JJ00,5877.0
203,10,11000 ,2000JJ00,5598.0
204,10,11000 ,2001JJ00,5930.0
205,10,11000 ,2002JJ00,6012.0
206,10,11000 ,2003JJ00,6094.0
207,10,11000 ,2004JJ00,5978.0
208,10,11000 ,2005JJ00,5149.0
209,10,11000 ,2006JJ00,5717.0
210,10,11000 ,2007JJ00,5539.0
211,10,11000 ,2008JJ00,5572.0
212,10,11000 ,2009JJ00,5763.0
213,10,11000 ,2010JJ00,5497.0
214,10,11000 ,2011JJ00,5613.0
215,10,11000 ,2012JJ00,5065.0
216,10,11500 ,1995JJ00,0.0
217,10,11500 ,1996JJ00,0.0
218,10,11500 ,1997JJ00,0.0
219,10,11500 ,1998JJ00,0.0
220,10,11500 ,1999JJ00,0.0
221,10,11500 ,2000JJ00,0.0
222,10,11500 ,2001JJ00,0.0
223,10,11500 ,2002JJ00,0.0
224,10,11500 ,2003JJ00,0.0
225,10,11500 ,2004JJ00,0.0
226,10,11500 ,2005JJ00,0.0
227,10,11500 ,2006JJ00,0.0
228,10,11500 ,2007JJ00,0.0
229,10,11500 ,2008JJ00,0.0
230,10,11500 ,2009JJ00,0.0
231,10,11500 ,2010JJ00,0.0
232,10,11500 ,2011JJ00,0.0
233,10,11500 ,2012JJ00,0.0
234,10,11600 ,1995JJ00,80.0
235,10,11600 ,1996JJ00,103.0
236,10,11600 ,1997JJ00,85.0
237,10,11600 ,1998JJ00,116.0
238,10,11600 ,1999JJ00,204.0
239,10,11600 ,2000JJ00,206.0
240,10,11600 ,2001JJ00,191.0
241,10,11600 ,2002JJ00,163.0
242,10,11600 ,2003JJ00,204.0
243,10,11600 ,2004JJ00,189.0
244,10,11600 ,2005JJ00,171.0
245,10,11600 ,2006JJ00,257.0
246,10,11600 ,2007JJ00,292.0
247,10,11600 ,2008JJ00,301.0
248,10,11600 ,2009JJ00,329.0
249,10,11600 ,2010JJ00,300.0
250,10,11600 ,2011JJ00,110.0
251,10,11600 ,2012JJ00,80.0
252,10,11700 ,1995JJ00,27.0
253,10,11700 ,1996JJ00,28.0
254,10,11700 ,1997JJ00,25.0
255,10,11700 ,1998JJ00,24.0
256,10,11700 ,1999JJ00,31.0
257,10,11700 ,2000JJ00,34.0
258,10,11700 ,2001JJ00,36.0
259,10,11700 ,2002JJ00,53.0
260,10,11700 ,2003JJ00,38.0
261,10,11700 ,2004JJ00,40.0
262,10,11700 ,2005JJ00,40.0
263,10,11700 ,2006JJ00,44.0
264,10,11700 ,2007JJ00,49.0
265,10,11700 ,2008JJ00,51.0
266,10,11700 ,2009JJ00,51.0
267,10,11700 ,2010JJ00,55.0
268,10,11700 ,2011JJ00,56.0
269,10,11700 ,2012JJ00,60.0
270,10,11800 ,1995JJ00,482.0
271,10,11800 ,1996JJ00,457.0
272,10,11800 ,1997JJ00,716.0
273,10,11800 ,1998JJ00,867.0
274,10,11800 ,1999JJ00,878.0
275,10,11800 ,2000JJ00,968.0
276,10,11800 ,2001JJ00,1047.0
277,10,11800 ,2002JJ00,1065.0
278,10,11800 ,2003JJ00,1073.0
279,10,11800 ,2004JJ00,1010.0
280,10,11800 ,2005JJ00,1169.0
