ID,Watergebruikers,Perioden,GebruikVanLeidingwater_1,TotaalGebruikVanGrondwater_2,GebruikVanGrondwaterVoorKoeling_3,OverigeGebruikVanGrondWater_4,GebruikVanOppervlakteWater_5
0,999931,2003JJ00,1132.1,1162.8,103.3,1059.5,13973.5
1,999931,2004JJ00,1099.0,1050.5,115.1,935.4,14908.2
2,999931,2005JJ00,1086.0,1013.4,99.5,913.9,13950.3
3,999931,2006JJ00,1098.0,1059.4,99.9,959.5,13532.4
4,999931,2007JJ00,1088.1,1001.1,91.6,909.5,13569.2
5,999931,2008JJ00,1093.1,986.8,89.3,897.4,13301.3
6,999931,2009JJ00,1092.8,1025.5,88.8,936.8,14216.5
7,999931,2010JJ00,1089.6,1006.2,65.4,940.8,14076.4
8,999931,2011JJ00,1080.3,991.9,63.7,928.2,15300.2
9,999991,2003JJ00,815.4,,,,
10,999991,2004JJ00,796.2,,,,
11,999991,2005JJ00,790.5,,,,
12,999991,2006JJ00,800.7,,,,
13,999991,2007JJ00,789.4,,,,
14,999991,2008JJ00,788.4,,,,
15,999991,2009JJ00,788.1,,,,
16,999991,2010JJ00,786.2,,,,
17,999991,2011JJ00,783.0,,,,
18,300025,2003JJ00,316.8,,,,
19,300025,2004JJ00,302.8,,,,
20,300025,2005JJ00,295.5,,,,
21,300025,2006JJ00,297.3,,,,
22,300025,2007JJ00,298.8,,,,
23,300025,2008JJ00,304.8,,,,
24,300025,2009JJ00,304.6,,,,
25,300025,2010JJ00,303.4,,,,
26,300025,2011JJ00,297.3,,,,
27,301000,2003JJ00,57.6,145.5,0.0,145.5,53.5
28,301000,2004JJ00,49.9,61.4,0.0,61.4,26.1
29,301000,2005JJ00,47.6,62.3,0.0,62.3,12.5
30,301000,2006JJ00,46.5,97.6,0.0,97.6,24.2
31,301000,2007JJ00,46.0,54.0,0.0,54.0,17.9
32,301000,2008JJ00,44.3,50.6,0.0,50.6,21.1
33,301000,2009JJ00,47.2,80.4,0.0,80.4,12.5
34,301000,2010JJ00,43.8,95.7,0.0,95.7,26.3
35,301000,2011JJ00,42.7,88.5,0.0,88.5,30.9
36,300002,2003JJ00,173.4,1017.4,103.3,914.1,13920.0
37,300002,2004JJ00,167.4,989.1,115.1,874.0,14882.1
38,300002,2005JJ00,162.0,951.1,99.5,851.6,13937.8
39,300002,2006JJ00,163.5,961.8,99.9,861.9,13508.2
40,300002,2007JJ00,163.4,947.1,91.6,855.5,13551.3
41,300002,2008JJ00,167.7,936.2,89.3,846.8,13280.2
42,300002,2009JJ00,164.2,945.1,88.8,856.4,14204.1
43,300002,2010JJ00,165.4,910.5,65.4,845.1,14050.1
44,300002,2011JJ00,159.6,903.3,63.7,839.7,15269.3
45,305700,2003JJ00,3.5,0.1,0.1,0.0,1.2
46,305700,2004JJ00,3.1,0.1,0.0,0.0,1.0
47,305700,2005JJ00,2.9,0.1,0.0,0.0,1.0
48,305700,2006JJ00,2.9,0.1,0.0,0.0,1.0
49,305700,2007JJ00,2.8,0.1,0.0,0.0,0.9
50,305700,2008JJ00,3.0,0.1,0.0,0.0,0.9
51,305700,2009JJ00,2.6,0.1,0.0,0.0,0.8
52,305700,2010JJ00,2.4,0.1,0.0,0.0,0.8
53,305700,2011JJ00,2.3,0.1,0.0,0.0,0.8
54,307500,2003JJ00,162.7,213.6,103.2,110.4,3702.4
55,307500,2004JJ00,159.1,215.9,115.0,100.8,3640.4
56,307500,2005JJ00,154.4,182.7,99.4,83.3,3175.1
57,307500,2006JJ00,155.1,181.3,99.9,81.4,3216.4
58,307500,2007JJ00,155.2,176.5,91.5,85.0,3198.7
59,307500,2008JJ00,157.6,170.8,89.3,81.6,3314.1
60,307500,2009JJ00,148.4,178.8,87.6,91.3,3647.5
61,307500,2010JJ00,147.0,142.2,65.2,77.0,3349.5
62,307500,2011JJ00,142.6,141.2,63.5,77.8,3391.0
63,307610,2003JJ00,46.3,77.9,27.9,50.0,143.9
64,307610,2004JJ00,44.3,64.7,25.2,39.5,158.7
65,307610,2005JJ00,43.5,60.3,22.7,37.6,136.7
66,307610,2006JJ00,46.2,62.0,23.7,38.4,140.4
67,307610,2007JJ00,45.2,58.9,23.4,35.6,142.8
68,307610,2008JJ00,48.4,60.7,23.8,36.9,157.2
69,307610,2009JJ00,46.4,68.7,23.6,45.2,149.3
70,307610,2010JJ00,40.9,68.3,25.0,43.3,160.0
71,307610,2011JJ00,38.2,66.6,24.2,42.4,165.9
72,312505,2003JJ00,2.4,5.9,0.5,5.4,4.2
73,312505,2004JJ00,2.0,5.3,0.5,4.8,5.1
74,312505,2005JJ00,1.7,5.3,0.5,4.8,5.9
75,312505,2006JJ00,1.8,4.0,0.5,3.6,4.2
76,312505,2007JJ00,2.0,4.3,0.5,3.7,5.4
77,312505,2008JJ00,2.0,3.8,0.5,3.3,6.1
78,312505,2009JJ00,1.4,2.0,0.3,1.8,1.5
