ID,Watergebruikers,Perioden,TotaalLeidingwater_1,Drinkwater_2,TotaalIndustriewater_3,IndustriewaterVoorKoeling_4,OverigIndustriewater_5,TotaalGrondwater_6,GrondwaterVoorKoeling_7,OverigGrondwater_8,TotaalOppervlaktewater_9,TotaalZoetOppervlaktewater_10,ZoetOppervlaktewaterVoorKoeling_11,OverigZoetOppervlaktewater_12,TotaalZoutOppervlaktewater_13,ZoutOppervlaktewaterVoorKoeling_14,OverigZoutOppervlaktewater_15
0,B000579,2003JJ00,1201.9,1132.1,69.8,,,1160.4,103.6,1056.9,14026.1,10161.9,,,3864.2,,
1,B000579,2004JJ00,1168.6,1099.0,69.6,,,1044.6,115.3,929.3,14962.8,10213.1,,,4749.8,,
2,B000579,2005JJ00,1156.8,1086.0,70.8,,,1004.2,98.4,905.7,14007.9,10148.5,,,3859.4,,
3,B000579,2006JJ00,1168.7,1098.0,70.7,,,1051.8,99.5,952.3,13589.3,9660.1,,,3929.2,,
4,B000579,2007JJ00,1159.1,1088.1,71.0,,,993.2,91.0,902.3,13659.6,9619.1,,,4040.6,,
5,B000579,2008JJ00,1162.6,1093.1,69.5,,,989.0,92.7,896.3,13410.8,9424.1,,,3986.7,,
6,B000579,2009JJ00,1167.0,1092.8,74.2,,,1015.3,89.5,925.8,14311.7,10341.5,,,3970.2,,
7,B000579,2010JJ00,1170.0,1089.6,80.4,,,997.1,64.9,932.3,14144.2,9934.0,,,4210.2,,
8,B000579,2011JJ00,1161.6,1080.3,81.3,,,989.1,64.4,924.7,13525.6,9199.0,,,4326.7,,
9,B000579,2012JJ00,1148.4,1070.4,78.0,,,940.5,64.8,875.7,14086.2,9798.3,,,4287.9,,
10,B000579,2013JJ00,1160.2,1076.0,84.2,,,992.0,74.6,917.4,14769.7,9671.3,,,5098.4,,
11,B000579,2014JJ00,1151.4,1067.9,83.5,,,964.9,71.4,893.5,14404.6,8474.5,,,5930.1,,
12,B000579,2015JJ00,1159.9,1080.7,79.2,,,992.6,72.0,920.6,14758.9,7451.6,,,7307.3,,
13,B000579,2016JJ00,1179.2,1095.3,83.9,,,983.4,74.4,909.0,14475.5,7037.9,,,7437.6,,
14,B000579,2017JJ00,1181.1,1101.4,79.7,,,1014.7,60.2,954.5,13575.5,6900.1,,,6675.4,,
15,B000579,2018JJ00,1220.6,1140.0,80.6,,,1187.8,63.5,1124.3,13102.5,6902.4,,,6200.1,,
16,B000579,2019JJ00,1204.0,1127.5,76.5,,,1143.7,62.4,1081.4,13509.1,7259.7,,,6249.4,,
17,B000579,2020JJ00,1235.6,1158.6,77.0,,,1171.0,51.4,1119.7,13054.2,7135.0,,,5919.2,,
18,B000579,2021JJ00,1202.0,1125.3,76.6,,,990.3,47.6,942.8,13567.8,6955.9,,,6611.9,,
19,B000579,2022JJ00,,1106.4,,,,1141.2,59.9,1081.3,13421.2,7093.0,,,6328.2,6326.3,1.9
20,B000579,2023JJ00,,1088.9,,,,1011.8,40.1,971.7,11739.8,6355.8,,,5384.0,5382.1,1.9
21,1050010,2003JJ00,815.4,815.4,0.0,,,,,,,,,,,,
22,1050010,2004JJ00,796.2,796.2,0.0,,,,,,,,,,,,
23,1050010,2005JJ00,790.5,790.5,0.0,,,,,,,,,,,,
24,1050010,2006JJ00,800.7,800.7,0.0,,,,,,,,,,,,
25,1050010,2007JJ00,789.4,789.4,0.0,,,,,,,,,,,,
26,1050010,2008JJ00,788.4,788.4,0.0,,,,,,,,,,,,
27,1050010,2009JJ00,788.1,788.1,0.0,,,,,,,,,,,,
28,1050010,2010JJ00,786.2,786.2,0.0,,,,,,,,,,,,
29,1050010,2011JJ00,781.8,781.8,0.0,,,,,,,,,,,,
30,1050010,2012JJ00,783.0,783.0,0.0,,,,,,,,,,,,
31,1050010,2013JJ00,785.3,785.3,0.0,,,,,,,,,,,,
32,1050010,2014JJ00,783.3,783.3,0.0,,,,,,,,,,,,
33,1050010,2015JJ00,793.7,793.7,0.0,,,,,,,,,,,,
34,1050010,2016JJ00,805.3,805.3,0.0,,,,,,,,,,,,
35,1050010,2017JJ00,808.3,808.3,0.0,,,,,,,,,,,,
36,1050010,2018JJ00,837.2,837.2,0.0,,,,,,,,,,,,
37,1050010,2019JJ00,818.4,818.4,0.0,,,,,,,,,,,,
38,1050010,2020JJ00,855.3,855.3,0.0,,,,,,,,,,,,
39,1050010,2021JJ00,811.6,811.6,0.0,,,,,,,,,,,,
40,1050010,2022JJ00,,790.1,,,,,,,,,,,,,
41,1050010,2023JJ00,,766.5,,,,,,,,,,,,,
42,T001081,2003JJ00,386.6,316.8,69.8,,,1160.4,103.6,1056.9,14026.1,10161.9,,,3864.2,,
43,T001081,2004JJ00,372.4,302.8,69.6,,,1044.6,115.3,929.3,14962.8,10213.1,,,4749.8,,
44,T001081,2005JJ00,366.3,295.5,70.8,,,1004.2,98.4,905.7,14007.9,10148.5,,,3859.4,,
45,T001081,2006JJ00,368.0,297.3,70.7,,,1051.8,99.5,952.3,13589.3,9660.1,,,3929.2,,
46,T001081,2007JJ00,369.8,298.8,71.0,,,993.2,91.0,902.3,13659.6,9619.1,,,4040.6,,
47,T001081,2008JJ00,374.3,304.8,69.5,,,989.0,92.7,896.3,13410.8,9424.1,,,3986.7,,
48,T001081,2009JJ00,378.8,304.6,74.2,,,1015.3,89.5,925.8,14311.7,10341.5,,,3970.2,,
49,T001081,2010JJ00,383.8,303.4,80.4,,,997.1,64.9,932.3,14144.2,9934.0,,,4210.2,,
50,T001081,2011JJ00,379.9,298.6,81.3,,,989.1,64.4,924.7,13525.6,9199.0,,,4326.7,,
51,T001081,2012JJ00,365.4,287.4,78.0,,,940.5,64.8,875.7,14086.2,9798.3,,,4287.9,,
52,T001081,2013JJ00,374.9,290.7,84.2,,,992.0,74.6,917.4,14769.7,9671.3,,,5098.4,,
53,T001081,2014JJ00,368.1,284.6,83.5,,,964.9,71.4,893.5,14404.6,8474.5,,,5930.1,,
54,T001081,2015JJ00,366.2,287.0,79.2,,,992.6,72.0,920.6,14758.9,7451.6,,,7307.3,,
55,T001081,2016JJ00,373.9,290.0,83.9,,,983.4,74.4,909.0,14475.5,7037.9,,,7437.6,,
56,T001081,2017JJ00,372.8,293.1,79.7,,,1014.7,60.2,954.5,13575.5,6900.1,,,6675.4,,
57,T001081,2018JJ00,383.4,302.8,80.6,,,1187.8,63.5,1124.3,13102.5,6902.4,,,6200.1,,
58,T001081,2019JJ00,385.7,309.2,76.5,,,1143.7,62.4,1081.4,13509.1,7259.7,,,6249.4,,
59,T001081,2020JJ00,380.4,303.3,77.0,,,1171.0,51.4,1119.7,13054.2,7135.0,,,5919.2,,
60,T001081,2021JJ00,390.4,313.8,76.6,,,990.3,47.6,942.8,13567.8,6955.9,,,6611.9,,
61,T001081,2022JJ00,,316.2,,,,1141.2,59.9,1081.3,13421.2,7093.0,,,6328.2,6326.3,1.9
62,T001081,2023JJ00,,322.4,,,,1011.8,40.1,971.7,11739.8,6355.8,,,5384.0,5382.1,1.9
63,301000 ,2003JJ00,57.6,57.6,0.0,,,141.7,0.0,141.7,57.3,57.3,,,0.0,,
64,301000 ,2004JJ00,49.9,49.9,0.0,,,55.3,0.0,55.3,32.2,32.2,,,0.0,,
65,301000 ,2005JJ00,47.6,47.6,0.0,,,54.8,0.0,54.8,20.0,20.0,,,0.0,,
66,301000 ,2006JJ00,46.5,46.5,0.0,,,92.0,0.0,92.0,29.9,29.9,,,0.0,,
67,301000 ,2007JJ00,46.0,46.0,0.0,,,49.3,0.0,49.3,22.6,22.6,,,0.0,,
68,301000 ,2008JJ00,44.3,44.3,0.0,,,51.6,0.0,51.6,20.1,20.1,,,0.0,,
69,301000 ,2009JJ00,47.2,47.2,0.0,,,73.4,0.0,73.4,19.5,19.5,,,0.0,,
70,301000 ,2010JJ00,43.8,43.8,0.0,,,93.2,0.0,93.2,28.7,28.7,,,0.0,,
71,301000 ,2011JJ00,42.7,42.7,0.0,,,88.6,0.0,88.6,30.9,30.9,,,0.0,,
72,301000 ,2012JJ00,39.3,39.3,0.0,,,46.7,0.0,46.7,13.5,13.5,,,0.0,,
73,301000 ,2013JJ00,41.0,41.0,0.0,,,83.0,0.0,83.0,23.9,23.9,,,0.0,,
74,301000 ,2014JJ00,41.9,41.9,0.0,,,60.8,0.0,60.8,21.9,21.9,,,0.0,,
75,301000 ,2015JJ00,42.7,42.7,0.0,,,77.0,0.0,77.0,28.9,28.9,,,0.0,,
76,301000 ,2016JJ00,43.6,43.6,0.0,,,56.4,0.0,56.4,20.1,20.1,,,0.0,,
77,301000 ,2017JJ00,48.4,48.4,0.0,,,97.0,0.0,97.0,22.7,22.7,,,0.0,,
78,301000 ,2018JJ00,48.9,48.9,0.0,,,225.3,0.0,225.3,76.8,76.8,,,0.0,,
79,301000 ,2019JJ00,43.8,43.8,0.0,,,198.8,0.0,198.8,54.6,54.6,,,0.0,,
80,301000 ,2020JJ00,41.9,41.9,0.0,,,214.2,0.0,214.2,93.0,93.0,,,0.0,,
81,301000 ,2021JJ00,40.6,40.6,0.0,,,62.6,0.0,62.6,21.2,21.2,,,0.0,,
82,301000 ,2022JJ00,,40.9,,,,200.5,0.0,200.5,64.6,64.6,0.0,64.6,0.0,0.0,0.0
83,301000 ,2023JJ00,,45.9,,,,114.5,0.0,114.5,52.9,52.9,0.0,52.9,0.0,0.0,0.0
84,305700 ,2003JJ00,4.7,4.7,0.0,,,0.1,0.0,0.0,7.8,1.1,,,6.6,,
85,305700 ,2004JJ00,4.0,4.0,0.0,,,0.1,0.0,0.0,5.6,1.0,,,4.6,,
86,305700 ,2005JJ00,3.8,3.8,0.0,,,0.1,0.0,0.0,4.6,0.9,,,3.7,,
87,305700 ,2006JJ00,3.7,3.7,0.0,,,0.1,0.0,0.0,4.5,0.9,,,3.6,,
88,305700 ,2007JJ00,3.6,3.6,0.0,,,0.1,0.0,0.0,35.7,0.8,,,34.9,,
