ID,Toepassingsgroepen,TeeltsectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikPerJaar_3,GebruikPerHectare_4,Januari_5,Februari_6,Maart_7,April_8,Mei_9,Juni_10,Juli_11,Augustus_12,September_13,Oktober_14,November_15,December_16
0,TOTAAL,TOT,1995JJ00,,782099.0,5935851.0,7.6,,,,,,,,,,,,
1,TOTAAL,TOT,1998JJ00,,823198.0,5993154.0,7.3,,,,,,,,,,,,
2,TOTAAL,TOT,2000JJ00,,804256.0,5321980.0,6.6,,,,,,,,,,,,
3,TOTAAL,TOT,2004JJ00,,816727.0,5454348.0,6.6,,,,,,,,,,,,
4,TOTAAL,TOT,2008JJ00,,763926.0,5546097.0,6.8,,,,,,,,,,,,
5,TOTAAL,TOT,2012JJ00,,734939.0,5772485.0,7.4,,,,,,,,,,,,
6,TOTAAL,AKK,1995JJ00,,709142.0,4105466.0,5.8,1.0,0.0,0.0,11.7,16.6,22.0,27.2,15.5,5.1,0.8,0.0,0.0
7,TOTAAL,AKK,1998JJ00,,736096.0,4240241.0,5.8,2.3,0.0,0.0,9.2,21.8,28.1,22.5,11.4,4.6,0.3,0.0,0.0
8,TOTAAL,AKK,2000JJ00,,719441.0,3709646.0,5.2,1.4,0.0,0.0,11.2,19.7,29.0,24.6,11.2,2.6,0.3,0.0,0.0
9,TOTAAL,AKK,2004JJ00,,726473.0,3606167.0,4.9,2.1,0.0,0.0,13.8,19.4,29.5,20.8,9.7,2.4,2.3,0.0,0.0
10,TOTAAL,AKK,2008JJ00,,677608.0,3812580.0,5.3,1.9,0.0,0.0,10.4,24.4,27.7,21.7,9.6,2.4,1.9,0.0,0.0
11,TOTAAL,AKK,2012JJ00,,648725.0,3754000.0,5.5,2.4,0.0,0.0,11.1,22.9,26.1,24.6,9.4,2.7,0.7,0.0,0.0
12,TOTAAL,BRU,1995JJ00,716.0,2221.0,5213.0,2.3,0.7,0.0,0.0,7.5,47.8,27.8,16.2,0.0,0.0,0.0,0.0,0.0
13,TOTAAL,BRU,1998JJ00,589.0,1956.0,4973.0,2.5,0.0,0.0,0.0,12.5,39.2,23.7,21.3,3.2,0.0,0.0,0.0,0.0
14,TOTAAL,BRU,2000JJ00,309.0,1126.0,4506.0,4.0,0.0,0.0,0.0,2.1,28.6,19.7,31.1,15.5,3.0,0.0,0.0,0.0
15,TOTAAL,BRU,2004JJ00,496.0,2223.0,4512.0,2.0,0.6,0.0,0.0,15.5,36.2,21.8,22.9,0.8,2.2,0.0,0.0,0.0
16,TOTAAL,BRU,2008JJ00,205.0,901.0,1912.0,2.1,0.0,0.0,0.0,4.7,49.2,14.4,19.6,12.1,0.0,0.0,0.0,0.0
17,TOTAAL,BRU,2012JJ00,281.0,1595.0,3724.0,2.3,0.0,0.0,0.0,3.5,31.9,24.9,29.0,2.3,8.4,0.0,0.0,0.0
18,TOTAAL,CIC,1995JJ00,,,,,,,,,,,,,,,,
19,TOTAAL,CIC,1998JJ00,918.0,4196.0,13716.0,3.3,6.6,0.0,0.0,35.2,45.9,10.1,1.6,0.6,0.0,0.0,0.0,0.0
20,TOTAAL,CIC,2000JJ00,913.0,4756.0,14199.0,3.0,6.1,0.0,0.0,62.5,26.6,2.2,0.6,0.0,2.0,0.0,0.0,0.0
21,TOTAAL,CIC,2004JJ00,932.0,4917.0,17009.0,3.5,7.1,0.0,0.0,42.9,36.4,9.4,2.5,1.0,0.7,0.0,0.0,0.0
22,TOTAAL,CIC,2008JJ00,627.0,3278.0,14110.0,4.1,0.2,0.0,0.0,41.8,42.1,15.7,0.2,0.0,0.0,0.0,0.0,0.0
23,TOTAAL,CIC,2012JJ00,387.0,2785.0,9845.0,3.4,23.4,0.0,0.0,38.6,19.5,15.5,0.0,1.9,0.6,0.5,0.0,0.0
24,TOTAAL,CON,1995JJ00,12977.0,80157.0,926635.0,11.6,0.1,0.0,0.0,4.5,13.2,28.1,25.3,18.5,10.2,0.1,0.0,0.0
25,TOTAAL,CON,1998JJ00,11696.0,84391.0,1197182.0,14.2,0.2,0.0,0.0,0.8,11.9,32.7,29.6,15.0,9.3,0.5,0.0,0.0
26,TOTAAL,CON,2000JJ00,11136.0,87441.0,1066063.0,12.2,0.4,0.0,0.0,2.0,19.3,29.6,26.7,14.6,6.6,0.9,0.0,0.0
27,TOTAAL,CON,2004JJ00,7939.0,72598.0,819265.0,11.3,0.9,0.0,0.0,4.8,18.4,30.0,23.4,15.6,5.9,1.0,0.0,0.0
28,TOTAAL,CON,2008JJ00,6667.0,69280.0,837841.0,12.1,0.0,0.0,0.0,4.2,23.6,37.2,20.6,9.1,4.5,0.8,0.0,0.0
29,TOTAAL,CON,2012JJ00,5850.0,67113.0,780547.0,11.6,0.9,0.0,0.0,12.9,23.9,18.6,29.3,6.9,5.6,1.9,0.0,0.0
30,TOTAAL,ERG,1995JJ00,1229.0,7131.0,13171.0,1.8,4.1,0.0,0.0,19.1,36.7,36.7,3.4,0.0,0.0,0.0,0.0,0.0
31,TOTAAL,ERG,1998JJ00,785.0,4589.0,8488.0,1.8,2.0,0.0,0.0,25.6,28.6,35.4,8.4,0.0,0.0,0.0,0.0,0.0
32,TOTAAL,ERG,2000JJ00,934.0,5867.0,11566.0,2.0,3.2,0.0,0.0,27.3,36.4,26.1,7.1,0.0,0.0,0.0,0.0,0.0
33,TOTAAL,ERG,2004JJ00,725.0,4572.0,8644.0,1.8,1.1,0.0,0.0,31.0,35.0,25.5,7.4,0.0,0.0,0.0,0.0,0.0
34,TOTAAL,ERG,2008JJ00,771.0,5969.0,11453.0,1.9,1.8,0.0,0.0,14.7,49.0,25.5,9.1,0.0,0.0,0.0,0.0,0.0
35,TOTAAL,ERG,2012JJ00,360.0,2678.0,5930.0,1.7,12.3,0.0,0.0,17.5,34.6,30.6,5.1,0.0,0.0,0.0,0.0,0.0
36,TOTAAL,GRA,1995JJ00,2930.0,21893.0,40142.0,1.8,14.1,0.0,0.0,36.5,21.1,7.6,1.0,3.2,7.8,8.6,0.0,0.0
37,TOTAAL,GRA,1998JJ00,3589.0,28418.0,40075.0,1.4,16.3,0.0,0.0,39.8,22.6,10.4,4.9,1.5,4.2,0.4,0.0,0.0
38,TOTAAL,GRA,2000JJ00,2773.0,21960.0,35676.0,1.6,11.0,0.0,0.0,45.8,21.1,6.4,1.9,6.7,3.9,3.3,0.0,0.0
39,TOTAAL,GRA,2004JJ00,2503.0,23810.0,36282.0,1.4,14.5,0.0,0.0,29.4,18.6,16.0,3.3,3.2,9.4,5.7,0.0,0.0
40,TOTAAL,GRA,2008JJ00,1758.0,14683.0,24781.0,1.6,5.0,0.0,0.0,41.5,18.6,18.6,1.5,4.2,4.9,5.7,0.0,0.0
41,TOTAAL,GRA,2012JJ00,1221.0,11872.0,22896.0,1.7,22.8,0.0,0.0,21.3,15.8,16.6,5.3,0.9,4.8,12.6,0.0,0.0
42,TOTAAL,KOO,1995JJ00,,,,,,,,,,,,,,,,
43,TOTAAL,KOO,1998JJ00,,,,,,,,,,,,,,,,
44,TOTAAL,KOO,2000JJ00,108.0,854.0,1022.0,1.2,20.4,0.0,0.0,14.0,5.0,2.7,0.0,2.1,45.9,9.8,0.0,0.0
45,TOTAAL,KOO,2004JJ00,,,,,,,,,,,,,,,,
46,TOTAAL,KOO,2008JJ00,282.0,2137.0,1046.0,0.4,4.9,0.0,0.0,25.5,10.2,0.0,0.4,13.2,29.3,16.5,0.0,0.0
47,TOTAAL,KOO,2012JJ00,251.0,1844.0,2556.0,1.2,5.7,0.0,0.0,7.4,3.1,1.8,2.5,14.1,49.9,15.5,0.0,0.0
48,TOTAAL,PUI,1995JJ00,,,,,,,,,,,,,,,,
49,TOTAAL,PUI,1998JJ00,1046.0,4505.0,98771.0,21.9,8.2,0.0,0.0,10.0,17.9,35.3,25.8,2.7,0.0,0.0,0.0,0.0
50,TOTAAL,PUI,2000JJ00,1116.0,5282.0,108661.0,20.6,3.7,0.0,0.0,11.8,21.6,38.2,22.5,2.2,0.0,0.0,0.0,0.0
51,TOTAAL,PUI,2004JJ00,891.0,5603.0,108305.0,19.3,1.7,0.0,0.0,10.9,16.6,46.4,23.7,0.7,0.0,0.0,0.0,0.0
52,TOTAAL,PUI,2008JJ00,695.0,4951.0,95482.0,18.5,2.5,0.0,0.0,9.0,19.1,38.2,27.8,3.5,0.0,0.0,0.0,0.0
53,TOTAAL,PUI,2012JJ00,698.0,5499.0,85539.0,14.7,6.0,0.0,0.0,16.6,21.6,36.4,17.5,2.0,0.0,0.0,0.0,0.0
54,TOTAAL,POO,1995JJ00,3346.0,37799.0,784478.0,20.8,0.2,0.0,0.0,7.4,10.3,29.0,34.1,17.6,1.4,0.1,0.0,0.0
55,TOTAAL,POO,1998JJ00,3276.0,39948.0,666723.0,16.7,0.1,0.0,0.0,1.9,13.9,37.2,33.5,11.8,1.2,0.4,0.0,0.0
56,TOTAAL,POO,2000JJ00,3319.0,41802.0,598534.0,14.3,0.1,0.0,0.0,6.4,19.1,38.0,29.1,6.2,0.9,0.2,0.0,0.0
57,TOTAAL,POO,2004JJ00,2451.0,39739.0,567664.0,14.3,0.7,0.0,0.0,13.5,18.8,36.3,23.9,5.2,1.5,0.3,0.0,0.0
58,TOTAAL,POO,2008JJ00,2057.0,36435.0,654210.0,17.9,0.1,0.0,0.0,5.0,18.1,43.5,29.8,3.0,0.3,0.1,0.0,0.0
59,TOTAAL,POO,2012JJ00,2224.0,37567.0,949186.0,24.2,0.9,0.0,0.0,5.7,15.0,39.2,32.8,6.0,0.3,0.1,0.0,0.0
60,TOTAAL,SNY,1995JJ00,39085.0,219217.0,680642.0,3.1,0.0,0.0,0.0,3.2,42.2,51.2,3.0,0.0,0.0,0.4,0.0,0.0
61,TOTAAL,SNY,1998JJ00,35922.0,219940.0,431965.0,2.0,0.1,0.0,0.0,7.3,43.6,40.1,8.4,0.3,0.0,0.1,0.0,0.0
62,TOTAAL,SNY,2000JJ00,31236.0,205321.0,162769.0,0.8,1.2,0.0,0.0,1.1,34.5,61.0,2.2,0.0,0.0,0.0,0.0,0.0
63,TOTAAL,SNY,2004JJ00,27022.0,219897.0,183083.0,0.8,3.3,0.0,0.0,1.8,21.1,69.7,2.3,0.0,0.0,1.8,0.0,0.0
64,TOTAAL,SNY,2008JJ00,24669.0,206364.0,221574.0,0.9,0.0,0.0,0.0,16.9,54.1,29.0,0.0,0.0,0.0,0.0,0.0,0.0
65,TOTAAL,SNY,2012JJ00,24654.0,222431.0,276688.0,1.2,0.0,0.0,0.0,0.0,41.6,51.1,6.9,0.4,0.0,0.0,0.0,0.0
