ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2010100_16,MutatieTOVVoorafgaandJaar_17
0,10010,1995JJ00,270468.0,141329.0,114041.0,70585.0,43456.0,9516.0,5582.0,133317.0,137151.0,137151.0,33512.0,3467.0,11244.0,111416.0,7112.0,97.0,
1,10010,1996JJ00,283733.0,149418.0,118376.0,73880.0,44496.0,10055.0,5885.0,139549.0,144183.0,144183.0,34749.0,3572.0,11518.0,117380.0,6985.0,99.5,2.5
2,10010,1997JJ00,285701.0,149977.0,119240.0,75395.0,43845.0,10493.0,5991.0,140646.0,145055.0,145055.0,35441.0,3611.0,10781.0,116784.0,6877.0,98.6,-0.9
3,10010,1998JJ00,279472.0,151418.0,111265.0,68057.0,43208.0,10737.0,6052.0,137354.0,142118.0,142118.0,35923.0,3906.0,9959.0,112248.0,6775.0,94.9,-3.7
4,10010,1999JJ00,278237.0,151859.0,108584.0,65817.0,42767.0,11105.0,6688.0,138637.0,139601.0,139601.0,36779.0,4255.0,11151.0,109718.0,6560.0,93.6,-1.4
5,10010,2000JJ00,287707.0,152212.0,116800.0,71978.0,44821.0,11645.0,7051.0,143267.0,144440.0,144440.0,38162.0,4234.0,11276.0,113319.0,6437.0,96.1,2.7
6,10010,2001JJ00,297126.0,154109.0,123440.0,75919.0,47522.0,12007.0,7571.0,146849.0,150278.0,150278.0,39421.0,4332.0,14035.0,120559.0,6343.0,101.2,5.3
7,10010,2002JJ00,291951.0,155009.0,116601.0,71503.0,45098.0,12664.0,7677.0,147582.0,144369.0,144369.0,40508.0,4589.0,14603.0,113874.0,6169.0,95.6,-5.6
8,10010,2003JJ00,292382.0,156912.0,115329.0,70484.0,44844.0,12559.0,7583.0,146805.0,145577.0,145577.0,40966.0,4231.0,15454.0,115834.0,6057.0,97.1,1.6
9,10010,2004JJ00,303077.0,163543.0,118372.0,73632.0,44740.0,13243.0,7919.0,151107.0,151970.0,151970.0,42273.0,4381.0,14295.0,119611.0,5957.0,99.3,2.5
10,10010,2005JJ00,284259.0,146293.0,116349.0,71748.0,44602.0,13359.0,8258.0,151701.0,132558.0,132558.0,43707.0,4735.0,26330.0,110445.0,5802.0,91.8,-7.3
11,10010,2006JJ00,281080.0,142930.0,115541.0,72300.0,43241.0,13805.0,8804.0,155331.0,125749.0,125749.0,44866.0,4810.0,38569.0,114642.0,5723.0,94.3,2.7
12,10010,2007JJ00,306761.0,162425.0,120590.0,72914.0,47675.0,14256.0,9491.0,169437.0,137324.0,137324.0,47066.0,4930.0,39702.0,125031.0,5579.0,102.9,9.0
13,10010,2008JJ00,318014.0,164779.0,128002.0,76738.0,51265.0,15113.0,10121.0,186322.0,131692.0,131692.0,49273.0,5178.0,40017.0,117259.0,5434.0,97.8,-4.5
14,10010,2009JJ00,289411.0,147845.0,116440.0,73017.0,43423.0,15236.0,9889.0,173736.0,115675.0,115675.0,49418.0,5361.0,41534.0,102429.0,5196.0,89.4,-8.5
15,10010,2010JJ00,308322.0,160661.0,121456.0,73224.0,48232.0,15763.0,10442.0,179475.0,128848.0,128848.0,49941.0,5148.0,42443.0,116201.0,5212.0,100.0,11.9
16,10010,2011JJ00,333283.0,171189.0,133936.0,80358.0,53578.0,16520.0,11638.0,197967.0,135316.0,135316.0,50960.0,4818.0,43453.0,122991.0,5087.0,107.4,7.4
17,10010,2012JJ00,347443.0,177267.0,141249.0,86823.0,54426.0,16857.0,12070.0,208868.0,138575.0,138575.0,52980.0,4337.0,42577.0,123835.0,5030.0,107.4,0.1
18,10010,2013JJ00,355073.0,179338.0,145924.0,88044.0,57880.0,17328.0,12483.0,210754.0,144319.0,144319.0,53327.0,4146.0,42214.0,129060.0,4933.0,113.5,5.6
19,10010,2014JJ00,349965.0,172305.0,146873.0,85930.0,60942.0,18223.0,12565.0,209527.0,140439.0,140439.0,53784.0,4433.0,42909.0,125131.0,4899.0,109.8,-3.3
20,10010,2015JJ00,347693.0,177311.0,139293.0,85540.0,53754.0,18212.0,12876.0,206722.0,140970.0,140970.0,54182.0,4757.0,40243.0,122274.0,4881.0,106.1,-3.6
21,10010,2016JJ00,334973.0,170400.0,133726.0,84130.0,49596.0,18636.0,12210.0,200781.0,134192.0,134192.0,53055.0,4739.0,41188.0,117585.0,4871.0,102.6,-3.4
22,10020,1995JJ00,,,,,,,,,,,,,,,,,
23,10020,1996JJ00,,,,,,,,,,,,,,,,,
24,10020,1997JJ00,,,,,,,,,,,,,,,,,
