ID,KenmerkenInstallaties,Perioden,Aankoop_1,ProductieUitSlibgisting_2,AfleveringExtern_3,Afgefakkeld_4,Afgeblazen_5,Totaal_6,VerbruikVoorProductieAardgasEnLNG_7,VerbruikInGasmotorenWKKInstallaties_8,VerbruikVoorOpwarmingSlibgistingstank_9,OverigVerbruik_10,Aankoop_11,ZelfOpgewektViaWindEnZonneEnergie_12,ZelfOpgewektInWKKInstallaties_13,AfleveringExtern_14,Totaal_15,VerbruikBeluchtingZuiveringsproces_16,VerbruikDoorAfvalwatertransportgemalen_17,VerbruikVoorSlibontwatering_18,OverigVerbruik_19,Aankoop_20,ProductieUitBiogas_21,AfleveringExtern_22,Totaal_23,VerbruikGasmotorenVanWKKInstallaties_24,VerbruikVoorSlibontwatering_25,OverigVerbruik_26,ProductieWarmteInWKKInstallaties_27,VerbruikInZuiveringsproces_28,VerbruikVanHuisbrandolie_29,Totaal_30,Elektriciteit_31,Aardgas_32,Biogas_33,Warmte_34,OverigeBrandstoffen_35
0,T001188   ,2013JJ00,0.0,109866.0,11347.0,5877.0,82.0,92560.0,1822.0,84865.0,2213.0,3659.0,609602.0,1331.0,209401.0,41296.0,779037.0,341296.0,100920.0,45152.0,291670.0,22976.0,1099.0,1114.0,22961.0,16549.0,3815.0,2597.0,1311.0,1019.0,81.0,5885.0,2974.0,690.0,2157.0,61.0,5.0
1,T001188   ,2014JJ00,0.0,108012.0,11672.0,6568.0,203.0,89569.0,1289.0,84450.0,2614.0,1216.0,588848.0,2417.0,210950.0,40124.0,762091.0,339733.0,90929.0,44434.0,286995.0,20579.0,1002.0,1013.0,20568.0,15083.0,3710.0,1775.0,1292.0,1017.0,72.0,5649.0,2877.0,619.0,2087.0,62.0,4.0
2,T001188   ,2015JJ00,0.0,106897.0,10259.0,7405.0,82.0,89150.0,948.0,83157.0,3334.0,1711.0,603958.0,2820.0,216906.0,42966.0,780718.0,342363.0,104188.0,46568.0,287598.0,20873.0,733.0,746.0,20861.0,15010.0,3726.0,2125.0,1263.0,938.0,67.0,5712.0,2943.0,637.0,2077.0,44.0,11.0
3,T001188   ,2016JJ00,0.0,115222.0,9989.0,10092.0,579.0,94563.0,1334.0,86284.0,5358.0,1587.0,613507.0,1651.0,221135.0,47713.0,788580.0,351612.0,103682.0,51027.0,282258.0,20716.0,961.0,973.0,20704.0,14849.0,3859.0,1996.0,1279.0,953.0,64.0,5820.0,2936.0,625.0,2203.0,44.0,12.0
4,T001188   ,2017JJ00,0.0,116835.0,8771.0,12717.0,678.0,94669.0,1702.0,85240.0,6820.0,907.0,630082.0,1864.0,220753.0,51210.0,801490.0,350024.0,109969.0,46175.0,295322.0,20883.0,1129.0,1141.0,20872.0,15819.0,3137.0,1916.0,1236.0,913.0,4.0,5964.0,3008.0,659.0,2206.0,82.0,9.0
5,T001188   ,2018JJ00,0.0,116052.0,11121.0,11278.0,238.0,93415.0,2969.0,81615.0,7729.0,1103.0,620513.0,5784.0,218677.0,55885.0,789088.0,347542.0,101152.0,43163.0,297232.0,20567.0,2339.0,2350.0,20555.0,15880.0,2237.0,2439.0,1239.0,1336.0,167.0,6255.0,2950.0,577.0,2177.0,537.0,14.0
6,T001188   ,2019JJ00,0.0,124763.0,14399.0,12061.0,76.0,98227.0,5872.0,84012.0,7081.0,1263.0,615005.0,22146.0,222489.0,58378.0,801262.0,359569.0,108768.0,49351.0,283574.0,21246.0,3764.0,3869.0,21141.0,14315.0,4160.0,2666.0,1278.0,1301.0,63.0,6389.0,3021.0,550.0,2289.0,519.0,10.0
7,T001188   ,2020JJ00,0.0,129838.0,17110.0,9788.0,131.0,102809.0,10782.0,84195.0,5542.0,2290.0,619956.0,40326.0,223946.0,77126.0,807101.0,370750.0,111124.0,47132.0,278095.0,23299.0,6744.0,6859.0,23185.0,15551.0,4675.0,2959.0,1214.0,956.0,67.0,6013.0,3040.0,520.0,2395.0,60.0,-2.0
8,T001188   ,2021JJ00,0.0,137327.0,10065.0,10413.0,81.0,116768.0,24024.0,84078.0,7468.0,1198.0,608627.0,69498.0,218401.0,86871.0,809656.0,371881.0,109385.0,45124.0,283266.0,22963.0,15263.0,14174.0,24053.0,15115.0,4469.0,4469.0,1226.0,893.0,63.0,6168.0,3086.0,278.0,2721.0,67.0,16.0
9,T001188   ,2022JJ00,0.0,132202.0,11118.0,6966.0,79.0,114039.0,29606.0,76540.0,6822.0,1071.0,595127.0,97967.0,204107.0,107749.0,789452.0,362793.0,100445.0,44284.0,281930.0,23085.0,19259.0,19392.0,22952.0,15412.0,4821.0,2719.0,1131.0,900.0,35.0,5913.0,3056.0,117.0,2657.0,80.0,3.0
