ID,Aardolieproducten,Perioden,TotaalAanbod_1,TotaleProductie_2,Raffinaderijen_3,PetrochemischeIndustrie_4,Groothandel_5,Invoer_6,Uitvoer_7,Bunkers_8,Voorraadmutatie_9,TotaalVerbruik_10,TotaalVoorOmzettingInOlieproducten_11,Raffinaderijen_12,PetrochemischeIndustrie_13,Groothandel_14,TotaalFinaalVerbruikAndereOmzetting_15,RaffinaderijenBrandstof_16,PetrochemischeIndustrieBrandstof_17,PetrochemischeIndustrieGrondstof_18,Visserij_19,VervoerEnOverig_20,Beginvoorraad_21,Eindvoorraad_22,Voorraadmutatie_23
0,E006497,1946JJ00,,,,,,,,,,,,,,,,,,,,,,,
1,E006497,1947JJ00,,,,,,,,,,,,,,,,,,,,,,,
2,E006497,1948JJ00,,,,,,,,,,,,,,,,,,,,,,,
3,E006497,1949JJ00,,,,,,,,,,,,,,,,,,,,,,,
4,E006497,1950JJ00,,,,,,,,,,,,,,,,,,,,,,,
5,E006497,1951JJ00,,,,,,,,,,,,,,,,,,,,,,,
6,E006497,1952JJ00,,,,,,,,,,,,,,,,,,,,,,,
7,E006497,1953JJ00,,,,,,,,,,,,,,,,,,,,,,,
8,E006497,1954JJ00,,,,,,,,,,,,,,,,,,,,,,,
9,E006497,1955JJ00,,,,,,,,,,,,,,,,,,,,,,,
10,E006497,1956JJ00,,,,,,,,,,,,,,,,,,,,,,,
11,E006497,1957JJ00,,,,,,,,,,,,,,,,,,,,,,,
12,E006497,1958JJ00,,,,,,,,,,,,,,,,,,,,,,,
13,E006497,1959JJ00,,,,,,,,,,,,,,,,,,,,,,,
14,E006497,1960JJ00,,,,,,,,,,,,,,,,,,,,,,,
15,E006497,1961JJ00,,,,,,,,,,,,,,,,,,,76.0,,,,
16,E006497,1962JJ00,,,,,,,,,,,,,,,,,,,78.0,,,,
17,E006497,1963JJ00,,,,,,,,,,,,,,,,,,,76.0,,,,
18,E006497,1964JJ00,,,,,,,,,,,,,,,,,,,76.0,,,,
19,E006497,1965JJ00,,,,,,,,,,,,,,,,,,,76.0,,,,
20,E006497,1966JJ00,,,,,,,,,,,,,,,,,,,73.0,,,,
21,E006497,1967JJ00,,,,,,,,,,,,,,,,,,,90.0,,,,
22,E006497,1968JJ00,,,,,,,,,,,,,,,,,,,93.0,,,,
23,E006497,1969JJ00,,,,,,,,,,,,,,,,,,,90.0,,,,
24,E006497,1970JJ00,,,,,,,,,,,,,,,,,,,70.0,,,,
25,E006497,1971JJ00,,,,,,,,,,,,,,,,,,,81.0,,,,
26,E006497,1972JJ00,,,,,,,,,,,,,,,,,,,75.0,,,,
27,E006497,1973JJ00,,,,,,,,,,,,,,,,,,,85.0,,,,
28,E006497,1974JJ00,,,,,,,,,,,,,,,,,,,71.0,,,,
29,E006497,1975JJ00,,,,,,,,,,,,,,,,,,,77.0,,,,
30,E006497,1976JJ00,,,,,,,,,,,,,,,,,,,57.0,,,,
31,E006497,1977JJ00,,,,,,,,,,,,,,,,,,,57.0,,,,
32,E006497,1978JJ00,,60517.0,58213.0,2304.0,,13228.0,32008.0,12151.0,,29358.0,3348.0,1044.0,2304.0,,26010.0,2994.0,1653.0,5941.0,24.0,15398.0,,,
33,E006497,1979JJ00,,65457.0,60826.0,4631.0,,19231.0,37888.0,10885.0,,35436.0,5428.0,795.0,4633.0,,30008.0,3238.0,1747.0,6102.0,31.0,18890.0,,,
34,E006497,1980JJ00,34596.0,57238.0,52779.0,4459.0,,28547.0,40955.0,10445.0,211.0,34597.0,6901.0,2452.0,4448.0,,27696.0,3001.0,1457.0,5142.0,39.0,18057.9,9910.0,9699.0,211.0
35,E006497,1981JJ00,36307.0,51379.0,44303.0,7075.0,,32769.0,39718.0,9997.0,1874.0,36307.0,10844.0,3776.0,7068.0,,25463.0,2725.0,1622.0,3916.0,51.0,17148.85,10566.0,8692.0,1874.0
36,E006497,1982JJ00,34916.0,53401.0,45731.0,7670.0,,36399.0,45854.0,9848.0,818.0,34916.0,14087.0,6395.0,7692.0,,20830.0,2973.0,1348.0,3028.0,39.0,13442.18,8718.0,7901.0,818.0
37,E006497,1983JJ00,35518.0,59326.0,50763.0,8563.0,,36447.0,50833.0,9266.0,-156.0,35518.0,15906.0,7408.0,8499.0,,19612.0,2746.0,1329.0,4019.0,44.0,11475.13,7901.0,8057.0,-156.0
38,E006497,1984JJ00,34236.0,62059.0,52524.0,9535.0,,32456.0,51466.0,8663.0,-150.0,34236.0,14514.0,5431.0,9083.0,,19723.0,2721.0,1205.0,3732.0,99.0,11965.79,8057.0,8207.0,-150.0
39,E006497,1985JJ00,32225.0,55593.0,48596.0,6997.0,,36931.0,50920.0,9926.0,548.0,32225.0,13193.0,6127.0,7066.0,,19033.0,2457.0,1183.0,3869.0,125.0,11398.97,8577.0,8029.0,548.0
40,E006497,1986JJ00,38549.0,67277.0,59079.0,8198.0,,39548.0,55898.0,10972.0,-1407.0,38549.0,17519.0,9276.0,8243.0,,21030.0,2761.0,1046.0,5005.0,142.0,12075.26,8029.0,9436.0,-1407.0
41,E006497,1987JJ00,37276.0,67440.0,57288.0,10153.0,,34506.0,55555.0,10872.0,1757.0,37276.0,16107.0,5908.0,10200.0,,21168.0,3090.0,1157.0,5011.0,137.0,11773.05,9436.0,7679.0,1757.0
42,E006497,1988JJ00,40612.0,72499.0,61659.0,10840.0,,34483.0,54173.0,12040.0,-157.0,40612.0,18505.0,7596.0,10910.0,,22107.0,3190.0,1252.0,4855.0,176.0,12634.13,7679.0,7836.0,-157.0
