ID,Bedrijfsgrootte,ICTPersAangenomenWillenAannemen_1,ICTVacaturesLastigTeVervullen_2,BedrijvenMetWebsite_3,OnlineBestellenBoekenOfReserveren_4,BeschrijvingenVanProductenPrijslijst_5,BestellingOnlineVolgen_6,ProductaanpassingDoorKlant_7,KlantspecifiekeInfoVoorDeBezoeker_8,VerwijzingNaarSocialeMedia_9,SocialeMediaGebruikt_10,SocialeNetwerkenBijvFacebook_11,BlogsOfMicroblogsBijvTwitter_12,MultimediaDelenBijvYouTube_13,WikiSOmKennisTeDelen_14,Uitgevoerd_15,DataVanBedrijfZelf_16,DataOverGeografischeLocaties_17,DataVanSocialeMedia_18,AndereBronnen_19,MedewerkersEigenBedrijf_20,AnderBedrijf_21,NieuweProdOntwOfSterkVerbeterd_22,Onbelangrijk_23,EnigszinsBelangrijk_24,Belangrijk_25,ZeerBelangrijk_26,NieuweProcOntwOfSterkVerbeterd_27,Onbelangrijk_28,EnigszinsBelangrijk_29,Belangrijk_30,ZeerBelangrijk_31,Antivirussoftware_32,BeleidVoorSterkeWachtwoorden_33,AuthenticatieViaSoftOfHardwareToken_34,EncryptieVoorHetOpslaanVanData_35,EncryptieVoorHetVersturenVanData_36,GegevensOpAndereFysiekeLocatie_37,NetworkAccessControl_38,VPNBijInternetgebruikBuitenHetEigen_39,LogbestandenVoorAnalyseIncidenten_40,MethodesVoorBeoordelenITCVeiligheid_41,Risicoanalyses_42,AndereMaatregelen_43,IncidentOpgetreden_44,KostenGehadAanICTIncident_45,IncidentDoorAanvalVanBuiten_46,KostenIncidentAanvalBuitenaf_47,UitvalICTDienstDoorVeiligheidsinc_48,UitvalICTDienstDoorAanvalBuitenaf_49,VernietigingDataDoorVeiligheidsinc_50,VernietigingDataAanvalVanBuitenaf_51,OnthullingGegevensDoorIctInbraak_52,OnthullingGegevensDoorInternIncident_53,UitvalICTDienstDoorVeiligheidsinc_54,UitvalICTDienstDoorAanvalBuitenaf_55,VernietigingDataDoorVeiligheidsinc_56,VernietigingDataAanvalVanBuitenaf_57,OnthullingGegevensDoorIctInbraak_58,OnthullingGegevensDoorInternIncident_59,DePolitieAangifte_60,DeAutoriteitPersoonsgegevens_61,SectoraleNatOfAndereSecurityteams_62,EenBank_63,DoorEigenPersoneel_64,DoorExterneLeveranciers_65,NietVanToepassing_66,ICTVeiligheidsdienstenVerleend_67,MeestalVolledigAutomatisch_68,MeestalDeelsHandmatig_69,NietVanToepassing_70,AndereBedrijven_71,Overheden_72,Consumenten_73,EFactuur_74,ElektronischMaarGeenEFactuur_75,InPapierenVorm_76,EFactuur_77,GeenEFactuur_78,EFacturenVerzonden_79,EFacturenOntvangen_80,VerkoopViaECommerce_81,ViaWebsiteOfAppsVanEigenBedrijf_82,ViaWebsiteOfAppsVanAndereBedrijven_83,Verkoopwaarde1VanDeTotaleOmzet_84,Verkoopwaarde1VanDeTotaleOmzet_85,Verkoopwaarde2VanDeTotaleOmzet_86,Verkoopwaarde5VanDeTotaleOmzet_87,Verkoopwaarde10VanDeTotaleOmzet_88,Verkoopwaarde25VanDeTotaleOmzet_89,Verkoopwaarde50VanDeTotaleOmzet_90,VerkoopViaEenWebsiteApp_91,Verkoopwaarde1VanDeTotaleOmzet_92,Verkoopwaarde1VanDeTotaleOmzet_93,Verkoopwaarde2VanDeTotaleOmzet_94,Verkoopwaarde5VanDeTotaleOmzet_95,Verkoopwaarde10VanDeTotaleOmzet_96,Verkoopwaarde25VanDeTotaleOmzet_97,Verkoopwaarde50VanDeTotaleOmzet_98,NederlandseConsumenten_99,BuitenlandseConsumenten_100,Bedrijven_101,Overheden_102,VerkoopViaEDI_103,Verkoopwaarde1VanDeTotaleOmzet_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde2VanDeTotaleOmzet_106,Verkoopwaarde5VanDeTotaleOmzet_107,Verkoopwaarde10VanDeTotaleOmzet_108,Verkoopwaarde25VanDeTotaleOmzet_109,Verkoopwaarde50VanDeTotaleOmzet_110,InkoopViaECommerce_111,Inkoopwaarde1VanDeTotaleInkoop_112,Inkoopwaarde1VanDeTotaleInkoop_113,Inkoopwaarde2VanDeTotaleInkoop_114,Inkoopwaarde5VanDeTotaleInkoop_115,Inkoopwaarde10VanDeTotaleInkoop_116,Inkoopwaarde25VanDeTotaleInkoop_117,Inkoopwaarde50VanDeTotaleInkoop_118,InkoopViaEenWebsiteApp_119,Inkoopwaarde1VanDeTotaleInkoop_120,Inkoopwaarde1VanDeTotaleInkoop_121,Inkoopwaarde2VanDeTotaleInkoop_122,Inkoopwaarde5VanDeTotaleInkoop_123,Inkoopwaarde10VanDeTotaleInkoop_124,Inkoopwaarde25VanDeTotaleInkoop_125,Inkoopwaarde50VanDeTotaleInkoop_126,InkoopViaEDI_127,Inkoopwaarde1VanDeTotaleInkoop_128,Inkoopwaarde1VanDeTotaleInkoop_129,Inkoopwaarde2VanDeTotaleInkoop_130,Inkoopwaarde5VanDeTotaleInkoop_131,Inkoopwaarde10VanDeTotaleInkoop_132,Inkoopwaarde25VanDeTotaleInkoop_133,Inkoopwaarde50VanDeTotaleInkoop_134
0,WP19115,4,2,76,24,63,7,4,24,41,55,53,16,17,3,16,6,6,9,5,13,6,13,8,23,31,38,14,7,14,43,36,87,57,26,21,21,71,31,29,31,22,22,14,30,14,11,6,26,8,5,6,2,2,11,4,2,3,1,1,1,1,0,1,26,42,32,3,47,26,27,78,24,52,8,41,51,17,83,14,42,19,82,19,7,12,11,9,7,5,3,17,6,11,9,8,6,4,3,54,6,37,3,3,1,2,2,1,1,1,0,52,18,34,30,25,20,13,8,51,18,33,29,24,19,12,7,4,2,2,2,2,2,1,0
1,WP19116,4,2,76,24,63,7,4,24,40,55,53,16,16,3,15,6,6,9,4,12,6,13,8,23,31,38,13,8,15,38,38,87,57,25,21,21,70,31,28,30,21,21,13,30,14,11,6,25,7,5,6,2,2,10,3,2,3,1,1,1,0,0,1,26,42,32,3,47,25,27,78,24,52,8,41,51,17,83,14,42,19,82,19,7,12,10,9,7,5,3,17,6,11,9,8,6,4,3,54,6,37,3,3,1,2,2,1,1,1,0,52,18,34,30,25,20,13,8,51,18,33,29,24,19,12,7,4,2,2,2,2,2,1,0
2,WP19082,2,1,69,20,56,6,4,19,34,49,47,11,12,3,12,4,5,8,3,10,4,9,11,22,33,33,8,13,25,38,38,84,54,21,17,18,64,23,18,20,14,14,10,21,9,7,3,18,5,4,3,1,1,6,3,2,1,0,0,0,0,0,1,28,29,43,4,44,22,33,75,18,53,7,41,52,16,84,11,40,16,77,23,5,11,10,9,7,5,3,15,5,11,10,9,7,5,3,59,7,32,3,2,1,1,1,1,1,0,0,50,15,35,33,29,24,14,9,49,15,35,33,28,24,14,8,3,1,1,1,1,1,1,0
3,WP19083,2,1,77,24,64,7,4,27,38,53,51,14,14,3,14,5,6,9,4,11,5,12,8,17,33,33,11,9,18,45,36,87,54,25,20,20,69,29,24,25,18,19,11,26,12,9,5,22,6,6,5,2,1,9,3,3,3,1,0,0,0,1,1,26,42,33,3,46,24,30,77,22,54,9,37,54,18,82,15,43,19,82,18,6,12,10,9,7,5,3,17,6,11,10,8,6,5,3,54,5,38,3,2,1,1,1,1,1,0,0,50,16,34,30,23,19,13,8,49,16,33,29,23,18,12,7,4,2,2,2,2,1,1,0
4,WP19085,4,2,76,24,64,7,4,24,41,57,55,15,16,3,17,7,7,11,4,13,8,14,7,29,29,36,13,8,15,46,31,87,59,27,22,21,74,36,30,34,24,22,14,33,16,13,7,27,9,5,6,2,2,12,4,2,4,1,1,1,0,0,1,21,52,27,3,53,26,21,78,27,51,8,41,50,16,84,14,43,18,85,15,7,11,9,8,6,4,2,16,6,9,8,6,5,3,2,57,6,34,3,3,1,2,2,2,1,1,1,52,18,34,29,23,18,12,8,51,17,33,28,22,17,11,7,5,2,3,3,2,2,2,1
5,WP19089,6,4,82,32,72,9,6,27,50,63,61,22,22,5,17,7,6,9,7,14,6,17,12,18,35,41,20,5,10,45,40,92,61,27,23,22,77,39,42,42,31,29,16,43,20,15,8,37,10,6,9,2,2,16,5,3,5,1,1,1,1,1,2,21,58,21,3,48,30,22,84,31,49,8,45,47,17,83,17,42,20,86,14,8,12,11,9,7,5,3,18,7,11,10,8,6,4,3,47,6,42,5,3,1,2,2,1,1,1,1,54,23,31,27,21,17,11,7,53,23,30,25,20,16,10,6,5,2,3,2,2,2,1,1
6,WP19092,12,8,88,33,78,9,7,29,58,69,67,29,29,6,23,11,8,11,8,21,6,23,9,17,30,43,29,3,14,41,41,95,68,34,28,28,85,49,57,60,41,42,23,54,26,23,12,47,15,9,14,3,4,21,8,4,7,2,1,2,1,1,1,28,62,9,4,52,34,14,90,36,46,7,52,41,14,86,19,39,25,85,15,10,15,13,11,9,7,4,21,9,12,10,8,6,5,3,42,7,48,3,7,3,4,4,4,3,2,0,61,30,31,25,18,14,8,5,60,30,29,24,17,12,7,4,5,2,3,2,2,2,1,1
7,WP19096,18,9,91,33,81,12,9,33,64,75,73,38,38,10,30,17,9,14,13,29,8,30,7,23,30,40,40,3,15,45,40,96,78,44,36,36,89,57,70,72,52,56,31,60,30,26,14,50,16,10,16,2,5,23,9,5,7,1,2,3,3,1,1,36,58,5,5,56,34,10,92,43,42,10,51,39,16,84,25,42,29,84,17,10,18,16,13,11,8,5,22,10,12,10,7,6,4,2,41,5,51,4,12,3,9,8,7,6,4,2,63,33,30,24,19,14,10,6,60,34,26,20,15,11,7,4,8,2,6,5,5,4,3,2
8,WP19100,31,15,95,34,83,15,11,35,74,83,81,45,46,12,39,23,12,15,19,35,13,34,9,21,32,41,51,2,10,45,43,98,86,56,47,45,92,66,80,82,62,64,41,65,34,34,16,53,19,10,22,3,8,28,10,5,8,1,3,4,5,2,2,51,46,3,5,54,40,6,91,45,40,12,47,41,18,82,33,47,33,82,18,13,20,18,15,13,10,6,24,11,13,11,9,7,4,2,32,6,58,5,15,5,10,10,9,8,6,3,61,32,29,25,19,15,9,6,58,33,25,19,15,10,7,3,10,3,7,6,6,5,3,2
9,WP19108,42,24,96,39,83,20,13,45,77,85,83,53,53,18,46,29,17,21,24,44,15,39,3,18,41,38,56,2,11,45,43,98,92,65,54,56,94,65,82,86,70,72,50,67,35,36,18,52,20,12,23,4,12,27,12,5,8,2,3,7,9,2,1,56,42,2,5,55,40,4,91,49,43,16,44,40,20,80,41,53,38,91,9,14,24,23,20,17,13,8,27,13,15,13,11,9,6,2,40,6,48,6,21,7,14,13,12,11,8,4,65,34,31,27,23,19,12,8,61,35,26,21,18,14,8,4,14,6,8,8,7,6,4,3
