ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTSpecialistenInLoondienst_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,VoornUitgDoorEigenPersoneel_12,VoornUitgDoorExterneLeveranciers_13,NietVanToepassing_14,VoornUitgDoorEigenPersoneel_15,VoornUitgDoorExterneLeveranciers_16,NietVanToepassing_17,VoornUitgDoorEigenPersoneel_18,VoornUitgDoorExterneLeveranciers_19,NietVanToepassing_20,VoornUitgDoorEigenPersoneel_21,VoornUitgDoorExterneLeveranciers_22,NietVanToepassing_23,VoornUitgDoorEigenPersoneel_24,VoornUitgDoorExterneLeveranciers_25,NietVanToepassing_26,VoornUitgDoorEigenPersoneel_27,VoornUitgDoorExterneLeveranciers_28,NietVanToepassing_29,VoornUitgDoorEigenPersoneel_30,VoornUitgDoorExterneLeveranciers_31,NietVanToepassing_32,Internet_33,VasteBreedbandAansluiting_34,MinderDan2MegabitPerSeconde_35,k_2Tot10MegabitPerSeconde_36,k_10Tot30MegabitPerSeconde_37,k_30Tot100MegabitPerSeconde_38,k_100MegabitPerSecondeOfMeer_39,ApparaatVerschaftAanWerknemers_40,ToegangEMailsysteemVanHetBedrijf_41,ToegangTotBestandenVanHetBedrijf_42,ToegangTotBedrijfssystemenBijvERP_43,BedrijvenMetWebsite_44,OnlineBestellenBoekenOfReserveren_45,BeschrijvingenVanProductenPrijslijst_46,BestellingOnlineVolgen_47,ProductaanpassingDoorKlant_48,KlantspecifiekeInfoVoorDeBezoeker_49,VerwijzingNaarSocialeMedia_50,AdverterenOpInternet_51,InhoudVanDeWebsite_52,EerdereActiviteitenVanDeGebruiker_53,GeografischeLocaties_54,AndereGerichteMethoden_55,CloudDienstenGebruikt_56,EMailAlsCloudDienst_57,OfficeSoftware_58,DatabaseHosting_59,BestandenOpslaanAlsCloudDienst_60,SoftwareVoorBoekhouding_61,SoftwareKlantinformatiebeheer_62,RekenkrachtVoorSoftwareBedrijf_63,GedeeldeServers_64,ServersUitsluitendVoorHetBedrijf_65,Uitgevoerd_66,BedrijfZelf_67,AnderBedrijf_68,PrototypesModellenVoorVerkoop_69,PrototypesModellenVoorInternGebruik_70,ProductenVoorVerkoop_71,ProductenVoorInternGebruik_72,Gebruikt_73,IndustrieleRobot_74,ServiceRobot_75,MeerBanenOntstaanDanVerdwenen_76,MeerBanenVerdwenenDanOntstaan_77,GeenEffectMBTBanen_78,Uitgevoerd_79,DataVanBedrijfZelf_80,DataOverGeografischeLocaties_81,DataVanSocialeMedia_82,AndereBronnen_83,MedewerkersEigenBedrijf_84,AnderBedrijf_85,Antivirussoftware_86,BeleidVoorSterkeWachtwoorden_87,AuthenticatieViaSoftOfHardwareToken_88,EncryptieVoorHetOpslaanVanData_89,EncryptieVoorHetVersturenVanData_90,GegevensOpAndereFysiekeLocatie_91,NetworkAccessControl_92,VPNBijInternetgebruikBuitenHetEigen_93,LogbestandenVoorAnalyseIncidenten_94,MethodesVoorBeoordelenITCVeiligheid_95,Risicoanalyses_96,AndereMaatregelen_97,IncidentOpgetreden_98,KostenGehadAanICTIncident_99,IncidentDoorAanvalVanBuiten_100,KostenIncidentAanvalBuitenaf_101,UitvalICTDienstDoorVeiligheidsinc_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataDoorVeiligheidsinc_104,VernietigingDataAanvalVanBuitenaf_105,OnthullingGegevensDoorICTInbraak_106,OnthullingGegevensDoorInternIncident_107,UitvalICTDienstDoorVeiligheidsinc_108,UitvalICTDienstDoorAanvalBuitenaf_109,VernietigingDataDoorVeiligheidsinc_110,VernietigingDataAanvalVanBuitenaf_111,OnthullingGegevensDoorICTInbraak_112,OnthullingGegevensDoorInternIncident_113,MeestalVolledigAutomatisch_114,MeestalDeelsHandmatig_115,NietVanToepassing_116,AndereBedrijven_117,Overheden_118,Consumenten_119,EFactuur_120,ElektronischMaarGeenEFactuur_121,InPapierenVorm_122,EFactuur_123,GeenEFactuur_124,EFacturenVerzonden_125,EFacturenOntvangen_126,VerkoopViaECommerce_127,ViaWebsiteOfAppsVanEigenBedrijf_128,ViaWebsiteOfAppsVanAndereBedrijven_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde1VanDeTotaleOmzet_131,Verkoopwaarde2VanDeTotaleOmzet_132,Verkoopwaarde5VanDeTotaleOmzet_133,Verkoopwaarde10VanDeTotaleOmzet_134,Verkoopwaarde25VanDeTotaleOmzet_135,Verkoopwaarde50VanDeTotaleOmzet_136,VerkoopViaEenWebsiteApp_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde1VanDeTotaleOmzet_139,Verkoopwaarde2VanDeTotaleOmzet_140,Verkoopwaarde5VanDeTotaleOmzet_141,Verkoopwaarde10VanDeTotaleOmzet_142,Verkoopwaarde25VanDeTotaleOmzet_143,Verkoopwaarde50VanDeTotaleOmzet_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,Bedrijven_147,Overheden_148,KlantenInNederland_149,KlantenInAndereEULanden_150,KlantenInLandenBuitenDeEU_151,VerkoopViaEDI_152,Verkoopwaarde1VanDeTotaleOmzet_153,Verkoopwaarde1VanDeTotaleOmzet_154,Verkoopwaarde2VanDeTotaleOmzet_155,Verkoopwaarde5VanDeTotaleOmzet_156,Verkoopwaarde10VanDeTotaleOmzet_157,Verkoopwaarde25VanDeTotaleOmzet_158,Verkoopwaarde50VanDeTotaleOmzet_159,KlantenInNederland_160,KlantenInAndereEULanden_161,KlantenInLandenBuitenDeEU_162,InkoopViaECommerce_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde1VanDeTotaleInkoop_165,Inkoopwaarde2VanDeTotaleInkoop_166,Inkoopwaarde5VanDeTotaleInkoop_167,Inkoopwaarde10VanDeTotaleInkoop_168,Inkoopwaarde25VanDeTotaleInkoop_169,Inkoopwaarde50VanDeTotaleInkoop_170,InkoopViaEenWebsiteApp_171,Inkoopwaarde1VanDeTotaleInkoop_172,Inkoopwaarde1VanDeTotaleInkoop_173,Inkoopwaarde2VanDeTotaleInkoop_174,Inkoopwaarde5VanDeTotaleInkoop_175,Inkoopwaarde10VanDeTotaleInkoop_176,Inkoopwaarde25VanDeTotaleInkoop_177,Inkoopwaarde50VanDeTotaleInkoop_178,AanbiedersInNederland_179,AanbiedersInAndereEULanden_180,AanbiedersInLandenBuitenDeEU_181,InkoopViaEDI_182,Inkoopwaarde1VanDeTotaleInkoop_183,Inkoopwaarde1VanDeTotaleInkoop_184,Inkoopwaarde2VanDeTotaleInkoop_185,Inkoopwaarde5VanDeTotaleInkoop_186,Inkoopwaarde10VanDeTotaleInkoop_187,Inkoopwaarde25VanDeTotaleInkoop_188,Inkoopwaarde50VanDeTotaleInkoop_189,AanbiedersInNederland_190,AanbiedersInAndereEULanden_191,AanbiedersInLandenBuitenDeEU_192
0,399907,76,73,34,34,79,13,9,3,1,17,21,29,64,8,41,45,14,18,56,25,24,58,18,19,60,22,22,56,22,22,66,12,100,99,0,12,17,39,31,63,58,43,42,94,35,79,12,7,28,62,33,29,14,15,16,49,33,27,35,35,29,23,12,36,25,5,3,3,3,3,2,2,7,6,1,1,1,5,22,10,6,12,8,18,8,96,74,43,34,34,84,50,56,60,45,46,26,48,21,16,8,42,11,7,7,3,5,17,6,3,3,2,2,58,30,12,90,39,51,10,55,35,18,82,24,46,26,84,16,10,16,14,12,10,7,4,22,9,13,11,9,7,5,3,43,7,47,3,86,11,3,8,3,5,5,4,3,2,1,77,18,5,67,32,35,29,22,18,11,7,66,33,33,27,20,15,9,6,92,6,2,7,2,4,4,3,3,2,1,86,12,3
1,307610,58,52,22,24,59,11,7,1,1,15,13,21,66,13,30,48,22,9,68,23,21,60,20,10,66,24,10,62,28,18,66,16,100,99,0,13,21,37,28,45,43,36,30,95,48,75,18,7,25,55,20,15,8,8,8,43,26,22,30,30,22,19,14,34,21,2,2,1,1,2,1,2,25,22,4,2,5,17,21,14,7,12,10,19,5,93,64,38,26,23,80,40,51,51,34,39,21,49,20,19,8,43,14,10,14,7,7,17,6,5,7,4,6,51,27,22,95,25,45,18,47,36,21,79,41,43,57,89,11,26,31,29,23,19,16,11,39,22,17,15,10,8,5,2,39,0,60,1,92,3,4,26,9,17,16,14,13,12,8,82,16,3,66,36,29,24,19,15,13,12,65,37,29,23,18,15,13,10,94,4,1,7,3,4,4,4,3,2,0,86,9,6
2,312505,57,49,19,17,84,5,3,1,1,12,9,24,73,3,31,55,14,15,70,15,20,70,10,7,77,16,11,76,13,16,74,10,100,98,0,9,26,44,19,68,64,38,42,97,38,77,22,13,20,43,23,21,9,11,12,56,38,30,39,44,30,19,18,41,29,6,3,4,3,6,4,4,14,14,2,1,1,12,14,5,2,7,3,10,5,98,73,36,31,30,83,47,56,60,47,43,28,55,15,24,9,46,15,9,8,6,0,8,7,2,4,0,0,68,30,2,96,26,39,18,55,27,19,81,31,45,39,92,8,13,26,23,21,14,9,3,30,8,22,20,16,12,7,3,35,3,56,5,86,12,2,14,6,7,7,4,2,2,1,39,61,1,60,33,26,20,18,11,5,3,60,33,26,20,18,11,5,3,89,7,4,2,2,0,0,0,0,0,0,70,30,0
3,315810,59,48,12,13,85,6,3,1,1,15,20,26,72,2,48,43,10,20,59,21,30,58,12,27,51,22,28,47,25,27,65,8,100,99,0,11,23,40,25,69,64,43,39,97,42,78,18,17,26,51,25,23,4,10,12,46,26,19,30,30,16,6,5,33,20,3,2,1,1,2,1,1,15,15,2,0,6,8,17,7,3,10,3,15,5,98,68,38,29,27,87,50,63,60,44,47,21,40,20,12,6,30,10,4,4,1,6,13,5,3,3,0,1,47,40,12,98,34,43,5,66,28,13,87,19,33,33,90,10,11,22,21,17,6,2,1,30,11,19,18,12,3,1,0,14,1,79,6,95,4,1,9,1,7,7,4,3,1,0,97,3,0,73,39,35,26,20,12,5,4,72,39,33,24,16,10,3,2,91,8,1,10,4,6,5,4,4,3,1,96,4,0
4,900064,82,77,32,35,93,21,11,2,1,31,39,42,54,4,56,36,7,25,58,17,36,56,8,24,55,21,25,52,23,41,55,3,100,100,0,10,18,32,39,86,83,68,67,98,24,82,9,4,18,59,21,18,6,7,9,51,38,32,35,41,25,21,12,36,35,7,4,6,4,6,3,4,16,13,3,4,2,9,30,27,2,7,10,26,13,99,86,53,46,42,92,60,76,81,60,60,34,59,24,17,10,51,16,8,6,7,9,21,9,4,4,3,3,64,33,3,95,21,20,9,53,38,16,84,33,41,25,90,10,11,14,12,9,8,7,4,15,7,8,6,4,3,3,1,23,5,71,0,66,23,11,18,8,10,10,9,8,5,1,52,36,12,61,39,22,16,13,10,5,2,60,40,20,13,10,8,3,1,82,14,5,9,6,4,4,4,2,2,0,73,18,10
5,323705,57,48,16,17,86,8,5,1,0,15,20,33,61,6,43,44,13,21,58,21,30,61,9,15,59,26,18,56,26,24,65,10,100,100,0,18,18,41,23,76,67,54,50,97,19,81,4,6,9,60,31,28,11,13,14,43,25,21,25,27,17,11,2,33,17,21,10,14,18,13,7,9,45,42,3,4,6,36,19,14,3,6,2,18,4,98,71,47,32,29,89,53,65,68,51,51,27,45,19,18,6,37,12,8,10,3,2,17,5,4,4,1,1,55,37,8,95,26,28,10,62,28,18,82,26,39,26,97,3,7,19,15,13,10,4,2,12,5,8,5,5,3,1,1,38,7,53,2,75,16,10,15,4,12,11,9,7,3,1,63,33,4,68,42,26,19,14,6,2,1,67,44,23,17,12,4,2,1,92,6,2,5,2,3,3,3,1,0,0,77,22,1
6,328105,57,47,15,15,75,8,6,1,0,7,12,19,77,4,33,55,11,14,62,23,20,67,14,10,59,32,14,57,29,14,79,7,100,100,0,23,19,34,24,58,55,37,33,97,17,69,4,4,16,48,22,21,4,4,6,28,14,15,18,19,11,8,4,21,13,10,6,5,8,6,5,3,41,40,1,7,1,32,12,9,1,4,3,11,2,96,66,35,23,23,89,42,52,58,46,40,16,44,21,11,5,37,5,4,7,3,2,17,3,2,3,1,0,51,40,9,95,28,30,8,63,29,15,85,19,40,17,88,12,7,10,10,7,7,5,3,12,6,6,5,5,4,3,2,16,4,79,1,86,10,4,6,2,5,5,3,3,2,1,68,29,3,58,35,23,20,9,7,5,2,57,36,21,18,7,6,4,2,94,5,1,3,0,3,3,1,1,0,0,83,10,7
7,332910,85,79,34,40,93,15,9,4,2,23,25,39,59,2,50,42,8,23,59,18,35,56,9,23,54,23,29,52,20,30,65,5,100,100,0,9,17,45,28,74,72,61,59,98,24,88,7,6,23,58,31,29,14,11,13,52,32,25,27,31,17,16,7,41,23,25,14,19,17,21,8,12,21,21,1,6,2,13,22,17,6,6,5,22,6,99,76,45,37,34,93,54,77,70,61,51,28,52,23,15,8,48,12,8,7,1,3,20,6,3,4,0,1,54,41,6,98,34,20,5,70,25,13,87,18,35,23,84,16,9,13,12,10,7,4,3,19,9,10,9,6,4,1,1,16,3,81,0,64,26,10,7,1,6,6,6,5,3,1,39,45,16,78,31,47,39,26,24,17,11,77,33,44,36,24,21,13,9,81,14,5,7,0,6,6,5,5,3,2,79,13,8
8,336500,76,73,34,33,92,17,12,2,1,17,25,37,60,3,59,36,6,18,68,14,37,58,5,26,57,17,31,47,22,31,62,7,100,100,0,11,10,42,37,79,74,57,61,95,15,75,3,5,11,66,38,37,9,10,8,40,22,20,21,22,14,17,5,27,16,12,9,5,5,8,2,2,41,40,1,6,2,33,18,11,7,6,10,13,10,99,79,41,38,33,91,60,76,72,46,48,32,48,19,17,10,37,10,3,9,2,2,15,4,1,6,0,0,55,37,8,98,20,21,7,67,26,9,91,18,37,14,91,9,7,7,7,6,4,1,1,9,3,5,5,4,3,0,0,3,3,93,2,78,19,3,6,4,2,2,2,2,1,1,52,38,10,66,39,27,19,13,9,4,3,66,39,27,19,13,7,4,2,87,10,2,2,1,2,2,2,0,0,0,77,21,2
9,339205,62,61,21,22,85,19,16,2,1,16,16,34,63,3,55,38,7,23,50,27,28,56,16,20,57,24,25,55,20,25,64,12,100,96,0,12,17,36,30,71,70,53,43,96,25,76,10,6,18,61,25,23,10,8,11,46,27,21,26,28,24,17,10,38,20,19,9,13,10,15,9,5,24,23,2,4,1,19,19,7,7,13,4,15,9,99,65,40,28,31,90,44,58,61,48,49,30,49,22,16,10,40,10,7,11,2,2,16,6,3,6,0,0,51,36,13,95,33,37,15,55,29,16,84,29,39,26,95,5,13,13,12,8,7,6,4,22,13,10,9,5,4,3,2,24,8,61,7,74,22,4,9,3,6,6,5,4,3,1,62,36,2,65,37,29,25,19,12,9,5,64,38,26,22,16,9,6,3,82,14,4,7,4,3,3,3,3,3,1,81,15,4
