ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTSpecialistenInLoondienst_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,VoornUitgDoorEigenPersoneel_12,VoornUitgDoorExterneLeveranciers_13,NietVanToepassing_14,VoornUitgDoorEigenPersoneel_15,VoornUitgDoorExterneLeveranciers_16,NietVanToepassing_17,VoornUitgDoorEigenPersoneel_18,VoornUitgDoorExterneLeveranciers_19,NietVanToepassing_20,VoornUitgDoorEigenPersoneel_21,VoornUitgDoorExterneLeveranciers_22,NietVanToepassing_23,VoornUitgDoorEigenPersoneel_24,VoornUitgDoorExterneLeveranciers_25,NietVanToepassing_26,VoornUitgDoorEigenPersoneel_27,VoornUitgDoorExterneLeveranciers_28,NietVanToepassing_29,VoornUitgDoorEigenPersoneel_30,VoornUitgDoorExterneLeveranciers_31,NietVanToepassing_32,Internet_33,VasteBreedbandAansluiting_34,MinderDan2MegabitPerSeconde_35,k_2Tot10MegabitPerSeconde_36,k_10Tot30MegabitPerSeconde_37,k_30Tot100MegabitPerSeconde_38,k_100MegabitPerSecondeOfMeer_39,ApparaatVerschaftAanWerknemers_40,ToegangEMailsysteemVanHetBedrijf_41,ToegangTotBestandenVanHetBedrijf_42,ToegangTotBedrijfssystemenBijvERP_43,BedrijvenMetWebsite_44,OnlineBestellenBoekenOfReserveren_45,BeschrijvingenVanProductenPrijslijst_46,BestellingOnlineVolgen_47,ProductaanpassingDoorKlant_48,KlantspecifiekeInfoVoorDeBezoeker_49,VerwijzingNaarSocialeMedia_50,AdverterenOpInternet_51,InhoudVanDeWebsite_52,EerdereActiviteitenVanDeGebruiker_53,GeografischeLocaties_54,AndereGerichteMethoden_55,CloudDienstenGebruikt_56,EMailAlsCloudDienst_57,OfficeSoftware_58,DatabaseHosting_59,BestandenOpslaanAlsCloudDienst_60,SoftwareVoorBoekhouding_61,SoftwareKlantinformatiebeheer_62,RekenkrachtVoorSoftwareBedrijf_63,GedeeldeServers_64,ServersUitsluitendVoorHetBedrijf_65,Uitgevoerd_66,BedrijfZelf_67,AnderBedrijf_68,PrototypesModellenVoorVerkoop_69,PrototypesModellenVoorInternGebruik_70,ProductenVoorVerkoop_71,ProductenVoorInternGebruik_72,Gebruikt_73,IndustrieleRobot_74,ServiceRobot_75,MeerBanenOntstaanDanVerdwenen_76,MeerBanenVerdwenenDanOntstaan_77,GeenEffectMBTBanen_78,Uitgevoerd_79,DataVanBedrijfZelf_80,DataOverGeografischeLocaties_81,DataVanSocialeMedia_82,AndereBronnen_83,MedewerkersEigenBedrijf_84,AnderBedrijf_85,Antivirussoftware_86,BeleidVoorSterkeWachtwoorden_87,AuthenticatieViaSoftOfHardwareToken_88,EncryptieVoorHetOpslaanVanData_89,EncryptieVoorHetVersturenVanData_90,GegevensOpAndereFysiekeLocatie_91,NetworkAccessControl_92,VPNBijInternetgebruikBuitenHetEigen_93,LogbestandenVoorAnalyseIncidenten_94,MethodesVoorBeoordelenITCVeiligheid_95,Risicoanalyses_96,AndereMaatregelen_97,IncidentOpgetreden_98,KostenGehadAanICTIncident_99,IncidentDoorAanvalVanBuiten_100,KostenIncidentAanvalBuitenaf_101,UitvalICTDienstDoorVeiligheidsinc_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataDoorVeiligheidsinc_104,VernietigingDataAanvalVanBuitenaf_105,OnthullingGegevensDoorICTInbraak_106,OnthullingGegevensDoorInternIncident_107,UitvalICTDienstDoorVeiligheidsinc_108,UitvalICTDienstDoorAanvalBuitenaf_109,VernietigingDataDoorVeiligheidsinc_110,VernietigingDataAanvalVanBuitenaf_111,OnthullingGegevensDoorICTInbraak_112,OnthullingGegevensDoorInternIncident_113,MeestalVolledigAutomatisch_114,MeestalDeelsHandmatig_115,NietVanToepassing_116,AndereBedrijven_117,Overheden_118,Consumenten_119,EFactuur_120,ElektronischMaarGeenEFactuur_121,InPapierenVorm_122,EFactuur_123,GeenEFactuur_124,EFacturenVerzonden_125,EFacturenOntvangen_126,VerkoopViaECommerce_127,ViaWebsiteOfAppsVanEigenBedrijf_128,ViaWebsiteOfAppsVanAndereBedrijven_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde1VanDeTotaleOmzet_131,Verkoopwaarde2VanDeTotaleOmzet_132,Verkoopwaarde5VanDeTotaleOmzet_133,Verkoopwaarde10VanDeTotaleOmzet_134,Verkoopwaarde25VanDeTotaleOmzet_135,Verkoopwaarde50VanDeTotaleOmzet_136,VerkoopViaEenWebsiteApp_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde1VanDeTotaleOmzet_139,Verkoopwaarde2VanDeTotaleOmzet_140,Verkoopwaarde5VanDeTotaleOmzet_141,Verkoopwaarde10VanDeTotaleOmzet_142,Verkoopwaarde25VanDeTotaleOmzet_143,Verkoopwaarde50VanDeTotaleOmzet_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,Bedrijven_147,Overheden_148,KlantenInNederland_149,KlantenInAndereEULanden_150,KlantenInLandenBuitenDeEU_151,VerkoopViaEDI_152,Verkoopwaarde1VanDeTotaleOmzet_153,Verkoopwaarde1VanDeTotaleOmzet_154,Verkoopwaarde2VanDeTotaleOmzet_155,Verkoopwaarde5VanDeTotaleOmzet_156,Verkoopwaarde10VanDeTotaleOmzet_157,Verkoopwaarde25VanDeTotaleOmzet_158,Verkoopwaarde50VanDeTotaleOmzet_159,KlantenInNederland_160,KlantenInAndereEULanden_161,KlantenInLandenBuitenDeEU_162,InkoopViaECommerce_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde1VanDeTotaleInkoop_165,Inkoopwaarde2VanDeTotaleInkoop_166,Inkoopwaarde5VanDeTotaleInkoop_167,Inkoopwaarde10VanDeTotaleInkoop_168,Inkoopwaarde25VanDeTotaleInkoop_169,Inkoopwaarde50VanDeTotaleInkoop_170,InkoopViaEenWebsiteApp_171,Inkoopwaarde1VanDeTotaleInkoop_172,Inkoopwaarde1VanDeTotaleInkoop_173,Inkoopwaarde2VanDeTotaleInkoop_174,Inkoopwaarde5VanDeTotaleInkoop_175,Inkoopwaarde10VanDeTotaleInkoop_176,Inkoopwaarde25VanDeTotaleInkoop_177,Inkoopwaarde50VanDeTotaleInkoop_178,AanbiedersInNederland_179,AanbiedersInAndereEULanden_180,AanbiedersInLandenBuitenDeEU_181,InkoopViaEDI_182,Inkoopwaarde1VanDeTotaleInkoop_183,Inkoopwaarde1VanDeTotaleInkoop_184,Inkoopwaarde2VanDeTotaleInkoop_185,Inkoopwaarde5VanDeTotaleInkoop_186,Inkoopwaarde10VanDeTotaleInkoop_187,Inkoopwaarde25VanDeTotaleInkoop_188,Inkoopwaarde50VanDeTotaleInkoop_189,AanbiedersInNederland_190,AanbiedersInAndereEULanden_191,AanbiedersInLandenBuitenDeEU_192
0,WP19088,399907,76,73,34,34,79,13,9,3,1,17,21,29,64,8,41,45,14,18,56,25,24,58,18,19,60,22,22,56,22,22,66,12,100,99,0,12,17,39,31,63,58,43,42,94,35,79,12,7,28,62,33,29,14,15,16,49,33,27,35,35,29,23,12,36,25,5,3,3,3,3,2,2,7,6,1,1,1,5,22,10,6,12,8,18,8,96,74,43,34,34,84,50,56,60,45,46,26,48,21,16,8,42,11,7,7,3,5,17,6,3,3,2,2,58,30,12,90,39,51,10,55,35,18,82,24,46,26,84,16,10,16,14,12,10,7,4,22,9,13,11,9,7,5,3,43,7,47,3,86,11,3,8,3,5,5,4,3,2,1,77,18,5,67,32,35,29,22,18,11,7,66,33,33,27,20,15,9,6,92,6,2,7,2,4,4,3,3,2,1,86,12,3
1,WP19088,307500,62,56,23,24,80,11,7,1,1,15,19,27,68,5,42,47,11,16,63,21,27,61,12,16,60,24,19,55,25,22,69,9,100,99,0,15,18,38,29,66,62,46,44,96,27,76,9,7,19,56,26,24,8,9,10,41,25,21,26,27,17,14,8,31,19,11,7,6,7,8,4,4,29,28,2,4,3,22,18,11,4,8,6,16,6,97,71,40,31,29,88,49,62,62,46,45,24,47,21,16,8,40,11,6,8,3,4,18,6,3,4,1,2,53,37,10,96,28,34,10,60,30,15,85,24,39,27,89,11,11,15,14,11,9,6,4,20,9,10,9,7,4,2,1,26,2,69,3,86,10,4,11,4,7,7,5,5,4,2,71,25,4,66,36,30,24,17,12,8,5,65,37,29,22,15,11,7,4,90,8,2,6,2,4,3,3,2,1,0,84,12,4
2,WP19088,800036,83,81,56,47,86,24,16,5,3,25,28,28,65,7,37,55,8,22,60,18,27,57,16,12,74,14,16,69,16,20,72,8,100,99,0,14,18,35,32,80,72,54,57,95,27,74,11,7,25,54,26,22,8,9,11,53,30,31,38,35,23,17,11,41,28,6,3,5,3,5,1,3,3,1,2,0,0,3,38,29,20,13,14,34,15,97,78,48,33,35,90,59,67,68,58,49,31,54,27,18,7,48,9,9,13,3,6,21,3,3,5,2,1,62,31,7,94,56,52,12,52,36,18,82,26,42,19,83,17,8,11,9,6,6,2,1,18,8,10,9,6,6,1,0,57,4,36,4,95,3,3,6,3,3,1,1,1,1,0,83,17,0,56,31,25,18,15,13,6,4,55,32,23,17,14,10,5,4,94,5,1,5,2,4,4,4,3,1,0,87,13,1
3,WP19088,350000,73,71,47,38,76,6,3,1,0,8,17,17,76,7,32,55,13,11,59,30,14,63,22,12,63,25,13,62,24,12,76,12,100,99,0,17,21,36,26,73,61,40,46,94,14,71,2,2,17,54,20,18,6,6,8,42,24,21,27,28,22,14,7,29,20,3,3,1,1,2,0,0,3,3,0,1,0,2,17,6,9,6,3,14,6,96,65,36,22,23,83,40,49,50,41,38,20,52,27,21,11,45,16,10,10,3,3,23,9,5,5,2,1,59,28,13,95,56,75,9,55,36,20,80,22,49,9,91,9,4,5,4,3,3,2,1,7,4,3,3,2,2,1,0,34,4,60,3,92,6,2,3,1,2,2,1,1,1,0,99,1,0,68,36,33,27,21,18,14,10,68,37,30,25,19,14,12,8,98,2,0,11,2,8,8,8,5,4,1,98,2,0
4,WP19088,354200,65,60,20,20,79,12,8,2,1,16,21,31,64,5,41,47,12,21,61,18,26,61,13,21,62,17,26,58,16,24,67,9,100,99,0,11,19,39,30,62,57,43,43,93,53,81,23,8,33,66,41,37,20,20,22,46,31,27,34,34,25,22,11,34,25,4,2,3,3,2,2,2,6,5,2,1,1,4,24,12,7,14,9,20,10,97,74,42,33,31,86,55,60,65,46,46,26,50,22,16,9,44,12,8,8,3,4,17,7,4,4,2,1,58,32,10,90,31,52,10,52,37,19,81,29,45,45,88,12,15,29,26,22,19,14,9,39,15,24,20,17,14,9,6,46,7,46,2,85,12,3,14,5,9,9,7,6,4,3,80,17,3,66,36,30,24,20,17,13,8,62,38,25,19,15,12,8,5,88,10,2,11,4,7,7,6,5,4,3,79,18,3
5,WP19088,383100,70,64,36,32,77,8,6,1,1,10,14,25,65,10,34,49,17,14,55,32,19,52,30,12,58,30,17,53,30,17,64,19,100,99,0,14,20,43,23,65,50,34,38,90,29,76,14,6,23,46,19,17,4,6,6,45,28,22,29,29,29,16,9,31,21,1,1,0,0,0,0,0,3,2,2,0,0,2,20,13,12,5,5,17,6,94,72,41,29,29,84,45,49,56,38,42,23,46,21,18,10,40,15,5,9,2,3,16,9,2,5,1,1,58,25,17,94,26,34,8,61,31,16,84,21,42,25,72,28,7,18,18,15,13,9,5,14,6,8,7,6,5,3,2,28,6,63,3,82,15,3,16,4,13,12,11,9,6,4,69,24,7,54,34,20,16,12,8,4,2,54,34,19,15,11,8,3,2,95,4,1,5,4,1,1,1,1,0,0,82,15,2
6,WP19088,389100,43,39,7,9,49,1,1,0,0,2,2,18,56,26,27,39,34,7,45,48,10,51,39,10,63,27,10,60,30,10,61,29,100,99,0,19,24,36,20,25,21,15,16,93,63,88,12,10,32,66,41,34,18,22,22,32,21,12,21,23,24,12,4,25,15,0,0,0,0,0,0,0,1,0,0,0,0,1,18,5,2,15,3,12,7,85,59,18,16,17,60,29,23,27,21,22,8,34,12,7,2,30,5,6,2,2,2,10,1,2,1,1,1,59,16,25,79,46,72,5,47,48,22,78,14,53,31,61,39,10,21,18,17,14,10,5,31,10,21,18,17,14,9,5,62,15,18,5,84,12,4,2,1,1,1,1,1,0,0,67,18,16,64,28,36,33,24,22,15,13,63,28,35,32,24,21,14,12,97,3,1,2,1,1,1,1,1,1,0,92,8,0
7,WP19088,391600,98,97,57,63,97,59,49,22,7,63,51,73,24,3,75,18,7,56,31,13,57,36,7,56,29,14,60,26,14,66,29,5,100,98,0,3,7,29,59,79,76,67,64,96,33,86,14,11,31,78,49,45,27,23,28,76,59,54,61,61,49,46,29,54,51,4,3,2,2,2,1,2,1,0,0,0,0,0,38,19,12,25,22,36,9,97,90,65,68,63,90,69,77,83,69,70,52,52,21,19,9,45,16,9,6,4,5,18,8,4,3,2,3,56,37,6,96,51,29,12,72,16,16,84,24,46,23,88,12,9,13,12,9,8,4,3,22,9,13,12,9,8,4,3,36,7,53,5,79,13,8,4,3,1,1,1,1,0,0,72,12,16,77,23,54,46,34,24,15,8,77,23,53,45,33,23,14,8,81,10,9,5,3,2,1,1,1,1,0,88,7,5
8,WP19088,396300,94,94,55,48,96,27,20,11,8,42,37,43,53,5,64,31,4,38,49,13,43,49,8,29,59,12,35,53,12,42,52,6,100,99,0,6,9,37,48,86,83,65,65,94,32,79,18,17,35,72,34,32,16,15,19,61,41,35,46,46,30,34,23,41,44,2,0,2,2,0,0,0,1,0,1,0,0,0,37,21,7,19,25,34,13,99,97,81,72,71,94,77,88,93,81,84,60,61,29,21,14,55,15,9,9,5,10,25,11,4,5,2,1,61,30,8,80,30,45,8,51,40,18,82,20,48,24,80,20,10,14,12,10,9,6,3,22,10,13,11,10,8,5,3,50,7,40,3,96,3,1,5,3,2,2,1,1,0,0,90,10,0,75,32,42,36,23,16,8,3,72,32,40,34,21,16,8,3,91,6,4,4,1,3,3,2,1,1,0,81,19,0
9,WP19088,402000,96,95,64,49,88,10,4,2,1,25,37,22,72,6,41,53,6,11,74,15,20,71,8,5,77,18,13,70,16,16,80,4,100,100,0,2,13,45,41,88,88,60,54,89,32,70,12,16,40,62,21,18,10,14,11,60,31,34,44,45,38,32,22,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,1,4,9,8,5,94,84,63,34,28,85,54,68,75,63,63,35,57,16,17,6,51,13,12,7,1,7,15,4,6,1,0,1,60,29,11,80,40,74,3,43,54,13,87,10,42,13,88,12,9,3,3,2,2,0,0,13,9,3,3,2,2,0,0,78,2,20,1,95,4,1,3,3,0,0,0,0,0,0,98,2,0,61,40,21,14,13,10,4,3,61,41,20,14,13,10,4,3,99,1,0,4,4,0,0,0,0,0,0,100,0,0
