ID,Bedrijfsgrootte,ICTPersAangenomenWillenAannemen_1,ICTVacaturesLastigTeVervullen_2,ICTSpecialistenInLoondienst_3,ICTSpecOntwEnOnderhoudSoftware_4,ICTCursusAanICTSpecialisten_5,ICTCursusAanOverigPersoneel_6,VoornUitgDoorEigenPersoneel_7,VoornUitgDoorExterneLeveranciers_8,NietVanToepassing_9,BedrijvenMetWebsite_10,OnlineBestellenBoekenOfReserveren_11,BeschrijvingenVanProductenPrijslijst_12,BestellingOnlineVolgen_13,ProductaanpassingDoorKlant_14,KlantspecifiekeInfoVoorDeBezoeker_15,VerwijzingNaarSocialeMedia_16,CloudDienstenGebruikt_17,EMailAlsCloudDienst_18,OfficeSoftware_19,DatabaseHosting_20,BestandenOpslaanAlsCloudDienst_21,SoftwareVoorBoekhouding_22,SoftwareKlantinformatiebeheer_23,RekenkrachtVoorSoftwareBedrijf_24,GedeeldeServers_25,ServersUitsluitendVoorHetBedrijf_26,Uitgevoerd_27,DataVanBedrijfZelf_28,DataOverGeografischeLocaties_29,DataVanSocialeMedia_30,AndereBronnen_31,MedewerkersEigenBedrijf_32,AnderBedrijf_33,Antivirussoftware_34,BeleidVoorSterkeWachtwoorden_35,AuthenticatieViaSoftOfHardwareToken_36,EncryptieVoorHetOpslaanVanData_37,EncryptieVoorHetVersturenVanData_38,GegevensOpAndereFysiekeLocatie_39,NetworkAccessControl_40,VPNBijInternetgebruikBuitenHetEigen_41,LogbestandenVoorAnalyseIncidenten_42,MethodesVoorBeoordelenITCVeiligheid_43,Risicoanalyses_44,AndereMaatregelen_45,IncidentOpgetreden_46,KostenGehadAanICTIncident_47,IncidentDoorAanvalVanBuiten_48,KostenIncidentAanvalBuitenaf_49,UitvalICTDienstDoorVeiligheidsinc_50,UitvalICTDienstDoorAanvalBuitenaf_51,VernietigingDataDoorVeiligheidsinc_52,VernietigingDataAanvalVanBuitenaf_53,OnthullingGegevensDoorICTInbraak_54,OnthullingGegevensDoorInternIncident_55,UitvalICTDienstDoorVeiligheidsinc_56,UitvalICTDienstDoorAanvalBuitenaf_57,VernietigingDataDoorVeiligheidsinc_58,VernietigingDataAanvalVanBuitenaf_59,OnthullingGegevensDoorICTInbraak_60,OnthullingGegevensDoorInternIncident_61,MeestalVolledigAutomatisch_62,MeestalDeelsHandmatig_63,NietVanToepassing_64,AndereBedrijven_65,Overheden_66,Consumenten_67,EFactuur_68,ElektronischMaarGeenEFactuur_69,InPapierenVorm_70,EFactuur_71,GeenEFactuur_72,EFacturenVerzonden_73,EFacturenOntvangen_74,VerkoopViaECommerce_75,ViaWebsiteOfAppsVanEigenBedrijf_76,ViaWebsiteOfAppsVanAndereBedrijven_77,Verkoopwaarde1VanDeTotaleOmzet_78,Verkoopwaarde1VanDeTotaleOmzet_79,Verkoopwaarde2VanDeTotaleOmzet_80,Verkoopwaarde5VanDeTotaleOmzet_81,Verkoopwaarde10VanDeTotaleOmzet_82,Verkoopwaarde25VanDeTotaleOmzet_83,Verkoopwaarde50VanDeTotaleOmzet_84,VerkoopViaEenWebsiteApp_85,Verkoopwaarde1VanDeTotaleOmzet_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde2VanDeTotaleOmzet_88,Verkoopwaarde5VanDeTotaleOmzet_89,Verkoopwaarde10VanDeTotaleOmzet_90,Verkoopwaarde25VanDeTotaleOmzet_91,Verkoopwaarde50VanDeTotaleOmzet_92,NederlandseConsumenten_93,BuitenlandseConsumenten_94,Bedrijven_95,Overheden_96,VerkoopViaEDI_97,Verkoopwaarde1VanDeTotaleOmzet_98,Verkoopwaarde1VanDeTotaleOmzet_99,Verkoopwaarde2VanDeTotaleOmzet_100,Verkoopwaarde5VanDeTotaleOmzet_101,Verkoopwaarde10VanDeTotaleOmzet_102,Verkoopwaarde25VanDeTotaleOmzet_103,Verkoopwaarde50VanDeTotaleOmzet_104,InkoopViaECommerce_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,InkoopViaEenWebsiteApp_113,Inkoopwaarde1VanDeTotaleInkoop_114,Inkoopwaarde1VanDeTotaleInkoop_115,Inkoopwaarde2VanDeTotaleInkoop_116,Inkoopwaarde5VanDeTotaleInkoop_117,Inkoopwaarde10VanDeTotaleInkoop_118,Inkoopwaarde25VanDeTotaleInkoop_119,Inkoopwaarde50VanDeTotaleInkoop_120,InkoopViaEDI_121,Inkoopwaarde1VanDeTotaleInkoop_122,Inkoopwaarde1VanDeTotaleInkoop_123,Inkoopwaarde2VanDeTotaleInkoop_124,Inkoopwaarde5VanDeTotaleInkoop_125,Inkoopwaarde10VanDeTotaleInkoop_126,Inkoopwaarde25VanDeTotaleInkoop_127,Inkoopwaarde50VanDeTotaleInkoop_128
0,WP19115,5,3,3,1,6,8,27,44,29,80,28,65,8,4,21,41,36,23,18,25,26,22,14,6,28,14,15,6,5,10,5,12,6,87,62,31,25,25,68,34,32,34,25,25,15,30,12,9,5,25,7,5,5,3,3,9,4,3,3,2,1,50,25,25,79,25,52,8,45,47,17,83,15,43,20,78,22,8,12,11,9,7,5,3,18,7,11,10,8,6,4,3,52,7,39,3,3,2,2,1,1,1,1,0,60,21,39,35,29,23,15,9,59,21,38,34,27,22,14,8,6,3,3,3,3,2,1,1
1,WP19116,4,3,3,1,5,7,27,44,29,80,28,65,8,4,21,41,35,23,17,24,25,22,14,6,28,14,15,6,5,10,5,12,5,87,62,31,24,25,68,33,32,33,25,25,15,29,12,9,5,25,7,5,5,3,3,9,4,3,3,2,1,50,25,25,79,25,52,8,45,47,17,83,15,43,20,78,22,8,12,11,9,7,5,3,18,7,11,10,8,6,4,3,52,7,38,3,3,2,1,1,1,1,1,0,60,21,39,35,29,23,15,9,59,21,38,34,28,22,14,8,6,3,3,3,3,2,1,1
2,WP19082,2,1,3,1,2,2,31,28,41,68,21,53,6,3,16,30,27,17,12,17,20,16,8,3,22,9,12,4,5,8,4,10,4,82,56,24,19,20,57,22,19,20,14,15,9,18,7,6,3,15,4,4,3,2,3,5,2,2,2,1,2,46,22,32,72,17,48,7,41,52,17,83,10,40,15,77,23,6,8,8,7,6,5,3,14,5,8,8,7,6,5,3,55,8,34,3,2,1,0,0,0,0,0,0,55,15,40,37,32,26,17,11,54,15,39,36,31,26,16,10,4,2,2,2,2,1,1,0
3,WP19083,2,2,3,2,3,5,26,43,31,80,30,66,5,3,21,38,34,22,16,24,24,22,14,5,27,13,14,5,5,10,4,11,5,86,60,29,24,25,66,34,28,27,21,21,13,27,10,9,4,23,7,5,4,3,4,8,3,3,2,2,2,48,25,27,76,23,55,9,39,52,18,82,15,44,21,75,25,7,13,11,9,6,4,3,19,6,13,11,9,6,4,2,60,6,33,2,2,1,1,1,1,1,0,0,60,18,42,38,31,26,16,9,59,18,41,36,30,24,14,8,8,4,5,4,3,3,2,1
4,WP19085,3,2,3,2,3,8,25,53,21,86,33,71,8,4,24,45,40,25,18,29,29,25,16,7,32,15,17,7,6,10,4,13,6,90,65,34,25,26,73,38,37,39,30,29,17,34,15,10,6,29,8,6,5,2,3,11,5,4,3,1,1,54,25,21,83,26,56,9,49,43,19,81,15,44,22,75,25,9,13,11,9,6,5,3,20,7,12,10,8,6,4,3,47,9,42,2,3,2,1,1,1,1,1,0,62,24,39,33,26,21,14,10,62,24,38,32,24,20,13,8,6,3,3,3,2,2,2,1
5,WP19089,7,5,3,2,7,13,17,67,16,93,37,79,11,6,26,56,43,30,23,32,33,29,21,10,32,20,16,6,5,10,5,12,5,94,68,36,28,29,80,44,45,49,37,36,19,43,18,13,6,38,10,7,5,2,3,15,5,4,3,1,1,58,26,16,87,36,56,9,54,37,19,81,20,47,23,85,15,9,14,12,10,8,6,3,21,9,12,10,8,7,4,2,47,6,44,3,4,2,2,2,2,2,1,1,66,29,38,32,24,18,12,8,66,29,36,30,22,17,11,7,5,2,3,3,2,2,1,1
6,WP19092,12,9,4,2,16,20,21,69,10,94,33,80,12,7,27,64,49,33,29,35,35,29,22,12,36,24,22,10,6,12,8,18,9,96,74,43,33,32,86,51,59,64,46,47,27,49,22,17,9,43,13,7,8,3,4,17,8,3,5,2,1,58,32,11,91,39,49,10,58,32,16,84,23,42,25,83,17,9,16,14,12,11,7,5,22,9,13,11,10,8,5,4,46,8,42,3,7,3,4,4,4,3,2,1,67,33,35,28,21,16,10,6,66,33,32,25,19,14,8,5,6,2,4,3,3,3,2,1
7,WP19096,17,11,3,2,26,31,29,66,5,96,35,79,13,7,30,69,56,36,32,38,38,28,26,14,40,32,28,13,9,14,11,25,8,98,82,52,42,42,90,59,72,77,57,59,32,55,25,19,8,48,12,8,10,3,6,21,5,3,4,1,1,58,35,8,94,40,46,11,58,31,16,84,30,45,32,82,18,11,21,18,16,13,10,6,24,10,15,12,10,8,5,3,35,6,56,3,14,4,10,9,8,6,4,3,69,40,30,25,20,17,10,6,68,41,27,21,17,13,8,4,8,2,5,5,5,4,2,1
8,WP19100,31,18,3,1,47,44,41,55,4,97,36,80,16,11,33,76,64,38,37,40,43,29,29,16,45,39,37,25,12,15,15,34,12,99,89,62,51,50,91,63,80,83,68,71,45,58,28,22,9,49,12,8,12,3,9,23,5,3,4,1,3,56,39,5,94,46,42,14,54,32,19,81,39,49,34,84,16,12,21,20,18,16,11,8,24,10,14,13,10,9,6,4,26,5,65,4,17,6,11,10,9,8,6,4,66,36,31,26,21,17,11,7,64,37,27,23,17,13,8,5,11,4,7,7,6,5,3,2
9,WP19108,43,30,3,1,61,52,45,51,4,97,38,80,21,12,40,76,73,40,40,45,46,33,34,20,55,45,44,28,13,20,21,42,16,98,94,71,62,61,91,65,87,87,72,73,52,60,30,25,12,49,15,9,13,6,14,25,8,4,6,1,3,54,41,5,93,48,42,17,49,34,21,79,44,54,39,88,12,14,25,23,20,17,13,9,26,12,15,13,10,8,5,2,36,6,53,5,24,9,15,14,13,11,8,6,68,34,34,30,24,19,13,7,64,37,28,24,18,15,9,5,14,5,9,9,8,6,4,2
