ID,Bedrijfsgrootte,PersoneelDatWerktMetInternet_1,ICTPersAangenomenWillenAannemen_2,ICTVacaturesLastigTeVullen_3,ICTSpecialistenInLoondienst_4,InternetVast_5,MinderDan2MbitS_6,k_2Tot10MbitS_7,k_10Tot30MbitS_8,k_30Tot100MbitS_9,k_100MbitSOfMeer_10,BedrijvenMetWebsite_11,BeschrijvingenVanProductenPrijslijst_12,OnlineBestellenBoekenOfReserveren_13,ProductaanpassingDoorKlant_14,BestellingOnlineVolgen_15,KlantspecifiekeInfoVoorDeBezoeker_16,VerwijzingNaarSocialeMedia_17,SocialeMediaGebruikt_18,SocialeNetwerkenBijvFacebook_19,BlogsOfMicroblogsBijvTwitter_20,MultimediaDelenBijvYouTube_21,WikiSOmKennisTeDelen_22,MarketingProductenBedrijfsimago_23,MeningenKlantReagerenOpVragen_24,BetrekkingKlantBijProductontwikkeling_25,SamenwerkenMetZakenrelaties_26,WervenVanPersoneel_27,KennisUitwisselingBinnenHetBedrijf_28,NietGedigitaliseerd_29,NauwelijksGedigitaliseerd_30,GemiddeldGedigitaliseerd_31,VeelGedigitaliseerd_32,BijnaVolledigGedigitaliseerd_33,AntiVirussoftware_34,BeleidVoorSterkeWachtwoorden_35,UpdatenSoftwareBesturingssysteem_36,AuthenticatieViaSoftOfHardwaretoken_37,EncryptieVanData_38,GegevensOpAndereFysiekeLocatie_39,NetworkAccessControl_40,VPNInternetgebruikBuitenHetBedrijf_41,LogbestandenVoorAnalyseIncidenten_42,MethodesVoorBeoordelenICTVeiligheid_43,Risicoanalyses_44,VrijwilligeTraining_45,VerplichteTraining_46,MetContract_47,ExterneLeverancier_48,EigenPersoneel_49,EigenPersoneelEnExterneLeverancier_50,ICTVeiligheidsdocumentenAanwezig_51,BeheerToegangsrechten_52,OmgangData_53,PreventieVanVeiligheidsincidenten_54,RegelsVoorPersoneel_55,OpleidenPersoneel_56,MinderDan12MaandenGeleden_57,TussenDe12En24MaandenGeleden_58,MeerDan24MaandenGeleden_59,IncidentDoorInterneOorzaak_60,IncidentDoorAanvalVanBuiten_61,UitvalICTDienstDoorVeiligheidsinc_62,VernietigingDataDoorVeiligheidsinc_63,OnthullingDoorInternIncident_64,UitvalICTDienstDoorAanvalBuitenaf_65,VernietigingDataAanvalVanBuitenaf_66,OnthullingGegevensDoorICTInbraak_67,KostenIncidentAanvalBuitenaf_68,KostenIncidentIntern_69,UitvalICTDienstDoorVeiligheidsinc_70,VernietigingDataDoorVeiligheidsinc_71,OnthullingDoorInternIncident_72,UitvalICTDienstDoorAanvalBuitenaf_73,VernietigingDataAanvalBuitenaf_74,OnthullingDoorICTInbraak_75,VerzekeringICTVeiligheidsincidenten_76,GezochtNaarMeldingenCyberdreigingen_77,BekendMetDTC_78,DTCWebsiteAlsBronGebruikt_79,AndereBedrijven_80,Overheid_81,Consumenten_82,EFactuur_83,ElektronischMaarGeenEFactuur_84,PapierenVorm_85,EFactuur_86,AndersElektronischOfPapier_87,EFacturenVerzonden_88,EFacturenOntvangen_89,VerkoopViaECommerce_90,ViaWebsiteOfAppsVanEigenBedrijf_91,PercentageOmzetViaOnlinePlatforms_92,Verkoopwaarde1VanDeTotaleOmzet_93,Verkoopwaarde1VanDeTotaleOmzet_94,Verkoopwaarde2VanDeTotaleOmzet_95,Verkoopwaarde5VanDeTotaleOmzet_96,Verkoopwaarde10VanDeTotaleOmzet_97,Verkoopwaarde25VanDeTotaleOmzet_98,Verkoopwaarde50VanDeTotaleOmzet_99,VerkoopViaWebsiteOfApp_100,Verkoopwaarde1VanDeTotaleOmzet_101,Verkoopwaarde1VanDeTotaleOmzet_102,Verkoopwaarde2VanDeTotaleOmzet_103,Verkoopwaarde5VanDeTotaleOmzet_104,Verkoopwaarde10VanDeTotaleOmzet_105,Verkoopwaarde25VanDeTotaleOmzet_106,Verkoopwaarde50VanDeTotaleOmzet_107,LageKosten_108,Gemak_109,GrotereMarkt_110,BereikenInternationaleMarkt_111,MartkaandeelBehoudenVergroten_112,PlatformDomineertDeMarkt_113,FeedbackReviewsRatings_114,Anders_115,NegatiefOmzetDaalt_116,NeutraalOmzetBlijftGelijk_117,PositiefOmzetStijgt_118,NietBekendMetPlatformsBinnenBranche_119,NegatiefOmzetDaalt_120,NeutraalOmzetBlijftGelijk_121,PositiefOmzetStijgt_122,NietBekendMetPlatformsBinnenBranche_123,VerkoopViaEDI_124,Verkoopwaarde1VanDeTotaleOmzet_125,Verkoopwaarde1VanDeTotaleOmzet_126,Verkoopwaarde2VanDeTotaleOmzet_127,Verkoopwaarde5VanDeTotaleOmzet_128,Verkoopwaarde10VanDeTotaleOmzet_129,Verkoopwaarde25VanDeTotaleOmzet_130,Verkoopwaarde50VanDeTotaleOmzet_131,InkoopViaECommerce_132,Inkoopwaarde1VanDeTotaleInkoop_133,Inkoopwaarde1VanDeTotaleInkoop_134,Inkoopwaarde2VanDeTotaleInkoop_135,Inkoopwaarde5VanDeTotaleInkoop_136,Inkoopwaarde10VanDeTotaleInkoop_137,Inkoopwaarde25VanDeTotaleInkoop_138,Inkoopwaarde50VanDeTotaleInkoop_139,InkoopViaWebsiteOfApp_140,Inkoopwaarde1VanDeTotaleInkoop_141,Inkoopwaarde1VanDeTotaleInkoop_142,Inkoopwaarde2VanDeTotaleInkoop_143,Inkoopwaarde5VanDeTotaleInkoop_144,Inkoopwaarde10VanDeTotaleInkoop_145,Inkoopwaarde25VanDeTotaleInkoop_146,Inkoopwaarde50VanDeTotaleInkoop_147,InkoopViaEDI_148,Inkoopwaarde1VanDeTotaleInkoop_149,Inkoopwaarde1VanDeTotaleInkoop_150,Inkoopwaarde2VanDeTotaleInkoop_151,Inkoopwaarde5VanDeTotaleInkoop_152,Inkoopwaarde10VanDeTotaleInkoop_153,Inkoopwaarde25VanDeTotaleInkoop_154,Inkoopwaarde50VanDeTotaleInkoop_155
0,WP19115,72,5,3,12,89,0,17,18,33,22,77,66,27,5,7,21,40,57,55,13,17,3,79,41,28,32,52,21,20,16,32,18,14,89,65,81,39,37,72,37,35,39,31,31,21,10,25,34,47,19,25,23,23,19,17,12,20,4,1,28,7,27,4,3,5,3,1,3,10,10,2,1,2,1,1,16,7,8,2,82,29,56,14,60,26,21,79,20,47,20,77,23,5,15,13,11,9,7,5,19,3,14,12,10,8,6,4,56,75,83,43,68,56,39,16,2,8,6,3,6,35,12,47,3,1,2,2,2,2,1,1,63,17,46,42,35,29,20,14,62,18,45,41,34,28,19,13,5,1,4,4,3,3,2,1
1,WP19116,71,4,3,11,89,0,17,18,33,21,77,66,27,4,7,21,40,56,55,13,17,3,79,41,28,32,52,21,20,16,32,17,14,89,65,81,39,36,72,36,35,38,31,31,21,10,25,34,47,19,24,22,23,18,17,12,19,4,1,28,7,26,4,2,5,3,1,3,10,10,2,1,2,1,1,16,6,8,2,82,29,56,14,60,26,21,79,20,46,20,77,23,5,15,13,11,9,7,5,19,3,14,12,10,8,6,4,55,75,83,43,68,56,38,16,2,8,6,3,6,35,12,47,3,1,2,2,2,1,1,1,63,17,46,42,35,29,20,14,62,17,45,41,34,28,19,13,5,1,4,4,3,3,2,1
2,WP19082,79,2,1,6,84,0,20,18,29,18,65,54,19,3,5,16,28,46,44,8,12,2,76,35,25,29,28,15,28,20,27,12,12,85,59,74,30,29,62,26,22,24,18,18,13,6,12,25,63,12,15,13,13,11,9,6,13,1,1,17,4,16,2,1,3,2,1,2,5,5,1,0,1,1,0,9,4,7,2,76,20,53,12,59,29,19,81,15,41,14,74,26,3,11,10,9,7,5,4,13,1,10,9,8,6,5,3,60,76,77,46,62,53,34,16,1,6,4,3,7,32,10,51,1,0,1,1,1,1,0,0,57,12,45,42,36,30,20,14,56,12,44,41,35,30,20,14,3,1,2,2,2,1,1,0
3,WP19083,74,3,2,7,88,0,18,20,32,17,76,64,29,4,8,23,37,52,51,12,15,2,80,47,30,30,42,20,22,17,30,15,15,88,63,79,36,33,70,34,30,34,28,28,17,9,23,33,49,18,22,19,20,16,14,10,16,5,1,27,6,26,3,2,5,2,1,3,9,9,1,1,2,1,0,13,5,6,2,80,28,60,16,55,29,22,78,21,49,22,74,26,6,16,15,12,11,8,7,21,3,15,14,12,10,8,6,48,71,83,34,67,55,34,16,2,10,6,3,8,35,11,46,2,0,2,2,1,1,1,0,62,13,50,46,39,32,21,14,62,13,49,45,38,31,20,13,5,1,4,4,3,3,2,1
4,WP19085,69,4,3,11,92,0,18,20,34,20,85,74,32,6,8,23,47,63,61,14,16,3,77,42,29,32,58,21,15,13,37,20,14,91,68,84,44,41,77,41,41,45,37,37,24,10,31,40,40,20,28,26,26,20,18,13,21,5,1,33,9,31,4,4,7,4,2,4,12,12,2,1,4,2,1,20,6,10,3,85,32,60,14,61,25,22,78,21,50,24,77,23,7,16,14,10,8,6,3,22,4,15,12,9,7,5,3,66,83,88,43,71,62,48,16,2,10,6,4,6,37,13,45,4,2,3,2,2,1,1,0,68,21,46,42,34,29,21,16,67,22,45,41,33,27,19,14,7,1,6,6,5,4,4,2
5,WP19089,70,6,4,13,97,0,12,17,39,28,91,79,33,6,8,24,51,70,68,18,21,4,80,40,28,33,72,25,12,14,37,23,15,95,71,90,46,42,83,46,49,53,44,43,27,13,36,49,27,24,33,30,31,24,23,17,25,6,1,39,10,37,5,3,8,4,2,5,16,15,2,1,4,2,1,24,8,9,3,90,39,57,15,63,22,20,80,24,47,23,83,17,6,17,16,14,11,8,6,21,4,15,14,11,9,7,5,45,73,87,48,69,54,42,17,2,8,6,4,5,37,14,44,4,1,3,3,3,2,1,1,68,23,45,39,30,25,18,13,68,24,44,38,29,24,16,11,5,1,4,4,3,3,3,1
6,WP19092,67,11,8,25,97,0,8,15,40,34,93,81,34,6,10,25,62,75,74,25,30,6,84,41,30,36,84,28,7,9,39,29,17,96,77,94,53,48,88,55,63,68,54,53,36,18,42,46,23,32,46,44,44,36,36,25,34,10,2,43,11,42,6,3,8,5,2,5,18,17,2,1,4,2,0,27,12,13,5,94,43,52,15,65,21,21,79,27,50,27,83,17,6,21,20,17,15,11,8,23,4,17,16,13,11,8,6,44,71,87,57,79,62,36,18,1,8,8,5,3,36,15,46,8,2,6,6,5,5,4,2,69,29,41,34,26,22,15,11,68,30,38,31,24,20,13,9,5,1,4,4,4,3,3,2
7,WP19096,70,16,10,40,98,0,5,13,37,44,95,82,33,9,11,28,66,80,78,29,38,7,85,41,31,39,90,33,4,7,40,31,18,98,84,96,59,58,93,61,74,80,64,61,48,25,53,38,21,41,58,57,56,46,47,36,43,13,3,53,13,50,6,7,9,6,2,7,23,22,3,1,4,3,1,28,18,15,6,95,46,48,16,64,20,21,79,33,51,29,82,18,6,23,21,19,16,12,8,21,5,15,13,11,9,6,5,55,71,87,58,81,64,42,14,1,8,8,4,3,36,16,46,13,2,11,10,9,8,6,3,70,35,35,29,22,19,13,8,69,36,33,26,20,16,11,6,6,1,5,5,5,4,3,2
8,WP19100,72,28,18,65,98,0,4,8,34,52,96,84,36,11,13,31,74,86,84,35,47,10,84,45,32,42,94,37,1,6,37,36,20,99,90,98,68,67,94,67,81,86,72,71,61,31,59,26,22,52,70,68,66,58,58,43,51,16,4,57,13,54,7,9,9,5,3,6,26,25,2,2,4,2,1,28,29,21,9,95,50,48,16,63,21,21,79,36,53,36,82,18,8,28,26,23,20,14,10,27,5,19,17,14,12,8,5,60,80,85,49,79,57,45,18,1,11,10,5,2,39,18,41,18,4,13,12,11,9,7,5,73,35,38,33,26,22,18,12,71,36,34,29,23,18,14,10,10,2,8,8,7,6,5,3
9,WP19108,73,45,32,76,99,0,3,5,27,63,97,84,37,13,19,40,79,88,87,46,55,15,86,52,37,45,95,44,1,4,32,42,21,99,93,98,76,76,96,69,83,90,77,78,73,43,67,19,20,61,83,80,80,73,72,58,63,17,4,59,16,53,8,19,10,6,5,7,29,28,3,4,5,2,2,33,38,27,13,94,52,48,21,57,22,23,77,46,57,39,86,14,10,29,27,24,22,18,13,27,5,19,17,14,12,9,6,57,70,85,63,79,65,48,26,1,10,11,5,2,36,20,41,21,6,16,14,13,12,9,7,73,33,40,35,29,24,18,11,71,35,36,30,24,21,14,9,14,4,10,9,8,7,6,3
