ID,Populatie,Geslacht,Persoonskenmerken,Marges,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
0,A048710,T001038,T009002,MW00000,2018JJ00,82.9,8.6
1,A048710,T001038,T009002,MW00000,2019JJ00,81.9,8.6
2,A048710,T001038,T009002,MW00000,2020JJ00,73.8,3.9
3,A048710,T001038,T009002,MW00000,2021JJ00,78.1,4.2
4,A048710,T001038,T009002,MW00000,2022JJ00,79.7,6.1
5,A048710,T001038,T009002,MW00000,2023JJ00,80.4,7.0
6,A048710,T001038,T009002,MOG0095,2018JJ00,82.5,8.3
7,A048710,T001038,T009002,MOG0095,2019JJ00,81.5,8.3
8,A048710,T001038,T009002,MOG0095,2020JJ00,73.4,3.8
9,A048710,T001038,T009002,MOG0095,2021JJ00,77.8,4.1
10,A048710,T001038,T009002,MOG0095,2022JJ00,79.3,5.9
11,A048710,T001038,T009002,MOG0095,2023JJ00,80.0,6.8
12,A048710,T001038,T009002,MBG0095,2018JJ00,83.3,8.9
13,A048710,T001038,T009002,MBG0095,2019JJ00,82.4,8.8
14,A048710,T001038,T009002,MBG0095,2020JJ00,74.2,4.1
15,A048710,T001038,T009002,MBG0095,2021JJ00,78.5,4.4
16,A048710,T001038,T009002,MBG0095,2022JJ00,80.2,6.3
17,A048710,T001038,T009002,MBG0095,2023JJ00,80.8,7.2
18,A048710,T001038,51511  ,MW00000,2018JJ00,90.6,2.1
19,A048710,T001038,51511  ,MW00000,2019JJ00,88.9,1.6
20,A048710,T001038,51511  ,MW00000,2020JJ00,80.0,
21,A048710,T001038,51511  ,MW00000,2021JJ00,85.6,
22,A048710,T001038,51511  ,MW00000,2022JJ00,85.2,1.6
23,A048710,T001038,51511  ,MW00000,2023JJ00,85.8,2.0
24,A048710,T001038,51511  ,MOG0095,2018JJ00,89.4,1.6
25,A048710,T001038,51511  ,MOG0095,2019JJ00,87.4,1.2
26,A048710,T001038,51511  ,MOG0095,2020JJ00,78.5,
27,A048710,T001038,51511  ,MOG0095,2021JJ00,84.3,
28,A048710,T001038,51511  ,MOG0095,2022JJ00,83.4,1.2
29,A048710,T001038,51511  ,MOG0095,2023JJ00,84.2,1.5
30,A048710,T001038,51511  ,MBG0095,2018JJ00,91.6,2.7
31,A048710,T001038,51511  ,MBG0095,2019JJ00,90.3,2.1
32,A048710,T001038,51511  ,MBG0095,2020JJ00,81.4,
33,A048710,T001038,51511  ,MBG0095,2021JJ00,86.9,
34,A048710,T001038,51511  ,MBG0095,2022JJ00,86.8,2.2
35,A048710,T001038,51511  ,MBG0095,2023JJ00,87.3,2.6
36,A048710,T001038,52020  ,MW00000,2018JJ00,86.3,11.7
37,A048710,T001038,52020  ,MW00000,2019JJ00,86.4,10.7
38,A048710,T001038,52020  ,MW00000,2020JJ00,73.5,6.3
39,A048710,T001038,52020  ,MW00000,2021JJ00,79.0,6.3
40,A048710,T001038,52020  ,MW00000,2022JJ00,82.9,9.2
41,A048710,T001038,52020  ,MW00000,2023JJ00,83.6,9.4
42,A048710,T001038,52020  ,MOG0095,2018JJ00,85.0,10.7
43,A048710,T001038,52020  ,MOG0095,2019JJ00,84.9,9.7
44,A048710,T001038,52020  ,MOG0095,2020JJ00,72.0,5.5
45,A048710,T001038,52020  ,MOG0095,2021JJ00,77.6,5.5
46,A048710,T001038,52020  ,MOG0095,2022JJ00,81.3,8.3
47,A048710,T001038,52020  ,MOG0095,2023JJ00,82.2,8.5
48,A048710,T001038,52020  ,MBG0095,2018JJ00,87.5,12.7
49,A048710,T001038,52020  ,MBG0095,2019JJ00,87.8,11.9
50,A048710,T001038,52020  ,MBG0095,2020JJ00,75.0,7.1
51,A048710,T001038,52020  ,MBG0095,2021JJ00,80.3,7.1
52,A048710,T001038,52020  ,MBG0095,2022JJ00,84.4,10.2
53,A048710,T001038,52020  ,MBG0095,2023JJ00,85.0,10.4
54,A048710,T001038,53105  ,MW00000,2018JJ00,86.8,23.8
55,A048710,T001038,53105  ,MW00000,2019JJ00,84.6,24.0
56,A048710,T001038,53105  ,MW00000,2020JJ00,74.6,11.9
57,A048710,T001038,53105  ,MW00000,2021JJ00,78.3,14.5
58,A048710,T001038,53105  ,MW00000,2022JJ00,81.2,18.4
59,A048710,T001038,53105  ,MW00000,2023JJ00,81.3,20.7
60,A048710,T001038,53105  ,MOG0095,2018JJ00,85.4,22.5
61,A048710,T001038,53105  ,MOG0095,2019JJ00,83.1,22.6
62,A048710,T001038,53105  ,MOG0095,2020JJ00,73.2,11.0
63,A048710,T001038,53105  ,MOG0095,2021JJ00,77.0,13.6
64,A048710,T001038,53105  ,MOG0095,2022JJ00,79.8,17.3
65,A048710,T001038,53105  ,MOG0095,2023JJ00,80.0,19.5
66,A048710,T001038,53105  ,MBG0095,2018JJ00,88.0,25.2
67,A048710,T001038,53105  ,MBG0095,2019JJ00,86.0,25.4
68,A048710,T001038,53105  ,MBG0095,2020JJ00,75.9,12.8
69,A048710,T001038,53105  ,MBG0095,2021JJ00,79.4,15.5
70,A048710,T001038,53105  ,MBG0095,2022JJ00,82.5,19.5
71,A048710,T001038,53105  ,MBG0095,2023JJ00,82.7,21.9
72,A048710,T001038,53500  ,MW00000,2018JJ00,88.6,13.4
73,A048710,T001038,53500  ,MW00000,2019JJ00,86.6,13.4
