ID,Kenmerken,Marges,Perioden,ToegangTotInternetThuis_1,MinderDan3MaandenGeleden_2,k_3Tot12MaandenGeleden_3,MeerDan12MaandenGeleden_4,NooitInternetGebruikt_5,DagelijksGebruikInternet_6,MobieleTelefoonOfSmartphone_7,Tablet_8,Laptop_9,PersonalComputerPCOfDesktop_10,AnderMobielApparaat_11,VersturenOntvangenEMails_12,BellenViaInternet_13,DeelnemenAanEenSociaalNetwerk_14,TekstberichtjesVersturenWhatsApp_15,NieuwsberichtenKrantenOfNieuwsbladen_16,GezondheidsinformatieZoeken_17,InformatieZoekenOverGoederen_18,InformatieOverheid12Maanden_19,OnlineMuziekLuisterenOfDownloaden_20,TelevisieKijken_21,VideoSOfFilmpjesKijken_22,ProgrammaSFilmsOfSeriesKijken_23,SpelletjesSpelenOfDownloaden_24,InternetbankierenOfMobielBankieren_25,VerkopenGoederenOfDiensten_26
0,T009002,MW00000,2020JJ00,95.6,91.4,1.1,1.5,6.1,86.9,83.9,49.5,68.0,38.8,37.4,88.9,79.0,67.2,86.1,76.2,71.8,83.5,75.5,63.5,65.4,78.1,64.3,51.9,83.8,33.0
1,T009002,MW00000,2021JJ00,97.0,91.8,0.9,1.7,5.6,87.6,87.2,51.6,74.4,40.6,52.9,89.0,78.3,68.8,87.7,74.7,73.3,86.1,76.9,63.9,68.7,77.9,67.7,51.2,85.3,38.2
2,T009002,MW00000,2022JJ00,96.8,92.5,1.0,1.5,5.1,89.5,88.8,49.1,72.6,40.0,53.1,89.6,78.7,69.5,88.6,74.9,73.6,85.4,,68.3,67.6,76.5,67.5,51.4,85.7,37.1
3,T009002,MW00000,2023JJ00,97.8,97.0,0.3,0.3,2.3,94.6,94.5,48.1,73.4,38.8,56.3,93.4,81.3,72.0,93.8,70.8,74.5,91.6,,72.0,69.5,81.3,70.7,50.7,90.2,37.1
4,T009002,MW00000,2024JJ00,98.5,98.2,0.2,0.3,1.3,96.0,95.4,47.8,75.0,37.7,58.8,94.8,83.5,75.7,95.4,72.1,78.4,92.9,,74.3,71.3,82.1,70.0,49.2,92.2,38.9
5,T009002,MW00000,2025JJ00,98.3,97.7,0.1,0.3,1.9,95.6,95.5,48.4,73.3,35.1,59.8,94.1,84.0,76.3,94.8,75.0,76.4,86.2,,,,,,,91.3,41.7
6,T009002,MOG0095,2020JJ00,95.1,90.6,0.8,1.1,5.4,85.9,83.0,48.2,66.8,37.6,36.2,88.0,77.9,66.0,85.2,75.1,70.6,82.6,74.4,62.2,64.2,77.0,63.1,50.6,82.9,31.8
7,T009002,MOG0095,2021JJ00,96.5,91.0,0.6,1.3,5.0,86.7,86.2,50.3,73.2,39.3,51.6,88.1,77.2,67.5,86.8,73.5,72.1,85.1,75.7,62.6,67.4,76.8,66.5,49.9,84.3,37.0
8,T009002,MOG0095,2022JJ00,96.3,91.7,0.7,1.1,4.5,88.6,87.9,47.8,71.4,38.8,51.8,88.7,77.6,68.3,87.7,73.7,72.4,84.4,,67.1,66.4,75.4,66.2,50.0,84.7,35.9
9,T009002,MOG0095,2023JJ00,97.4,96.6,0.2,0.2,2.0,94.0,93.9,46.8,72.2,37.5,55.0,92.7,80.4,70.9,93.2,69.6,73.3,90.8,,70.9,68.3,80.3,69.5,49.5,89.4,35.8
10,T009002,MOG0095,2024JJ00,98.1,97.8,0.1,0.2,1.0,95.4,94.8,46.5,73.9,36.5,57.5,94.1,82.6,74.5,94.8,70.9,77.3,92.2,,73.1,70.1,81.1,68.8,47.9,91.4,37.7
11,T009002,MOG0095,2025JJ00,97.9,97.3,0.1,0.2,1.5,95.0,94.9,47.1,72.2,33.9,58.6,93.4,83.0,75.2,94.2,73.8,75.3,85.3,,,,,,,90.5,40.5
12,T009002,MBG0095,2020JJ00,96.2,92.1,1.4,1.8,6.8,87.8,84.9,50.8,69.2,40.1,38.7,89.7,80.0,68.4,87.0,77.4,72.9,84.5,76.6,64.7,66.6,79.1,65.5,53.1,84.8,34.2
13,T009002,MBG0095,2021JJ00,97.5,92.5,1.2,2.1,6.3,88.5,88.1,53.0,75.6,41.9,54.3,89.9,79.4,70.0,88.6,75.9,74.5,87.1,78.0,65.2,69.9,79.0,69.0,52.5,86.3,39.5
14,T009002,MBG0095,2022JJ00,97.3,93.2,1.3,1.8,5.7,90.3,89.6,50.4,73.7,41.3,54.4,90.4,79.8,70.7,89.5,76.0,74.7,86.3,,69.5,68.9,77.6,68.7,52.7,86.6,38.4
15,T009002,MBG0095,2023JJ00,98.1,97.5,0.5,0.5,2.7,95.2,95.1,49.4,74.5,40.0,57.6,94.1,82.3,73.2,94.4,71.9,75.6,92.3,,73.2,70.7,82.3,71.8,52.0,91.0,38.3
16,T009002,MBG0095,2024JJ00,98.8,98.5,0.4,0.6,1.6,96.5,95.9,49.1,76.2,38.9,60.0,95.4,84.5,76.8,96.0,73.2,79.4,93.6,,75.4,72.5,83.1,71.2,50.5,92.9,40.2
17,T009002,MBG0095,2025JJ00,98.7,98.1,0.3,0.5,2.3,96.2,96.0,49.6,74.5,36.4,61.1,94.7,84.9,77.3,95.4,76.1,77.5,87.1,,,,,,,92.0,43.0
18,3000   ,MW00000,2020JJ00,96.5,92.5,0.9,1.4,5.2,89.0,85.4,49.6,70.2,46.3,43.6,90.4,79.1,65.5,87.2,79.0,68.5,85.9,78.7,69.2,68.4,82.4,66.2,52.6,85.8,35.8
19,3000   ,MW00000,2021JJ00,97.7,92.2,1.1,1.9,4.9,88.4,87.6,51.7,75.2,47.1,58.7,89.7,76.9,66.7,87.6,76.7,69.4,86.9,80.3,67.8,70.0,80.5,67.8,51.9,85.8,39.3
20,3000   ,MW00000,2022JJ00,97.5,93.6,0.9,1.4,4.2,91.0,89.8,49.3,74.4,46.5,58.3,91.0,78.6,68.5,89.1,78.8,70.3,87.0,,72.6,69.8,81.3,68.5,53.6,87.7,37.6
