ID,RegioS,Perioden,JongerenMetJeugdhulpInNatura_1,JongerenMetJeugdhMetVerblInNat_2,JongerenMetJeugdbescherming_3,JeugdbeschEnJeugdhMetVerblInNat_4,JongerenMetJeugdreclassering_5
0,NL01   ,2021HJ01,11.1,9.9,1.1,47.5,0.3
1,NL01   ,2021HJ02,11.1,10.1,1.1,47.6,0.3
2,NL01   ,2021JJ00,13.2,9.4,1.2,47.8,0.3
3,NL01   ,2022HJ01,11.3,9.4,1.1,47.1,0.3
4,NL01   ,2022HJ02,11.5,9.3,1.0,47.5,0.3
5,NL01   ,2022JJ00,13.5,8.8,1.2,47.1,0.3
6,NL01   ,2023HJ01,11.7,8.7,1.0,48.5,0.3
7,NL01   ,2023HJ02,11.7,8.9,0.9,48.9,0.3
8,NL01   ,2023JJ00,13.9,8.3,1.1,48.4,0.3
9,NL01   ,2024HJ01,11.9,8.3,0.9,49.3,0.3
10,NL01   ,2024HJ02,11.8,8.4,0.9,49.2,0.3
11,NL01   ,2024JJ00,14.0,8.0,1.0,49.3,0.4
12,NL01   ,2025HJ01,11.4,7.8,0.9,47.1,0.3
13,LD01   ,2021HJ01,12.0,12.8,1.4,53.3,0.3
14,LD01   ,2021HJ02,12.0,12.8,1.4,51.7,0.3
15,LD01   ,2021JJ00,14.2,12.4,1.5,54.2,0.4
16,LD01   ,2022HJ01,12.1,12.3,1.3,51.6,0.3
17,LD01   ,2022HJ02,12.3,12.3,1.3,52.1,0.3
18,LD01   ,2022JJ00,14.2,11.8,1.5,52.0,0.4
19,LD01   ,2023HJ01,12.4,11.2,1.2,51.6,0.3
20,LD01   ,2023HJ02,12.3,11.4,1.2,51.9,0.3
21,LD01   ,2023JJ00,14.5,10.8,1.3,52.3,0.4
22,LD01   ,2024HJ01,12.5,11.0,1.2,53.6,0.3
23,LD01   ,2024HJ02,12.4,11.2,1.2,54.2,0.3
24,LD01   ,2024JJ00,14.7,10.7,1.3,53.9,0.4
25,LD01   ,2025HJ01,12.1,10.4,1.1,51.6,0.3
26,LD02   ,2021HJ01,11.0,11.7,1.3,49.7,0.3
27,LD02   ,2021HJ02,11.1,11.8,1.2,49.7,0.3
28,LD02   ,2021JJ00,13.0,11.0,1.4,49.7,0.3
29,LD02   ,2022HJ01,11.1,10.9,1.2,48.0,0.2
30,LD02   ,2022HJ02,11.2,10.8,1.2,49.1,0.3
31,LD02   ,2022JJ00,13.2,10.2,1.3,48.7,0.3
32,LD02   ,2023HJ01,11.5,10.1,1.1,50.3,0.3
33,LD02   ,2023HJ02,11.7,9.9,1.1,50.7,0.3
34,LD02   ,2023JJ00,13.7,9.4,1.2,50.2,0.3
35,LD02   ,2024HJ01,12.0,9.5,1.0,53.3,0.3
36,LD02   ,2024HJ02,12.1,9.5,1.0,52.2,0.3
37,LD02   ,2024JJ00,14.1,9.0,1.1,52.8,0.3
38,LD02   ,2025HJ01,11.7,8.9,1.0,50.1,0.3
39,LD03   ,2021HJ01,10.7,8.8,1.0,46.3,0.3
40,LD03   ,2021HJ02,10.8,8.9,1.0,46.5,0.3
41,LD03   ,2021JJ00,12.9,8.3,1.1,46.3,0.4
42,LD03   ,2022HJ01,11.1,8.2,1.0,46.0,0.3
43,LD03   ,2022HJ02,11.4,8.1,0.9,46.3,0.3
44,LD03   ,2022JJ00,13.4,7.7,1.1,45.7,0.4
45,LD03   ,2023HJ01,11.5,7.8,0.9,47.9,0.3
46,LD03   ,2023HJ02,11.5,8.1,0.8,48.6,0.3
47,LD03   ,2023JJ00,13.7,7.5,1.0,47.8,0.4
48,LD03   ,2024HJ01,11.5,7.5,0.8,47.7,0.3
49,LD03   ,2024HJ02,11.3,7.6,0.8,47.4,0.3
50,LD03   ,2024JJ00,13.5,7.2,0.9,47.7,0.4
51,LD03   ,2025HJ01,10.8,6.9,0.8,45.2,0.3
52,LD04   ,2021HJ01,11.5,9.4,1.2,44.0,0.3
53,LD04   ,2021HJ02,11.6,9.5,1.1,45.1,0.2
54,LD04   ,2021JJ00,13.8,8.9,1.2,44.9,0.3
55,LD04   ,2022HJ01,11.5,9.1,1.1,45.5,0.2
56,LD04   ,2022HJ02,11.8,8.9,1.0,45.4,0.2
57,LD04   ,2022JJ00,13.9,8.4,1.2,45.4,0.3
58,LD04   ,2023HJ01,11.9,8.3,1.0,45.4,0.2
59,LD04   ,2023HJ02,12.1,8.3,0.9,45.6,0.2
60,LD04   ,2023JJ00,14.3,7.8,1.1,45.0,0.3
61,LD04   ,2024HJ01,12.3,7.7,0.9,45.4,0.3
62,LD04   ,2024HJ02,12.5,7.7,0.9,46.3,0.3
63,LD04   ,2024JJ00,14.7,7.3,1.0,45.9,0.3
64,LD04   ,2025HJ01,12.1,7.3,0.9,44.9,0.3
65,PV20   ,2021HJ01,13.0,13.3,1.4,54.0,0.4
66,PV20   ,2021HJ02,13.0,13.1,1.4,52.6,0.3
67,PV20   ,2021JJ00,15.2,13.3,1.6,55.8,0.4
68,PV20   ,2022HJ01,13.2,13.1,1.4,55.6,0.3
69,PV20   ,2022HJ02,13.3,13.6,1.4,56.6,0.3
70,PV20   ,2022JJ00,15.4,12.7,1.6,55.7,0.4
71,PV20   ,2023HJ01,13.3,11.7,1.2,54.1,0.3
72,PV20   ,2023HJ02,13.3,11.8,1.2,53.0,0.3
73,PV20   ,2023JJ00,15.5,11.3,1.4,54.8,0.4
74,PV20   ,2024HJ01,13.3,11.3,1.2,54.9,0.3
75,PV20   ,2024HJ02,13.1,11.5,1.2,55.4,0.4
76,PV20   ,2024JJ00,15.4,11.0,1.3,54.8,0.4
77,PV20   ,2025HJ01,12.8,10.7,1.2,52.5,0.3
78,PV21   ,2021HJ01,11.1,12.9,1.5,49.9,0.2
79,PV21   ,2021HJ02,10.9,12.8,1.5,48.3,0.3
80,PV21   ,2021JJ00,13.2,12.0,1.6,50.5,0.3
81,PV21   ,2022HJ01,11.4,12.0,1.5,47.5,0.2
82,PV21   ,2022HJ02,11.7,11.6,1.5,46.8,0.3
83,PV21   ,2022JJ00,13.6,11.0,1.6,47.6,0.3
84,PV21   ,2023HJ01,12.0,10.9,1.4,47.9,0.3
