ID,BedrijfstakkenBranchesSBI2008,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,BrutoToegevoegdeWaardeBasisprijzen_3,OutputBasisprijzen_4,IntermediairVerbruik_5,BrutoToegevoegdeWaardeBasisprijzen_6,OutputBasisprijzen_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,OutputBasisprijzen_10,IntermediairVerbruik_11,BrutoToegevoegdeWaardeBasisprijzen_12,Totaal_13,Lonen_14,SocialePremiesTLVWerkgevers_15,Bruto_16,VerbruikVanVasteActiva_17,Netto_18,Saldo_19,NietProductgebondenBelastingen_20,NietProductgebondenSubsidies_21,BrutoToegevoegdeWaardeBasisprijzen_22
0,T001081,1995JJ00,592653.0,292906.0,299747.0,944182.0,476339.0,467976.0,,,,62.8,61.5,64.1,165560.0,138950.0,26610.0,133337.0,52832.0,80505.0,850.0,3165.0,2315.0,299747.0
1,T001081,1996JJ00,628103.0,316110.0,311993.0,987407.0,505260.0,482571.0,4.6,6.1,3.1,63.6,62.6,64.7,171981.0,144255.0,27726.0,139952.0,54638.0,85314.0,60.0,3239.0,3179.0,311993.0
2,T001081,1997JJ00,677228.0,343699.0,333529.0,1042208.0,539139.0,503705.0,5.6,6.7,4.4,65.0,63.7,66.2,181634.0,153571.0,28063.0,152477.0,57023.0,95454.0,-582.0,3235.0,3817.0,333529.0
3,T001081,1998JJ00,721160.0,365278.0,355882.0,1101136.0,575106.0,526905.0,5.7,6.7,4.6,65.5,63.5,67.5,194666.0,155070.0,39596.0,162448.0,59843.0,102605.0,-1232.0,3374.0,4606.0,355882.0
4,T001081,1999JJ00,768810.0,392270.0,376540.0,1159772.0,608816.0,552062.0,5.3,5.9,4.8,66.3,64.4,68.2,209646.0,166790.0,42856.0,168589.0,63648.0,104941.0,-1695.0,3790.0,5485.0,376540.0
5,T001081,2000JJ00,844418.0,438445.0,405973.0,1215471.0,640163.0,576584.0,4.8,5.1,4.4,69.5,68.5,70.4,226797.0,178788.0,48009.0,180662.0,69098.0,111564.0,-1486.0,4067.0,5553.0,405973.0
6,T001081,2001JJ00,894163.0,463688.0,430475.0,1242811.0,653933.0,590166.0,2.2,2.2,2.4,71.9,70.9,72.9,239194.0,191543.0,47651.0,192894.0,74565.0,118329.0,-1613.0,4489.0,6102.0,430475.0
7,T001081,2002JJ00,916457.0,467313.0,449144.0,1240742.0,650502.0,591460.0,-0.2,-0.5,0.2,73.9,71.8,75.9,251188.0,198956.0,52232.0,199433.0,79464.0,119969.0,-1477.0,4686.0,6163.0,449144.0
8,T001081,2003JJ00,930561.0,470985.0,459576.0,1237120.0,646398.0,591820.0,-0.3,-0.6,0.1,75.2,72.9,77.7,257981.0,203146.0,54835.0,203038.0,82835.0,120203.0,-1443.0,4725.0,6168.0,459576.0
9,T001081,2004JJ00,964259.0,490687.0,473572.0,1262349.0,659170.0,604274.0,2.0,2.0,2.1,76.4,74.4,78.4,261726.0,205183.0,56543.0,213726.0,85821.0,127905.0,-1880.0,4918.0,6798.0,473572.0
