ID,ProductgroepenEnOverigePosten,Perioden,TotaalAanbodBasisprijzen_1,AanbodUitBinnenlandseProductie_2,Totaal_3,InvoerVanGoederen_4,InvoerVanDiensten_5,TotaalGebruikAankoopprijzen_6,IntermediairVerbruik_7,Totaal_8,Huishoudens_9,Overheid_10,BrutoInvesteringenInVasteActiva_11,VeranderingInVoorraden_12,Totaal_13,Goederen_14,Diensten_15,TotaalAanbodBasisprijzen_16,AanbodUitBinnenlandseProductie_17,Totaal_18,InvoerVanGoederen_19,InvoerVanDiensten_20,TotaalGebruikAankoopprijzen_21,IntermediairVerbruik_22,Totaal_23,Huishoudens_24,Overheid_25,BrutoInvesteringenInVasteActiva_26,VeranderingInVoorraden_27,Totaal_28,Goederen_29,Diensten_30,TotaalAanbodBasisprijzen_31,AanbodUitBinnenlandseProductie_32,Totaal_33,InvoerVanGoederen_34,InvoerVanDiensten_35,TotaalGebruikAankoopprijzen_36,IntermediairVerbruik_37,Totaal_38,Huishoudens_39,Overheid_40,BrutoInvesteringenInVasteActiva_41,VeranderingInVoorraden_42,Totaal_43,Goederen_44,Diensten_45,TotaalAanbodBasisprijzen_46,AanbodUitBinnenlandseProductie_47,Totaal_48,InvoerVanGoederen_49,InvoerVanDiensten_50,TotaalGebruikAankoopprijzen_51,IntermediairVerbruik_52,Totaal_53,Huishoudens_54,Overheid_55,BrutoInvesteringenInVasteActiva_56,VeranderingInVoorraden_57,Totaal_58,Goederen_59,Diensten_60
0,T001026,2021JJ00,2226206,1552403,673803,501942,171861,2497943,944257,609527,383156,226371,184425,13444,746290,543950,202340,2226206.0,1552403.0,673803.0,501942.0,171861.0,2497943.0,944257.0,609527.0,383156.0,226371.0,184425.0,,746290.0,543950.0,202340.0,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0
1,T001026,2022JJ00,2660284,1807005,853279,666078,187201,2952869,1116542,677106,435208,241898,203422,23798,932001,688202,243799,2332638.0,1633709.0,698929.0,518898.0,180031.0,2608920.0,981976.0,635340.0,406097.0,229243.0,190716.0,,782611.0,555438.0,227173.0,4.8,5.2,3.7,3.4,4.8,4.4,4.0,4.2,6.0,1.3,3.4,,4.9,2.1,12.3,114.0,110.6,122.1,128.4,104.0,113.2,113.7,106.6,107.2,105.5,106.7,,119.1,123.9,107.3
2,T001026,2023JJ00,2660698,1865874,794824,603706,191118,2958756,1123144,733651,469814,263837,213665,-2793,891089,636279,254810,2301391.0,1634092.0,669392.0,494664.0,175269.0,2574120.0,983773.0,645173.0,409573.0,235644.0,193542.0,,756968.0,534012.0,223454.0,-1.3,0.0,-4.2,-4.7,-2.6,-1.3,0.2,1.5,0.9,2.8,1.5,,-3.3,-3.9,-1.6,115.6,114.2,118.7,122.0,109.0,114.9,114.2,113.7,114.7,112.0,110.4,,117.7,119.2,114.0
3,T001026,2024JJ00,2718354,1939507,778847,578952,199895,3037161,1145951,775393,485731,289662,222797,-2060,895080,623538,271542,2310349.0,1644771.0,667846.0,491226.0,177432.0,2585809.0,987212.0,656668.0,412728.0,244087.0,192679.0,,755023.0,526564.0,229230.0,0.4,0.7,-0.2,-0.7,1.2,0.5,0.3,1.8,0.8,3.6,-0.4,,-0.3,-1.4,2.6,117.7,117.9,116.6,117.9,112.7,117.5,116.1,118.1,117.7,118.7,115.6,,118.5,118.4,118.5
4,A001026,2021JJ00,59107,33882,25225,25225,0,73573,31705,9168,9168,0,316,620,31764,31748,16,59107.0,33882.0,25225.0,25225.0,0.0,73573.0,31705.0,9168.0,9168.0,0.0,316.0,,31764.0,31748.0,16.0,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0
5,A001026,2022JJ00,67324,38762,28562,28562,0,82269,39121,9875,9875,0,367,717,32189,32169,20,56968.0,32790.0,24178.0,24178.0,,71137.0,30779.0,9303.0,9303.0,,365.0,,29940.0,29920.0,20.0,-3.6,-3.2,-4.2,-4.2,,-3.3,-2.9,1.5,1.5,,15.5,,-5.7,-5.8,25.0,118.2,118.2,118.1,118.1,,115.6,127.1,106.1,106.1,,100.5,,107.5,107.5,100.0
6,A001026,2023JJ00,67219,39335,27884,27884,0,82854,40519,10303,10303,0,379,-1249,32902,32884,18,55828.0,32205.0,23624.0,23624.0,,69766.0,31382.0,9058.0,9058.0,,376.0,,29079.0,29061.0,18.0,-2.0,-1.8,-2.3,-2.3,,-1.9,2.0,-2.6,-2.6,,3.0,,-2.9,-2.9,-10.0,120.4,122.1,118.0,118.0,,118.8,129.1,113.7,113.7,,100.8,,113.1,113.2,100.0
7,A001026,2024JJ00,69360,39412,29948,29948,0,85767,41536,10424,10424,0,263,-646,34190,34172,18,55988.0,31734.0,24273.0,24273.0,,70035.0,30789.0,9020.0,9020.0,,260.0,,29506.0,29487.0,19.0,0.3,-1.5,2.8,2.8,,0.4,-1.9,-0.4,-0.4,,-30.9,,1.5,1.5,5.6,123.9,124.2,123.4,123.4,,122.5,134.9,115.6,115.6,,101.2,,115.9,115.9,94.7
8,A001027,2021JJ00,56993,33303,23690,23690,0,70937,31067,8946,8946,0,316,605,30003,29987,16,56993.0,33303.0,23690.0,23690.0,0.0,70937.0,31067.0,8946.0,8946.0,0.0,316.0,,30003.0,29987.0,16.0,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0
9,A001027,2022JJ00,65321,38090,27231,27231,0,79815,38487,9642,9642,0,367,725,30594,30574,20,55368.0,32263.0,23105.0,23105.0,,69110.0,30255.0,9095.0,9095.0,,365.0,,28640.0,28620.0,20.0,-2.9,-3.1,-2.5,-2.5,,-2.6,-2.6,1.7,1.7,,15.5,,-4.5,-4.6,25.0,118.0,118.1,117.9,117.9,,115.5,127.2,106.0,106.0,,100.5,,106.8,106.8,100.0
