ID,TypeOfData,Periods,Total_1,GrossDomesticProduct_2,Total_3,ImportsOfGoods_4,ImportsOfServices_5,Total_6,Total_7,Total_8,HouseholdsIncludingNPISHs_9,GeneralGovernment_10,Total_11,EnterprisesAndHouseholds_12,GeneralGovernment_13,ChangesInInventoriesInclValuables_14,Total_15,ExportsOfGoods_16,ExportsOfServices_17,Total_18,Total_19,AAgricultureForestryAndFishing_20,Total_21,BMiningAndQuarrying_22,Total_23,k_1012ManufactureOfFoodAndBeverages_24,k_1315ManOfTextileLeatherProducts_25,k_1618ManWoodAndPaperprodPrinting_26,k_19ManufactureOfCokeAndPetroleum_27,k_2021ChemistryAndPharmaceuticals_28,k_2223ManPlasticsAndConstructionprod_29,k_2425ManOfBasicMetalsAndProducts_30,k_2627ElectricalAndElectronIndustry_31,k_28ManufactureOfMachineryNEC_32,k_2930TransportEquipment_33,k_3133OtherManufacturingAndRepair_34,DElectricityAndGasSupply_35,EWaterSupplyAndWasteManagement_36,FConstruction_37,Total_38,Total_39,GWholesaleAndRetailTrade_40,HTransportationAndStorage_41,IAccommodationAndFoodServing_42,JInformationAndCommunication_43,KFinancialInstitutions_44,LRentingBuyingSellingRealEstate_45,Total_46,MOtherSpecializedBusinessServices_47,Total_48,k_77RentingAndLeasingOfTangibleGoods_49,k_78EmploymentActivities_50,k_79TravelAgenciesTourOperatorsEtc_51,k_8082SecurityAndOtherServices_52,Total_53,Total_54,Total_55,OPublicAdministrationAndServices_56,PEducation_57,QHealthAndSocialWorkActivities_58,RUCultureRecreationOtherServices_59,TaxesLessSubsidiesOnProducts_60,TaxesOnProducts_61,SubsidiesOnProducts_62,GrossDomesticProduct_63,CompensationOfEmployees_64,NetOperatingSurplus_65,TaxesLessSubsidies_66,TaxesOnProductionAndImports_67,SubsidiesOnProductionAndImports_68,NetDomesticProductMarketPrices_69,ConsumptionOfFixedCapital_70,GrossDomesticProduct_71,GrossDomesticProduct_72,NetPrimaryIncomeFromRestOfWorld_73,PrimaryIncomeFromRestOfWorld_74,PrimaryIncomePaidToRestOfWorld_75,GrossNationalIncome_76,NetCurrentTransfersFromRestOfWorld_77,CurrentTransfersFromRestOfWorld_78,CurrentTransfersPaidToRestOfWorld_79,GrossDisposableNationalIncome_80,FinalConsumptionExpenditure_81,AdjustmChangeInPensionEntitlements_82,GrossNationalSavings_83,GrossCapitalFormation_84,SurplusOfTheNationOnIncome_85,NetExportsOfGoods_86,NetExportsOfServices_87,NetPrimaryIncomeFromRestOfWorld_88,NetCurrentTransfersFromRestOfWorld_89,AdjustmChangeInPensionEntitlements_90,SurplusOfNationOnCurrentTransaction_91,NetCapitalTransfersFromRestOfWorld_92,NetCapitalTransfersFromRestOfWorld_93,CapitalTransfersPaidToRestOfWorld_94,AcqLessDisposalsOfNonProdAssets_95,NationalNetLendingOrNetBorrowing_96,TotalFinalConsumptionExpenditure_97,Total_98,Total_99,Total_100,FoodProducts_101,BeveragesAndTobaccoProducts_102,Total_103,TextilesAndWearingApparel_104,ShoesLeatherAndRelatedProducts_105,HomeFurnishingAndHomeDecoration_106,ElectricalEquipment_107,TransportEquipmentAndParts_108,OtherDurableConsumerGoods_109,Total_110,EnergyAndWater_111,MotorFuelAndOtherGoods_112,Total_113,Housing_114,AccommodationAndFoodServices_115,RecreationalAndCulturalServices_116,TransportAndCommunicationServices_117,MedicalServicesAndWelfare_118,FinancialAndBusinessServices_119,OtherServices_120,DomesticFinalConsumption_121,ConsumptionByResidentsAbroad_122,ConsumptionNonResidentsInNetherlands_123,Total_124,IndividualConsumptionByGovernment_125,CollectiveConsumptionByGovernment_126,TotalFinalConsumptionExpenditure_127,ActualIndividualConsumption_128,ActualCollectiveFinalConsumption_129,TotalGrossFixedCapitalFormation_130,Total_131,Dwellings_132,Total_133,BuildingsOtherThanDwellings_134,OtherStructures_135,CostsOfOwnershipTransferOfLand_136,TransportEquipment_137,Total_138,Computers_139,TelecommunicationEquipment_140,OtherMachineryAndEquipment_141,CultivatedBiologicalResources_142,Total_143,ComputerSoftwareAndDatabases_144,ResearchAndDevelopment_145,OtherIntellectualPropertyProducts_146,SalesOfUsedFixedAssets_147,TotalGrossFixedCapitalFormation_148,Total_149,AAgricultureForestryAndFishing_150,BFIndustryAndEnergy_151,GNCommercialServices_152,OUNoncommercialServices_153,SalesOfUsedFixedAssets_154,TotalExportsOfGoodsAndServices_155,AgricultureForestryFishingProducts_156,MiningAndQuarrying_157,FoodBeveragesAndTobaccoProducts_158,TextilesWearingApparelAndLeather_159,WoodAndPaperProductsAndPrinting_160,CokeAndRefinedPetroleumProducts_161,ChemicalAndPharmaceuticalProducts_162,RubberPlasticsAndOtherMinerals_163,BasicMetalsAndMetalProducts_164,MachineryAndElectricalEquipment_165,ComputerElectronicOpticalProducts_166,TransportEquipment_167,OtherManufacturedProductsIE_168,OtherProducts_169,ConsumptionNonResidentsInNetherlands_170,CifFobAdjustment_171,Total_172,ExportsOfGoodsFromProduction_173,ReExports_174,Total_175,ConsumptionNonResidentsInNetherlands_176,OtherExportsOfServices_177,CifFobAdjustment_178,TotalImportsOfGoodsAndServices_179,AgricultureForestryFishingProducts_180,MiningAndQuarrying_181,FoodBeveragesAndTobaccoProducts_182,TextilesWearingApparelAndLeather_183,WoodAndPaperProductsAndPrinting_184,CokeAndRefinedPetroleumProducts_185,ChemicalAndPharmaceuticalProducts_186,RubberPlasticsAndOtherMinerals_187,BasicMetalsAndMetalProducts_188,MachineryAndElectricalEquipment_189,ComputerElectronicOpticalProducts_190,TransportEquipment_191,OtherManufacturedProductsIE_192,OtherProducts_193,ConsumptionByResidentsAbroad_194,CifFobAdjustment_195,Total_196,ImportsOfGoodsCif_197,CifFobAdjustmentAndReclassification_198,Total_199,ImportOfServicesCif_200,CifFobReclassification_201,Total_202,TaxesOnProducts_203,OtherTaxesOnProduction_204,Total_205,SubsidiesOnProducts_206,OtherSubsidiesOnProduction_207
0,A045295,1995KW01,181657.0,133228.0,51166.0,38353.0,11844.0,181657.0,121150.0,97454.0,65643.0,32016.0,24786.0,20599.0,4081.0,-922.0,62382.0,47684.0,13829.0,115937.0,32106.0,2741.0,21704.0,11710.0,13297.0,2674.0,443.0,1174.0,174.0,1751.0,1160.0,2033.0,857.0,1087.0,716.0,1587.0,1395.0,659.0,7194.0,52465.0,21594.0,12815.0,6024.0,2995.0,2000.0,6755.0,9004.0,13930.0,,,,1834.0,267.0,,31683.0,28061.0,17499.0,,,10462.0,3573.0,17542.0,18016.0,133.0,133228.0,,,13575.0,19690.0,5326.0,112616.0,20623.0,133228.0,133228.0,,,,,,,,,97454.0,,,23996.0,,,,,,,,,,,,,97454.0,65643.0,28322.0,9274.0,6610.0,2789.0,9484.0,2137.0,474.0,2452.0,308.0,4120.0,1401.0,10497.0,4975.0,5894.0,37634.0,13505.0,6343.0,3022.0,1367.0,3177.0,6154.0,5137.0,65908.0,1651.0,1778.0,32016.0,21319.0,10661.0,97454.0,86778.0,10661.0,24786.0,25278.0,7707.0,7035.0,4089.0,2459.0,399.0,2083.0,82.0,61.0,29.0,5527.0,188.0,4131.0,1156.0,3340.0,176.0,332.0,24786.0,25278.0,873.0,5370.0,13730.0,4967.0,332.0,62382.0,,,,,,,,,,,,,,,1778.0,-320.0,47684.0,37916.0,12916.0,13829.0,1778.0,12461.0,-320.0,51166.0,,,,,,,,,,,,,,,1651.0,-320.0,38353.0,39208.0,-868.0,11844.0,11235.0,548.0,19690.0,18016.0,1582.0,5326.0,133.0,4033.0
1,A045295,1995KW02,184404.0,134022.0,53231.0,38301.0,13655.0,184404.0,124858.0,100179.0,66558.0,33852.0,27362.0,22682.0,4622.0,-2554.0,61846.0,47147.0,14215.0,118203.0,29299.0,2517.0,18389.0,6145.0,12887.0,3498.0,383.0,1274.0,51.0,1492.0,1248.0,1641.0,853.0,912.0,665.0,1468.0,1396.0,615.0,8234.0,54994.0,21995.0,13440.0,5366.0,3464.0,2395.0,7339.0,9321.0,14637.0,,,,2348.0,241.0,,34277.0,31156.0,20777.0,,,10455.0,3131.0,15906.0,16373.0,125.0,134022.0,,,12183.0,18006.0,4856.0,113366.0,20652.0,134022.0,134022.0,,,,,,,,,100179.0,,,24873.0,,,,,,,,,,,,,100179.0,66558.0,27966.0,10550.0,7051.0,3846.0,9189.0,2280.0,647.0,2678.0,325.0,2915.0,1521.0,9250.0,2943.0,6461.0,37856.0,13126.0,6304.0,2682.0,1501.0,3326.0,7002.0,5031.0,65777.0,2799.0,1952.0,33852.0,21464.0,12305.0,100179.0,87810.0,12305.0,27362.0,27560.0,8105.0,8071.0,4673.0,2983.0,324.0,2453.0,92.0,66.0,35.0,6464.0,100.0,3685.0,1209.0,2554.0,171.0,214.0,27362.0,27560.0,900.0,6297.0,14879.0,5310.0,214.0,61846.0,,,,,,,,,,,,,,,1952.0,-346.0,47147.0,37390.0,12638.0,14215.0,1952.0,12584.0,-346.0,53231.0,,,,,,,,,,,,,,,2799.0,-346.0,38301.0,39187.0,-913.0,13655.0,13050.0,567.0,18006.0,16373.0,1516.0,4856.0,125.0,3530.0
2,A045295,1995KW03,178105.0,130344.0,50689.0,35587.0,14769.0,178105.0,122465.0,98049.0,67305.0,30831.0,23129.0,18893.0,4223.0,1287.0,58810.0,43512.0,15128.0,113575.0,27817.0,2577.0,18147.0,4917.0,13451.0,4240.0,366.0,1058.0,-42.0,1535.0,1066.0,1893.0,1002.0,1181.0,744.0,1335.0,1209.0,695.0,7152.0,54951.0,21183.0,12659.0,5453.0,3505.0,2152.0,7626.0,9619.0,15167.0,,,,3233.0,699.0,,30995.0,27050.0,16739.0,,,10220.0,4020.0,17522.0,17909.0,131.0,130344.0,,,16660.0,19884.0,3096.0,109737.0,20622.0,130344.0,130344.0,,,,,,,,,98049.0,,,24481.0,,,,,,,,,,,,,98049.0,67305.0,27348.0,10897.0,7164.0,4079.0,8886.0,2198.0,716.0,2605.0,376.0,2326.0,1612.0,8764.0,2383.0,6444.0,37227.0,13934.0,6030.0,2742.0,1654.0,3414.0,6474.0,4192.0,64675.0,5172.0,2552.0,30831.0,19565.0,11136.0,98049.0,86856.0,11136.0,23129.0,23256.0,8308.0,7799.0,4168.0,3154.0,510.0,1809.0,101.0,74.0,37.0,3908.0,9.0,3175.0,1099.0,2033.0,198.0,158.0,23129.0,23256.0,819.0,4127.0,13750.0,4408.0,158.0,58810.0,,,,,,,,,,,,,,,2552.0,-313.0,43512.0,34086.0,12188.0,15128.0,2552.0,13064.0,-313.0,50689.0,,,,,,,,,,,,,,,5172.0,-313.0,35587.0,36347.0,-772.0,14769.0,14283.0,460.0,19884.0,17909.0,1906.0,3096.0,131.0,2170.0
3,A045295,1995KW04,187143.0,137998.0,52819.0,37241.0,15178.0,187143.0,130368.0,99251.0,65729.0,33486.0,28683.0,22828.0,5808.0,2127.0,61134.0,44595.0,16373.0,120275.0,30775.0,2263.0,20645.0,9833.0,13565.0,3831.0,347.0,1293.0,460.0,1604.0,1128.0,1781.0,811.0,1047.0,550.0,1524.0,1147.0,679.0,8185.0,56427.0,21066.0,13019.0,5378.0,3087.0,2295.0,8842.0,9602.0,15553.0,,,,3035.0,140.0,,33523.0,30021.0,20506.0,,,9738.0,3528.0,18005.0,18417.0,118.0,137998.0,,,17139.0,21404.0,2324.0,117439.0,20578.0,137998.0,137998.0,,,,,,,,,99251.0,,,30850.0,,,,,,,,,,,,,99251.0,65729.0,28778.0,10814.0,7378.0,3750.0,8715.0,2434.0,620.0,2969.0,372.0,2018.0,1308.0,10477.0,4855.0,6003.0,36082.0,13797.0,5433.0,2513.0,1482.0,2846.0,6056.0,5073.0,64937.0,2269.0,1427.0,33486.0,20373.0,12992.0,99251.0,86262.0,12992.0,28683.0,28957.0,8448.0,9598.0,5107.0,3812.0,780.0,2520.0,162.0,128.0,45.0,5668.0,9.0,4013.0,1538.0,2405.0,197.0,290.0,28683.0,28957.0,932.0,5111.0,16639.0,6023.0,290.0,61134.0,,,,,,,,,,,,,,,1427.0,-304.0,44595.0,34976.0,12257.0,16373.0,1427.0,15199.0,-304.0,52819.0,,,,,,,,,,,,,,,2269.0,-304.0,37241.0,37968.0,-745.0,15178.0,14717.0,441.0,21404.0,18417.0,2935.0,2324.0,118.0,1396.0
4,A045295,1995JJ00,731248.0,535573.0,207953.0,149438.0,55689.0,731248.0,498832.0,394911.0,265225.0,130205.0,104180.0,85267.0,18719.0,8.0,244028.0,182716.0,59674.0,467976.0,119933.0,10073.0,78852.0,32779.0,53211.0,14071.0,1532.0,4798.0,651.0,6386.0,4604.0,7339.0,3538.0,4223.0,2669.0,5926.0,5153.0,2655.0,30770.0,218878.0,85799.0,51928.0,22177.0,13329.0,8840.0,30420.0,37534.0,59296.0,,,,10350.0,1418.0,,130541.0,116335.0,75514.0,,,40910.0,14299.0,68709.0,70454.0,503.0,535573.0,,,59945.0,78713.0,14490.0,453135.0,82473.0,535573.0,535573.0,,,,,,,,,394911.0,,,104223.0,,,,,,,,,,,,,394911.0,265225.0,112425.0,41510.0,28203.0,14408.0,36227.0,9054.0,2442.0,10705.0,1377.0,11177.0,5841.0,38986.0,14990.0,24775.0,148729.0,54349.0,23952.0,10953.0,6010.0,12755.0,25668.0,19376.0,261287.0,11921.0,7895.0,130205.0,82768.0,47080.0,394911.0,347710.0,47080.0,104180.0,105173.0,32752.0,32413.0,18018.0,12374.0,1855.0,8835.0,430.0,323.0,145.0,21656.0,306.0,15092.0,5006.0,10404.0,768.0,989.0,104180.0,105173.0,3533.0,20879.0,59133.0,20716.0,989.0,244028.0,,,,,,,,,,,,,,,7895.0,-1282.0,182716.0,144144.0,49948.0,59674.0,7895.0,53389.0,-1282.0,207953.0,,,,,,,,,,,,,,,11921.0,-1282.0,149438.0,152657.0,-3293.0,55689.0,53525.0,2011.0,78713.0,70454.0,7784.0,14490.0,503.0,10003.0
5,A045295,1996KW01,187884.0,136390.0,54003.0,40279.0,12775.0,187884.0,124460.0,100342.0,69101.0,31389.0,24771.0,20666.0,4002.0,-469.0,65213.0,49602.0,14753.0,118322.0,32002.0,2534.0,22579.0,14958.0,13122.0,2730.0,404.0,1109.0,153.0,1742.0,1008.0,1955.0,880.0,1217.0,696.0,1573.0,1517.0,709.0,6113.0,54952.0,22253.0,13292.0,6158.0,3022.0,2121.0,7146.0,9188.0,15150.0,,,,2388.0,286.0,,31562.0,28004.0,17360.0,,,10564.0,3508.0,18562.0,18735.0,109.0,136390.0,,,14213.0,20654.0,5645.0,115341.0,21065.0,136390.0,136390.0,,,,,,,,,100342.0,,,24467.0,,,,,,,,,,,,,100342.0,69101.0,30081.0,9691.0,6941.0,2867.0,9814.0,2248.0,508.0,2464.0,341.0,4158.0,1455.0,11855.0,6092.0,6402.0,39129.0,13937.0,6482.0,3209.0,1420.0,3435.0,6495.0,5211.0,69225.0,1838.0,1809.0,31389.0,20797.0,10536.0,100342.0,89849.0,10536.0,24771.0,25199.0,6732.0,6219.0,3310.0,2375.0,488.0,2320.0,134.0,107.0,34.0,5665.0,195.0,4506.0,1494.0,3146.0,245.0,274.0,24771.0,25199.0,884.0,5214.0,13972.0,4817.0,274.0,65213.0,,,,,,,,,,,,,,,1809.0,-347.0,49602.0,38673.0,13915.0,14753.0,1809.0,13375.0,-347.0,54003.0,,,,,,,,,,,,,,,1838.0,-347.0,40279.0,41151.0,-884.0,12775.0,12188.0,537.0,20654.0,18735.0,1793.0,5645.0,109.0,5095.0
6,A045295,1996KW02,190597.0,139185.0,54500.0,38742.0,14577.0,190597.0,131447.0,102936.0,69849.0,33235.0,28967.0,23722.0,5186.0,-615.0,62041.0,46550.0,15116.0,122361.0,30045.0,2386.0,19105.0,6918.0,13233.0,3531.0,378.0,1262.0,43.0,1513.0,1297.0,1657.0,903.0,1024.0,654.0,1598.0,1437.0,680.0,8467.0,58207.0,23052.0,14275.0,5503.0,3515.0,2568.0,7730.0,9505.0,16136.0,,,,3032.0,255.0,,34267.0,31165.0,20617.0,,,10633.0,3110.0,17045.0,17192.0,100.0,139185.0,,,12996.0,19020.0,4812.0,118104.0,21095.0,139185.0,139185.0,,,,,,,,,102936.0,,,28482.0,,,,,,,,,,,,,102936.0,69849.0,29504.0,10912.0,7299.0,3968.0,9726.0,2316.0,699.0,2814.0,372.0,3082.0,1617.0,9950.0,3166.0,6950.0,39448.0,13595.0,6486.0,2823.0,1579.0,3622.0,7330.0,5143.0,68946.0,3011.0,2036.0,33235.0,20908.0,12222.0,102936.0,90675.0,12222.0,28967.0,29171.0,8925.0,8913.0,4942.0,3465.0,407.0,2130.0,127.0,94.0,43.0,6477.0,103.0,3860.0,1329.0,2556.0,202.0,221.0,28967.0,29171.0,937.0,6343.0,16016.0,5722.0,221.0,62041.0,,,,,,,,,,,,,,,2036.0,-341.0,46550.0,36916.0,12478.0,15116.0,2036.0,13387.0,-341.0,54500.0,,,,,,,,,,,,,,,3011.0,-341.0,38742.0,39574.0,-854.0,14577.0,14039.0,513.0,19020.0,17192.0,1704.0,4812.0,100.0,4268.0
7,A045295,1996KW03,186663.0,135357.0,54106.0,38379.0,15261.0,186663.0,127891.0,100658.0,70220.0,30436.0,25857.0,20894.0,4939.0,1202.0,61992.0,45670.0,16170.0,117828.0,28612.0,2559.0,18894.0,5643.0,13868.0,4340.0,359.0,1071.0,-36.0,1605.0,1083.0,1941.0,1069.0,1274.0,675.0,1400.0,1265.0,733.0,7184.0,58129.0,22070.0,13379.0,5565.0,3516.0,2289.0,8172.0,9816.0,16703.0,,,,3976.0,744.0,,31082.0,27128.0,16627.0,,,10441.0,4028.0,18375.0,18494.0,109.0,135357.0,,,16960.0,20450.0,3397.0,114317.0,21067.0,135357.0,135357.0,,,,,,,,,100658.0,,,27117.0,,,,,,,,,,,,,100658.0,70220.0,28895.0,11064.0,7312.0,4076.0,9623.0,2323.0,759.0,2788.0,432.0,2596.0,1705.0,9346.0,2553.0,6864.0,38961.0,14332.0,6179.0,2895.0,1747.0,3760.0,6885.0,4363.0,67990.0,4980.0,2788.0,30436.0,19239.0,11057.0,100658.0,89573.0,11057.0,25857.0,26027.0,9060.0,8487.0,4208.0,3717.0,631.0,1754.0,155.0,118.0,44.0,4597.0,16.0,3583.0,1342.0,2129.0,258.0,201.0,25857.0,26027.0,903.0,4817.0,15210.0,4905.0,201.0,61992.0,,,,,,,,,,,,,,,2788.0,-310.0,45670.0,35465.0,12990.0,16170.0,2788.0,13890.0,-310.0,54106.0,,,,,,,,,,,,,,,4980.0,-310.0,38379.0,39180.0,-813.0,15261.0,14724.0,503.0,20450.0,18494.0,1883.0,3397.0,109.0,2976.0
8,A045295,1996KW04,195668.0,142954.0,56225.0,39711.0,16064.0,195668.0,135177.0,102506.0,69062.0,33273.0,31318.0,24807.0,6465.0,1037.0,64776.0,47052.0,17595.0,124066.0,31406.0,2146.0,21222.0,9679.0,13993.0,3928.0,352.0,1289.0,360.0,1689.0,1167.0,1873.0,856.0,1115.0,502.0,1584.0,1224.0,715.0,8447.0,59264.0,21830.0,13574.0,5502.0,3169.0,2439.0,9329.0,9809.0,16899.0,,,,3626.0,148.0,,33639.0,30103.0,20336.0,,,9990.0,3563.0,19360.0,19453.0,95.0,142954.0,,,17847.0,22410.0,2534.0,121965.0,21022.0,142954.0,142954.0,,,,,,,,,102506.0,,,32347.0,,,,,,,,,,,,,102506.0,69062.0,30287.0,11242.0,7696.0,3855.0,9202.0,2455.0,670.0,3148.0,419.0,2105.0,1410.0,11141.0,5161.0,6383.0,38012.0,14184.0,5825.0,2664.0,1562.0,3144.0,6455.0,5302.0,68378.0,2117.0,1409.0,33273.0,20157.0,12983.0,102506.0,89545.0,12983.0,31318.0,31576.0,9063.0,9833.0,4923.0,4156.0,895.0,2753.0,222.0,179.0,51.0,6392.0,17.0,4406.0,1715.0,2568.0,250.0,279.0,31318.0,31576.0,982.0,5786.0,18016.0,6480.0,279.0,64776.0,,,,,,,,,,,,,,,1409.0,-341.0,47052.0,36996.0,12874.0,17595.0,1409.0,16466.0,-341.0,56225.0,,,,,,,,,,,,,,,2117.0,-341.0,39711.0,40576.0,-890.0,16064.0,15471.0,549.0,22410.0,19453.0,2756.0,2534.0,95.0,2033.0
9,A045295,1996JJ00,760803.0,553893.0,218930.0,157105.0,58922.0,760803.0,518946.0,406419.0,278214.0,128345.0,111152.0,90374.0,20569.0,1175.0,253928.0,188711.0,63772.0,482571.0,122035.0,9617.0,81770.0,37269.0,54216.0,14355.0,1489.0,4728.0,545.0,6545.0,4550.0,7413.0,3729.0,4627.0,2525.0,6167.0,5455.0,2842.0,30204.0,230585.0,89160.0,54506.0,22683.0,13504.0,9413.0,32231.0,38304.0,64895.0,,,,12912.0,1507.0,,130610.0,116445.0,74935.0,,,41668.0,14254.0,73113.0,73647.0,410.0,553893.0,,,62536.0,82279.0,15341.0,469732.0,84247.0,553893.0,553893.0,,,,,,,,,406419.0,,,112294.0,,,,,,,,,,,,,406419.0,278214.0,118773.0,42894.0,29251.0,14712.0,38319.0,9348.0,2620.0,11214.0,1558.0,11747.0,6189.0,42252.0,16730.0,26567.0,155490.0,56037.0,24824.0,11583.0,6314.0,13956.0,27151.0,19967.0,274532.0,11973.0,8226.0,128345.0,81139.0,46779.0,406419.0,359646.0,46779.0,111152.0,112121.0,34069.0,33356.0,17365.0,13658.0,2250.0,8936.0,632.0,492.0,170.0,23184.0,332.0,16460.0,5904.0,10523.0,989.0,973.0,111152.0,112121.0,3713.0,22160.0,63355.0,21946.0,973.0,253928.0,,,,,,,,,,,,,,,8226.0,-1340.0,188711.0,147900.0,52201.0,63772.0,8226.0,57196.0,-1340.0,218930.0,,,,,,,,,,,,,,,11973.0,-1340.0,157105.0,160473.0,-3444.0,58922.0,56661.0,2105.0,82279.0,73647.0,8136.0,15341.0,410.0,13192.0
