ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,Bedrijfsemails_3,Bedrijfsdocumenten_4,BedrijfsapplicatiesOfSoftware_5,Telewerkers_6,TelewerkKomtVoor_7,ICTPersAangenomenWillenAannemen_8,ICTVacaturesLastigTeVullen_9,TekortAanSollicitanten_10,SollicitantenMissenJuisteICTKennis_11,SollicitantenMissenWerkervaring_12,SollicitantenEisenTeHoogSalaris_13,EigenPersoneel_14,ExterneLeverancier_15,EigenPersoneelEnExterneLeverancier_16,ICTSpecialistenInLoondienst_17,ICTCursusAanICTSpecialisten_18,ICTCursusAanOverigPersoneel_19,InternetVast_20,MinderDan30MbitS_21,k_30Tot100MbitS_22,k_100Tot500MbitS_23,k_500MbitSTot1GbitS_24,TenMinste1GbitS_25,SnelheidVasteVerbindingVoldoende_26,MobielInternetVerstrekt_27,PersoneelDatWerktMetMobielInternet_28,BedrijvenMetWebsite_29,MobieleAppVoorKlanten_30,WebsiteAppHeeftPlatformfunctie_31,OnlineAdvertenties_32,Zoektermen_33,ProfielVolgen_34,GeografischeLocatie_35,Anders_36,ClouddienstenGebruikt_37,EMail_38,OfficeSoftware_39,OpslagDatabases_40,BestandenOpslaan_41,BoekhoudingSoftware_42,ERPSoftware_43,KlantbeheerSoftware_44,Veiligheidssoftware_45,Rekenkracht_46,Rekenplatform_47,BestandenOfDatabasesOpslag_48,AIGebruikt_49,TextMining_50,Spraakherkenning_51,NaturalLanguageGeneration_52,AfbeeldingHerkenning_53,MachineLearning_54,RobotOndersteundeProcesautomatisering_55,ServiceRobotsOfAutonomeVoertuigen_56,VoorMarketingOfVerkoop_57,ProductieOfServiceprocessen_58,AdministratieveProcessenBestuurtaken_59,Logistiek_60,ICTBeveiliging_61,BoekhoudingControleFinancieelBeheer_62,OnderzoekOntwikkelingOfInnovatie_63,EigenWerknemersOntwikkeld_64,CommercieelZelfAangepast_65,OpenSourceZelfAangepast_66,CommercieelGebruikt_67,ExternOntwikkeld_68,VerwerkIndividuenGegevensMetAI_69,ControleerMogelijkeAIVertekening_70,HeeftAIOverwogen_71,KostenZijnTeHoog_72,GebrekAanRelevanteErvaringInBedrijf_73,IncompatibiliteitBestaandeICTSysteem_74,MoeilijkhedenBeschikbaarheidGegevens_75,BezorgdheidSchendingGegevensbescherm_76,OnduidelijkheidOverJuridischeGevolgen_77,EthischeOverwegingen_78,NietNuttigVoorOnderneming_79,GebruiktEenOfMeerAITechnologieen_80,GebruiktTweeOfMeerAITechnologieen_81,GebruiktDrieOfMeerAITechnologieen_82,GebruiktVierOfMeerAITechnologieen_83,AntiVirussoftware_84,BeleidVoorSterkeWachtwoorden_85,BiometrischeMethoden_86,AuthenticatieViaSoftOfHardwaretoken_87,EncryptieVanData_88,GegevensOpAndereFysiekeLocatie_89,NetworkAccessControl_90,VPNInternetgebruikBuitenHetBedrijf_91,LogbestandenVoorAnalyseIncidenten_92,MethodesVoorBeoordelenICTVeiligheid_93,Risicoanalyses_94,ICTBeveiligingsmonitoringsysteem_95,DoorVrijwilligeTraining_96,DoorVerplichteTraining_97,MetContract_98,ICTVeiligheidsdocumentenAanwezig_99,MinderDan12MaandenGeleden_100,TussenDe12En24MaandenGeleden_101,MeerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,IncidentMetInterneOorzaakGehad_107,IncidentDoorAanvalVanBuitenGehad_108,UitvalICTDienstDoorVeiligheidsinc_109,VernietigingDataDoorVeiligheidsinc_110,OnthullingDoorInternIncident_111,UitvalICTDienstDoorAanvalBuitenaf_112,VernietigingDataAanvalVanBuitenaf_113,OnthullingGegevensDoorICTInbraak_114,KostenIncidentInternGehad_115,KostenIncidentAanvalBuitenafGehad_116,UitvalICTDienstDoorVeiligheidsinc_117,VernietigingDataDoorVeiligheidsinc_118,OnthullingDoorInternIncident_119,UitvalICTDienstDoorAanvalBuitenaf_120,VernietigingDataAanvalBuitenaf_121,OnthullingDoorICTInbraak_122,RansomwareAanvalGehad_123,ICTSystemenZijnGeblokkeerd_124,BedrijfsinformatieIsGestolen_125,LosgeldBetaald_126,ICTSystemen_127,Bedrijfsgegevens_128,AndereKostenRansomwareAanvalGehad_129,Politie_130,Cybersecuritybedrijf_131,VerzekeringICTVeiligheidsincidenten_132,GezochtNaarMeldingenCyberdreigingen_133,BekendMetDTC_134,DTCWebsiteAlsBronGebruikt_135,VerkoopViaWebsiteOfApp_136,Bedrijven_137,Overheidsorganisaties_138,NederlandseConsumenten_139,BuitenlandseConsumenten_140,KlantenInNederland_141,KlantenInAndereEULanden_142,KlantenInLandenBuitenDeEU_143,FysiekeGoederen_144,DigitaleGoederenOfDiensten_145,NietDigitaleDiensten_146,FysiekeGoederen_147,DigitaleGoederenOfDiensten_148,NietDigitaleDiensten_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde1VanDeTotaleOmzet_151,Verkoopwaarde2VanDeTotaleOmzet_152,Verkoopwaarde5VanDeTotaleOmzet_153,Verkoopwaarde10VanDeTotaleOmzet_154,Verkoopwaarde25VanDeTotaleOmzet_155,Verkoopwaarde50VanDeTotaleOmzet_156,ViaWebsiteOfAppsVanEigenBedrijf_157,PercentageOmzetViaOnlinePlatforms_158,VerkoopViaECommerce_159,Verkoopwaarde1VanDeTotaleOmzet_160,Verkoopwaarde1VanDeTotaleOmzet_161,Verkoopwaarde2VanDeTotaleOmzet_162,Verkoopwaarde5VanDeTotaleOmzet_163,Verkoopwaarde10VanDeTotaleOmzet_164,Verkoopwaarde25VanDeTotaleOmzet_165,Verkoopwaarde50VanDeTotaleOmzet_166,ViaEen_167,ViaTwee_168,ViaDrieOfMeer_169,MeerDan75VanOmzetUitEenPlatform_170,BetaaldAanPlatforms_171,VerkoopViaEDI_172,FysiekeGoederen_173,DigitaleGoederenOfDiensten_174,NietDigitaleDiensten_175,FysiekeGoederen_176,DigitaleGoederenOfDiensten_177,NietDigitaleDiensten_178,Verkoopwaarde1VanDeTotaleOmzet_179,Verkoopwaarde1VanDeTotaleOmzet_180,Verkoopwaarde2VanDeTotaleOmzet_181,Verkoopwaarde5VanDeTotaleOmzet_182,Verkoopwaarde10VanDeTotaleOmzet_183,Verkoopwaarde25VanDeTotaleOmzet_184,Verkoopwaarde50VanDeTotaleOmzet_185
0,WP19090,399907,81.0,56.0,79.0,74.0,70.0,44.0,77.0,10.0,6.0,5.0,5.0,4.0,4.0,12.0,47.0,36.0,21.0,11.0,16.0,98,3,20.0,36.0,25.0,15.0,94,82,39.0,92.0,11.0,15.0,37.0,29.0,17.0,19.0,19.0,68.0,62.0,56.0,56.0,58.0,54.0,28.0,40.0,54.0,22.0,20.0,63.0,19.0,12.0,5.0,11.0,4.0,5.0,4.0,1.0,7.0,3.0,6.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,10.0,5.0,1.0,0.0,8.0,2.0,6.0,2.0,3.0,3.0,3.0,2.0,1.0,19.0,11.0,6.0,3.0,94,80.0,29.0,76.0,48.0,85,72.0,53.0,58.0,47.0,49.0,57.0,31.0,17.0,28.0,36.0,27.0,7.0,2,45.0,15.0,18.0,22.0,19.0,7.0,17.0,2.0,2.0,4.0,1,3,4.0,2,4.0,1.0,0.0,1.0,0.0,1.0,1,1,1,9.0,6.0,5.0,30.0,9.0,57.0,29.0,11.0,18.0,6.0,25.0,42.0,3.0,47.0,9.0,83.0,13.0,4.0,77.0,7.0,16.0,,,,5.0,20.0,18.0,15.0,13.0,11.0,8.0,83.0,17.0,27.0,5.0,23.0,20.0,18.0,16.0,13.0,10.0,3.0,2.0,4.0,2.0,,5.0,74.0,7.0,19.0,,,,1.0,4.0,4.0,4.0,3.0,2.0,2.0
1,WP19090,307500,68.0,51.0,80.0,74.0,71.0,28.0,78.0,4.0,2.0,2.0,2.0,1.0,1.0,7.0,53.0,38.0,15.0,5.0,14.0,99,3,24.0,38.0,20.0,14.0,94,84,26.0,93.0,3.0,6.0,27.0,21.0,11.0,12.0,13.0,64.0,55.0,48.0,49.0,49.0,47.0,27.0,28.0,48.0,15.0,14.0,55.0,13.0,7.0,2.0,6.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,7.0,5.0,0.0,0.0,7.0,2.0,6.0,3.0,3.0,2.0,3.0,1.0,1.0,13.0,7.0,3.0,1.0,97,78.0,21.0,71.0,36.0,89,74.0,63.0,59.0,47.0,46.0,58.0,24.0,12.0,23.0,28.0,20.0,6.0,1,51.0,12.0,16.0,21.0,18.0,6.0,18.0,2.0,2.0,3.0,1,3,4.0,1,4.0,0.0,0.0,0.0,0.0,1.0,1,1,0,,,,,,,26.0,7.0,16.0,4.0,22.0,57.0,3.0,38.0,3.0,90.0,8.0,2.0,97.0,1.0,3.0,,,,6.0,17.0,14.0,10.0,8.0,6.0,5.0,89.0,11.0,26.0,5.0,21.0,18.0,15.0,12.0,9.0,7.0,2.0,1.0,1.0,1.0,,7.0,96.0,0.0,4.0,,,,1.0,6.0,6.0,5.0,4.0,3.0,2.0
2,WP19090,800036,81.0,,,,,42.0,,6.0,3.0,3.0,1.0,2.0,1.0,3.0,,,18.0,,10.0,98,5,,,,15.0,93,92,47.0,,7.0,11.0,,,,,,,65.0,,,,,,,,,14.0,,10.0,5.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,3.0,,0.0,1.0,0.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,0.0,3.0,,,,,,,,,10.0,5.0,1.0,1.0,98,,,,,92,,,,,,,,10.0,,,,4.0,1,,11.0,20.0,,22.0,5.0,19.0,8.0,4.0,4.0,2,2,5.0,3,,2.0,2.0,,2.0,,0,0,0,,,,,,,,8.0,17.0,,15.0,,4.0,,,,,0.0,,7.0,,,,,,,,,,,4.0,,,,8.0,9.0,9.0,6.0,6.0,6.0,6.0,,0.0,,,,2.0,,,,,,,0.0,,,,,,
3,WP19090,350000,76.0,45.0,77.0,67.0,62.0,33.0,71.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,71.0,21.0,8.0,3.0,11.0,97,1,25.0,30.0,28.0,13.0,93,92,49.0,92.0,3.0,5.0,23.0,16.0,7.0,8.0,9.0,65.0,55.0,48.0,50.0,53.0,45.0,22.0,27.0,47.0,16.0,10.0,59.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,0.0,96,75.0,22.0,70.0,30.0,87,72.0,53.0,56.0,50.0,44.0,56.0,19.0,6.0,18.0,25.0,18.0,5.0,2,62.0,4.0,11.0,23.0,19.0,6.0,17.0,3.0,1.0,3.0,1,3,6.0,1,6.0,1.0,0.0,0.0,0.0,1.0,0,0,0,,,,,,,21.0,5.0,15.0,4.0,9.0,41.0,7.0,,4.0,,3.0,0.0,65.0,6.0,28.0,,,,3.0,,5.0,5.0,3.0,3.0,2.0,,15.0,10.0,3.0,7.0,5.0,5.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,,1.0,34.0,8.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0
4,WP19090,354200,83.0,58.0,82.0,77.0,75.0,43.0,79.0,8.0,5.0,5.0,4.0,3.0,3.0,11.0,45.0,41.0,24.0,11.0,15.0,99,3,20.0,39.0,24.0,13.0,94,85,36.0,93.0,14.0,17.0,53.0,44.0,29.0,31.0,27.0,71.0,66.0,60.0,59.0,60.0,54.0,37.0,45.0,58.0,24.0,22.0,66.0,20.0,13.0,5.0,12.0,3.0,4.0,4.0,1.0,11.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,11.0,5.0,0.0,0.0,8.0,2.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,20.0,11.0,5.0,2.0,96,83.0,29.0,78.0,50.0,87,76.0,61.0,64.0,48.0,50.0,63.0,31.0,19.0,26.0,36.0,24.0,8.0,4,48.0,16.0,19.0,18.0,20.0,9.0,19.0,2.0,1.0,6.0,2,3,4.0,3,3.0,0.0,0.0,2.0,1.0,1.0,1,1,1,,,,,,,28.0,11.0,17.0,5.0,49.0,43.0,1.0,45.0,11.0,78.0,18.0,4.0,97.0,1.0,3.0,,,,8.0,41.0,38.0,35.0,31.0,25.0,20.0,87.0,13.0,53.0,7.0,45.0,42.0,39.0,35.0,29.0,23.0,5.0,4.0,7.0,5.0,,10.0,99.0,1.0,0.0,,,,2.0,8.0,8.0,7.0,6.0,5.0,3.0
5,WP19090,383100,75.0,41.0,65.0,60.0,56.0,27.0,62.0,4.0,1.0,1.0,1.0,1.0,1.0,14.0,52.0,25.0,14.0,5.0,5.0,95,2,25.0,34.0,20.0,14.0,91,82,42.0,80.0,5.0,14.0,21.0,15.0,8.0,9.0,7.0,62.0,58.0,48.0,50.0,51.0,48.0,21.0,24.0,50.0,17.0,14.0,56.0,7.0,4.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,91,76.0,24.0,68.0,40.0,80,59.0,44.0,50.0,43.0,47.0,49.0,22.0,12.0,24.0,27.0,23.0,3.0,1,47.0,9.0,13.0,31.0,14.0,7.0,14.0,1.0,1.0,6.0,2,2,4.0,2,4.0,0.0,0.0,2.0,1.0,1.0,1,1,1,,,,,,,26.0,9.0,18.0,6.0,14.0,,1.0,32.0,6.0,,10.0,4.0,50.0,11.0,39.0,,,,3.0,11.0,9.0,8.0,5.0,5.0,2.0,,21.0,21.0,2.0,19.0,17.0,16.0,13.0,11.0,8.0,2.0,1.0,1.0,0.0,,10.0,12.0,13.0,,,,,1.0,,,,,,6.0
6,WP19090,389100,62.0,13.0,57.0,50.0,38.0,10.0,55.0,2.0,1.0,1.0,0.0,0.0,1.0,18.0,46.0,24.0,6.0,1.0,2.0,97,6,23.0,41.0,20.0,7.0,93,63,18.0,88.0,10.0,14.0,39.0,22.0,14.0,19.0,19.0,44.0,39.0,31.0,31.0,36.0,36.0,11.0,16.0,28.0,6.0,7.0,39.0,8.0,6.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,,3.0,,,,,,,1.0,0.0,8.0,3.0,1.0,0.0,87,66.0,20.0,56.0,25.0,65,38.0,20.0,19.0,20.0,20.0,26.0,6.0,2.0,10.0,8.0,6.0,1.0,1,37.0,15.0,5.0,43.0,11.0,5.0,11.0,1.0,1.0,2.0,1,2,5.0,1,,,,1.0,,0.0,1,1,1,,,,,,,12.0,4.0,8.0,1.0,32.0,19.0,3.0,66.0,12.0,86.0,11.0,3.0,59.0,1.0,40.0,,,,3.0,29.0,24.0,20.0,18.0,14.0,9.0,64.0,36.0,33.0,3.0,30.0,25.0,21.0,19.0,14.0,9.0,4.0,4.0,9.0,6.0,,1.0,,0.0,28.0,,,,0.0,,,,,0.0,0.0
7,WP19090,391600,99.0,95.0,95.0,95.0,93.0,89.0,95.0,59.0,39.0,33.0,32.0,26.0,25.0,38.0,8.0,53.0,80.0,61.0,51.0,99,0,6.0,27.0,32.0,34.0,96,89,59.0,97.0,19.0,30.0,54.0,45.0,31.0,31.0,31.0,91.0,87.0,85.0,83.0,87.0,80.0,47.0,68.0,79.0,57.0,68.0,89.0,56.0,38.0,19.0,36.0,16.0,25.0,23.0,6.0,22.0,16.0,21.0,2.0,16.0,14.0,26.0,22.0,24.0,25.0,34.0,12.0,4.0,2.0,12.0,2.0,7.0,3.0,5.0,6.0,4.0,3.0,1.0,56.0,40.0,27.0,17.0,97,95.0,53.0,95.0,87.0,97,92.0,77.0,87.0,77.0,79.0,78.0,74.0,45.0,57.0,75.0,64.0,10.0,1,11.0,45.0,35.0,9.0,25.0,7.0,23.0,2.0,4.0,5.0,0,3,3.0,2,3.0,0.0,1.0,2.0,0.0,1.0,1,1,1,,,,,,,50.0,37.0,41.0,21.0,22.0,58.0,6.0,26.0,10.0,74.0,13.0,13.0,23.0,68.0,8.0,,,,5.0,17.0,16.0,13.0,12.0,9.0,7.0,84.0,16.0,23.0,5.0,18.0,17.0,14.0,13.0,11.0,8.0,2.0,1.0,3.0,2.0,,3.0,13.0,70.0,18.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,1.0
8,WP19090,396300,99.0,89.0,97.0,93.0,90.0,79.0,95.0,27.0,18.0,15.0,15.0,14.0,8.0,18.0,30.0,,,,,99,2,10.0,,,,92,87,64.0,91.0,16.0,,,,,,,75.0,69.0,62.0,63.0,64.0,59.0,,,58.0,,,66.0,27.0,12.0,7.0,10.0,2.0,13.0,10.0,1.0,,,6.0,1.0,3.0,4.0,,,,,,,1.0,,15.0,,,,,,,,1.0,27.0,16.0,8.0,3.0,98,95.0,,96.0,83.0,96,92.0,,82.0,83.0,85.0,86.0,,,,81.0,70.0,8.0,4,,25.0,,5.0,19.0,7.0,18.0,3.0,1.0,2.0,0,5,3.0,2,,0.0,0.0,,0.0,0.0,0,0,0,,,,,,,,27.0,,,15.0,16.0,0.0,,,,,5.0,11.0,,,,,,,,,,,,,,,16.0,6.0,10.0,9.0,9.0,8.0,7.0,7.0,0.0,0.0,,0.0,,4.0,0.0,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
9,WP19090,402000,97.0,86.0,90.0,90.0,,78.0,90.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,,,19.0,,,98,2,15.0,,,,95,88,64.0,90.0,4.0,,,,,,,,,,,,,,,,,,75.0,,13.0,5.0,10.0,2.0,0.0,4.0,0.0,,2.0,1.0,0.0,3.0,,2.0,1.0,3.0,3.0,,,2.0,0.0,8.0,,,0.0,,,0.0,0.0,0.0,,8.0,4.0,0.0,93,88.0,,,,90,,,,,,,,,,,,,2,,13.0,13.0,,,4.0,,2.0,1.0,4.0,0,0,5.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,12.0,,,6.0,,,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,0.0,,,7.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,,4.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
