ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,Bedrijfsemails_3,Bedrijfsdocumenten_4,BedrijfsapplicatiesOfSoftware_5,Telewerkers_6,TelewerkKomtVoor_7,ICTPersAangenomenWillenAannemen_8,ICTVacaturesLastigTeVullen_9,TekortAanSollicitanten_10,SollicitantenMissenJuisteICTKennis_11,SollicitantenMissenWerkervaring_12,SollicitantenEisenTeHoogSalaris_13,EigenPersoneel_14,ExterneLeverancier_15,EigenPersoneelEnExterneLeverancier_16,ICTSpecialistenInLoondienst_17,ICTCursusAanICTSpecialisten_18,ICTCursusAanOverigPersoneel_19,InternetVast_20,MinderDan30MbitS_21,k_30Tot100MbitS_22,k_100Tot500MbitS_23,k_500MbitSTot1GbitS_24,TenMinste1GbitS_25,SnelheidVasteVerbindingVoldoende_26,MobielInternetVerstrekt_27,PersoneelDatWerktMetMobielInternet_28,BedrijvenMetWebsite_29,MobieleAppVoorKlanten_30,WebsiteAppHeeftPlatformfunctie_31,OnlineAdvertenties_32,Zoektermen_33,ProfielVolgen_34,GeografischeLocatie_35,Anders_36,ClouddienstenGebruikt_37,EMail_38,OfficeSoftware_39,OpslagDatabases_40,BestandenOpslaan_41,BoekhoudingSoftware_42,ERPSoftware_43,KlantbeheerSoftware_44,Veiligheidssoftware_45,Rekenkracht_46,Rekenplatform_47,BestandenOfDatabasesOpslag_48,AIGebruikt_49,TextMining_50,Spraakherkenning_51,NaturalLanguageGeneration_52,AfbeeldingHerkenning_53,MachineLearning_54,RobotOndersteundeProcesautomatisering_55,ServiceRobotsOfAutonomeVoertuigen_56,VoorMarketingOfVerkoop_57,ProductieOfServiceprocessen_58,AdministratieveProcessenBestuurtaken_59,Logistiek_60,ICTBeveiliging_61,BoekhoudingControleFinancieelBeheer_62,OnderzoekOntwikkelingOfInnovatie_63,EigenWerknemersOntwikkeld_64,CommercieelZelfAangepast_65,OpenSourceZelfAangepast_66,CommercieelGebruikt_67,ExternOntwikkeld_68,VerwerkIndividuenGegevensMetAI_69,ControleerMogelijkeAIVertekening_70,HeeftAIOverwogen_71,KostenZijnTeHoog_72,GebrekAanRelevanteErvaringInBedrijf_73,IncompatibiliteitBestaandeICTSysteem_74,MoeilijkhedenBeschikbaarheidGegevens_75,BezorgdheidSchendingGegevensbescherm_76,OnduidelijkheidOverJuridischeGevolgen_77,EthischeOverwegingen_78,NietNuttigVoorOnderneming_79,GebruiktEenOfMeerAITechnologieen_80,GebruiktTweeOfMeerAITechnologieen_81,GebruiktDrieOfMeerAITechnologieen_82,GebruiktVierOfMeerAITechnologieen_83,AntiVirussoftware_84,BeleidVoorSterkeWachtwoorden_85,BiometrischeMethoden_86,AuthenticatieViaSoftOfHardwaretoken_87,EncryptieVanData_88,GegevensOpAndereFysiekeLocatie_89,NetworkAccessControl_90,VPNInternetgebruikBuitenHetBedrijf_91,LogbestandenVoorAnalyseIncidenten_92,MethodesVoorBeoordelenICTVeiligheid_93,Risicoanalyses_94,ICTBeveiligingsmonitoringsysteem_95,DoorVrijwilligeTraining_96,DoorVerplichteTraining_97,MetContract_98,ICTVeiligheidsdocumentenAanwezig_99,MinderDan12MaandenGeleden_100,TussenDe12En24MaandenGeleden_101,MeerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,IncidentMetInterneOorzaakGehad_107,IncidentDoorAanvalVanBuitenGehad_108,UitvalICTDienstDoorVeiligheidsinc_109,VernietigingDataDoorVeiligheidsinc_110,OnthullingDoorInternIncident_111,UitvalICTDienstDoorAanvalBuitenaf_112,VernietigingDataAanvalVanBuitenaf_113,OnthullingGegevensDoorICTInbraak_114,KostenIncidentInternGehad_115,KostenIncidentAanvalBuitenafGehad_116,UitvalICTDienstDoorVeiligheidsinc_117,VernietigingDataDoorVeiligheidsinc_118,OnthullingDoorInternIncident_119,UitvalICTDienstDoorAanvalBuitenaf_120,VernietigingDataAanvalBuitenaf_121,OnthullingDoorICTInbraak_122,RansomwareAanvalGehad_123,ICTSystemenZijnGeblokkeerd_124,BedrijfsinformatieIsGestolen_125,LosgeldBetaald_126,ICTSystemen_127,Bedrijfsgegevens_128,AndereKostenRansomwareAanvalGehad_129,Politie_130,Cybersecuritybedrijf_131,VerzekeringICTVeiligheidsincidenten_132,GezochtNaarMeldingenCyberdreigingen_133,BekendMetDTC_134,DTCWebsiteAlsBronGebruikt_135,VerkoopViaWebsiteOfApp_136,Bedrijven_137,Overheidsorganisaties_138,NederlandseConsumenten_139,BuitenlandseConsumenten_140,KlantenInNederland_141,KlantenInAndereEULanden_142,KlantenInLandenBuitenDeEU_143,FysiekeGoederen_144,DigitaleGoederenOfDiensten_145,NietDigitaleDiensten_146,FysiekeGoederen_147,DigitaleGoederenOfDiensten_148,NietDigitaleDiensten_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde1VanDeTotaleOmzet_151,Verkoopwaarde2VanDeTotaleOmzet_152,Verkoopwaarde5VanDeTotaleOmzet_153,Verkoopwaarde10VanDeTotaleOmzet_154,Verkoopwaarde25VanDeTotaleOmzet_155,Verkoopwaarde50VanDeTotaleOmzet_156,ViaWebsiteOfAppsVanEigenBedrijf_157,PercentageOmzetViaOnlinePlatforms_158,VerkoopViaECommerce_159,Verkoopwaarde1VanDeTotaleOmzet_160,Verkoopwaarde1VanDeTotaleOmzet_161,Verkoopwaarde2VanDeTotaleOmzet_162,Verkoopwaarde5VanDeTotaleOmzet_163,Verkoopwaarde10VanDeTotaleOmzet_164,Verkoopwaarde25VanDeTotaleOmzet_165,Verkoopwaarde50VanDeTotaleOmzet_166,ViaEen_167,ViaTwee_168,ViaDrieOfMeer_169,MeerDan75VanOmzetUitEenPlatform_170,BetaaldAanPlatforms_171,VerkoopViaEDI_172,FysiekeGoederen_173,DigitaleGoederenOfDiensten_174,NietDigitaleDiensten_175,FysiekeGoederen_176,DigitaleGoederenOfDiensten_177,NietDigitaleDiensten_178,Verkoopwaarde1VanDeTotaleOmzet_179,Verkoopwaarde1VanDeTotaleOmzet_180,Verkoopwaarde2VanDeTotaleOmzet_181,Verkoopwaarde5VanDeTotaleOmzet_182,Verkoopwaarde10VanDeTotaleOmzet_183,Verkoopwaarde25VanDeTotaleOmzet_184,Verkoopwaarde50VanDeTotaleOmzet_185
0,399907,82,62.0,82.0,78.0,74.0,61,80.0,15.0,10.0,9.0,8.0,6.0,6.0,11.0,42.0,43.0,30.0,18.0,23.0,98,2,18.0,36.0,26.0,17.0,94,85.0,47,93.0,13.0,16.0,40.0,31.0,19.0,22.0,21.0,71.0,65.0,60.0,58.0,61.0,56.0,32.0,42.0,58.0,25.0,24.0,66.0,23.0,14.0,6.0,12.0,4.0,6.0,6.0,2,8.0,4.0,7.0,1.0,5.0,5.0,6.0,4.0,6.0,5.0,13.0,6.0,1.0,1.0,9.0,2.0,7.0,3.0,3.0,4.0,3.0,2.0,1.0,23.0,13.0,7.0,4.0,95,83.0,32.0,79.0,54.0,87.0,76.0,59.0,64.0,53.0,55.0,63.0,38.0,23.0,32.0,44.0,34.0,7.0,2,42.0,16.0,23.0,19.0,22.0,8.0,20.0,3,4,5.0,1,3,5,2,4.0,1.0,0.0,1.0,0.0,1.0,1,1,1,9.0,6.0,6.0,33.0,15.0,59.0,32.0,16.0,22.0,9.0,25.0,44.0,3.0,45.0,9.0,83.0,13.0,4.0,76.0,7.0,17.0,,,,5.0,19.0,17.0,15.0,13.0,10.0,8.0,84.0,16.0,28.0,5.0,23.0,21.0,19.0,17.0,13.0,10.0,3.0,2.0,4.0,2.0,,7.0,75.0,6.0,19.0,,,,1.0,6.0,5.0,5.0,4.0,3.0,2.0
1,307500,69,63.0,85.0,80.0,77.0,47,83.0,13.0,8.0,7.0,6.0,5.0,4.0,7.0,42.0,49.0,31.0,17.0,23.0,99,2,20.0,38.0,22.0,17.0,95,87.0,38,94.0,5.0,9.0,31.0,24.0,13.0,14.0,15.0,69.0,60.0,54.0,51.0,54.0,47.0,29.0,32.0,53.0,20.0,19.0,60.0,18.0,9.0,3.0,8.0,4.0,6.0,5.0,4,5.0,5.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,9.0,7.0,0.0,0.0,10.0,2.0,7.0,4.0,4.0,4.0,4.0,2.0,1.0,18.0,10.0,5.0,3.0,98,83.0,26.0,77.0,47.0,91.0,80.0,71.0,68.0,56.0,56.0,67.0,37.0,22.0,30.0,41.0,31.0,7.0,2,44.0,15.0,26.0,16.0,23.0,7.0,22.0,2,3,3.0,1,4,5,2,5.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.0,0.0,0.0,35.0,12.0,72.0,30.0,16.0,23.0,9.0,22.0,61.0,3.0,33.0,3.0,86.0,11.0,3.0,97.0,1.0,2.0,,,,6.0,15.0,13.0,9.0,8.0,6.0,4.0,89.0,11.0,30.0,5.0,24.0,21.0,18.0,15.0,11.0,8.0,2.0,1.0,1.0,1.0,,12.0,96.0,0.0,3.0,,,,2.0,11.0,10.0,9.0,8.0,6.0,4.0
2,800036,87,78.0,91.0,88.0,83.0,75,90.0,29.0,18.0,16.0,15.0,13.0,10.0,4.0,40.0,53.0,40.0,28.0,28.0,99,3,16.0,36.0,25.0,20.0,94,95.0,73,93.0,19.0,14.0,29.0,,11.0,14.0,18.0,78.0,70.0,66.0,63.0,62.0,60.0,40.0,41.0,65.0,32.0,27.0,69.0,23.0,9.0,6.0,8.0,4.0,6.0,7.0,1,4.0,5.0,7.0,2.0,7.0,4.0,4.0,4.0,6.0,4.0,14.0,7.0,0.0,0.0,9.0,1.0,,5.0,4.0,3.0,3.0,2.0,1.0,23.0,13.0,4.0,2.0,99,91.0,39.0,88.0,63.0,95.0,91.0,79.0,77.0,66.0,69.0,75.0,45.0,29.0,32.0,52.0,46.0,4.0,1,45.0,11.0,37.0,7.0,25.0,9.0,20.0,5,7,4.0,1,5,4,2,4.0,1.0,1.0,,1.0,1.0,0,0,0,,,,,,,32.0,21.0,29.0,17.0,19.0,,8.0,,2.0,,4.0,0.0,45.0,3.0,,,,,9.0,,,7.0,6.0,5.0,4.0,,6.0,21.0,9.0,12.0,11.0,9.0,8.0,7.0,6.0,,0.0,,,,4.0,,,,,,,,,,,,,
3,350000,84,53.0,81.0,72.0,67.0,59,76.0,7.0,5.0,5.0,3.0,2.0,3.0,3.0,65.0,28.0,15.0,8.0,16.0,97,1,22.0,31.0,29.0,14.0,94,94.0,65,93.0,3.0,7.0,26.0,19.0,9.0,11.0,11.0,68.0,58.0,51.0,52.0,56.0,46.0,26.0,29.0,51.0,19.0,14.0,61.0,9.0,6.0,3.0,4.0,1.0,1.0,1.0,0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,,6.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,9.0,4.0,2.0,1.0,97,78.0,26.0,74.0,35.0,89.0,76.0,58.0,60.0,54.0,50.0,60.0,25.0,10.0,22.0,32.0,23.0,6.0,2,60.0,5.0,16.0,20.0,21.0,7.0,19.0,4,1,4.0,2,3,6,2,6.0,1.0,0.0,1.0,0.0,1.0,1,1,0,0.0,0.0,0.0,35.0,35.0,,22.0,8.0,18.0,6.0,9.0,40.0,7.0,50.0,4.0,,3.0,0.0,64.0,5.0,30.0,,,,3.0,6.0,4.0,4.0,3.0,3.0,2.0,,14.0,10.0,3.0,7.0,5.0,5.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,,1.0,34.0,6.0,60.0,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4,354200,72,63.0,84.0,80.0,78.0,43,82.0,13.0,9.0,8.0,7.0,5.0,5.0,11.0,40.0,46.0,31.0,17.0,20.0,99,3,18.0,39.0,25.0,14.0,94,86.0,33,94.0,17.0,19.0,55.0,46.0,31.0,33.0,29.0,73.0,68.0,62.0,60.0,62.0,54.0,38.0,46.0,60.0,27.0,26.0,68.0,23.0,14.0,6.0,14.0,4.0,5.0,5.0,2,13.0,3.0,6.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,13.0,7.0,1.0,0.0,10.0,2.0,8.0,3.0,4.0,4.0,3.0,2.0,1.0,23.0,13.0,6.0,3.0,96,85.0,32.0,80.0,54.0,89.0,79.0,65.0,68.0,53.0,55.0,67.0,37.0,24.0,30.0,42.0,30.0,9.0,3,44.0,17.0,23.0,16.0,22.0,10.0,21.0,3,2,7.0,2,3,4,3,4.0,0.0,0.0,2.0,1.0,1.0,1,1,1,1.0,0.0,1.0,39.0,16.0,59.0,30.0,15.0,20.0,7.0,50.0,44.0,2.0,44.0,10.0,79.0,17.0,4.0,97.0,1.0,3.0,,,,9.0,42.0,38.0,35.0,31.0,24.0,19.0,88.0,12.0,55.0,8.0,47.0,44.0,40.0,36.0,29.0,23.0,5.0,4.0,7.0,5.0,,13.0,98.0,1.0,1.0,,,,3.0,11.0,10.0,9.0,8.0,6.0,3.0
5,383100,73,50.0,71.0,67.0,64.0,48,69.0,10.0,6.0,5.0,5.0,4.0,4.0,12.0,47.0,34.0,24.0,13.0,13.0,96,2,22.0,36.0,21.0,16.0,92,86.0,45,84.0,8.0,17.0,24.0,17.0,9.0,12.0,10.0,67.0,62.0,53.0,53.0,53.0,51.0,27.0,29.0,55.0,22.0,20.0,59.0,11.0,5.0,2.0,5.0,3.0,3.0,4.0,2,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,0.0,6.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,11.0,6.0,3.0,2.0,93,80.0,27.0,74.0,46.0,84.0,68.0,54.0,58.0,52.0,55.0,58.0,30.0,19.0,27.0,36.0,30.0,5.0,1,45.0,11.0,20.0,25.0,18.0,8.0,17.0,2,1,7.0,2,2,5,2,5.0,0.0,0.0,2.0,1.0,1.0,1,1,1,35.0,35.0,35.0,12.0,12.0,26.0,27.0,14.0,22.0,9.0,15.0,61.0,2.0,31.0,7.0,84.0,11.0,5.0,44.0,9.0,48.0,,,,4.0,11.0,9.0,8.0,6.0,5.0,2.0,80.0,20.0,26.0,4.0,22.0,20.0,20.0,17.0,14.0,10.0,2.0,1.0,2.0,1.0,,15.0,21.0,8.0,70.0,,,,2.0,14.0,13.0,13.0,12.0,10.0,8.0
6,389100,59,16.0,59.0,52.0,41.0,20,57.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,47.0,26.0,7.0,2.0,4.0,98,6,22.0,40.0,21.0,8.0,93,65.0,20,88.0,13.0,14.0,42.0,25.0,16.0,22.0,21.0,47.0,42.0,34.0,34.0,39.0,39.0,13.0,19.0,31.0,8.0,9.0,42.0,9.0,7.0,1.0,5.0,1.0,1.0,1.0,0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,3.0,,,,,1.0,1.0,1.0,0.0,9.0,4.0,1.0,1.0,88,67.0,22.0,58.0,28.0,67.0,42.0,23.0,23.0,22.0,23.0,29.0,10.0,4.0,12.0,11.0,8.0,2.0,1,38.0,14.0,7.0,40.0,12.0,6.0,12.0,2,1,3.0,2,3,5,1,5.0,,,1.0,1.0,1.0,2,1,1,7.0,7.0,7.0,43.0,25.0,60.0,14.0,5.0,9.0,1.0,33.0,20.0,3.0,65.0,13.0,84.0,12.0,4.0,56.0,1.0,43.0,,,,3.0,30.0,26.0,21.0,20.0,15.0,10.0,62.0,38.0,34.0,3.0,31.0,26.0,22.0,21.0,15.0,10.0,4.0,5.0,11.0,7.0,,1.0,,0.0,34.0,,,,0.0,,,,,0.0,0.0
7,391600,99,96.0,96.0,95.0,94.0,92,96.0,62.0,42.0,36.0,35.0,29.0,28.0,36.0,7.0,56.0,82.0,65.0,56.0,99,0,5.0,27.0,31.0,36.0,97,90.0,63,97.0,21.0,30.0,57.0,47.0,34.0,33.0,34.0,92.0,88.0,86.0,84.0,87.0,80.0,50.0,70.0,80.0,59.0,69.0,90.0,58.0,39.0,21.0,37.0,16.0,27.0,24.0,6,23.0,17.0,21.0,3.0,18.0,15.0,27.0,24.0,25.0,26.0,36.0,12.0,4.0,3.0,12.0,2.0,7.0,4.0,5.0,6.0,4.0,3.0,2.0,58.0,42.0,29.0,18.0,97,96.0,55.0,95.0,88.0,97.0,92.0,79.0,88.0,80.0,81.0,81.0,76.0,51.0,60.0,79.0,68.0,9.0,1,10.0,44.0,38.0,8.0,26.0,8.0,24.0,2,4,6.0,0,3,3,2,3.0,0.0,1.0,2.0,0.0,1.0,1,1,1,26.0,23.0,3.0,20.0,0.0,52.0,53.0,42.0,43.0,22.0,22.0,58.0,7.0,25.0,10.0,75.0,13.0,12.0,23.0,67.0,10.0,,,,5.0,17.0,16.0,13.0,12.0,9.0,7.0,84.0,16.0,24.0,5.0,18.0,17.0,15.0,13.0,11.0,9.0,2.0,1.0,4.0,2.0,,3.0,15.0,67.0,18.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0
8,396300,100,93.0,97.0,95.0,93.0,97,96.0,44.0,30.0,25.0,26.0,21.0,18.0,15.0,20.0,64.0,63.0,50.0,49.0,99,2,7.0,32.0,21.0,37.0,94,90.0,77,93.0,25.0,30.0,42.0,35.0,23.0,25.0,25.0,82.0,74.0,71.0,69.0,71.0,60.0,34.0,56.0,65.0,45.0,49.0,73.0,37.0,21.0,14.0,16.0,5.0,21.0,19.0,2,13.0,11.0,13.0,2.0,11.0,7.0,17.0,18.0,20.0,15.0,18.0,14.0,4.0,,20.0,4.0,,5.0,7.0,12.0,9.0,6.0,1.0,37.0,25.0,17.0,9.0,99,97.0,54.0,97.0,88.0,97.0,94.0,82.0,88.0,89.0,90.0,90.0,80.0,70.0,60.0,88.0,78.0,7.0,2,21.0,23.0,53.0,4.0,30.0,8.0,25.0,2,8,3.0,0,5,4,3,4.0,0.0,1.0,,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,42.0,45.0,23.0,21.0,27.0,3.0,,8.0,,6.0,3.0,8.0,57.0,35.0,,,,7.0,14.0,14.0,12.0,10.0,10.0,8.0,83.0,17.0,23.0,7.0,16.0,15.0,14.0,13.0,12.0,10.0,0.0,1.0,,1.0,,6.0,0.0,,,,,,,,,,,,
9,402000,98,90.0,93.0,93.0,85.0,91,93.0,21.0,10.0,8.0,7.0,6.0,3.0,0.0,,,33.0,,35.0,98,2,13.0,,26.0,24.0,96,91.0,80,93.0,11.0,,,,,,,86.0,76.0,73.0,73.0,75.0,70.0,,70.0,74.0,,33.0,79.0,28.0,15.0,7.0,15.0,3.0,4.0,7.0,0,,5.0,7.0,0.0,6.0,,4.0,2.0,5.0,4.0,,8.0,2.0,0.0,13.0,2.0,,,,,,1.0,0.0,28.0,13.0,7.0,2.0,95,90.0,36.0,87.0,,92.0,83.0,,73.0,71.0,,75.0,,30.0,,,,9.0,3,,10.0,26.0,12.0,23.0,5.0,18.0,2,7,3.0,0,2,5,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,19.0,26.0,,5.0,,,,,,,,0.0,1.0,,,,,,,,,1.0,0.0,0.0,,,6.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
