ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,SnelheidVasteVerbindingVoldoende_7,BedrijvenMetWebsite_8,MobieleAppVoorKlanten_9,WebsiteAppHeeftPlatformfunctie_10,ClouddienstenGebruikt_11,EMail_12,OfficeSoftware_13,OpslagDatabases_14,BestandenOpslaan_15,BoekhoudingSoftware_16,ERPSoftware_17,KlantbeheerSoftware_18,Veiligheidssoftware_19,Rekenkracht_20,Rekenplatform_21,BestandenOfDatabasesOpslag_22,VerwerkIndividuenGegevensMetAI_23,ControleerMogelijkeAIVertekening_24,AntiVirussoftware_25,BeleidVoorSterkeWachtwoorden_26,BiometrischeMethoden_27,AuthenticatieViaSoftOfHardwaretoken_28,EncryptieVanData_29,GegevensOpAndereFysiekeLocatie_30,NetworkAccessControl_31,VPNInternetgebruikBuitenHetBedrijf_32,LogbestandenVoorAnalyseIncidenten_33,MethodesVoorBeoordelenICTVeiligheid_34,Risicoanalyses_35,ICTBeveiligingsmonitoringsysteem_36,IncidentMetInterneOorzaakGehad_37,IncidentDoorAanvalVanBuitenGehad_38,UitvalICTDienstDoorVeiligheidsinc_39,VernietigingDataDoorVeiligheidsinc_40,OnthullingDoorInternIncident_41,UitvalICTDienstDoorAanvalBuitenaf_42,VernietigingDataAanvalVanBuitenaf_43,OnthullingGegevensDoorICTInbraak_44,KostenIncidentInternGehad_45,KostenIncidentAanvalBuitenafGehad_46,UitvalICTDienstDoorVeiligheidsinc_47,VernietigingDataDoorVeiligheidsinc_48,OnthullingDoorInternIncident_49,UitvalICTDienstDoorAanvalBuitenaf_50,VernietigingDataAanvalBuitenaf_51,OnthullingDoorICTInbraak_52,RansomwareAanvalGehad_53,ICTSystemenZijnGeblokkeerd_54,BedrijfsinformatieIsGestolen_55,LosgeldBetaald_56,ICTSystemen_57,Bedrijfsgegevens_58,AndereKostenRansomwareAanvalGehad_59,Politie_60,Cybersecuritybedrijf_61,VerzekeringICTVeiligheidsincidenten_62,GezochtNaarMeldingenCyberdreigingen_63,BekendMetDTC_64,DTCWebsiteAlsBronGebruikt_65,KlantenInNederland_66,KlantenInAndereEULanden_67,KlantenInLandenBuitenDeEU_68,FysiekeGoederen_69,DigitaleGoederenOfDiensten_70,NietDigitaleDiensten_71,FysiekeGoederen_72,DigitaleGoederenOfDiensten_73,NietDigitaleDiensten_74,FysiekeGoederen_75,DigitaleGoederenOfDiensten_76,NietDigitaleDiensten_77,FysiekeGoederen_78,DigitaleGoederenOfDiensten_79,NietDigitaleDiensten_80
0,WP19079,399907,76,5,20.0,24.0,18.0,9.0,74,37.0,2.0,8.0,26.0,20.0,16.0,13.0,22.0,14.0,1.0,5.0,14.0,2.0,1.0,23.0,,,77,65.0,42.0,52.0,28.0,59,23.0,22.0,17.0,11.0,13.0,20.0,7.0,4.0,6.0,1.0,1.0,2.0,1,2,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,14.0,12.0,24.0,6.0,5.0,7.0,2.0,,,,,,,,,,,,,,,
1,WP19079,307500,77,7,26.0,27.0,13.0,4.0,74,44.0,2.0,1.0,16.0,11.0,10.0,7.0,12.0,8.0,0.0,1.0,8.0,1.0,0.0,13.0,,,79,62.0,37.0,40.0,23.0,52,16.0,17.0,10.0,8.0,11.0,15.0,3.0,3.0,3.0,1.0,1.0,1.0,1,1,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,,,,,,,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,
2,WP19079,800036,70,9,15.0,27.0,14.0,5.0,66,20.0,2.0,16.0,15.0,10.0,7.0,3.0,13.0,8.0,0.0,0.0,6.0,0.0,0.0,13.0,,,69,63.0,33.0,41.0,26.0,45,13.0,15.0,10.0,9.0,11.0,11.0,6.0,2.0,5.0,5.0,1.0,2.0,2,2,3.0,1,2.0,2.0,0.0,1.0,1.0,0.0,1,1,1,,,,,,,5.0,2.0,5.0,0.0,,,,,,,,,,,,,,,
3,WP19079,350000,65,5,21.0,22.0,13.0,4.0,64,15.0,1.0,13.0,7.0,4.0,4.0,3.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,,,67,61.0,29.0,36.0,19.0,39,13.0,17.0,8.0,6.0,9.0,13.0,3.0,3.0,3.0,1.0,1.0,3.0,1,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,0,1,,,,,,,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
4,WP19079,354200,74,6,25.0,21.0,16.0,6.0,72,50.0,6.0,17.0,23.0,18.0,11.0,12.0,14.0,11.0,1.0,7.0,14.0,2.0,0.0,16.0,,,80,65.0,33.0,48.0,28.0,53,24.0,17.0,18.0,15.0,15.0,25.0,5.0,5.0,5.0,1.0,1.0,2.0,2,4,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,2.0,7.0,9.0,2.0,,,,,,,,,,,,,,,
5,WP19079,383100,68,8,23.0,24.0,10.0,3.0,67,14.0,5.0,3.0,9.0,7.0,5.0,2.0,5.0,6.0,0.0,1.0,6.0,0.0,0.0,7.0,,,63,54.0,32.0,37.0,22.0,40,12.0,16.0,12.0,8.0,10.0,16.0,6.0,7.0,5.0,2.0,1.0,4.0,3,4,4.0,1,3.0,1.0,1.0,0.0,1.0,0.0,1,0,1,,,,,,,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,,
6,WP19079,389100,59,7,13.0,18.0,15.0,7.0,58,34.0,0.0,12.0,16.0,12.0,12.0,5.0,13.0,7.0,1.0,2.0,6.0,2.0,1.0,13.0,,,61,60.0,41.0,41.0,24.0,54,18.0,13.0,15.0,10.0,14.0,21.0,5.0,2.0,4.0,1.0,2.0,2.0,1,0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2,1,1,,,,,,,2.0,1.0,7.0,2.0,,,,,,,,,,,,,,,
7,WP19079,391600,87,2,15.0,29.0,23.0,19.0,83,51.0,0.0,7.0,54.0,43.0,35.0,29.0,48.0,33.0,1.0,5.0,21.0,6.0,8.0,51.0,,,78,78.0,65.0,81.0,51.0,82,41.0,38.0,33.0,13.0,17.0,23.0,11.0,2.0,9.0,1.0,1.0,1.0,1,2,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,13.0,14.0,9.0,3.0,,,,,,,,,,,,,,,
8,WP19079,396300,86,2,17.0,31.0,24.0,12.0,84,57.0,4.0,11.0,45.0,37.0,34.0,31.0,39.0,26.0,5.0,27.0,35.0,16.0,6.0,42.0,,,96,83.0,59.0,85.0,46.0,84,42.0,39.0,34.0,30.0,31.0,38.0,14.0,4.0,12.0,2.0,3.0,2.0,1,3,1.0,2,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,,,,,,,22.0,6.0,11.0,4.0,,,,,,,,,,,,,,,
9,WP19079,402000,84,3,19.0,32.0,21.0,8.0,81,56.0,3.0,16.0,41.0,32.0,25.0,24.0,31.0,18.0,2.0,15.0,27.0,1.0,3.0,37.0,,,85,72.0,43.0,62.0,26.0,65,26.0,19.0,16.0,15.0,14.0,20.0,7.0,5.0,6.0,1.0,1.0,3.0,2,0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,,,,,,,9.0,5.0,5.0,1.0,,,,,,,,,,,,,,,
10,WP19079,403300,84,3,20.0,25.0,23.0,13.0,82,42.0,2.0,4.0,48.0,36.0,29.0,23.0,41.0,24.0,2.0,7.0,26.0,3.0,1.0,43.0,,,81,64.0,54.0,60.0,27.0,75,23.0,25.0,18.0,12.0,13.0,19.0,10.0,4.0,10.0,1.0,1.0,2.0,0,2,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,6.0,6.0,9.0,3.0,,,,,,,,,,,,,,,
11,WP19079,410200,68,3,20.0,20.0,17.0,8.0,66,31.0,2.0,5.0,19.0,12.0,12.0,9.0,18.0,10.0,0.0,5.0,11.0,0.0,1.0,19.0,,,72,64.0,41.0,50.0,23.0,55,22.0,21.0,16.0,11.0,10.0,20.0,6.0,8.0,5.0,0.0,1.0,5.0,3,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,,,,,6.0,3.0,5.0,2.0,,,,,,,,,,,,,,,
12,WP19079,422400,78,8,17.0,28.0,16.0,9.0,77,48.0,3.0,8.0,15.0,10.0,9.0,7.0,12.0,8.0,1.0,5.0,9.0,0.0,1.0,13.0,,,84,72.0,40.0,55.0,39.0,62,30.0,26.0,20.0,13.0,16.0,27.0,8.0,5.0,7.0,2.0,1.0,3.0,2,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,,,,,,11.0,5.0,5.0,2.0,,,,,,,,,,,,,,,
13,WP19079,332915,91,1,14.0,28.0,27.0,20.0,87,51.0,0.0,8.0,61.0,52.0,42.0,33.0,55.0,39.0,1.0,7.0,26.0,9.0,11.0,58.0,,,86,85.0,72.0,88.0,63.0,88,51.0,45.0,43.0,21.0,24.0,32.0,10.0,0.0,9.0,1.0,0.0,0.0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,15.0,18.0,13.0,5.0,,,,,,,,,,,,,,,
14,WP19080,399907,95,6,26.0,34.0,20.0,9.0,92,71.0,6.0,9.0,44.0,37.0,32.0,31.0,35.0,32.0,8.0,18.0,31.0,8.0,7.0,38.0,,,84,69.0,27.0,57.0,33.0,64,39.0,27.0,28.0,21.0,23.0,28.0,7.0,4.0,7.0,1.0,1.0,2.0,1,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0.0,0.0,0.0,32.0,14.0,34.0,14.0,5.0,8.0,2.0,,,,,,,,,,,,,,,
15,WP19080,307500,96,7,32.0,35.0,17.0,6.0,92,76.0,3.0,5.0,47.0,39.0,32.0,33.0,37.0,34.0,11.0,16.0,34.0,8.0,5.0,40.0,,,89,65.0,22.0,55.0,25.0,69,39.0,28.0,25.0,21.0,24.0,27.0,8.0,4.0,8.0,1.0,0.0,2.0,1,1,2.0,1,2.0,1.0,0.0,1.0,1.0,1.0,1,1,0,,,,,,,13.0,2.0,5.0,1.0,,,,,,,,,,,,,,,
