ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,BedrijfsEMails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,MeertaligeOnderdelen_21,MobieleAppVoorKlanten_22,WebsiteOfAppHeeftPlatformfunctie_23,SocialeMediaGebruikt_24,SocialeNetwerkenBijvFacebook_25,BlogsOfMicroblogsBijvX_26,MultimediaDelenBijvYouTube_27,BusinessSoftwareGebruikt_28,ERPSoftware_29,CRMSoftware_30,BISoftware_31,EigenBedrijf_32,ExternBedrijf_33,Transactiegegevens_34,Klantgegevens_35,Socialemediagegevens_36,Webdata_37,LocatieOfGeografischeGegevens_38,GegevensVanSlimmeApparaten_39,GegevensVanOpenbareOverheidsbronnen_40,Satellietgegevens_41,ClouddienstenGebruikt_42,EMail_43,OfficeSoftware_44,OpslagDatabases_45,OpslagBestanden_46,Boekhoudingsoftware_47,ERPSoftware_48,CRMSoftware_49,Veiligheidssoftware_50,Rekenkracht_51,Rekenplatform_52,AIGebruikt_53,Textmining_54,Spraakherkenning_55,NaturalLanguageGeneration_56,AfbeeldingenVideoSGeluidGenereren_57,Afbeeldingherkenning_58,MachineLearning_59,RobotondersteundeProcesautomatisering_60,ServicerobotsOfAutonomeVoertuigen_61,MarketingOfVerkoop_62,ProductieOfServiceprocessen_63,AdministratieveProcessenBestuurstaken_64,Logistiek_65,ICTBeveiliging_66,BoekhoudingControleFinancieelBeheer_67,RDOfInnovatie_68,DoorEigenWerknemersOntwikkeld_69,CommercieleSoftwareZelfAangepast_70,OpensourcesoftwareZelfAangepast_71,CommercieleSoftwareGebruikt_72,DoorExterneLeveranciersOntwikkeld_73,HeeftAIOverwogen_74,KostenZijnTeHoog_75,GebrekAanRelevanteErvaringInBedrijf_76,IncompatibiliteitBestaandeICTSysteem_77,MoeilijkhedenBeschikbaarheidGegevens_78,BezorgdheidGegevensbescherming_79,OnduidelijkheidOverJuridischeGevolgen_80,EthischeOverwegingen_81,NietNuttigVoorOnderneming_82,Antivirussoftware_83,BeleidVoorSterkeWachtwoorden_84,BiometrischeMethoden_85,Multifactorauthenticatie_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNGebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,ICTBeveiligingsmonitoringsysteem_94,DoorVrijwilligeTraining_95,DoorVerplichteTraining_96,MetContract_97,CyberincidentGeoefend_98,ICTVeiligheidsdocumentenAanwezig_99,k_12MaandenOfMinderLangGeleden_100,TussenDe12En24MaandenGeleden_101,LangerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,PhishingAanval_107,DDoSAanval_108,DatalekOfDatamanipulatie_109,GehacktSocialemediaAccount_110,BECFraude_111,AndereCyberIncidenten_112,IncidentMetInterneOorzaakGehad_113,IncidentDoorAanvalVanBuitenGehad_114,UitvalICTDienstDoorInterneOorzaak_115,VernietigingDataDoorInterneOorzaak_116,OnthullingGegevensDoorInterneOorzaak_117,UitvalICTDienstDoorAanvalBuitenaf_118,VernietigingDataAanvalBuitenaf_119,OnthullingGegevensDoorICTInbraak_120,KostenIncidentInterneOorzaakGehad_121,KostenIncidentAanvalBuitenafGehad_122,UitvalICTDienstDoorInterneOorzaak_123,VernietigingDataDoorInterneOorzaak_124,OnthullingGegevensDoorInterneOorzaak_125,UitvalICTDienstDoorAanvalBuitenaf_126,VernietigingDataAanvalBuitenaf_127,OnthullingGegevensDoorICTInbraak_128,RansomwareAanvalGehad_129,BestandenOfICTSystemenVersleuteld_130,AfpersingOpenbaarmakingInformatie_131,VerzekeringICTVeiligheidsincidenten_132,BekendMetDTC_133,DTCWebsiteAlsBronGebruikt_134,GezochtNaarMeldingenCyberdreigingen_135,VerkoopViaWebsiteOfApp_136,FysiekeGoederen_137,DigitaleGoederenOfDiensten_138,NietDigitaleDiensten_139,FysiekeGoederen_140,DigitaleGoederenOfDiensten_141,NietDigitaleDiensten_142,Bedrijven_143,Overheidsorganisaties_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,KlantenInNederland_147,KlantenInAndereEULanden_148,KlantenInLandenBuitenDeEU_149,ViaWebsiteOfAppsVanEigenBedrijf_150,ViaOnlinePlatforms_151,HogeBezorgkosten_152,OplossenVanKlachten_153,LabelsAanpassen_154,OnvoldoendeKennisAndereTalen_155,BeperkingenZakenpartners_156,VerrekenenBtwSysteem_157,Verkoopwaarde1VanDeTotaleOmzet_158,Verkoopwaarde1VanDeTotaleOmzet_159,Verkoopwaarde2VanDeTotaleOmzet_160,Verkoopwaarde5VanDeTotaleOmzet_161,Verkoopwaarde10VanDeTotaleOmzet_162,Verkoopwaarde25VanDeTotaleOmzet_163,Verkoopwaarde50VanDeTotaleOmzet_164,VerkoopViaECommerce_165,Verkoopwaarde1VanDeTotaleOmzet_166,Verkoopwaarde1VanDeTotaleOmzet_167,Verkoopwaarde2VanDeTotaleOmzet_168,Verkoopwaarde5VanDeTotaleOmzet_169,Verkoopwaarde10VanDeTotaleOmzet_170,Verkoopwaarde25VanDeTotaleOmzet_171,Verkoopwaarde50VanDeTotaleOmzet_172,ViaEen_173,ViaTwee_174,ViaDrieOfMeer_175,MeerDan75VanOmzetUitEenPlatform_176,BetaaldAanPlatforms_177,VerkoopViaEDI_178,FysiekeGoederen_179,DigitaleGoederenOfDiensten_180,NietDigitaleDiensten_181,KlantenInNederland_182,KlantenInAndereEULanden_183,KlantenInLandenBuitenDeEU_184,Verkoopwaarde1VanDeTotaleOmzet_185,Verkoopwaarde1VanDeTotaleOmzet_186,Verkoopwaarde2VanDeTotaleOmzet_187,Verkoopwaarde5VanDeTotaleOmzet_188,Verkoopwaarde10VanDeTotaleOmzet_189,Verkoopwaarde25VanDeTotaleOmzet_190,Verkoopwaarde50VanDeTotaleOmzet_191,GebruikICTOplossingenVoorMilieu_192,VerminderenEnergieverbruik_193,VerbeterenMateriaalverbruik_194,MonitoringICTOplossingenVoorMilieu_195
0,WP19090,399907,80,78,73,70,43.0,76,99,2,17.0,38.0,27.0,15.0,91,78,34.0,6.0,9.0,18.0,11.0,62.0,32.0,12.0,9.0,81,80,8.0,44.0,63,43.0,49.0,27.0,36.0,23.0,26.0,21.0,14.0,13.0,7.0,5.0,5.0,2,64,60.0,55.0,52.0,56,51.0,27.0,37.0,52.0,21.0,19.0,28.0,19.0,9.0,13.0,12.0,4,7.0,6.0,1,11.0,5.0,11.0,1,4.0,6.0,7.0,5,7,7.0,15.0,6.0,9.0,2,7.0,3,3,4.0,4,2,1,95,81,33.0,79,51.0,84,72,53.0,58.0,48.0,50.0,59.0,35.0,20.0,31.0,7.0,38.0,29.0,8.0,2,42.0,17.0,17.0,25,29.0,2,1.0,1,2.0,2.0,13.0,6,12.0,1,2.0,3,1,3,2,1,2,0,0,1,0,1,1,1,1,32.0,17.0,7.0,10.0,22.0,18.0,3.0,5.0,77.0,7.0,15.0,40.0,4.0,49.0,7.0,86.0,10.0,4.0,86.0,14.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,18.0,16.0,14.0,12.0,8.0,6.0,25.0,4.0,21.0,19.0,17.0,15.0,11.0,7.0,3.0,2.0,2.0,2.0,5.0,5.0,81.0,6.0,13.0,80.0,16.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,27.0,17.0,21.0,8.0
1,WP19090,307500,67,80,73,68,26.0,75,98,3,18.0,38.0,25.0,14.0,92,77,24.0,7.0,5.0,11.0,5.0,58.0,39.0,4.0,4.0,80,80,5.0,39.0,73,67.0,49.0,25.0,36.0,18.0,32.0,21.0,11.0,10.0,4.0,6.0,3.0,1,64,57.0,50.0,47.0,50,44.0,27.0,26.0,49.0,15.0,13.0,21.0,13.0,5.0,9.0,8.0,2,3.0,3.0,2,8.0,4.0,6.0,1,2.0,2.0,5.0,3,5,4.0,10.0,4.0,11.0,3,9.0,5,4,4.0,4,1,1,96,80,24.0,74,42.0,88,77,66.0,62.0,48.0,50.0,62.0,27.0,13.0,24.0,5.0,30.0,21.0,7.0,2,48.0,13.0,16.0,23,29.0,1,0.0,1,3.0,1.0,13.0,4,12.0,1,1.0,1,1,2,3,1,2,1,0,0,0,0,1,1,1,28.0,17.0,5.0,7.0,22.0,21.0,1.0,2.0,93.0,2.0,5.0,55.0,2.0,40.0,4.0,90.0,8.0,2.0,94.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,5.0,17.0,15.0,12.0,9.0,6.0,5.0,25.0,4.0,21.0,19.0,16.0,13.0,10.0,7.0,2.0,1.0,0.0,1.0,2.0,6.0,99.0,0.0,1.0,,23.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,27.0,18.0,19.0,8.0
2,WP19090,800036,82,79,81,63,47.0,83,100,3,15.0,,28.0,16.0,91,76,26.0,5.0,4.0,11.0,10.0,63.0,32.0,11.0,8.0,77,77,6.0,28.0,60,47.0,46.0,27.0,36.0,19.0,29.0,20.0,10.0,12.0,10.0,17.0,18.0,7,64,59.0,58.0,56.0,57,59.0,31.0,37.0,56.0,22.0,22.0,19.0,10.0,4.0,13.0,6.0,1,9.0,6.0,1,4.0,2.0,8.0,2,4.0,5.0,5.0,5,4,3.0,12.0,5.0,10.0,1,9.0,4,3,6.0,6,0,0,98,87,36.0,84,56.0,87,81,61.0,74.0,57.0,60.0,76.0,41.0,26.0,29.0,6.0,51.0,44.0,6.0,1,46.0,24.0,13.0,16,37.0,0,1.0,1,2.0,1.0,8.0,5,7.0,0,1.0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,31.0,19.0,8.0,13.0,20.0,14.0,4.0,8.0,,8.0,,,8.0,,1.0,99.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,14.0,7.0,4.0,2.0,2.0,23.0,5.0,17.0,17.0,10.0,7.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,,32.0,,,31.0,,0.0,3.0,3.0,3.0,3.0,3.0,3.0,31.0,16.0,26.0,14.0
3,WP19090,350000,76,76,68,69,33.0,73,99,4,18.0,34.0,30.0,13.0,91,68,10.0,2.0,1.0,8.0,4.0,63.0,9.0,4.0,2.0,74,74,2.0,26.0,58,45.0,39.0,13.0,18.0,18.0,12.0,8.0,6.0,4.0,5.0,3.0,4.0,1,59,55.0,50.0,48.0,49,43.0,26.0,25.0,48.0,15.0,9.0,16.0,13.0,3.0,5.0,6.0,2,2.0,3.0,1,4.0,4.0,7.0,1,2.0,5.0,3.0,1,3,4.0,6.0,4.0,8.0,1,7.0,1,1,3.0,2,2,2,94,79,22.0,76,37.0,83,70,52.0,47.0,45.0,41.0,54.0,18.0,8.0,22.0,6.0,23.0,17.0,3.0,3,57.0,8.0,12.0,24,28.0,1,0.0,0,2.0,2.0,10.0,6,9.0,1,1.0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,21.0,16.0,4.0,4.0,7.0,6.0,0.0,4.0,,1.0,,,6.0,,1.0,98.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.0,3.0,1.0,1.0,8.0,2.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,99.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,19.0,19.0,5.0
4,WP19090,354200,82,78,72,68,37.0,74,99,1,19.0,40.0,25.0,13.0,91,80,51.0,9.0,21.0,25.0,21.0,57.0,40.0,15.0,9.0,82,80,10.0,50.0,72,61.0,55.0,34.0,42.0,30.0,38.0,30.0,16.0,16.0,9.0,6.0,3.0,1,64,58.0,52.0,52.0,55,50.0,36.0,38.0,53.0,22.0,22.0,26.0,18.0,7.0,9.0,10.0,3,5.0,5.0,1,12.0,4.0,9.0,2,3.0,5.0,3.0,4,5,5.0,13.0,7.0,10.0,2,8.0,3,4,5.0,4,2,2,96,83,31.0,79,49.0,86,75,60.0,62.0,51.0,53.0,63.0,35.0,23.0,29.0,7.0,38.0,27.0,9.0,2,44.0,18.0,17.0,22,30.0,2,1.0,1,2.0,1.0,16.0,7,15.0,1,2.0,5,1,3,3,1,3,0,0,1,0,0,1,1,1,32.0,12.0,3.0,9.0,42.0,41.0,3.0,4.0,96.0,1.0,3.0,43.0,2.0,47.0,7.0,83.0,13.0,3.0,89.0,11.0,8.0,4.0,3.0,2.0,2.0,4.0,9.0,33.0,30.0,26.0,23.0,16.0,11.0,47.0,8.0,39.0,36.0,32.0,29.0,22.0,17.0,5.0,3.0,3.0,3.0,8.0,12.0,96.0,1.0,3.0,82.0,15.0,3.0,1.0,10.0,10.0,9.0,9.0,7.0,4.0,31.0,21.0,25.0,9.0
5,WP19090,383100,75,68,64,59,30.0,69,98,1,19.0,46.0,22.0,9.0,80,60,17.0,2.0,8.0,9.0,3.0,44.0,31.0,7.0,11.0,69,66,5.0,22.0,46,35.0,28.0,19.0,27.0,23.0,19.0,13.0,9.0,5.0,11.0,8.0,5.0,6,61,53.0,49.0,43.0,51,49.0,21.0,19.0,50.0,15.0,11.0,14.0,10.0,3.0,5.0,4.0,3,4.0,3.0,1,4.0,4.0,6.0,3,3.0,5.0,3.0,3,3,2.0,6.0,5.0,5.0,1,4.0,3,1,1.0,1,1,1,94,76,27.0,72,39.0,83,61,45.0,51.0,46.0,44.0,56.0,28.0,19.0,22.0,8.0,31.0,24.0,6.0,1,42.0,15.0,14.0,30,24.0,2,2.0,2,4.0,2.0,10.0,7,10.0,2,1.0,5,2,3,2,0,2,0,0,0,0,0,3,3,2,27.0,14.0,5.0,6.0,10.0,4.0,2.0,5.0,,,,,2.0,,9.0,87.0,6.0,7.0,99.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,8.0,8.0,4.0,2.0,1.0,16.0,1.0,15.0,13.0,13.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,8.0,0.0,7.0,7.0,7.0,7.0,3.0,3.0,24.0,16.0,18.0,7.0
6,WP19090,389100,59,56,50,43,12.0,56,99,4,25.0,38.0,23.0,10.0,91,89,73.0,8.0,8.0,16.0,6.0,54.0,31.0,11.0,6.0,86,80,5.0,62.0,31,15.0,21.0,11.0,16.0,22.0,11.0,9.0,9.0,5.0,4.0,3.0,3.0,1,43,41.0,35.0,30.0,36,34.0,10.0,16.0,28.0,8.0,7.0,14.0,10.0,1.0,4.0,5.0,1,1.0,1.0,0,8.0,1.0,3.0,0,1.0,2.0,1.0,1,2,1.0,7.0,5.0,4.0,0,4.0,2,1,2.0,1,1,1,90,64,30.0,62,29.0,64,43,21.0,24.0,19.0,23.0,29.0,9.0,5.0,17.0,3.0,11.0,8.0,3.0,0,30.0,14.0,3.0,53,22.0,0,2.0,2,2.0,2.0,6.0,5,5.0,1,1.0,3,1,2,0,1,0,0,0,0,0,1,1,1,1,16.0,9.0,3.0,3.0,36.0,27.0,1.0,13.0,70.0,1.0,29.0,15.0,3.0,72.0,9.0,91.0,7.0,2.0,67.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,29.0,26.0,24.0,21.0,13.0,8.0,36.0,7.0,29.0,26.0,24.0,21.0,13.0,8.0,6.0,8.0,7.0,5.0,17.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,13.0,5.0
7,WP19090,391600,99,95,94,94,87.0,95,100,0,9.0,30.0,31.0,30.0,96,83,27.0,7.0,10.0,19.0,25.0,81.0,48.0,20.0,20.0,91,91,28.0,52.0,88,51.0,81.0,52.0,72.0,14.0,48.0,43.0,36.0,40.0,15.0,12.0,12.0,4,90,88.0,86.0,81.0,85,80.0,45.0,70.0,75.0,60.0,64.0,67.0,48.0,32.0,49.0,39.0,18,32.0,28.0,6,31.0,24.0,35.0,4,21.0,21.0,37.0,28,33,34.0,40.0,10.0,11.0,2,7.0,2,4,4.0,4,2,2,94,95,61.0,96,85.0,97,93,74.0,85.0,77.0,78.0,81.0,74.0,49.0,57.0,19.0,77.0,67.0,8.0,2,12.0,45.0,34.0,9,39.0,7,2.0,2,5.0,4.0,16.0,10,15.0,1,4.0,5,0,5,2,2,2,0,0,1,0,1,2,1,1,56.0,41.0,23.0,36.0,18.0,6.0,13.0,4.0,24.0,63.0,13.0,54.0,4.0,25.0,16.0,68.0,14.0,18.0,93.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,15.0,14.0,12.0,12.0,9.0,7.0,19.0,3.0,16.0,15.0,13.0,12.0,10.0,8.0,1.0,0.0,2.0,1.0,3.0,3.0,,,,,6.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,35.0,25.0,27.0,13.0
8,WP19090,396300,99,95,94,93,90.0,94,100,5,11.0,31.0,30.0,24.0,93,70,23.0,6.0,6.0,23.0,22.0,62.0,43.0,25.0,,82,82,18.0,33.0,86,36.0,74.0,61.0,62.0,27.0,46.0,35.0,21.0,26.0,7.0,2.0,18.0,1,80,71.0,68.0,62.0,69,54.0,23.0,52.0,67.0,36.0,36.0,49.0,30.0,22.0,27.0,15.0,9,21.0,16.0,3,22.0,15.0,26.0,0,13.0,10.0,16.0,11,16,15.0,31.0,22.0,11.0,4,6.0,2,4,10.0,7,2,2,100,99,56.0,97,89.0,99,97,82.0,95.0,88.0,95.0,91.0,83.0,72.0,66.0,28.0,88.0,72.0,14.0,2,28.0,27.0,43.0,3,44.0,8,2.0,2,4.0,3.0,24.0,7,24.0,2,5.0,6,2,0,8,2,8,0,0,2,0,0,0,0,0,58.0,31.0,18.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,22.0,32.0,14.0
9,WP19090,402000,94,93,95,90,77.0,97,100,0,,,,,100,89,,2.0,6.0,,,,,10.0,,94,94,,,87,,,,,,,,,15.0,11.0,12.0,,10,91,,,,87,,,,,,,,,,,,4,10.0,,6,,10.0,,2,15.0,11.0,9.0,2,6,14.0,,6.0,,8,,7,11,,4,2,3,98,88,,100,,95,90,,,,,,,,,,,,11.0,0,,6.0,,8,,7,2.0,5,0.0,0.0,,9,14.0,6,2.0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,10.0,0.0,0.0,10.0,0.0,0.0,100.0,,3.0,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,6.0,4.0,4.0,12.0,0.0,12.0,12.0,10.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,95.0,100.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,16.0,10.0
