ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,BedrijfsEMails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,MeertaligeOnderdelen_21,MobieleAppVoorKlanten_22,WebsiteOfAppHeeftPlatformfunctie_23,SocialeMediaGebruikt_24,SocialeNetwerkenBijvFacebook_25,BlogsOfMicroblogsBijvX_26,MultimediaDelenBijvYouTube_27,BusinessSoftwareGebruikt_28,ERPSoftware_29,CRMSoftware_30,BISoftware_31,EigenBedrijf_32,ExternBedrijf_33,Transactiegegevens_34,Klantgegevens_35,Socialemediagegevens_36,Webdata_37,LocatieOfGeografischeGegevens_38,GegevensVanSlimmeApparaten_39,GegevensVanOpenbareOverheidsbronnen_40,Satellietgegevens_41,ClouddienstenGebruikt_42,EMail_43,OfficeSoftware_44,OpslagDatabases_45,OpslagBestanden_46,Boekhoudingsoftware_47,ERPSoftware_48,CRMSoftware_49,Veiligheidssoftware_50,Rekenkracht_51,Rekenplatform_52,AIGebruikt_53,Textmining_54,Spraakherkenning_55,NaturalLanguageGeneration_56,AfbeeldingenVideoSGeluidGenereren_57,Afbeeldingherkenning_58,MachineLearning_59,RobotondersteundeProcesautomatisering_60,ServicerobotsOfAutonomeVoertuigen_61,MarketingOfVerkoop_62,ProductieOfServiceprocessen_63,AdministratieveProcessenBestuurstaken_64,Logistiek_65,ICTBeveiliging_66,BoekhoudingControleFinancieelBeheer_67,RDOfInnovatie_68,DoorEigenWerknemersOntwikkeld_69,CommercieleSoftwareZelfAangepast_70,OpensourcesoftwareZelfAangepast_71,CommercieleSoftwareGebruikt_72,DoorExterneLeveranciersOntwikkeld_73,HeeftAIOverwogen_74,KostenZijnTeHoog_75,GebrekAanRelevanteErvaringInBedrijf_76,IncompatibiliteitBestaandeICTSysteem_77,MoeilijkhedenBeschikbaarheidGegevens_78,BezorgdheidGegevensbescherming_79,OnduidelijkheidOverJuridischeGevolgen_80,EthischeOverwegingen_81,NietNuttigVoorOnderneming_82,Antivirussoftware_83,BeleidVoorSterkeWachtwoorden_84,BiometrischeMethoden_85,Multifactorauthenticatie_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNGebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,ICTBeveiligingsmonitoringsysteem_94,DoorVrijwilligeTraining_95,DoorVerplichteTraining_96,MetContract_97,CyberincidentGeoefend_98,ICTVeiligheidsdocumentenAanwezig_99,k_12MaandenOfMinderLangGeleden_100,TussenDe12En24MaandenGeleden_101,LangerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,PhishingAanval_107,DDoSAanval_108,DatalekOfDatamanipulatie_109,GehacktSocialemediaAccount_110,BECFraude_111,AndereCyberIncidenten_112,IncidentMetInterneOorzaakGehad_113,IncidentDoorAanvalVanBuitenGehad_114,UitvalICTDienstDoorInterneOorzaak_115,VernietigingDataDoorInterneOorzaak_116,OnthullingGegevensDoorInterneOorzaak_117,UitvalICTDienstDoorAanvalBuitenaf_118,VernietigingDataAanvalBuitenaf_119,OnthullingGegevensDoorICTInbraak_120,KostenIncidentInterneOorzaakGehad_121,KostenIncidentAanvalBuitenafGehad_122,UitvalICTDienstDoorInterneOorzaak_123,VernietigingDataDoorInterneOorzaak_124,OnthullingGegevensDoorInterneOorzaak_125,UitvalICTDienstDoorAanvalBuitenaf_126,VernietigingDataAanvalBuitenaf_127,OnthullingGegevensDoorICTInbraak_128,RansomwareAanvalGehad_129,BestandenOfICTSystemenVersleuteld_130,AfpersingOpenbaarmakingInformatie_131,VerzekeringICTVeiligheidsincidenten_132,BekendMetDTC_133,DTCWebsiteAlsBronGebruikt_134,GezochtNaarMeldingenCyberdreigingen_135,VerkoopViaWebsiteOfApp_136,FysiekeGoederen_137,DigitaleGoederenOfDiensten_138,NietDigitaleDiensten_139,FysiekeGoederen_140,DigitaleGoederenOfDiensten_141,NietDigitaleDiensten_142,Bedrijven_143,Overheidsorganisaties_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,KlantenInNederland_147,KlantenInAndereEULanden_148,KlantenInLandenBuitenDeEU_149,ViaWebsiteOfAppsVanEigenBedrijf_150,ViaOnlinePlatforms_151,HogeBezorgkosten_152,OplossenVanKlachten_153,LabelsAanpassen_154,OnvoldoendeKennisAndereTalen_155,BeperkingenZakenpartners_156,VerrekenenBtwSysteem_157,Verkoopwaarde1VanDeTotaleOmzet_158,Verkoopwaarde1VanDeTotaleOmzet_159,Verkoopwaarde2VanDeTotaleOmzet_160,Verkoopwaarde5VanDeTotaleOmzet_161,Verkoopwaarde10VanDeTotaleOmzet_162,Verkoopwaarde25VanDeTotaleOmzet_163,Verkoopwaarde50VanDeTotaleOmzet_164,VerkoopViaECommerce_165,Verkoopwaarde1VanDeTotaleOmzet_166,Verkoopwaarde1VanDeTotaleOmzet_167,Verkoopwaarde2VanDeTotaleOmzet_168,Verkoopwaarde5VanDeTotaleOmzet_169,Verkoopwaarde10VanDeTotaleOmzet_170,Verkoopwaarde25VanDeTotaleOmzet_171,Verkoopwaarde50VanDeTotaleOmzet_172,ViaEen_173,ViaTwee_174,ViaDrieOfMeer_175,MeerDan75VanOmzetUitEenPlatform_176,BetaaldAanPlatforms_177,VerkoopViaEDI_178,FysiekeGoederen_179,DigitaleGoederenOfDiensten_180,NietDigitaleDiensten_181,KlantenInNederland_182,KlantenInAndereEULanden_183,KlantenInLandenBuitenDeEU_184,Verkoopwaarde1VanDeTotaleOmzet_185,Verkoopwaarde1VanDeTotaleOmzet_186,Verkoopwaarde2VanDeTotaleOmzet_187,Verkoopwaarde5VanDeTotaleOmzet_188,Verkoopwaarde10VanDeTotaleOmzet_189,Verkoopwaarde25VanDeTotaleOmzet_190,Verkoopwaarde50VanDeTotaleOmzet_191,GebruikICTOplossingenVoorMilieu_192,VerminderenEnergieverbruik_193,VerbeterenMateriaalverbruik_194,MonitoringICTOplossingenVoorMilieu_195
0,399907,82,82.0,77.0,74.0,61.0,80.0,99,2,15.0,37.0,28.0,17.0,92,79.0,33.0,6.0,10.0,19.0,13.0,67.0,36.0,14.0,10.0,84.0,82.0,11.0,47.0,69.0,50.0,54.0,36.0,43.0,25.0,33.0,26.0,17.0,16.0,9.0,8.0,7,2,69.0,64.0,59.0,56.0,60.0,54.0,31.0,40.0,56.0,26.0,24.0,33.0,22.0,12.0,16.0,14.0,5,9.0,8.0,2,12.0,7.0,14.0,2,7,8.0,9.0,6.0,9.0,8.0,19.0,9.0,10.0,2,8.0,4.0,4,5.0,4.0,2,1,95,84,37.0,82.0,57.0,86.0,76.0,58.0,63.0,55.0,56.0,64.0,42.0,26.0,35.0,11.0,46.0,36.0,8.0,2,39.0,18.0,22.0,21.0,33.0,3,2,1,3,2,16.0,7,13.0,2,3,4,1,4,3,1,2,0,0,1,0,1,1,1,1,34.0,22.0,10.0,15.0,23.0,18.0,3.0,5.0,76.0,8.0,16.0,42.0,4.0,46.0,8.0,85.0,11.0,4.0,85.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,18.0,17.0,14.0,12.0,8.0,6.0,27.0,4.0,22.0,21.0,19.0,16.0,12.0,9.0,3.0,2.0,3.0,2.0,5.0,7.0,78.0,6.0,16.0,77.0,18.0,5.0,1.0,7.0,6.0,6.0,5.0,4.0,2.0,31.0,21.0,23.0,10.0
1,307500,70,85.0,79.0,75.0,47.0,81.0,99,3,15.0,36.0,27.0,18.0,94,78.0,23.0,7.0,7.0,13.0,6.0,66.0,48.0,6.0,4.0,84.0,83.0,8.0,42.0,80.0,75.0,56.0,39.0,48.0,20.0,43.0,30.0,15.0,14.0,8.0,13.0,5,2,70.0,63.0,57.0,51.0,56.0,45.0,31.0,32.0,54.0,21.0,19.0,29.0,17.0,9.0,14.0,11.0,4,7.0,6.0,3,10.0,7.0,11.0,2,6,5.0,8.0,5.0,7.0,6.0,16.0,8.0,12.0,3,10.0,5.0,4,5.0,4.0,2,1,97,85,31.0,80.0,53.0,91.0,82.0,73.0,70.0,59.0,59.0,69.0,40.0,26.0,30.0,10.0,45.0,34.0,8.0,3,41.0,16.0,26.0,18.0,35.0,2,1,1,5,2,16.0,5,14.0,1,2,2,1,3,3,1,3,0,0,1,0,1,1,1,1,32.0,24.0,11.0,16.0,21.0,21.0,1.0,2.0,94.0,2.0,4.0,59.0,2.0,34.0,4.0,86.0,11.0,3.0,92.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,5.0,16.0,14.0,11.0,8.0,6.0,4.0,29.0,5.0,24.0,23.0,19.0,16.0,12.0,8.0,2.0,1.0,1.0,1.0,2.0,12.0,97.0,1.0,2.0,67.0,27.0,6.0,1.0,11.0,10.0,10.0,8.0,7.0,4.0,33.0,23.0,24.0,12.0
2,800036,89,86.0,88.0,77.0,76.0,89.0,100,2,11.0,38.0,26.0,23.0,94,80.0,35.0,6.0,10.0,21.0,17.0,72.0,38.0,20.0,9.0,83.0,83.0,14.0,37.0,75.0,65.0,55.0,48.0,52.0,23.0,43.0,29.0,13.0,18.0,18.0,29.0,22,9,76.0,70.0,66.0,65.0,67.0,59.0,40.0,41.0,62.0,35.0,32.0,31.0,17.0,9.0,18.0,12.0,5,12.0,12.0,2,6.0,7.0,14.0,4,11,8.0,8.0,5.0,10.0,5.0,21.0,9.0,15.0,2,11.0,4.0,8,9.0,8.0,3,2,99,92,42.0,89.0,66.0,91.0,85.0,72.0,80.0,69.0,70.0,81.0,53.0,40.0,37.0,16.0,63.0,54.0,7.0,1,37.0,22.0,29.0,12.0,42.0,2,5,1,2,2,14.0,8,12.0,1,4,2,1,5,2,1,2,0,0,1,1,1,2,1,2,30.0,31.0,17.0,24.0,21.0,12.0,3.0,12.0,,7.0,,28.0,6.0,,2.0,98.0,2.0,0.0,89.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,15.0,10.0,7.0,5.0,4.0,24.0,6.0,18.0,18.0,12.0,9.0,7.0,5.0,2.0,1.0,2.0,1.0,3.0,4.0,,16.0,,,15.0,8.0,0.0,4.0,4.0,3.0,3.0,2.0,2.0,42.0,28.0,34.0,18.0
3,350000,86,79.0,73.0,73.0,60.0,77.0,99,3,17.0,33.0,31.0,15.0,92,70.0,10.0,2.0,2.0,9.0,5.0,68.0,12.0,4.0,2.0,77.0,77.0,4.0,32.0,63.0,52.0,43.0,20.0,24.0,20.0,19.0,12.0,9.0,6.0,8.0,6.0,6,2,63.0,59.0,54.0,51.0,53.0,46.0,30.0,29.0,52.0,19.0,13.0,21.0,17.0,5.0,8.0,8.0,3,4.0,5.0,1,6.0,5.0,10.0,1,4,6.0,4.0,3.0,4.0,5.0,11.0,6.0,9.0,1,8.0,2.0,2,5.0,3.0,2,2,95,81,25.0,79.0,42.0,85.0,74.0,58.0,53.0,51.0,46.0,59.0,27.0,12.0,25.0,9.0,31.0,23.0,5.0,3,55.0,9.0,16.0,21.0,32.0,1,0,0,3,3,13.0,7,11.0,1,2,2,1,5,1,1,1,0,0,0,0,1,0,0,0,23.0,20.0,7.0,8.0,7.0,6.0,0.0,4.0,,1.0,,,6.0,,1.0,98.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,3.0,1.0,1.0,8.0,2.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,6.0,,98.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,21.0,21.0,6.0
4,354200,71,81.0,75.0,72.0,41.0,77.0,99,1,17.0,40.0,26.0,15.0,92,81.0,53.0,10.0,23.0,28.0,23.0,61.0,43.0,18.0,10.0,84.0,82.0,12.0,53.0,75.0,65.0,58.0,42.0,48.0,31.0,44.0,35.0,20.0,20.0,11.0,8.0,6,2,67.0,61.0,56.0,55.0,58.0,51.0,38.0,40.0,55.0,26.0,25.0,30.0,20.0,9.0,13.0,13.0,4,7.0,7.0,2,15.0,5.0,11.0,3,6,7.0,5.0,5.0,7.0,6.0,16.0,9.0,11.0,3,9.0,4.0,4,5.0,4.0,2,2,97,85,34.0,81.0,53.0,87.0,78.0,64.0,66.0,56.0,57.0,67.0,41.0,28.0,32.0,10.0,44.0,33.0,9.0,2,40.0,19.0,22.0,20.0,33.0,3,1,1,3,2,17.0,8,16.0,1,2,5,1,4,3,1,3,0,0,1,0,1,1,1,1,33.0,17.0,6.0,13.0,44.0,43.0,3.0,4.0,96.0,1.0,3.0,44.0,3.0,46.0,7.0,83.0,13.0,3.0,89.0,11.0,8.0,4.0,3.0,2.0,2.0,4.0,9.0,35.0,32.0,28.0,25.0,17.0,12.0,50.0,8.0,42.0,39.0,35.0,32.0,24.0,17.0,5.0,3.0,4.0,3.0,9.0,15.0,95.0,1.0,4.0,80.0,17.0,3.0,2.0,13.0,13.0,12.0,11.0,8.0,5.0,34.0,23.0,27.0,11.0
5,383100,75,75.0,70.0,66.0,49.0,75.0,98,1,17.0,44.0,25.0,11.0,84,66.0,20.0,3.0,12.0,12.0,5.0,54.0,39.0,9.0,13.0,74.0,72.0,7.0,27.0,55.0,43.0,36.0,31.0,38.0,24.0,29.0,18.0,11.0,8.0,15.0,14.0,7,8,67.0,59.0,55.0,49.0,57.0,51.0,25.0,25.0,56.0,22.0,19.0,20.0,13.0,5.0,8.0,6.0,4,7.0,5.0,2,5.0,6.0,8.0,5,6,6.0,4.0,4.0,5.0,4.0,10.0,7.0,7.0,1,5.0,3.0,2,2.0,2.0,1,1,95,80,31.0,78.0,49.0,86.0,69.0,54.0,59.0,54.0,52.0,62.0,35.0,25.0,27.0,11.0,40.0,31.0,8.0,1,40.0,16.0,19.0,24.0,28.0,3,2,2,4,2,13.0,8,12.0,2,2,6,2,3,2,1,2,0,0,0,0,0,3,3,2,29.0,20.0,8.0,13.0,13.0,5.0,2.0,8.0,,10.0,,59.0,3.0,32.0,7.0,82.0,10.0,7.0,92.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,10.0,9.0,6.0,4.0,2.0,24.0,2.0,23.0,21.0,21.0,18.0,14.0,9.0,0.0,1.0,1.0,1.0,1.0,15.0,34.0,11.0,54.0,67.0,25.0,8.0,0.0,15.0,15.0,14.0,13.0,10.0,7.0,30.0,20.0,22.0,10.0
6,389100,57,59.0,52.0,46.0,20.0,58.0,99,4,23.0,37.0,23.0,11.0,91,88.0,73.0,9.0,9.0,17.0,7.0,56.0,34.0,13.0,6.0,86.0,81.0,6.0,63.0,35.0,18.0,24.0,14.0,18.0,23.0,14.0,11.0,10.0,7.0,4.0,3.0,3,1,46.0,44.0,38.0,33.0,39.0,37.0,13.0,19.0,31.0,10.0,9.0,16.0,11.0,1.0,5.0,6.0,1,1.0,1.0,1,9.0,1.0,4.0,0,1,2.0,1.0,2.0,2.0,1.0,8.0,6.0,5.0,1,5.0,2.0,1,2.0,1.0,1,1,90,66,30.0,64.0,32.0,66.0,46.0,24.0,28.0,22.0,26.0,32.0,13.0,7.0,19.0,4.0,14.0,10.0,3.0,0,31.0,14.0,5.0,50.0,23.0,1,2,2,2,2,7.0,5,6.0,1,1,3,1,3,1,1,1,0,0,0,0,1,1,1,1,17.0,9.0,3.0,4.0,37.0,27.0,1.0,15.0,66.0,1.0,33.0,16.0,3.0,70.0,10.0,90.0,8.0,2.0,66.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,30.0,28.0,26.0,22.0,15.0,10.0,37.0,7.0,31.0,28.0,26.0,22.0,15.0,10.0,6.0,8.0,9.0,6.0,19.0,1.0,,,,,12.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,14.0,6.0
7,391600,99,96.0,95.0,94.0,91.0,95.0,100,0,7.0,29.0,31.0,32.0,96,82.0,28.0,7.0,10.0,21.0,27.0,83.0,51.0,22.0,20.0,93.0,92.0,30.0,54.0,90.0,57.0,83.0,59.0,76.0,16.0,53.0,49.0,39.0,42.0,17.0,13.0,13,5,91.0,88.0,87.0,82.0,86.0,80.0,49.0,72.0,78.0,62.0,66.0,70.0,51.0,35.0,51.0,41.0,19,36.0,29.0,7,32.0,25.0,37.0,4,23,21.0,38.0,29.0,34.0,35.0,43.0,12.0,10.0,2,6.0,3.0,4,4.0,4.0,2,2,96,95,62.0,97.0,87.0,97.0,94.0,76.0,87.0,80.0,81.0,83.0,78.0,55.0,60.0,23.0,81.0,70.0,8.0,2,10.0,46.0,37.0,7.0,41.0,8,3,2,5,5,18.0,11,16.0,1,4,6,1,5,2,2,2,0,0,1,0,1,2,1,1,58.0,43.0,25.0,40.0,19.0,6.0,14.0,4.0,25.0,63.0,12.0,53.0,5.0,26.0,16.0,70.0,13.0,17.0,92.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,16.0,15.0,13.0,12.0,10.0,8.0,21.0,3.0,18.0,16.0,14.0,13.0,10.0,8.0,1.0,0.0,3.0,1.0,3.0,3.0,,,,,11.0,14.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,39.0,29.0,29.0,16.0
8,396300,100,96.0,94.0,94.0,96.0,95.0,100,3,8.0,26.0,29.0,33.0,94,74.0,27.0,10.0,13.0,30.0,30.0,69.0,47.0,30.0,,85.0,85.0,23.0,39.0,89.0,45.0,79.0,72.0,73.0,27.0,58.0,47.0,29.0,35.0,11.0,4.0,26,3,83.0,77.0,75.0,67.0,75.0,58.0,34.0,59.0,72.0,48.0,49.0,59.0,41.0,31.0,34.0,22.0,11,30.0,24.0,3,27.0,16.0,33.0,0,22,14.0,23.0,19.0,27.0,22.0,37.0,27.0,11.0,3,6.0,3.0,3,10.0,6.0,3,1,100,99,61.0,98.0,92.0,99.0,97.0,86.0,96.0,92.0,97.0,93.0,87.0,81.0,70.0,39.0,92.0,81.0,10.0,1,19.0,27.0,52.0,2.0,50.0,11,7,1,5,6,30.0,10,26.0,3,11,8,2,2,7,2,7,1,1,1,0,0,0,0,0,60.0,46.0,29.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,31.0,40.0,24.0
9,402000,98,94.0,96.0,92.0,90.0,98.0,100,0,14.0,,29.0,20.0,100,87.0,22.0,3.0,9.0,32.0,21.0,78.0,,15.0,18.0,96.0,96.0,27.0,65.0,91.0,,78.0,,59.0,,50.0,41.0,23.0,20.0,13.0,15.0,31,9,94.0,88.0,87.0,82.0,88.0,82.0,,73.0,87.0,46.0,,,,24.0,23.0,24.0,4,11.0,16.0,5,21.0,9.0,26.0,2,17,14.0,10.0,3.0,7.0,12.0,,10.0,20.0,6,17.0,6.0,11,16.0,8.0,4,2,99,91,,99.0,67.0,96.0,93.0,71.0,84.0,78.0,70.0,82.0,,,36.0,24.0,,,10.0,1,,7.0,43.0,6.0,,6,8,3,2,2,20.0,9,16.0,6,6,5,0,7,1,1,1,0,1,0,0,1,0,0,0,,39.0,22.0,26.0,10.0,1.0,1.0,8.0,,,,,2.0,,,87.0,11.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,6.0,4.0,4.0,13.0,0.0,12.0,12.0,9.0,8.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,,0.0,,100.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,35.0,23.0,21.0,12.0
