ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPrivegebruikVanApparaten_2,AantalGewerkteUren_3,EenKlantOfOpdrachtgever_4,TweeKlantenOfOpdrachtgevers_5,DrieOfMeerKlantenOfOpdrachtgevers_6,Omzetaandeel50VanEenOpdrachtgever_7,GebruikICTVoorzieningOpdrachtgever_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,InternetVast_13,MinderDan30MbitS_14,k_30Tot100MbitS_15,k_100Tot500MbitS_16,k_500MbitSTot1GbitS_17,TenMinste1GbitS_18,BedrijvenMetWebsite_19,MobieleAppVoorKlanten_20,WebsiteOfAppHeeftPlatformfunctie_21,ClouddienstenGebruikt_22,EMail_23,OfficeSoftware_24,OpslagDatabases_25,OpslagBestanden_26,Boekhoudingsoftware_27,ERPSoftware_28,CRMSoftware_29,Veiligheidssoftware_30,Rekenkracht_31,Rekenplatform_32,Antivirussoftware_33,BeleidVoorSterkeWachtwoorden_34,BiometrischeMethoden_35,Multifactorauthenticatie_36,EncryptieVanData_37,GegevensOpAndereFysiekeLocatie_38,NetworkAccessControl_39,VPNGebruikBuitenHetBedrijf_40,LogbestandenVoorAnalyseIncidenten_41,MethodesVoorBeoordelenICTVeiligheid_42,Risicoanalyses_43,ICTBeveiligingsmonitoringsysteem_44,CyberincidentGeoefend_45,DoorExterneLeverancierUitgevoerd_46,ZelfUitgevoerd_47,DoorExterneLeverancierZelfUitgevoerd_48,OnbekendOfNVT_49,PhishingAanval_50,DDoSAanval_51,DatalekOfDatamanipulatie_52,GehacktSocialemediaAccount_53,BECFraude_54,AndereCyberIncidenten_55,IncidentMetInterneOorzaakGehad_56,IncidentDoorAanvalVanBuitenGehad_57,UitvalICTDienstDoorInterneOorzaak_58,VernietigingDataDoorInterneOorzaak_59,OnthullingGegevensDoorInterneOorzaak_60,UitvalICTDienstDoorAanvalBuitenaf_61,VernietigingDataAanvalBuitenaf_62,OnthullingGegevensDoorICTInbraak_63,KostenIncidentInterneOorzaakGehad_64,KostenIncidentAanvalBuitenafGehad_65,UitvalICTDienstDoorInterneOorzaak_66,VernietigingDataDoorInterneOorzaak_67,OnthullingGegevensDoorInterneOorzaak_68,UitvalICTDienstDoorAanvalBuitenaf_69,VernietigingDataAanvalBuitenaf_70,OnthullingGegevensDoorICTInbraak_71,RansomwareAanvalGehad_72,BestandenOfICTSystemenVersleuteld_73,AfpersingOpenbaarmakingInformatie_74,VerzekeringICTVeiligheidsincidenten_75,BekendMetDTC_76,DTCWebsiteAlsBronGebruikt_77,GezochtNaarMeldingenCyberdreigingen_78,GebruikICTOplossingenVoorMilieu_79,VerminderenEnergieverbruik_80,VerbeterenMateriaalverbruik_81,MonitoringICTOplossingenVoorMilieu_82
0,399907,16.0,70.0,31.0,17.0,11.0,72.0,22.0,26.0,82.0,9.0,6.0,4.0,74.0,4.0,18.0,26.0,17.0,8.0,40.0,2.0,4.0,24.0,19.0,15.0,11.0,20.0,13.0,1.0,3.0,12.0,3.0,2.0,71.0,63.0,40.0,51.0,28.0,54.0,18.0,19.0,14.0,8.0,10.0,16.0,0.0,8.0,33.0,2.0,57.0,24.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,7.0,2.0,5.0,17.0,8.0,14.0,4.0
1,307610,16.0,,25.0,21.0,10.0,,,6.0,99.0,0.0,0.0,1.0,,0.0,19.0,19.0,13.0,10.0,,3.0,0.0,18.0,18.0,10.0,7.0,12.0,12.0,1.0,1.0,10.0,4.0,0.0,,,,,,,15.0,10.0,9.0,3.0,3.0,7.0,0.0,4.0,,1.0,,21.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,9.0,3.0,9.0,3.0
2,312505,22.0,75.0,24.0,10.0,9.0,80.0,19.0,4.0,98.0,1.0,1.0,0.0,70.0,5.0,21.0,28.0,10.0,5.0,,5.0,0.0,16.0,15.0,8.0,9.0,14.0,10.0,2.0,3.0,5.0,1.0,1.0,62.0,,31.0,31.0,12.0,38.0,12.0,9.0,7.0,1.0,2.0,14.0,0.0,4.0,26.0,0.0,70.0,19.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,17.0,6.0,16.0,4.0
3,315810,9.0,69.0,31.0,11.0,6.0,83.0,18.0,9.0,95.0,3.0,1.0,0.0,79.0,4.0,24.0,28.0,16.0,6.0,53.0,2.0,1.0,21.0,14.0,9.0,9.0,17.0,9.0,1.0,2.0,11.0,2.0,0.0,74.0,57.0,26.0,39.0,22.0,57.0,13.0,18.0,10.0,9.0,6.0,17.0,0.0,7.0,28.0,2.0,64.0,26.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,20.0,13.0,17.0,4.0
4,900064,,,28.0,16.0,9.0,,,,,,2.0,5.0,,0.0,,,17.0,2.0,,3.0,2.0,,,12.0,15.0,,,,,,2.0,,,,,,22.0,,23.0,13.0,13.0,9.0,11.0,20.0,0.0,,,2.0,,20.0,,,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,13.0,,10.0
5,323705,19.0,73.0,31.0,9.0,7.0,84.0,17.0,7.0,97.0,2.0,0.0,0.0,70.0,12.0,20.0,23.0,12.0,3.0,55.0,1.0,3.0,20.0,14.0,11.0,10.0,15.0,11.0,2.0,1.0,8.0,0.0,1.0,75.0,58.0,32.0,40.0,20.0,50.0,14.0,14.0,10.0,5.0,7.0,13.0,0.0,5.0,27.0,1.0,67.0,24.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,12.0,7.0,8.0,0.0
6,328105,10.0,,38.0,11.0,11.0,77.0,,9.0,97.0,3.0,0.0,0.0,,3.0,25.0,22.0,11.0,6.0,27.0,0.0,0.0,18.0,14.0,9.0,8.0,13.0,13.0,1.0,7.0,10.0,4.0,1.0,,,,,15.0,,16.0,18.0,13.0,12.0,7.0,15.0,0.0,5.0,18.0,1.0,76.0,25.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,24.0,10.0,19.0,3.0
7,332910,15.0,68.0,31.0,19.0,10.0,71.0,21.0,23.0,86.0,8.0,2.0,4.0,83.0,5.0,23.0,27.0,21.0,8.0,51.0,3.0,3.0,28.0,21.0,16.0,16.0,19.0,16.0,3.0,5.0,14.0,6.0,3.0,77.0,73.0,51.0,58.0,41.0,68.0,25.0,24.0,21.0,11.0,15.0,17.0,0.0,7.0,47.0,3.0,43.0,37.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,10.0,1.0,5.0,33.0,19.0,23.0,5.0
8,336500,7.0,69.0,36.0,8.0,11.0,81.0,,11.0,94.0,2.0,3.0,0.0,84.0,3.0,28.0,34.0,18.0,1.0,,2.0,1.0,19.0,16.0,11.0,8.0,16.0,11.0,0.0,1.0,9.0,0.0,0.0,79.0,,34.0,,19.0,,13.0,12.0,9.0,7.0,8.0,13.0,0.0,11.0,35.0,2.0,,27.0,0.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,8.0,0.0,3.0,20.0,11.0,16.0,8.0
9,339205,16.0,74.0,33.0,13.0,8.0,80.0,24.0,11.0,93.0,6.0,1.0,0.0,70.0,9.0,30.0,19.0,8.0,3.0,48.0,1.0,0.0,19.0,16.0,8.0,6.0,14.0,9.0,0.0,2.0,6.0,0.0,1.0,68.0,60.0,37.0,44.0,26.0,47.0,16.0,12.0,8.0,5.0,6.0,8.0,0.0,6.0,29.0,2.0,63.0,33.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,10.0,4.0,10.0,2.0
