ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,BedrijvenMetWebsite_7,MobieleAppVoorKlanten_8,WebsiteOfAppHeeftPlatformfunctie_9,ClouddienstenGebruikt_10,EMail_11,OfficeSoftware_12,OpslagDatabases_13,OpslagBestanden_14,Boekhoudingsoftware_15,ERPSoftware_16,CRMSoftware_17,Veiligheidssoftware_18,Rekenkracht_19,Rekenplatform_20,Antivirussoftware_21,BeleidVoorSterkeWachtwoorden_22,BiometrischeMethoden_23,Multifactorauthenticatie_24,EncryptieVanData_25,GegevensOpAndereFysiekeLocatie_26,NetworkAccessControl_27,VPNGebruikBuitenHetBedrijf_28,LogbestandenVoorAnalyseIncidenten_29,MethodesVoorBeoordelenICTVeiligheid_30,Risicoanalyses_31,ICTBeveiligingsmonitoringsysteem_32,CyberincidentGeoefend_33,PhishingAanval_34,DDoSAanval_35,DatalekOfDatamanipulatie_36,GehacktSocialemediaAccount_37,BECFraude_38,AndereCyberIncidenten_39,IncidentMetInterneOorzaakGehad_40,IncidentDoorAanvalVanBuitenGehad_41,UitvalICTDienstDoorInterneOorzaak_42,VernietigingDataDoorInterneOorzaak_43,OnthullingGegevensDoorInterneOorzaak_44,UitvalICTDienstDoorAanvalBuitenaf_45,VernietigingDataAanvalBuitenaf_46,OnthullingGegevensDoorICTInbraak_47,KostenIncidentInterneOorzaakGehad_48,KostenIncidentAanvalBuitenafGehad_49,UitvalICTDienstDoorInterneOorzaak_50,VernietigingDataDoorInterneOorzaak_51,OnthullingGegevensDoorInterneOorzaak_52,UitvalICTDienstDoorAanvalBuitenaf_53,VernietigingDataAanvalBuitenaf_54,OnthullingGegevensDoorICTInbraak_55,RansomwareAanvalGehad_56,BestandenOfICTSystemenVersleuteld_57,AfpersingOpenbaarmakingInformatie_58,VerzekeringICTVeiligheidsincidenten_59,BekendMetDTC_60,DTCWebsiteAlsBronGebruikt_61,GezochtNaarMeldingenCyberdreigingen_62,GebruikICTOplossingenVoorMilieu_63,VerminderenEnergieverbruik_64,VerbeterenMateriaalverbruik_65,MonitoringICTOplossingenVoorMilieu_66
0,WP19079,399907,74,4,18.0,26.0,17.0,8.0,40,2.0,4.0,24.0,19.0,15.0,11.0,20.0,13.0,1.0,3.0,12.0,3.0,2.0,71,63,40.0,51,28.0,54,18.0,19.0,14.0,8.0,10.0,16.0,0.0,24.0,1,1.0,1,1.0,1.0,4.0,3,3.0,0,0.0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,7.0,7.0,2.0,5.0,17.0,8.0,14.0,4.0
1,WP19079,307500,67,4,22.0,22.0,13.0,6.0,42,1.0,1.0,18.0,14.0,9.0,8.0,13.0,11.0,1.0,3.0,9.0,2.0,1.0,69,57,33.0,40,19.0,47,13.0,13.0,10.0,6.0,7.0,12.0,0.0,25.0,1,1.0,1,1.0,1.0,4.0,2,4.0,1,0.0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3.0,3.0,1.0,2.0,18.0,8.0,15.0,3.0
2,WP19079,800036,62,8,12.0,21.0,13.0,9.0,19,4.0,,14.0,10.0,10.0,3.0,9.0,8.0,0.0,1.0,10.0,0.0,0.0,57,48,30.0,35,25.0,37,9.0,17.0,10.0,8.0,9.0,15.0,0.0,14.0,1,0.0,1,2.0,1.0,7.0,2,6.0,4,1.0,2,1,1,0,1,0,0,0,1,0,0,1,0,1,2.0,7.0,2.0,3.0,19.0,13.0,16.0,5.0
3,WP19079,350000,61,4,19.0,21.0,12.0,5.0,18,1.0,,10.0,8.0,6.0,3.0,8.0,6.0,0.0,2.0,4.0,1.0,0.0,57,48,29.0,32,17.0,36,10.0,10.0,6.0,6.0,7.0,11.0,0.0,19.0,1,0.0,1,1.0,1.0,2.0,2,2.0,0,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,5.0,9.0,5.0,8.0,3.0
4,WP19079,354200,74,7,18.0,24.0,18.0,8.0,48,3.0,8.0,13.0,10.0,8.0,7.0,10.0,7.0,0.0,3.0,7.0,1.0,1.0,71,60,33.0,40,24.0,45,19.0,20.0,13.0,9.0,11.0,16.0,0.0,19.0,2,1.0,2,1.0,1.0,5.0,4,4.0,0,1.0,2,1,1,0,1,0,0,0,1,0,0,2,2,1,6.0,7.0,3.0,2.0,22.0,11.0,18.0,6.0
5,WP19079,383100,60,3,16.0,20.0,13.0,8.0,11,4.0,,9.0,8.0,5.0,5.0,7.0,5.0,1.0,1.0,5.0,2.0,1.0,59,50,37.0,41,19.0,41,13.0,16.0,12.0,5.0,9.0,16.0,0.0,18.0,1,1.0,1,3.0,2.0,3.0,3,2.0,0,1.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,3.0,16.0,8.0,13.0,6.0
6,WP19079,389100,59,5,14.0,20.0,15.0,5.0,31,2.0,5.0,10.0,6.0,5.0,7.0,8.0,6.0,1.0,2.0,4.0,1.0,1.0,48,43,25.0,32,15.0,32,9.0,8.0,7.0,6.0,4.0,7.0,0.0,20.0,1,1.0,1,0.0,1.0,2.0,2,2.0,0,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,1.0,1.0,12.0,6.0,10.0,3.0
7,WP19079,391600,89,1,16.0,33.0,20.0,18.0,55,2.0,6.0,62.0,50.0,31.0,30.0,49.0,33.0,3.0,9.0,23.0,16.0,17.0,71,75,63.0,77,49.0,78,37.0,38.0,30.0,11.0,18.0,16.0,0.0,31.0,1,1.0,2,0.0,0.0,7.0,3,7.0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,11.0,16.0,5.0,17.0,23.0,14.0,17.0,4.0
8,WP19079,396300,80,2,13.0,28.0,29.0,8.0,56,5.0,12.0,43.0,37.0,33.0,29.0,39.0,23.0,5.0,25.0,32.0,15.0,10.0,92,78,50.0,78,41.0,77,37.0,33.0,30.0,28.0,30.0,35.0,0.0,18.0,1,1.0,1,1.0,1.0,6.0,2,6.0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,30.0,14.0,4.0,3.0,27.0,12.0,24.0,9.0
9,WP19079,402000,84,6,21.0,31.0,22.0,6.0,51,3.0,10.0,30.0,23.0,20.0,21.0,27.0,14.0,1.0,12.0,18.0,1.0,0.0,85,71,43.0,60,24.0,62,22.0,17.0,15.0,12.0,15.0,21.0,0.0,27.0,1,1.0,3,1.0,2.0,6.0,4,5.0,0,1.0,2,1,2,1,0,1,0,0,0,0,0,1,1,1,11.0,5.0,2.0,4.0,21.0,9.0,19.0,5.0
10,WP19079,403300,85,3,20.0,30.0,23.0,9.0,46,0.0,1.0,38.0,30.0,26.0,16.0,34.0,20.0,1.0,3.0,21.0,3.0,1.0,79,72,48.0,65,30.0,68,21.0,22.0,16.0,9.0,11.0,18.0,0.0,31.0,1,1.0,1,1.0,1.0,4.0,3,4.0,0,0.0,2,1,2,1,1,1,0,0,1,1,1,0,0,0,7.0,8.0,2.0,6.0,17.0,9.0,14.0,4.0
11,WP19079,410200,71,5,18.0,25.0,15.0,7.0,40,2.0,6.0,20.0,16.0,14.0,12.0,15.0,13.0,1.0,3.0,11.0,1.0,1.0,70,60,39.0,50,25.0,48,18.0,19.0,13.0,10.0,12.0,18.0,0.0,24.0,1,0.0,2,1.0,1.0,3.0,2,3.0,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0,4.0,1.0,3.0,17.0,7.0,15.0,5.0
12,WP19079,422400,69,4,13.0,30.0,15.0,8.0,48,3.0,3.0,17.0,13.0,10.0,8.0,12.0,7.0,1.0,4.0,10.0,0.0,0.0,80,70,44.0,57,40.0,59,19.0,19.0,16.0,10.0,11.0,20.0,0.0,17.0,1,2.0,2,2.0,1.0,3.0,2,2.0,1,0.0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,13.0,6.0,1.0,2.0,18.0,8.0,15.0,3.0
13,WP19079,332915,92,1,15.0,36.0,21.0,19.0,56,3.0,8.0,63.0,53.0,32.0,30.0,48.0,33.0,3.0,11.0,26.0,20.0,21.0,76,81,69.0,83,58.0,83,44.0,43.0,36.0,15.0,21.0,20.0,0.0,31.0,1,1.0,1,0.0,0.0,8.0,1,8.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,20.0,7.0,22.0,26.0,16.0,20.0,5.0
14,WP19080,399907,96,6,26.0,32.0,20.0,11.0,69,6.0,5.0,36.0,30.0,26.0,25.0,29.0,25.0,6.0,15.0,24.0,7.0,6.0,82,68,29.0,56,33.0,61,37.0,26.0,26.0,20.0,23.0,29.0,2.0,20.0,1,1.0,1,1.0,1.0,5.0,3,4.0,1,0.0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,15.0,8.0,2.0,4.0,17.0,9.0,14.0,4.0
15,WP19080,307500,98,8,37.0,28.0,18.0,6.0,77,3.0,2.0,35.0,31.0,25.0,23.0,29.0,26.0,7.0,11.0,25.0,5.0,4.0,87,65,26.0,54,25.0,69,35.0,23.0,24.0,18.0,22.0,24.0,2.0,25.0,1,0.0,1,1.0,1.0,6.0,3,5.0,1,0.0,2,1,1,1,1,1,0,0,0,0,0,1,1,0,12.0,9.0,2.0,3.0,18.0,9.0,14.0,4.0
16,WP19080,800036,90,9,21.0,,19.0,4.0,56,3.0,5.0,40.0,34.0,32.0,27.0,36.0,26.0,12.0,18.0,32.0,12.0,9.0,83,60,25.0,48,28.0,64,41.0,27.0,30.0,19.0,23.0,34.0,4.0,17.0,0,0.0,0,2.0,2.0,4.0,6,4.0,0,0.0,2,0,4,1,2,1,0,0,2,0,0,0,0,0,10.0,12.0,7.0,2.0,17.0,13.0,15.0,8.0
17,WP19080,350000,96,7,27.0,33.0,18.0,10.0,57,3.0,1.0,29.0,23.0,21.0,18.0,23.0,19.0,3.0,7.0,23.0,4.0,2.0,84,62,25.0,46,25.0,55,31.0,22.0,20.0,16.0,19.0,25.0,1.0,17.0,1,1.0,1,1.0,0.0,1.0,2,1.0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,10.0,3.0,1.0,2.0,15.0,7.0,10.0,4.0
18,WP19080,354200,95,7,29.0,32.0,18.0,8.0,71,7.0,5.0,29.0,24.0,19.0,20.0,21.0,20.0,6.0,13.0,18.0,4.0,3.0,80,65,23.0,51,26.0,58,30.0,22.0,21.0,17.0,19.0,24.0,2.0,20.0,1,0.0,1,1.0,1.0,3.0,3,3.0,0,0.0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,13.0,8.0,2.0,3.0,17.0,11.0,14.0,5.0
19,WP19080,383100,96,10,25.0,35.0,19.0,7.0,36,3.0,2.0,23.0,18.0,16.0,15.0,17.0,15.0,3.0,6.0,14.0,4.0,3.0,81,66,25.0,46,23.0,53,20.0,18.0,19.0,15.0,15.0,20.0,2.0,20.0,0,0.0,1,1.0,1.0,4.0,4,4.0,1,0.0,3,0,2,0,0,0,0,0,0,0,0,1,1,1,7.0,5.0,1.0,3.0,12.0,8.0,10.0,5.0
20,WP19080,389100,96,10,34.0,23.0,18.0,11.0,73,6.0,5.0,19.0,16.0,14.0,13.0,16.0,14.0,2.0,7.0,11.0,3.0,1.0,69,60,25.0,37,20.0,33,20.0,11.0,11.0,8.0,13.0,18.0,0.0,15.0,0,0.0,1,1.0,0.0,1.0,1,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,4.0,1.0,0.0,14.0,8.0,12.0,2.0
21,WP19080,391600,97,2,12.0,29.0,27.0,26.0,79,8.0,12.0,68.0,62.0,54.0,57.0,62.0,52.0,15.0,31.0,45.0,37.0,39.0,83,85,51.0,79,66.0,80,60.0,48.0,54.0,39.0,43.0,47.0,8.0,23.0,5,1.0,1,2.0,2.0,7.0,6,7.0,1,0.0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,29.0,21.0,8.0,19.0,27.0,16.0,22.0,9.0
22,WP19080,396300,97,3,11.0,,,17.0,52,9.0,6.0,,,33.0,35.0,,28.0,11.0,26.0,,18.0,8.0,90,83,,81,,83,,,,,46.0,,3.0,20.0,0,2.0,0,1.0,1.0,6.0,4,5.0,0,3.0,2,1,2,2,3,2,0,0,2,1,1,0,0,0,34.0,16.0,3.0,8.0,18.0,7.0,15.0,6.0
23,WP19080,402000,93,6,13.0,40.0,19.0,14.0,52,6.0,10.0,35.0,33.0,26.0,26.0,30.0,22.0,4.0,17.0,28.0,3.0,4.0,82,63,28.0,58,27.0,65,43.0,27.0,28.0,26.0,27.0,32.0,1.0,18.0,1,1.0,3,1.0,1.0,6.0,3,6.0,1,0.0,1,1,2,1,1,1,0,0,1,1,1,0,0,0,18.0,8.0,3.0,3.0,12.0,8.0,9.0,4.0
24,WP19080,403300,99,3,21.0,35.0,25.0,14.0,68,3.0,4.0,55.0,48.0,45.0,39.0,47.0,40.0,8.0,22.0,38.0,10.0,7.0,86,73,38.0,68,40.0,75,48.0,34.0,35.0,23.0,27.0,36.0,3.0,24.0,1,1.0,0,1.0,1.0,6.0,4,4.0,1,1.0,2,1,2,2,1,1,0,0,1,0,1,0,0,0,18.0,10.0,3.0,5.0,15.0,8.0,13.0,4.0
25,WP19080,410200,94,8,24.0,33.0,22.0,7.0,71,5.0,6.0,32.0,28.0,24.0,22.0,25.0,24.0,6.0,13.0,22.0,6.0,5.0,80,67,28.0,56,31.0,57,34.0,25.0,23.0,19.0,21.0,28.0,2.0,22.0,1,1.0,1,1.0,1.0,4.0,3,4.0,0,0.0,2,1,2,0,0,0,0,0,0,0,0,1,1,1,13.0,8.0,2.0,3.0,14.0,7.0,12.0,3.0
26,WP19080,422400,98,4,26.0,34.0,22.0,12.0,85,13.0,8.0,43.0,37.0,31.0,32.0,36.0,31.0,5.0,23.0,32.0,7.0,3.0,93,80,32.0,83,67.0,81,63.0,41.0,44.0,32.0,40.0,42.0,2.0,21.0,0,1.0,1,0.0,0.0,12.0,1,10.0,1,2.0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,27.0,6.0,1.0,6.0,22.0,10.0,19.0,3.0
27,WP19080,332915,98,3,14.0,27.0,30.0,23.0,78,9.0,13.0,69.0,62.0,54.0,57.0,63.0,53.0,16.0,35.0,48.0,40.0,43.0,87,89,51.0,84,70.0,82,65.0,54.0,60.0,43.0,47.0,52.0,9.0,23.0,5,1.0,1,2.0,1.0,8.0,6,8.0,1,0.0,5,1,1,1,2,1,0,0,2,0,0,0,0,0,31.0,24.0,10.0,22.0,29.0,20.0,23.0,10.0
28,WP19090,399907,99,2,17.0,38.0,27.0,15.0,91,12.0,9.0,64.0,60.0,55.0,52.0,56.0,51.0,27.0,37.0,52.0,21.0,19.0,95,81,33.0,79,51.0,84,72.0,53.0,58.0,48.0,50.0,59.0,7.0,29.0,2,1.0,1,2.0,2.0,13.0,6,12.0,1,2.0,3,1,3,2,1,2,0,0,1,0,1,1,1,1,32.0,17.0,7.0,10.0,27.0,17.0,21.0,8.0
29,WP19090,307500,98,3,18.0,38.0,25.0,14.0,92,4.0,4.0,64.0,57.0,50.0,47.0,50.0,44.0,27.0,26.0,49.0,15.0,13.0,96,80,24.0,74,42.0,88,77.0,66.0,62.0,48.0,50.0,62.0,5.0,29.0,1,0.0,1,3.0,1.0,13.0,4,12.0,1,1.0,1,1,2,3,1,2,1,0,0,0,0,1,1,1,28.0,17.0,5.0,7.0,27.0,18.0,19.0,8.0
30,WP19090,800036,100,3,15.0,,28.0,16.0,91,11.0,8.0,64.0,59.0,58.0,56.0,57.0,59.0,31.0,37.0,56.0,22.0,22.0,98,87,36.0,84,56.0,87,81.0,61.0,74.0,57.0,60.0,76.0,6.0,37.0,0,1.0,1,2.0,1.0,8.0,5,7.0,0,1.0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,31.0,19.0,8.0,13.0,31.0,16.0,26.0,14.0
31,WP19090,350000,99,4,18.0,34.0,30.0,13.0,91,4.0,2.0,59.0,55.0,50.0,48.0,49.0,43.0,26.0,25.0,48.0,15.0,9.0,94,79,22.0,76,37.0,83,70.0,52.0,47.0,45.0,41.0,54.0,6.0,28.0,1,0.0,0,2.0,2.0,10.0,6,9.0,1,1.0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,21.0,16.0,4.0,4.0,27.0,19.0,19.0,5.0
32,WP19090,354200,99,1,19.0,40.0,25.0,13.0,91,15.0,9.0,64.0,58.0,52.0,52.0,55.0,50.0,36.0,38.0,53.0,22.0,22.0,96,83,31.0,79,49.0,86,75.0,60.0,62.0,51.0,53.0,63.0,7.0,30.0,2,1.0,1,2.0,1.0,16.0,7,15.0,1,2.0,5,1,3,3,1,3,0,0,1,0,0,1,1,1,32.0,12.0,3.0,9.0,31.0,21.0,25.0,9.0
33,WP19090,383100,98,1,19.0,46.0,22.0,9.0,80,7.0,11.0,61.0,53.0,49.0,43.0,51.0,49.0,21.0,19.0,50.0,15.0,11.0,94,76,27.0,72,39.0,83,61.0,45.0,51.0,46.0,44.0,56.0,8.0,24.0,2,2.0,2,4.0,2.0,10.0,7,10.0,2,1.0,5,2,3,2,0,2,0,0,0,0,0,3,3,2,27.0,14.0,5.0,6.0,24.0,16.0,18.0,7.0
34,WP19090,389100,99,4,25.0,38.0,23.0,10.0,91,11.0,6.0,43.0,41.0,35.0,30.0,36.0,34.0,10.0,16.0,28.0,8.0,7.0,90,64,30.0,62,29.0,64,43.0,21.0,24.0,19.0,23.0,29.0,3.0,22.0,0,2.0,2,2.0,2.0,6.0,5,5.0,1,1.0,3,1,2,0,1,0,0,0,0,0,1,1,1,1,16.0,9.0,3.0,3.0,18.0,12.0,13.0,5.0
35,WP19090,391600,100,0,9.0,30.0,31.0,30.0,96,20.0,20.0,90.0,88.0,86.0,81.0,85.0,80.0,45.0,70.0,75.0,60.0,64.0,94,95,61.0,96,85.0,97,93.0,74.0,85.0,77.0,78.0,81.0,19.0,39.0,7,2.0,2,5.0,4.0,16.0,10,15.0,1,4.0,5,0,5,2,2,2,0,0,1,0,1,2,1,1,56.0,41.0,23.0,36.0,35.0,25.0,27.0,13.0
36,WP19090,396300,100,5,11.0,31.0,30.0,24.0,93,25.0,20.0,80.0,71.0,68.0,62.0,69.0,54.0,23.0,52.0,67.0,36.0,36.0,100,99,56.0,97,89.0,99,97.0,82.0,95.0,88.0,95.0,91.0,28.0,44.0,8,2.0,2,4.0,3.0,24.0,7,24.0,2,5.0,6,2,0,8,2,8,0,0,2,0,0,0,0,0,58.0,31.0,18.0,28.0,38.0,22.0,32.0,14.0
37,WP19090,402000,100,0,,,,,100,10.0,,91.0,,,,87.0,,,,,,,98,88,,100,,95,90.0,,,,,,,,7,2.0,5,0.0,0.0,,9,14.0,6,2.0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16.0,10.0
