ID,BouwactiviteitenSBI93,Perioden,SBI45Bouwnijverheid_1,SBI451BouwrijpMakenVanTerreinen_2,SBI452BUGWWExclGrondverzet_3,SBI453Bouwinstallatie_4,SBI454AfwerkenVanGebouwen_5,SBI455VerhuurBouwEnSloopmachines_6,SBI45Bouwnijverheid_7,SBI451BouwrijpMakenVanTerreinen_8,SBI452BUGWWExclGrondverzet_9,SBI453Bouwinstallatie_10,SBI454AfwerkenVanGebouwen_11,SBI455VerhuurBouwEnSloopmachines_12
0,00,1996JJ00,26995,265,19617,5757,948,408,5581,239,2856,1323,1149,12
1,00,1997JJ00,28394,317,20877,5765,1004,431,6141,206,3141,1574,1213,7
2,00,1998JJ00,29803,281,21410,6563,1104,450,7584,380,3947,1885,1352,18
3,00,1999JJ00,32828,332,23847,6933,1156,560,8152,371,4370,2106,1281,25
4,01,1996JJ00,119,99,19,0,0,0,118,108,10,0,0,0
5,01,1997JJ00,142,113,28,0,0,0,74,68,6,0,0,0
6,01,1998JJ00,142,117,25,0,0,0,125,116,10,0,0,0
7,01,1999JJ00,159,132,28,0,0,0,135,123,10,0,0,3
8,02,1996JJ00,470,133,329,0,0,7,130,99,27,0,0,5
9,02,1997JJ00,451,131,307,0,0,14,161,108,50,0,0,3
10,02,1998JJ00,345,113,226,0,0,6,286,238,41,0,0,7
11,02,1999JJ00,420,151,269,0,0,0,295,214,67,0,0,14
12,25,1996JJ00,72,0,72,0,0,0,37,0,37,0,0,0
13,25,1997JJ00,35,0,35,0,0,0,20,0,20,0,0,0
14,25,1998JJ00,24,0,24,0,0,0,51,0,51,0,0,0
15,25,1999JJ00,10,0,10,0,0,0,2,0,2,0,0,0
16,05,1996JJ00,10562,0,10562,0,0,0,528,0,528,0,0,0
17,05,1997JJ00,11558,0,11558,0,0,0,692,0,692,0,0,0
18,05,1998JJ00,12130,0,12130,0,0,0,942,0,942,0,0,0
19,05,1999JJ00,13395,0,13395,0,0,0,1022,0,1022,0,0,0
20,06,1996JJ00,2885,0,2885,0,0,0,260,0,260,0,0,0
21,06,1997JJ00,2944,0,2944,0,0,0,206,0,206,0,0,0
22,06,1998JJ00,2829,0,2829,0,0,0,262,0,262,0,0,0
23,06,1999JJ00,3348,0,3348,0,0,0,236,0,236,0,0,0
24,07,1996JJ00,217,0,217,0,0,0,38,0,38,0,0,0
25,07,1997JJ00,297,0,297,0,0,0,54,0,54,0,0,0
26,07,1998JJ00,355,0,355,0,0,0,53,0,53,0,0,0
27,07,1999JJ00,332,0,332,0,0,0,108,0,108,0,0,0
28,22,1996JJ00,305,0,305,0,0,0,43,0,43,0,0,0
29,22,1997JJ00,411,0,411,0,0,0,61,0,61,0,0,0
30,22,1998JJ00,535,0,535,0,0,0,26,0,26,0,0,0
