ID,Perioden,NatuurlijkePersonenMetInkomen_1,Totaalinkomen_2,TotaalinkomenPerNatPersMetInkomen_3,Inkomenstrekkers_4,Nominaal_5,NaarKoopkracht1996_6,Vermogenstrekkers_7,Vermogen_8,Nominaal_9,NaarKoopkracht1996_10,Ontvangers_11,Bedrag_12,BedragPerOntvangerNominaal_13,BedragPerOntvangerKoopkracht1980_14,TotaalVerbruik_15,Voeding_16,WoninghuurWaarde_17,WoningOverigeUitgave_18,KledingEnSchoeisel_19,HygieneEnGeneeskundigeVerzorging_20,OntwikkelingEnOntspanning_21,VerkeerEnVervoer_22,OverigVerbruik_23,Koelkast_24,Diepvriezer_25,Magnetronoven_26,Vaatwasmachine_27,Wasmachine_28,Wasdroger_29,ElektrischeNaaimachine_30,Kleurentelevisie_31,Videorecorder_32,Videocamera_33,DiaprojektorFilmprojektor_34,HomeEnOfPersonalComputer_35,TVSpelcomputer_36,BandOfCassetterecorderOfDeck_37,Platenspeler_38,CompactDiscpeler_39,DigitaleAudioTapeDATRecorder_40,DigitaleCompactCassette_41,MiniDiscSpeler_42,Muziekinstrument115_43,Bromfiets_44,MotorScooter_45,Auto_46,TourcaravanVouwwagen_47,Stacaravan_48,TweedeWoningVakantiehuisjeOfBung_49,Surfplank_50,ZeilbootOfMotorboot_51,SolariumZonnebank_52
0,1900JJ00,279.0,,,,,,81.0,2621.0,32.4,462.2,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1905JJ00,353.0,221.0,0.6,,,,89.0,2897.0,32.5,465.0,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1910JJ00,462.0,283.0,0.6,,,,96.0,3241.0,33.8,482.3,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1915JJ00,679.0,605.0,0.9,,,,89.0,3318.0,37.3,465.9,39.0,153.0,3.9,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1920JJ00,1368.0,1651.0,1.2,,,,159.0,6166.0,38.8,277.0,53.0,198.0,3.7,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1921JJ00,1638.0,1948.0,1.2,,,,166.0,6028.0,36.3,302.5,52.0,196.0,3.8,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1922JJ00,1690.0,1878.0,1.1,,,,161.0,5592.0,34.7,315.6,54.0,211.0,3.9,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1923JJ00,1632.0,1746.0,1.1,,,,162.0,5528.0,34.1,341.2,48.0,174.0,3.6,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1924JJ00,1625.0,1707.0,1.0,,,,165.0,5542.0,33.6,335.8,48.0,182.0,3.8,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1925JJ00,1658.0,1753.0,1.0,,,,170.0,5876.0,34.6,345.6,48.0,182.0,3.8,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1926JJ00,1694.0,1771.0,1.0,,,,174.0,6156.0,35.4,353.9,49.0,178.0,3.6,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1927JJ00,1719.0,1784.0,1.0,,,,177.0,6386.0,36.1,360.8,54.0,202.0,3.8,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1928JJ00,1746.0,1828.0,1.0,,,,185.0,6754.0,36.5,365.3,51.0,197.0,3.9,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1929JJ00,1831.0,1944.0,1.0,,,,193.0,7109.0,36.8,368.5,59.0,238.0,4.0,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1930JJ00,1893.0,1982.0,1.0,,,,198.0,7089.0,35.8,397.8,54.0,223.0,4.1,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1931JJ00,1867.0,1909.0,1.0,,,,194.0,6489.0,33.4,371.6,57.0,236.0,4.1,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1932JJ00,1668.0,1659.0,1.0,,,,181.0,5317.0,29.4,367.2,53.0,181.0,3.4,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
