ID,Overheidslaag,Perioden,TotaalUitgaven_1,TotaalConsumptieveBestedingen_2,TotaalIntermediairVerbruik_3,AankoopMilitaireGoederen_4,AankoopBijAdministratieveOverheden_5,AankoopBijOverigeOverheden_6,OnderhoudGWWWerken_7,Belastingen_8,TotaalInvesteringen_9,GrondEnBestaandeGWWWerken_10,BestaandeGebouwen_11,DuurzameRoerendeGoederen_12,NieuwbouwGebouwen_13,AanlegGWWWerken_14,TotaalInclDesinvesteringen_15,TotaalVerkoopGoederenEnDnst_16,MilitaireGoederen_17,AanAdministratieveOverheid_18,AanOverigeOverheden_19,TotaalVerkoopInvGoederen_20,GrondEnBestaandeGWW_21,BestaandeGebouwen_22,OverigeInvesteringsgoederen_23
0, 6,1993JJ00,21695,14090,13858,1792.0,821,9057,2187,227,7601,808,250,935,1720,3898,8998,6090,68.0,898,5119,2909,2137.0,427,345
1, 6,1994JJ00,22113,13963,13731,1225.0,926,9704,1876,231,8150,1062,313,935,1824,6693,9629,6099,109.0,812,5178,3530,2990.0,290,250
2, 6,1995JJ00,22390,14258,14035,1162.0,790,11594,490,222,8132,876,290,921,1933,6720,9597,6135,109.0,898,5128,3462,3095.0,200,168
3, 6,1996JJ00,23592,14970,14743,1162.0,790,12302,490,227,8622,876,290,921,1933,7565,10097,6258,109.0,898,5250,3839,3095.0,200,545
4, 1,1993JJ00,8354,6870,6816,1792.0,68,4365,590,50,1488,32,5,408,331,708,1461,1262,68.0,64,1130,200,95.0,0,104
5, 1,1994JJ00,8254,6589,6539,1225.0,186,4520,608,50,1665,59,36,422,372,776,1606,1375,109.0,64,1203,231,145.0,82,5
6, 1,1995JJ00,8363,6702,6661,1162.0,177,4837,486,41,1661,41,27,368,445,781,1606,1343,109.0,77,1157,263,241.0,14,9
7, 1,1996JJ00,8808,7070,7029,1162.0,177,5205,486,41,1738,41,27,368,445,858,1829,1407,109.0,77,1221,422,241.0,14,168
8, 2,1993JJ00,268,263,263,,0,263,0,0,5,0,0,5,0,0,36,36,0.0,27,9,0,0.0,0,0
9, 2,1994JJ00,268,259,259,,0,252,7,0,9,0,0,5,0,5,36,36,,23,14,0,,0,0
10, 2,1995JJ00,263,259,259,,0,254,5,0,5,0,0,5,0,0,32,32,,23,9,0,,0,0
11, 2,1996JJ00,268,263,263,,0,259,5,0,5,0,0,5,0,0,32,32,,23,9,0,,0,0
12, 3,1993JJ00,667,427,417,,14,182,222,9,241,14,0,23,23,177,159,54,0.0,23,36,104,95.0,5,0
13, 3,1994JJ00,726,486,481,,9,472,0,5,241,9,0,18,36,177,68,54,,23,32,14,5.0,9,0
14, 3,1995JJ00,726,508,504,,9,495,0,5,218,9,0,18,36,154,68,64,,27,36,5,5.0,0,0
15, 3,1996JJ00,753,526,522,,9,513,0,5,227,9,0,18,36,163,77,68,,27,41,9,5.0,0,5
16, 4,1993JJ00,957,431,381,,18,250,113,50,522,95,0,36,14,377,36,32,0.0,14,18,5,5.0,5,0
17, 4,1994JJ00,953,463,413,,14,399,0,50,490,50,0,36,23,381,41,32,,9,23,9,5.0,5,0
18, 4,1995JJ00,1193,531,486,,23,463,0,45,663,32,0,36,27,567,73,41,,14,27,32,27.0,5,0
19, 4,1996JJ00,1266,554,504,,23,481,0,50,712,32,0,36,27,617,77,45,,14,32,32,27.0,5,0
20, 5,1993JJ00,11453,6099,5976,,717,4002,1262,118,5355,658,245,467,1352,2632,7301,4706,0.0,781,3925,2596,1942.0,417,241
21, 5,1994JJ00,11912,6167,6040,,717,4061,1262,127,5745,944,277,454,1393,5355,7878,4601,,694,3907,3276,2836.0,195,245
22, 5,1995JJ00,11844,6258,6126,,581,5545,0,132,5586,794,263,495,1425,5218,7819,4656,,758,3898,3163,2823.0,182,159
23, 5,1996JJ00,12497,6557,6426,,581,5845,0,132,5940,794,263,495,1425,5926,8082,4706,,758,3948,3376,2823.0,182,372
