ID,CaribischNederland,Perioden,TotaalHuishoudensEnBedrijven_1,Totaal_2,Prepaid_3,Postpaid_4,Bedrijven_5,Totaal_6,Fossiel_7,Hernieuwbaar_8,Oliedoorvoer_9,TotaalHuishoudensEnBedrijven_10,Huishoudens_11,Bedrijven_12,Productie_13
0,CN01  ,1993JJ00,,,,,,52.9,,,,,,,
1,CN01  ,1994JJ00,,,,,,59.9,,,,,,,
2,CN01  ,1995JJ00,,,,,,62.2,,,,,,,
3,CN01  ,1996JJ00,,,,,,78.7,,,,,,,
4,CN01  ,1997JJ00,,,,,,83.0,,,,,,,
5,CN01  ,1998JJ00,,,,,,90.3,,,,,,,
6,CN01  ,1999JJ00,,,,,,90.0,,,,5660.0,4904.0,756.0,
7,CN01  ,2000JJ00,,,,,,86.5,,,,5693.0,4930.0,763.0,
8,CN01  ,2001JJ00,,,,,,87.6,,,,5864.0,5094.0,770.0,
9,CN01  ,2002JJ00,,,,,,,,,,5897.0,5111.0,786.0,
10,CN01  ,2003JJ00,,,,,,90.8,,,,6054.0,5258.0,796.0,
11,CN01  ,2004JJ00,,,,,,94.8,,,,6202.0,5351.0,851.0,
12,CN01  ,2005JJ00,,,,,,95.2,,,,6364.0,5478.0,886.0,
13,CN01  ,2006JJ00,,,,,,91.4,,,,6480.0,5561.0,919.0,
14,CN01  ,2007JJ00,,,,,,93.6,,,,6899.0,5890.0,1009.0,
15,CN01  ,2008JJ00,,,,,,91.0,,,,7199.0,6126.0,1073.0,
16,CN01  ,2009JJ00,,,,,,95.1,,,,7605.0,6453.0,1152.0,
17,CN01  ,2010JJ00,,,,,,103.9,,,,7855.0,6756.0,1099.0,
18,CN01  ,2011JJ00,,,,,,106.4,,,,8068.0,6953.0,1115.0,
19,CN01  ,2012JJ00,,,,,,113.7,81.3,32.5,,8281.0,7125.0,1156.0,
20,CN01  ,2013JJ00,12113.0,10004.0,,,2109.0,116.3,79.6,36.7,,8502.0,7353.0,1149.0,1359.0
21,CN01  ,2014JJ00,,,,,,120.0,78.8,41.2,,,,,1561.0
22,CN01  ,2015JJ00,,,1660.0,6258.0,,126.7,86.6,40.1,,,,,1643.0
23,CN01  ,2016JJ00,,,1868.0,6275.0,,132.1,94.5,37.6,,9916.0,,,1659.0
24,CN01  ,2017JJ00,,,2068.0,6364.0,2455.0,136.6,101.3,35.3,,10283.0,,,1702.0
25,CN01  ,2018JJ00,13729.0,11203.0,2267.0,6380.0,2526.0,136.4,91.4,45.1,,10640.0,,,1826.0
26,CN01  ,2019JJ00,14187.0,11610.0,2433.0,6645.0,2577.0,144.9,103.7,41.2,,11226.0,,,2038.0
27,CN01  ,2020JJ00,14842.0,12294.0,2324.0,7186.0,2548.0,147.7,112.1,35.7,,11595.0,9852.0,1743.0,2083.0
28,CN01  ,2021JJ00,15388.0,12779.0,2411.0,7549.0,2609.0,159.2,118.5,40.7,,12394.0,10387.0,2007.0,2295.0
29,CN01  ,2022JJ00,16146.0,13378.0,2564.0,7921.0,2768.0,166.5,125.5,41.0,,12977.0,10834.0,2143.0,2489.0
30,CN01  ,2023JJ00,16887.0,14041.0,3314.0,7859.0,2846.0,183.2,140.0,43.2,,13235.0,11167.0,2068.0,2742.0
31,CN01  ,2024JJ00,16863.0,13943.0,2697.0,8383.0,2920.0,200.3,151.6,48.8,,13804.0,11639.0,2165.0,2866.0
32,GM9001,1993JJ00,,,,,,46.7,,,58.8,,,,755.0
33,GM9001,1994JJ00,,,,,,50.8,,,116.3,,,,822.0
34,GM9001,1995JJ00,,,,,,52.1,,,128.6,,,,888.0
35,GM9001,1996JJ00,,,,,,67.9,,,,,,,933.0
36,GM9001,1997JJ00,,,,,,71.4,,,179.9,,,,989.0
37,GM9001,1998JJ00,,,,,,77.6,,,114.0,,,,1015.0
38,GM9001,1999JJ00,5769.0,4653.0,,4653.0,1116.0,76.4,,,79.1,5660.0,4904.0,756.0,906.0
39,GM9001,2000JJ00,5838.0,4736.0,,4736.0,1102.0,72.6,,,102.2,5693.0,4930.0,763.0,895.0
