ID,Perioden,TotaalConsumptie_1,TotaalWerkelijkeIndividueleConsumptie_2,Totaal_3,TotaalBinnenlandsConsumptieHuish_4,Totaal_5,TotaalVoedingsEnGenotmiddelen_6,Totaal_7,AardappelenGroenteEnFruit_8,VleesEnVleeswaren_9,Vis_10,Zuivelproducten_11,BroodBeschuitEnBroodproducten_12,OverigeVoedingsmiddelen_13,Totaal_14,ConsumptieIjs_15,Zoetwaren_16,Dranken_17,Tabak_18,TotaalDuurzameConsumptiegoederen_19,TextielEnKleding_20,LederwarenEnSchoeisel_21,Woninginrichting_22,HuishoudelijkeApparaten_23,HuishoudelijkeArtikelen_24,Voertuigen_25,OverigeDuurzameGoederen_26,TotaalOverigeConsumptiegoederen_27,Motorbrandstoffen_28,Energie_29,OverigeGoederenNietEldersGenoemd_30,Totaal_31,Huisvesting_32,HorecaDiensten_33,DienstenMBTRecreatieEnCultuur_34,DienstenMBTVervoerEnCommunicatie_35,MedischeDienstenEnWelzijnszorg_36,FinancieleEnZakelijkeDiensten_37,OverigeDiensten_38,ConsumptieBuitenlandersInNederland_39,ConsumptieHuishoudensInBuitenland_40,Totaal_41,Totaal_42,Totaal_43,Woninginrichting_44,HuishoudelijkeApparaten_45,OverigeDuurzameGoederen_46,Totaal_47,Energie_48,OverigeGoederenNietEldersGenoemd_49,Totaal_50,Huisvesting_51,HorecaDiensten_52,DienstenMBTRecreatieEnCultuur_53,DienstenMBTVervoerEnCommunicatie_54,MedischeDienstenEnWelzijnszorg_55,FinancieleEnZakelijkeDiensten_56,OverigeDiensten_57,CollectieveConsumptieDoorDeOverheid_58,TotaalConsumptie_59,TotaalWerkelijkeIndividueleConsumptie_60,Totaal_61,TotaalBinnenlandsConsumptieHuish_62,Totaal_63,TotaalVoedingsEnGenotmiddelen_64,Totaal_65,AardappelenGroenteEnFruit_66,VleesEnVleeswaren_67,Vis_68,Zuivelproducten_69,BroodBeschuitEnBroodproducten_70,OverigeVoedingsmiddelen_71,Totaal_72,ConsumptieIjs_73,Zoetwaren_74,Dranken_75,Tabak_76,TotaalDuurzameConsumptiegoederen_77,TextielEnKleding_78,LederwarenEnSchoeisel_79,Woninginrichting_80,HuishoudelijkeApparaten_81,HuishoudelijkeArtikelen_82,Voertuigen_83,OverigeDuurzameGoederen_84,TotaalOverigeConsumptiegoederen_85,Motorbrandstoffen_86,Energie_87,OverigeGoederenNietEldersGenoemd_88,Totaal_89,Huisvesting_90,HorecaDiensten_91,DienstenMBTRecreatieEnCultuur_92,DienstenMBTVervoerEnCommunicatie_93,MedischeDienstenEnWelzijnszorg_94,FinancieleEnZakelijkeDiensten_95,OverigeDiensten_96,ConsumptieBuitenlandersInNederland_97,ConsumptieHuishoudensInBuitenland_98,Totaal_99,Totaal_100,Totaal_101,Woninginrichting_102,HuishoudelijkeApparaten_103,OverigeDuurzameGoederen_104,Totaal_105,Energie_106,OverigeGoederenNietEldersGenoemd_107,Totaal_108,Huisvesting_109,HorecaDiensten_110,DienstenMBTRecreatieEnCultuur_111,DienstenMBTVervoerEnCommunicatie_112,MedischeDienstenEnWelzijnszorg_113,FinancieleEnZakelijkeDiensten_114,OverigeDiensten_115,CollectieveConsumptieDoorDeOverheid_116,TotaalConsumptie_117,TotaalWerkelijkeIndividueleConsumptie_118,Totaal_119,TotaalBinnenlandsConsumptieHuish_120,Totaal_121,TotaalVoedingsEnGenotmiddelen_122,Totaal_123,AardappelenGroenteEnFruit_124,VleesEnVleeswaren_125,Vis_126,Zuivelproducten_127,BroodBeschuitEnBroodproducten_128,OverigeVoedingsmiddelen_129,Totaal_130,ConsumptieIjs_131,Zoetwaren_132,Dranken_133,Tabak_134,TotaalDuurzameConsumptiegoederen_135,TextielEnKleding_136,LederwarenEnSchoeisel_137,Woninginrichting_138,HuishoudelijkeApparaten_139,HuishoudelijkeArtikelen_140,Voertuigen_141,OverigeDuurzameGoederen_142,TotaalOverigeConsumptiegoederen_143,Motorbrandstoffen_144,Energie_145,OverigeGoederenNietEldersGenoemd_146,Totaal_147,Huisvesting_148,HorecaDiensten_149,DienstenMBTRecreatieEnCultuur_150,DienstenMBTVervoerEnCommunicatie_151,MedischeDienstenEnWelzijnszorg_152,FinancieleEnZakelijkeDiensten_153,OverigeDiensten_154,ConsumptieBuitenlandersInNederland_155,ConsumptieHuishoudensInBuitenland_156,Totaal_157,Totaal_158,Totaal_159,Woninginrichting_160,HuishoudelijkeApparaten_161,OverigeDuurzameGoederen_162,Totaal_163,Energie_164,OverigeGoederenNietEldersGenoemd_165,Totaal_166,Huisvesting_167,HorecaDiensten_168,DienstenMBTRecreatieEnCultuur_169,DienstenMBTVervoerEnCommunicatie_170,MedischeDienstenEnWelzijnszorg_171,FinancieleEnZakelijkeDiensten_172,OverigeDiensten_173,CollectieveConsumptieDoorDeOverheid_174,TotaalConsumptie_175,TotaalWerkelijkeIndividueleConsumptie_176,Totaal_177,TotaalBinnenlandsConsumptieHuish_178,Totaal_179,TotaalVoedingsEnGenotmiddelen_180,Totaal_181,AardappelenGroenteEnFruit_182,VleesEnVleeswaren_183,Vis_184,Zuivelproducten_185,BroodBeschuitEnBroodproducten_186,OverigeVoedingsmiddelen_187,Totaal_188,ConsumptieIjs_189,Zoetwaren_190,Dranken_191,Tabak_192,TotaalDuurzameConsumptiegoederen_193,TextielEnKleding_194,LederwarenEnSchoeisel_195,Woninginrichting_196,HuishoudelijkeApparaten_197,HuishoudelijkeArtikelen_198,Voertuigen_199,OverigeDuurzameGoederen_200,TotaalOverigeConsumptiegoederen_201,Motorbrandstoffen_202,Energie_203,OverigeGoederenNietEldersGenoemd_204,Totaal_205,Huisvesting_206,HorecaDiensten_207,DienstenMBTRecreatieEnCultuur_208,DienstenMBTVervoerEnCommunicatie_209,MedischeDienstenEnWelzijnszorg_210,FinancieleEnZakelijkeDiensten_211,OverigeDiensten_212,ConsumptieBuitenlandersInNederland_213,ConsumptieHuishoudensInBuitenland_214,Totaal_215,Totaal_216,Totaal_217,Woninginrichting_218,HuishoudelijkeApparaten_219,OverigeDuurzameGoederen_220,Totaal_221,Energie_222,OverigeGoederenNietEldersGenoemd_223,Totaal_224,Huisvesting_225,HorecaDiensten_226,DienstenMBTRecreatieEnCultuur_227,DienstenMBTVervoerEnCommunicatie_228,MedischeDienstenEnWelzijnszorg_229,FinancieleEnZakelijkeDiensten_230,OverigeDiensten_231,CollectieveConsumptieDoorDeOverheid_232
0,1969JJ00,37436,31811,27594,27448,17995,7039,4320,648,1271,158,935,442,866,2719,71,584,1096,968,7435,2461,544,1047,824,263,1278,1018,3521,824,738,1959,9453,2708,1610,430,1076,887,1229,1513,903,1049,4217,,,,,,,,,,,,,,,,,5625,155944,,109390,106599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,6802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,25.2,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,15.4,,,,,,,,,,,,,,,,,,
1,1970JJ00,42064,36036,30799,30671,20102,7521,4615,698,1358,168,999,472,920,2906,76,624,1171,1035,8706,2784,615,1240,1018,311,1496,1242,3875,882,854,2139,10569,2963,1717,469,1190,1138,1408,1684,1096,1224,5237,,,,,,,,,,,,,,,,,6028,165467,,116303,113640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4619,7327,,,,,,,,,,,,,,,,,,,6.1,,6.3,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,7.7,,,,,,,,,,,,,,,,,,,25.4,,26.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,16.7,,,,,,,,,,,,,,,,,,
2,1971JJ00,47499,40503,34161,34256,22248,8404,5230,769,1550,190,1138,538,1045,3174,87,712,1338,1037,9531,2982,660,1344,1143,331,1699,1372,4313,1048,967,2298,12008,3367,1850,526,1343,1358,1632,1932,1482,1387,6342,,,,,,,,,,,,,,,,,6996,170994,,118860,116845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5820,7908,,,,,,,,,,,,,,,,,,,3.3,,2.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,7.9,,,,,,,,,,,,,,,,,,,27.8,,28.7,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,17.5,,,,,,,,,,,,,,,,,,
3,1972JJ00,53023,45062,37623,37864,24039,8939,5566,815,1652,202,1212,574,1111,3373,92,759,1424,1098,10441,3140,694,1492,1290,374,1900,1551,4659,1011,1177,2471,13825,3852,2061,609,1588,1509,1990,2216,1747,1506,7439,,,,,,,,,,,,,,,,,7961,176466,,122444,120771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,8119,,,,,,,,,,,,,,,,,,,3.2,,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,2.7,,,,,,,,,,,,,,,,,,,30.0,,30.7,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,18.6,,,,,,,,,,,,,,,,,,
4,1973JJ00,60612,51596,43080,43342,27307,9897,6165,939,1814,225,1336,631,1220,3732,101,833,1565,1233,12033,3463,765,1735,1605,437,2161,1867,5377,1191,1257,2929,16035,4461,2281,698,1837,1937,2386,2435,1986,1724,8516,,,,,,,,,,,,,,,,,9016,183907,,128416,126733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6754,8393,,,,,,,,,,,,,,,,,,,4.2,,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.4,,,,,,,,,,,,,,,,,,,33.0,,33.5,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,20.5,,,,,,,,,,,,,,,,,,
5,1974JJ00,69339,58704,48589,48686,30489,10897,6714,932,2016,241,1474,701,1350,4183,113,926,1740,1404,13546,3793,838,1973,1808,501,2511,2122,6046,1428,1380,3238,18197,4936,2506,802,2052,2468,2729,2704,2025,1928,10115,,,,,,,,,,,,,,,,,10635,188823,,131200,128978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6325,8588,,,,,,,,,,,,,,,,,,,2.7,,2.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3,2.3,,,,,,,,,,,,,,,,,,,36.7,,37.0,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,22.4,,,,,,,,,,,,,,,,,,
6,1975JJ00,79405,67024,54948,54798,34182,11833,7395,1037,2217,266,1620,771,1484,4438,124,1018,1913,1383,15048,4036,892,2172,2111,563,2856,2418,7301,1635,1950,3716,20616,5331,2764,929,2257,3199,3063,3073,2089,2239,12076,,,,,,,,,,,,,,,,,12381,195849,,135420,132621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038,9016,,,,,,,,,,,,,,,,,,,3.7,,3.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,5.0,,,,,,,,,,,,,,,,,,,40.5,,40.6,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,24.8,,,,,,,,,,,,,,,,,,
7,1976JJ00,91023,76958,63138,62501,38890,13585,8468,1325,2475,312,1828,860,1668,5117,138,1137,2136,1706,16937,4547,1004,2401,2330,633,3356,2666,8368,1676,2431,4261,23611,6116,3155,1077,2529,3699,3554,3481,2152,2789,13820,,,,,,,,,,,,,,,,,14065,205184,,142077,138156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610,10087,,,,,,,,,,,,,,,,,,,4.8,,4.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,11.9,,,,,,,,,,,,,,,,,,,44.4,,44.4,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,27.6,,,,,,,,,,,,,,,,,,
8,1977JJ00,100516,84819,69399,68390,42064,14457,9036,1399,2648,332,1953,921,1783,5421,148,1216,2285,1772,18676,4905,1084,2657,2503,708,3874,2945,8931,1695,2560,4676,26326,6641,3571,1234,2823,3977,4097,3983,2231,3240,15420,,,,,,,,,,,,,,,,,15697,212794,,146737,142139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5428,10807,,,,,,,,,,,,,,,,,,,3.7,,3.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,7.1,,,,,,,,,,,,,,,,,,,47.2,,47.3,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,30.0,,,,,,,,,,,,,,,,,,
9,1978JJ00,109800,92644,75658,74029,45118,14963,9395,1441,2760,345,2033,959,1857,5568,154,1268,2380,1766,20268,5329,1177,2889,2735,769,4174,3195,9887,1914,2886,5087,28911,7332,3879,1366,3030,4338,4601,4365,2234,3863,16986,,,,,,,,,,,,,,,,,17156,221188,,153063,147441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216,11987,,,,,,,,,,,,,,,,,,,3.9,,4.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,10.9,,,,,,,,,,,,,,,,,,,49.6,,49.4,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,32.2,,,,,,,,,,,,,,,,,,
