ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ToegangTotInternetInHetHuishouden_1,Inbel_2,Breedband_3,MobieleOfDongel_4,k_3MndGeleden_5,k_312MndGeleden_6,k_1JaarGeleden_7,NooitInternetGebruikt_8,BijnaDagelijks_9,NietDagelijksMaarMinstens1xPerWeek_10,NietWekelijksMaarMinstens1xPerMnd_11,Minstens1xPerMaand_12,Thuis_13,BijIemandAndersThuis_14,OpHetWerk_15,BijEenOnderwijsinstelling_16,ErgensAnders_17,VersturenOntvangenEMails_18,BerichtenPlaatsenOpChatsites_19,Weblogs_20,TekstberichtenUitwisselen_21,ProfessioneelNetwerk_22,AnderSociaalNetwerkFacebookTwitter_23,TelefonerenViaInternet_24,RadioTv_25,Kranten_26,Internetbankieren_27,SpelletjesFilmsOfMuziekDownloaden_28,FotoMuziekTekstOfSoftwareUploaden_29,SoftwareDownloadenAndersDanSpellen_30,OnlineAankopen_31
0,T009002,MW00000,CN01   ,2013JJ00,74.7,11.7,74.6,36.0,70.3,2.6,5.3,21.8,86.1,10.9,1.8,1.3,92.9,15.6,44.7,15.6,10.9,82.1,33.7,14.9,47.8,11.7,68.6,60.6,46.8,42.7,40.2,47.6,44.8,26.2,35.1
1,T009002,MW00000,CN01   ,2017JJ00,84.8,,,,93.8,,,,93.0,6.2,0.5,,,,,,,72.9,37.4,,89.9,13.2,73.5,77.2,69.7,41.8,52.7,48.9,48.9,24.1,43.6
2,T009002,MW00000,CN01   ,2021JJ00,89.2,,,,97.8,0.4,,1.7,98.3,1.6,,,,,,,,,,,,,,,86.5,45.0,69.1,47.8,,19.9,45.5
3,T009002,MW00000,GM9001 ,2013JJ00,75.1,12.6,74.4,38.3,70.4,2.5,5.6,21.5,86.2,10.5,2.1,1.2,94.0,17.1,45.0,13.1,11.3,80.7,29.2,14.0,46.0,9.2,68.3,58.8,47.9,43.1,38.7,45.8,42.4,22.5,29.7
4,T009002,MW00000,GM9001 ,2017JJ00,85.5,,,,96.1,,,,96.4,3.2,,,,,,,,69.3,32.8,,92.8,11.0,76.1,81.6,63.6,37.9,52.7,47.8,47.2,22.0,36.1
5,T009002,MW00000,GM9001 ,2021JJ00,90.3,,,,97.0,,,2.6,98.3,1.5,,,,,,,,,,,,,,,82.6,49.6,70.0,50.6,,21.4,37.9
6,T009002,MW00000,GM9002 ,2013JJ00,68.1,7.9,72.5,32.1,62.8,3.8,5.6,27.8,87.4,10.1,,,86.3,10.5,52.3,13.2,10.4,85.2,49.5,15.8,48.2,14.4,65.7,57.1,36.3,40.0,42.7,50.6,49.4,35.2,44.3
7,T009002,MW00000,GM9002 ,2017JJ00,80.1,,,,87.9,,,,80.7,17.2,1.7,,,,,,,73.9,40.7,,80.4,13.8,62.6,65.7,79.1,45.7,48.4,46.2,40.4,18.6,52.9
8,T009002,MW00000,GM9002 ,2021JJ00,83.9,,,,97.8,1.3,,,97.5,2.5,,,,,,,,,,,,,,,89.9,30.4,75.9,36.6,,11.0,53.7
9,T009002,MW00000,GM9003 ,2013JJ00,83.3,10.2,78.9,24.2,83.5,,,13.3,83.0,14.0,,,94.3,12.7,31.3,36.6,9.5,88.2,42.9,20.4,59.6,25.7,75.3,78.5,53.9,44.1,47.1,56.4,54.9,39.0,60.0
