ID,Perioden,TotaalNieuwbouwEnOverigeBouw_1,TotaalNieuwbouw_2,Nieuwbouwwoningen_3,NieuwbouwMarktsector_4,NieuwbouwBudgetsector_5,TotaalOverigeBouw_6,BestaandeWoningen_7,BestaandeBouwMarktsector_8,BestaandeBouwBudgetsector_9
0,2015KW01,100.6,100.7,100.3,100.4,100.6,100.2,100.0,100.1,100.2
1,2015KW02,100.0,100.0,99.9,100.1,100.1,100.0,99.8,99.9,100.1
2,2015KW03,99.7,99.7,99.9,99.8,99.9,100.0,100.1,100.0,100.0
3,2015KW04,99.7,99.6,99.9,99.7,99.5,99.8,100.1,100.0,99.7
4,2015JJ00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,2016KW01,99.7,99.6,99.9,99.8,99.6,99.8,100.2,100.1,99.9
6,2016KW02,99.1,99.1,99.3,99.2,99.1,99.1,99.7,99.4,99.2
7,2016KW03,98.3,98.3,98.4,98.7,98.6,98.2,98.5,98.7,98.7
8,2016KW04,97.5,97.5,97.4,98.5,98.5,97.5,97.5,98.6,98.5
9,2016JJ00,98.7,98.7,98.8,99.1,99.0,98.7,98.9,99.2,99.1
10,2017KW01,97.1,97.0,96.9,98.4,98.2,97.2,97.0,98.6,98.4
11,2017KW02,97.3,97.3,97.4,98.6,98.2,97.5,97.5,99.0,98.6
12,2017KW03,98.1,98.1,98.3,99.2,98.5,98.3,98.6,99.6,99.1
13,2017KW04,99.0,98.9,99.4,99.6,98.8,99.2,99.9,100.2,99.7
14,2017JJ00,97.9,97.9,98.1,99.0,98.4,98.1,98.3,99.3,99.0
15,2018KW01,100.1,100.1,101.0,100.0,99.0,100.0,101.6,100.6,100.0
16,2018KW02,101.1,101.2,102.3,100.5,99.5,101.1,103.0,101.5,100.6
17,2018KW03,102.1,102.3,103.9,100.3,99.6,101.7,104.5,101.4,100.3
18,2018KW04,103.2,103.5,105.6,100.3,99.7,102.4,106.3,101.1,100.3
19,2018JJ00,101.7,101.8,103.2,100.3,99.5,101.3,103.9,101.2,100.3
20,2019KW01,104.8,105.1,107.5,101.3,100.5,104.0,108.3,102.5,101.2
21,2019KW02,106.4,106.6,109.2,102.9,101.3,105.8,110.2,104.5,102.6
22,2019KW03,108.1,108.4,111.5,103.5,101.7,107.2,112.8,104.8,103.2
23,2019KW04,109.9,110.1,113.7,104.3,102.5,109.1,115.9,105.7,104.4
24,2019JJ00,107.2,107.4,110.3,103.0,101.4,106.5,111.7,104.4,102.8
25,2020KW01,111.8,112.0,115.7,106.2,103.7,111.3,118.1,108.0,106.3
26,2020KW02,113.6,113.8,117.5,107.9,105.2,113.0,119.7,109.9,107.9
27,2020KW03,115.1,115.4,119.7,108.2,106.1,114.0,121.8,109.9,108.3
28,2020KW04,116.5,117.0,121.7,108.8,107.1,115.2,123.7,110.2,109.1
29,2020JJ00,114.2,114.5,118.6,107.7,105.4,113.3,120.8,109.4,107.9
30,2021KW01,118.3,118.7,123.5,110.5,108.7,117.1,125.5,112.2,110.9
31,2021KW02,119.2,119.7,124.7,110.9,109.5,117.8,126.2,112.7,111.8
32,2021KW03,120.0,120.7,126.0,111.2,109.8,117.9,127.0,112.1,111.7
33,2021KW04,120.8,121.4,127.0,111.4,110.5,118.5,128.1,112.2,112.0
34,2021JJ00,119.6,120.2,125.4,111.0,109.6,117.8,126.7,112.3,111.6
35,2022KW01,121.9,122.6,128.4,112.3,111.1,119.7,129.5,113.5,112.8
36,2022KW02,123.1,123.7,129.6,113.3,111.8,121.0,131.1,114.5,113.7
37,2022KW03,124.3,125.0,131.0,114.6,112.6,122.2,132.7,115.4,114.5
38,2022KW04,125.3,125.9,132.3,115.2,113.6,123.1,134.1,116.2,115.8
39,2022JJ00,123.6,124.2,130.3,113.8,112.2,121.5,131.8,114.9,114.3
40,2023KW01,126.6,127.3,134.1,116.0,113.9,124.3,135.9,116.4,115.7
41,2023KW02,128.6,129.3,136.2,118.2,115.1,126.5,138.6,117.9,117.2
42,2023KW03,131.8,132.2,138.3,123.0,118.4,130.8,141.8,123.4,122.1
43,2023KW04,134.8,134.9,140.5,126.1,121.9,134.9,144.4,129.1,127.5
44,2023JJ00,130.3,130.8,137.2,120.6,117.2,128.8,140.0,121.2,120.4
45,2024KW01,138.5,138.4,143.2,131.0,127.1,139.0,147.8,134.3,132.6
46,2024KW02,141.6,141.6,146.5,133.9,129.9,142.1,150.9,137.3,135.5
47,2024KW03,144.9,145.0,149.9,137.6,132.9,144.8,154.0,140.2,137.5
48,2024KW04,147.6,147.8,152.2,141.2,137.4,146.9,156.3,142.3,139.5
49,2024JJ00,143.2,143.3,148.0,135.9,131.6,143.2,152.2,138.5,136.3
50,2025KW01,149.6,150.0,154.6,142.4,140.6,148.5,158.4,143.0,141.2
51,2025KW02,151.1,151.5,156.4,143.3,141.4,149.8,159.7,144.7,142.3
52,2025KW03,153.5,153.9,158.7,145.9,144.7,152.3,161.5,148.2,145.0
53,2025KW04,156.2,156.5,161.0,149.1,147.9,155.6,164.0,152.1,149.2
54,2025JJ00,152.5,152.9,157.6,145.0,143.6,151.5,160.9,147.0,144.3
