ID,Eigendom,RegioS,Perioden,GemiddeldeBouwkostenPerWoning_1,GemiddeldeBouwkostenPerM_2,GemiddeldeBouwkostenPerM_3,GemiddeldeInhoudWoningen_4,GemiddeldeOppervlakteVanWoningen_5
0,A028867,NL01  ,2012VJ12,95,258,748,370,127
1,A028867,NL01  ,2013VJ03,94,259,755,365,125
2,A028867,NL01  ,2013VJ06,92,266,777,346,118
3,A028867,NL01  ,2013VJ09,92,265,777,346,118
4,A028867,NL01  ,2013VJ12,92,265,781,347,118
5,A028867,NL01  ,2014VJ03,91,251,733,362,124
6,A028867,NL01  ,2014VJ06,89,234,681,383,131
7,A028867,NL01  ,2014VJ09,85,236,688,361,124
8,A028867,NL01  ,2014VJ12,86,236,685,364,126
9,A028867,NL01  ,2015VJ03,87,242,703,358,123
10,A028867,NL01  ,2015VJ06,84,249,725,336,115
11,A028867,NL01  ,2015VJ09,86,248,721,348,120
12,A028867,NL01  ,2015VJ12,84,249,727,338,116
13,A028867,NL01  ,2016VJ03,82,252,738,327,112
14,A028867,NL01  ,2016VJ06,85,251,732,340,117
15,A028867,NL01  ,2016VJ09,82,255,745,322,110
16,A028867,NL01  ,2016VJ12,85,255,739,332,114
17,A028867,NL01  ,2017VJ03,85,260,752,325,112
18,A028867,NL01  ,2017VJ06,88,264,765,335,116
19,A028867,NL01  ,2017VJ09,86,267,774,323,111
20,A028867,NL01  ,2017VJ12,86,269,781,321,111
21,A028867,NL01  ,2018VJ03,89,274,796,324,111
22,A028867,NL01  ,2018VJ06,87,274,790,319,111
23,A028867,NL01  ,2018VJ09,96,280,804,342,119
24,A028867,NL01  ,2018VJ12,99,293,843,338,117
25,A028867,NL01  ,2019VJ03,103,300,869,345,119
26,A028867,NL01  ,2019VJ06,105,304,884,344,119
27,A028867,NL01  ,2019VJ09,105,306,888,344,119
28,A028867,NL01  ,2019VJ12,106,310,904,341,117
29,A028867,NL01  ,2020VJ03,106,311,901,341,118
30,A028867,NL01  ,2020VJ06,110,318,926,347,119
31,A028867,NL01  ,2020VJ09,112,324,940,345,119
32,A028867,NL01  ,2020VJ12,117,328,952,355,123
33,A028867,NL01  ,2021VJ03,118,328,944,361,125
