ID,OwnerOrTenant,HouseholdCharacteristics,DwellingCharacteristics,Accuracy,Periods,TotalHousingCosts_1,NetRentOrMortgage_2,AdditionalHousingCosts_3,HousingCostRatio_4,NonSkewedRent_5,SkewedTowardsCheapRent_6,SkewedTowardsExpensiveRent_7
0,T001096,A025395,2060100,MW00000,2012JJ00,586.0,423.0,163.0,39.2,,,
1,T001096,A025395,2060100,MW00000,2015JJ00,592.0,430.0,161.0,41.7,,,
2,T001096,A025395,2060100,MW00000,2018JJ00,595.0,432.0,163.0,40.9,,,
3,T001096,A025395,2060100,MW00000,2021JJ00,629.0,485.0,144.0,38.9,,,
4,T001096,A025395,2060100,MOG0095,2012JJ00,576.0,414.0,160.0,38.2,,,
5,T001096,A025395,2060100,MOG0095,2015JJ00,583.0,422.0,160.0,40.7,,,
6,T001096,A025395,2060100,MOG0095,2018JJ00,586.0,423.0,161.0,39.8,,,
7,T001096,A025395,2060100,MOG0095,2021JJ00,617.0,474.0,142.0,37.7,,,
8,T001096,A025395,2060100,MBG0095,2012JJ00,596.0,433.0,165.0,40.1,,,
9,T001096,A025395,2060100,MBG0095,2015JJ00,600.0,438.0,163.0,42.7,,,
10,T001096,A025395,2060100,MBG0095,2018JJ00,604.0,440.0,165.0,42.0,,,
11,T001096,A025395,2060100,MBG0095,2021JJ00,641.0,497.0,146.0,40.1,,,
12,T001096,A025395,2060110,MW00000,2012JJ00,796.0,612.0,184.0,36.0,,,
13,T001096,A025395,2060110,MW00000,2015JJ00,794.0,617.0,177.0,36.6,,,
14,T001096,A025395,2060110,MW00000,2018JJ00,816.0,633.0,182.0,34.0,,,
15,T001096,A025395,2060110,MW00000,2021JJ00,858.0,693.0,165.0,32.2,,,
16,T001096,A025395,2060110,MOG0095,2012JJ00,782.0,599.0,181.0,35.0,,,
17,T001096,A025395,2060110,MOG0095,2015JJ00,778.0,602.0,174.0,35.5,,,
18,T001096,A025395,2060110,MOG0095,2018JJ00,802.0,620.0,180.0,33.0,,,
19,T001096,A025395,2060110,MOG0095,2021JJ00,841.0,677.0,162.0,31.1,,,
20,T001096,A025395,2060110,MBG0095,2012JJ00,811.0,626.0,187.0,37.0,,,
21,T001096,A025395,2060110,MBG0095,2015JJ00,810.0,633.0,180.0,37.7,,,
22,T001096,A025395,2060110,MBG0095,2018JJ00,830.0,647.0,185.0,35.1,,,
23,T001096,A025395,2060110,MBG0095,2021JJ00,875.0,710.0,168.0,33.4,,,
24,T001096,A025395,2060120,MW00000,2012JJ00,979.0,774.0,205.0,36.5,,,
25,T001096,A025395,2060120,MW00000,2015JJ00,960.0,768.0,192.0,33.7,,,
26,T001096,A025395,2060120,MW00000,2018JJ00,1001.0,808.0,193.0,33.2,,,
27,T001096,A025395,2060120,MW00000,2021JJ00,1065.0,887.0,179.0,32.5,,,
28,T001096,A025395,2060120,MOG0095,2012JJ00,958.0,754.0,201.0,35.2,,,
29,T001096,A025395,2060120,MOG0095,2015JJ00,940.0,749.0,189.0,32.6,,,
30,T001096,A025395,2060120,MOG0095,2018JJ00,982.0,790.0,190.0,32.0,,,
31,T001096,A025395,2060120,MOG0095,2021JJ00,1041.0,863.0,175.0,30.9,,,
32,T001096,A025395,2060120,MBG0095,2012JJ00,1000.0,794.0,208.0,37.9,,,
33,T001096,A025395,2060120,MBG0095,2015JJ00,979.0,787.0,195.0,34.8,,,
34,T001096,A025395,2060120,MBG0095,2018JJ00,1020.0,826.0,196.0,34.3,,,
35,T001096,A025395,2060120,MBG0095,2021JJ00,1089.0,911.0,182.0,34.1,,,
36,T001096,A025395,2060130,MW00000,2012JJ00,1241.0,1006.0,235.0,40.5,,,
37,T001096,A025395,2060130,MW00000,2015JJ00,1227.0,1003.0,223.0,37.0,,,
38,T001096,A025395,2060130,MW00000,2018JJ00,1240.0,1026.0,214.0,37.2,,,
39,T001096,A025395,2060130,MW00000,2021JJ00,1308.0,1109.0,199.0,35.5,,,
40,T001096,A025395,2060130,MOG0095,2012JJ00,1180.0,947.0,228.0,38.2,,,
41,T001096,A025395,2060130,MOG0095,2015JJ00,1182.0,958.0,217.0,34.7,,,
42,T001096,A025395,2060130,MOG0095,2018JJ00,1196.0,983.0,209.0,35.2,,,
43,T001096,A025395,2060130,MOG0095,2021JJ00,1261.0,1063.0,193.0,33.6,,,
44,T001096,A025395,2060130,MBG0095,2012JJ00,1301.0,1065.0,241.0,42.8,,,
45,T001096,A025395,2060130,MBG0095,2015JJ00,1271.0,1049.0,230.0,39.3,,,
46,T001096,A025395,2060130,MBG0095,2018JJ00,1284.0,1068.0,220.0,39.1,,,
47,T001096,A025395,2060130,MBG0095,2021JJ00,1354.0,1155.0,205.0,37.4,,,
48,T001096,A025395,ZW25799,MW00000,2012JJ00,782.0,597.0,185.0,38.8,,,
49,T001096,A025395,ZW25799,MW00000,2015JJ00,798.0,617.0,181.0,39.9,,,
50,T001096,A025395,ZW25799,MW00000,2018JJ00,846.0,659.0,186.0,39.2,,,
51,T001096,A025395,ZW25799,MW00000,2021JJ00,963.0,790.0,173.0,38.1,,,
52,T001096,A025395,ZW25799,MOG0095,2012JJ00,760.0,576.0,181.0,37.2,,,
53,T001096,A025395,ZW25799,MOG0095,2015JJ00,777.0,597.0,178.0,38.5,,,
54,T001096,A025395,ZW25799,MOG0095,2018JJ00,823.0,637.0,183.0,37.8,,,
55,T001096,A025395,ZW25799,MOG0095,2021JJ00,933.0,762.0,169.0,36.6,,,
56,T001096,A025395,ZW25799,MBG0095,2012JJ00,805.0,618.0,189.0,40.3,,,
57,T001096,A025395,ZW25799,MBG0095,2015JJ00,820.0,637.0,185.0,41.3,,,
58,T001096,A025395,ZW25799,MBG0095,2018JJ00,868.0,682.0,189.0,40.6,,,
59,T001096,A025395,ZW25799,MBG0095,2021JJ00,993.0,819.0,176.0,39.7,,,
60,T001096,A025395,ZW10412,MW00000,2012JJ00,698.0,516.0,181.0,37.5,,,
61,T001096,A025395,ZW10412,MW00000,2015JJ00,691.0,511.0,180.0,37.7,,,
62,T001096,A025395,ZW10412,MW00000,2018JJ00,737.0,555.0,182.0,34.5,,,
63,T001096,A025395,ZW10412,MW00000,2021JJ00,771.0,599.0,172.0,32.7,,,
64,T001096,A025395,ZW10412,MOG0095,2012JJ00,682.0,502.0,178.0,36.5,,,
65,T001096,A025395,ZW10412,MOG0095,2015JJ00,676.0,497.0,177.0,36.7,,,
66,T001096,A025395,ZW10412,MOG0095,2018JJ00,721.0,540.0,179.0,33.5,,,
67,T001096,A025395,ZW10412,MOG0095,2021JJ00,750.0,579.0,168.0,31.5,,,
68,T001096,A025395,ZW10412,MBG0095,2012JJ00,713.0,531.0,184.0,38.4,,,
69,T001096,A025395,ZW10412,MBG0095,2015JJ00,706.0,525.0,183.0,38.8,,,
70,T001096,A025395,ZW10412,MBG0095,2018JJ00,753.0,570.0,185.0,35.6,,,
71,T001096,A025395,ZW10412,MBG0095,2021JJ00,792.0,619.0,175.0,33.9,,,
72,T001096,A025395,ZW10413,MW00000,2012JJ00,749.0,567.0,182.0,37.5,,,
73,T001096,A025395,ZW10413,MW00000,2015JJ00,745.0,567.0,178.0,37.1,,,
74,T001096,A025395,ZW10413,MW00000,2018JJ00,752.0,572.0,180.0,36.1,,,
75,T001096,A025395,ZW10413,MW00000,2021JJ00,775.0,610.0,165.0,34.3,,,
76,T001096,A025395,ZW10413,MOG0095,2012JJ00,730.0,549.0,178.0,36.1,,,
77,T001096,A025395,ZW10413,MOG0095,2015JJ00,723.0,547.0,175.0,35.9,,,
78,T001096,A025395,ZW10413,MOG0095,2018JJ00,733.0,555.0,177.0,34.9,,,
79,T001096,A025395,ZW10413,MOG0095,2021JJ00,751.0,587.0,161.0,32.8,,,
80,T001096,A025395,ZW10413,MBG0095,2012JJ00,769.0,586.0,185.0,38.8,,,
81,T001096,A025395,ZW10413,MBG0095,2015JJ00,766.0,587.0,181.0,38.3,,,
82,T001096,A025395,ZW10413,MBG0095,2018JJ00,771.0,589.0,183.0,37.3,,,
83,T001096,A025395,ZW10413,MBG0095,2021JJ00,800.0,633.0,169.0,35.7,,,
84,T001096,A025395,ZW10414,MW00000,2012JJ00,823.0,642.0,180.0,37.6,,,
85,T001096,A025395,ZW10414,MW00000,2015JJ00,825.0,653.0,173.0,36.6,,,
86,T001096,A025395,ZW10414,MW00000,2018JJ00,843.0,667.0,176.0,35.8,,,
87,T001096,A025395,ZW10414,MW00000,2021JJ00,886.0,721.0,164.0,32.6,,,
88,T001096,A025395,ZW10414,MOG0095,2012JJ00,794.0,616.0,176.0,35.9,,,
89,T001096,A025395,ZW10414,MOG0095,2015JJ00,800.0,629.0,169.0,35.0,,,
90,T001096,A025395,ZW10414,MOG0095,2018JJ00,813.0,639.0,172.0,34.0,,,
91,T001096,A025395,ZW10414,MOG0095,2021JJ00,851.0,689.0,159.0,30.7,,,
92,T001096,A025395,ZW10414,MBG0095,2012JJ00,852.0,669.0,185.0,39.4,,,
