ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
0,NL01  ,11228340,3574370,7924690,2604770,1868130,224580,106810,101530,107540,111360,120240,114320,121930,124460,7771700,24400,2503100,26200,3277800,427000,392000,8973,1442,16,1919370,484553,245790,26060,25930,25490,15310,156040
1,GM1680,15310,4750,11150,3560,2510,210,80,70,80,80,90,90,100,90,11300,25600,3500,26800,4600,400,400,13,2,14,2540,453,470,20,30,20,10,150
2,GM0358,20180,7440,13090,5460,4000,390,60,60,60,70,80,80,90,90,12900,28400,5200,30800,7000,400,400,17,3,19,2130,273,270,30,10,30,10,270
3,GM0197,16750,5650,11400,4090,2830,260,70,70,70,80,90,80,90,90,11600,23400,4000,24500,5500,400,400,13,3,19,2300,370,400,20,30,20,20,180
4,GM0059,17460,6470,11720,4500,3250,320,160,150,150,170,180,160,170,190,11800,21300,4500,22100,6200,700,800,15,4,26,3240,792,500,30,30,30,30,450
5,GM0482,12230,4950,8170,3220,2350,250,100,100,110,110,110,110,110,110,8100,24900,3200,26100,4600,300,400,10,2,19,1890,398,200,20,30,20,30,270
6,GM0613,16370,5900,10180,4420,3240,340,90,80,90,90,100,90,110,100,10600,28900,4300,30400,5600,400,400,13,2,13,2320,393,280,60,30,60,10,200
7,GM0361,70700,21870,51650,16590,11950,1490,620,620,630,620,680,670,680,680,50900,24300,15900,25400,20200,2500,2200,58,8,14,11580,2763,1890,260,160,260,140,1000
8,GM0141,46930,15580,32680,11480,8200,1040,690,660,700,710,790,730,810,830,32300,22000,11200,22500,14800,2600,2400,36,6,18,10070,3330,1730,180,260,180,90,860
9,GM0034,145400,50440,87390,38110,27250,4610,1980,1800,2020,2120,2070,1930,2090,2200,82300,24400,35400,24400,44600,7300,6600,111,18,16,23650,6530,2380,270,290,270,190,1940
