ID,CaribischNederland,Perioden,Productie_1,VerliezenStatistischVerschil_2,TotaalHuishoudensEnBedrijven_3,Huishoudens_4,Bedrijven_5,TotaalHuishoudensEnBedrijven_6,Huishoudens_7,Bedrijven_8
0,CN01  ,2020JJ00,2083.0,350.0,1732.0,1241.0,492.0,11595.0,9852.0,1743.0
1,CN01  ,2021JJ00,2294.0,358.0,1936.0,1369.0,567.0,12394.0,10387.0,2007.0
2,CN01  ,2022JJ00,2488.0,372.0,2117.0,1455.0,662.0,12855.0,11178.0,1677.0
3,CN01  ,2023JJ00,2742.0,402.0,2339.0,1573.0,767.0,13302.0,11585.0,1717.0
4,CN01  ,2024JJ00,2866.0,373.0,2493.0,1700.0,793.0,13736.0,11936.0,1800.0
5,GM9001,2020JJ00,1953.0,307.0,1646.0,1178.0,468.0,10604.0,8971.0,1633.0
6,GM9001,2021JJ00,2120.0,293.0,1827.0,1285.0,542.0,11323.0,9434.0,1889.0
7,GM9001,2022JJ00,2301.0,299.0,2002.0,1367.0,635.0,11670.0,10117.0,1553.0
8,GM9001,2023JJ00,2548.0,326.0,2222.0,1480.0,742.0,12052.0,10469.0,1583.0
9,GM9001,2024JJ00,2681.0,310.0,2371.0,1599.0,772.0,12468.0,10803.0,1665.0
10,GM9002,2020JJ00,130.0,43.0,86.0,63.0,23.0,991.0,881.0,110.0
11,GM9002,2021JJ00,175.0,65.0,109.0,84.0,25.0,1071.0,953.0,118.0
12,GM9002,2022JJ00,188.0,73.0,115.0,88.0,27.0,1185.0,1061.0,124.0
13,GM9002,2023JJ00,194.0,76.0,117.0,93.0,25.0,1250.0,1116.0,134.0
14,GM9002,2024JJ00,185.0,63.0,122.0,101.0,21.0,1268.0,1133.0,135.0
15,GM9003,2020JJ00,,,,,,,,
16,GM9003,2021JJ00,,,,,,,,
17,GM9003,2022JJ00,,,,,,,,
18,GM9003,2023JJ00,,,,,,,,
19,GM9003,2024JJ00,,,,,,,,
