ID,Standaardisatie,RegionaleIndeling,ContactMetHuisarts_1,GemHuisartscontactInBevolking_2,GemHuisartscontactBijContact_3,ContactMetSpecialist_4,GemSpecialistcontactInBevolking_5,GemSpecialistcontactBijContact_6,ContactMetTandarts_7,GemTandartscontactInBevolking_8,GemTandartscontactBijContact_9,ContactMetFysiotherapeut_10,GemFysiotherapeutcontactInBevolking_11,GemFysiotherapeutcontactBijContact_12,ContactMetRiagg_13,ContactMetAlternatieveGenezers_14,Ziekenhuisopname_15,AantalZiekenhuisopnamenInBevolking_16,AantalZiekenhuisopnamenVanPatienten_17,MedicijngebruikVoorgeschreven_18,MedicijngebruikNietVoorgeschreven_19,ContactConsultatiebureau_20,GemiddeldeLengteVanMannen_21,GemiddeldeLengteVanVrouwen_22,GemiddeldGewichtVanMannen_23,GemiddeldGewichtVanVrouwen_24,OndergewichtMannen_25,NormaalgewichtMannen_26,OvergewichtMannen_27,ErnstigOvergewichtMannen_28,OndergewichtVrouwen_29,NormaalgewichtVrouwen_30,OvergewichtVrouwen_31,ErnstigOvergewichtVrouwen_32,MinderGoedeGezondheid_33,Astma_34,Neusholteontsteking_35,HartkwaalOfHartinfarct_36,HogeBloeddruk_37,GevolgenVanEenBeroerte_38,Maagzweer_39,ErnstigeDarmstoornissen_40,GalstenenGalblaasontsteking_41,LeverziekteOfLevercirrhose_42,Nierstenen_43,Nierziekte_44,ChronischeBlaasontsteking_45,Verzakking_46,Suikerziekte_47,Schildklierafwijking_48,Rugaandoening_49,GewrichtsslijtageArthrose_50,GewrichtsontstekingArthritis_51,ChronischeReuma_52,Epilepsie_53,DuizeligheidMetVallen_54,Migraine_55,ErnstigeHuidziekte_56,KwaadaardigeAandoeningOfKanker_57,PersonenMet1OfMeerOESOScores_58,PersonenMetBeperkingenInHoren_59,PersonenMetBeperkingenInZien_60,PersonenMetBeperkingInBewegelijkheid_61,ZonderKunstgebit_62,MetAlleenKunstgebitBovenOfOnder_63,MetKunstgebitBovenEnOnder_64,MetAlleenEenAndereGebitsprothese_65,GemiddeldeGeboortelengte_66,GemiddeldGeboortegewicht_67,Geboortegewicht2500Gr_68,Pilgebruik_69,BorstvoedingBijGeboorte_70,BorstvoedingOpLeeftijdVan6Weken_71,BorstvoedingOpLeeftijdVan3Maanden_72,BorstvoedingOpLeeftijdVan6Maanden_73,Rokers_74,ZwareRokers_75,GeenAlcoholDrinkers_76,ZwareDrinkers_77
0,1,PV00,75,3.9,5.2,38,1.8,4.6,76,2.2,2.9,15,2.5,17.5,2,6,6,0.1,1.2,33,31,90.0,179.9,165.9,80.4,67.3,1,56,37,6,3,61,27,9,19,8,8,2,8,1,1,2,1,0,1,0,1,2,2,1,8,7,2,1,1,2,6,2,1,13,3,5,9,63,6,18,13,50.5,3444.0,94.0,43,69.0,57.0,45.0,25.0,35,12,17,13
1,1,0011,74,3.5,4.7,36,1.3,3.7,70,1.9,2.7,11,1.8,15.4,1,4,6,0.1,1.2,33,36,91.0,81.4,165.7,81.1,68.1,1,59,34,6,2,57,30,11,19,10,8,2,7,1,1,1,1,0,1,0,1,2,2,2,7,7,2,1,1,1,7,1,1,12,3,4,8,62,5,24,9,50.5,3488.0,94.0,40,64.0,52.0,44.0,27.0,39,12,19,13
2,1,0012,75,4.1,5.5,39,1.7,4.4,73,2.1,2.8,13,2.4,18.0,1,6,7,0.1,1.3,33,29,86.0,180.8,165.0,80.9,68.8,1,57,37,5,2,62,28,9,19,10,8,2,9,0,1,3,0,0,0,0,2,2,2,1,7,7,3,1,1,2,6,2,1,13,2,5,10,60,8,22,10,49.7,3627.0,98.0,43,64.0,47.0,44.0,27.0,36,10,18,12
3,1,0013,72,3.7,5.1,37,1.8,4.8,75,1.6,2.2,12,2.2,18.5,1,5,8,0.1,1.1,29,29,98.0,180.8,166.2,79.9,68.2,2,63,32,3,3,62,24,11,17,12,8,2,8,0,2,1,0,0,2,0,2,4,1,1,9,7,4,2,0,1,6,1,0,14,2,5,9,60,7,23,11,50.6,3664.0,97.0,41,68.0,63.0,60.0,26.0,39,10,16,17
4,1,0014,69,3.6,5.2,34,1.7,4.9,75,1.8,2.4,10,1.6,15.8,1,5,6,0.1,1.1,30,28,96.0,180.8,166.7,81.7,68.1,1,57,35,8,3,58,29,10,19,9,6,2,5,0,1,2,1,0,1,0,0,2,1,1,7,7,3,1,0,1,6,2,2,11,2,4,7,60,7,24,9,50.6,3388.0,93.0,36,73.0,51.0,41.0,27.0,36,9,18,13
5,1,0015,75,3.3,4.4,37,2.2,5.9,75,2.5,3.3,11,1.4,12.6,1,6,6,0.1,1.3,31,27,93.0,182.0,167.5,84.6,68.8,1,49,43,8,4,55,30,11,17,10,9,1,9,0,1,2,0,0,1,0,1,2,3,2,8,5,3,2,1,1,6,2,1,12,2,4,7,61,7,20,12,51.0,3460.0,92.0,44,78.0,64.0,60.0,35.0,30,11,16,11
6,1,0016,79,5.2,6.6,37,1.0,2.7,74,3.2,4.4,14,2.2,16.0,1,5,7,0.1,1.2,31,24,100.0,180.8,166.7,83.9,71.6,0,52,38,10,2,49,35,14,19,8,13,2,8,0,1,3,0,0,1,0,2,2,1,1,10,8,2,1,1,1,8,2,1,12,2,4,9,60,8,22,9,50.7,3431.0,89.0,39,77.0,73.0,44.0,25.0,37,10,20,14
7,1,0017,80,4.3,5.4,37,1.1,3.0,74,1.7,2.3,10,1.9,17.9,2,7,7,0.1,1.1,34,30,89.0,180.9,167.7,83.5,71.6,5,38,49,8,2,48,35,15,19,8,8,2,8,0,1,2,0,0,0,0,1,2,2,1,7,8,4,2,1,1,6,2,2,14,3,3,10,59,8,23,11,50.2,3552.0,100.0,44,64.0,49.0,38.0,23.0,34,10,17,10
8,1,0018,70,3.3,4.8,33,1.0,3.0,74,1.8,2.4,12,1.7,14.6,1,5,6,0.1,1.3,30,29,86.0,180.4,164.2,80.9,68.2,2,55,36,7,1,65,26,7,16,8,8,3,6,1,1,2,0,0,1,0,1,3,2,1,7,6,2,1,1,1,5,1,1,11,3,4,7,63,6,20,11,51.0,3595.0,94.0,41,77.0,64.0,56.0,30.0,35,9,18,15
9,1,0019,75,4.3,5.8,37,2.0,5.5,74,2.4,3.2,16,3.3,20.2,1,6,7,0.1,1.2,33,29,87.0,179.9,166.7,81.1,68.3,1,54,39,6,3,59,29,9,19,9,8,3,8,1,1,3,1,0,0,0,1,4,2,1,9,7,3,1,0,1,5,2,1,14,4,5,9,61,7,21,11,50.7,3370.0,90.0,40,67.0,55.0,35.0,22.0,35,12,17,14
10,1,0020,74,4.0,5.5,39,2.2,5.7,75,2.5,3.3,14,2.6,18.5,2,6,7,0.1,1.3,35,31,95.0,179.9,165.8,80.0,66.9,1,59,34,6,4,63,27,6,18,8,7,2,7,0,2,2,0,0,0,0,1,2,2,1,7,8,3,1,0,1,5,2,1,12,3,4,8,61,7,18,14,50.6,3540.0,97.0,47,84.0,77.0,63.0,32.0,36,11,18,12
11,1,0021,76,3.9,5.1,33,1.7,5.0,75,1.8,2.4,13,2.5,19.1,1,5,6,0.1,1.3,36,34,92.0,180.2,166.9,79.2,68.7,1,61,32,6,5,61,23,11,17,7,8,2,7,1,1,2,0,0,0,0,1,2,2,1,6,5,1,1,0,2,5,1,1,10,4,4,6,67,5,19,9,50.0,3249.0,86.0,38,62.0,53.0,52.0,33.0,30,11,19,12
