ID,Geslacht,Leeftijd,Cijfersoort,Perioden,ZeerGoedGoed_1,MinderDanGoed_2,SuikerziekteTotaal_3,SuikerziekteType1_4,SuikerziekteType2_5,AandoeningElleboogPolsOfHand_6,AandoeningVanDeNekOfSchouder_7,AstmaChronischeBronchitisCARA_8,BeroerteHersenbloedingHerseninfarct_9,ChronischeEczeem_10,ChronischeGewrichtsontsteking_11,DarmstoornissenLangerDan3Maanden_12,DuizeligheidMetVallen_13,GewrichtsslijtageVanHeupenOfKnieen_14,Hartaandoening_15,Hartinfarct_16,HogeBloeddruk_17,Kanker_18,MigraineOfErnstigeHoofdpijn_19,OnvrijwilligUrineverliesIncontinentie_20,Psoriasis_21,Rugaandoening_22,VernauwingBloedvatenInBuikOfBenen_23,OverigeAandoeningen_24,BeroerteHersenbloedingHerseninfarct_25,Hartinfarct_26,Kanker_27,GeenLangdurigeAandoening_28,k_1LangdurigeAandoening_29,k_2LangdurigeAandoeningen_30,k_3OfMeerLangdurigeAandoeningen_31,NormscoreFysiek_32,NormscorePsychisch_33,BeperktInDagelijkseBezigheden_34,BeperktInTrappenOplopen_35,LichamelijkeGezondheidMinderBereikt_36,LichamelijkeGezondheidBeperkt_37,EmotioneelProbleemMinderBereikt_38,EmotioneelProbleemMinderZorgvuldig_39,BelemmerdDoorPijn_40,NietEnergiek_41,PersonenPsychischOngezond_42,Zenuwachtig_43,InDePut_44,NietKalmEnRustig_45,NeerslachtigEnSomber_46,NietGelukkig_47,OoitDepressieveKlachten_48,AfgelopenJaarDepressieveKlachten_49,OoitAngstigePeriode_50,AfgelopenJaarAngstigePeriodeGehad_51,OoitDepressiefEnOfAngstig_52,AfgelopenJaarDepressiefEnOfAngstig_53,Verkoudheid_54,BronchitisOfLongontsteking_55,Oorontsteking_56,InfectieOfOntstekingNierenOfBlaas_57,DiarreeMinimaal3MaalIn24Uur_58,BrakenMinimaal3MaalIn24Uur_59,Maagzweer_60,Minstens1Malaiseklacht_61,Hoofdpijn_62,Moeheid_63,Slapeloosheid_64,PijnInDeRug_65,PijnInSpierenOfGewrichten_66,PersonenMetMinstens1Beperking_67,GemiddeldAantalBeperkingenBevolking_68,AantalBeperkingenPPMetBeperking_69,BeperkingInHoren_70,BeperkingInZien_71,BeperkingInBewegen_72,BeperkingInVerstaanbaarheid_73,ActiviteitenbeperkingPer14Dagen_74,DagenActiviteitenbeperkingPerJaar_75,BeddagenPer14Dagen_76,BeddagenPerJaar_77,PersonenMetMinstens1Beperking_78,GemiddeldAantalBeperkingenBevolking_79,AantalBeperkingenPPMetBeperking_80,Horen4JaarOfOuder_81,Zien4JaarOfOuder_82,Bewegen12JaarOfOuder_83,Anatomie12JaarOfOuder_84,Incontinentie12JaarOfOuder_85
0,1100,10000,1,2010JJ00,80.3,19.7,4.2,0.9,3.3,5.3,8.6,7.9,0.3,5.0,4.2,3.2,3.4,13.0,2.0,0.3,15.1,1.6,14.0,5.3,2.5,8.7,1.8,10.6,2.1,2.5,5.2,52.5,22.7,12.0,12.8,50.4,52.7,23.4,22.7,18.2,18.5,11.4,11.1,36.6,28.7,10.7,5.1,3.1,16.4,5.3,18.1,25.8,9.7,26.9,12.2,35.5,15.4,40.8,1.8,2.5,3.8,12.9,3.7,1.2,67.1,28.3,42.7,20.5,27.1,35.9,13.4,0.2,1.7,2.9,5.9,7.5,0.4,17.2,37.9,4.5,4.8,13.6,0.4,2.8,3.5,60.2,4.7,5.4,3.5
1,1100,10000,1,2011JJ00,80.1,19.9,4.7,0.9,3.8,5.6,8.6,7.7,0.4,5.1,4.3,3.5,3.6,13.7,1.7,0.3,16.0,1.3,13.8,5.8,2.2,8.8,2.0,10.7,2.6,2.6,5.7,51.8,23.7,11.4,13.1,50.4,52.5,24.2,22.6,17.6,18.0,12.0,11.4,36.7,29.5,11.0,5.9,3.8,17.2,5.0,17.5,26.2,10.3,27.4,12.7,35.8,16.2,39.9,1.9,3.0,4.1,12.8,3.4,1.3,68.1,28.7,44.4,21.6,28.2,37.2,13.0,0.2,1.6,3.0,6.2,6.8,0.3,17.6,38.5,5.0,6.0,12.0,0.3,2.8,3.5,60.2,4.5,5.5,3.9
2,1100,10000,1,2012JJ00,80.1,19.9,4.3,0.8,3.6,5.2,8.1,7.4,0.5,4.9,4.1,3.7,3.6,12.9,1.6,0.3,15.1,1.4,14.1,5.3,2.3,7.3,2.3,9.6,2.3,2.7,5.7,52.8,23.6,11.1,12.6,50.2,52.6,24.3,22.4,17.5,18.2,11.8,10.9,37.4,30.1,10.8,5.6,3.6,16.9,5.4,18.2,27.3,10.5,29.1,12.9,37.3,16.4,43.6,2.1,2.6,4.0,13.6,3.9,1.2,67.7,28.8,44.3,21.3,27.7,37.1,12.7,0.2,1.8,2.7,5.6,7.8,0.3,17.7,39.7,4.7,5.1,11.6,0.3,2.6,3.8,61.1,4.4,5.8,3.8
3,1100,10000,1,2013JJ00,80.3,19.7,4.5,0.7,3.8,4.8,8.0,7.3,0.3,4.8,4.1,3.3,3.9,12.6,2.0,0.2,15.3,1.7,13.1,5.5,2.3,7.7,2.1,10.6,2.5,2.7,6.2,53.2,23.3,11.2,12.2,50.4,52.5,23.3,22.0,17.7,17.7,11.9,10.9,36.0,29.2,10.9,5.5,3.3,17.1,5.9,18.7,28.3,11.2,29.0,12.9,38.2,16.9,43.0,2.0,2.7,3.9,13.2,3.8,1.3,67.9,28.6,44.5,21.6,27.6,36.8,12.9,0.2,1.7,2.9,6.0,7.2,0.4,17.9,38.7,5.3,5.9,11.8,0.3,2.7,4.0,60.9,4.6,5.7,3.9
4,1100,10000,2,2010JJ00,0.3,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.4,0.2,0.1,0.4,0.1,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.5,0.4,0.3,0.2,0.4,0.3,0.5,0.5,0.3,0.5,0.4,0.6,0.4,0.6,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.0,0.0,0.2,0.3,0.3,0.1,0.3,0.8,0.2,0.2,0.5,0.0,0.1,0.1,0.4,0.2,0.3,0.2
5,1100,10000,2,2011JJ00,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.5,0.1,0.3,0.3,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.6,0.4,0.3,0.2,0.5,0.3,0.5,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.2,0.3,0.3,0.1,0.3,0.9,0.2,0.3,0.5,0.0,0.1,0.2,0.4,0.3,0.3,0.2
6,1100,10000,2,2012JJ00,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.1,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.6,0.4,0.3,0.2,0.5,0.3,0.5,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.0,0.0,0.2,0.3,0.3,0.1,0.3,0.9,0.2,0.3,0.5,0.0,0.1,0.2,0.4,0.3,0.3,0.2
7,1100,10000,2,2013JJ00,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.1,0.3,0.3,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.6,0.4,0.3,0.2,0.5,0.3,0.5,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.2,0.3,0.3,0.1,0.3,0.9,0.2,0.3,0.5,0.0,0.1,0.2,0.4,0.3,0.3,0.2
8,1100,21713,1,2010JJ00,95.5,4.5,0.0,0.0,0.0,0.4,0.3,6.4,,7.9,0.0,2.4,,,,,,0.1,0.2,,0.1,0.1,,4.9,,,0.1,85.1,12.2,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1100,21713,1,2011JJ00,95.8,4.2,0.0,0.0,0.0,0.2,0.6,7.8,,6.3,0.0,1.5,,,,,,0.0,0.1,,0.1,0.2,,5.6,,,0.0,85.0,13.2,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1100,21713,1,2012JJ00,96.7,3.3,0.0,0.0,0.0,0.1,0.1,3.6,,6.8,0.0,1.6,,,,,,0.1,0.2,,0.3,0.0,,5.3,,,0.3,88.2,10.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1100,21713,1,2013JJ00,95.2,4.8,0.0,0.0,0.0,0.2,0.5,3.6,,7.7,0.0,1.7,,,,,,0.0,0.2,,0.2,0.2,,3.4,,,0.0,88.0,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1100,21713,2,2010JJ00,0.8,0.8,0.0,0.0,0.0,0.2,0.2,0.9,,1.0,0.0,0.6,,,,,,0.1,0.2,,0.1,0.1,,0.8,,,0.1,1.3,1.2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1100,21713,2,2011JJ00,0.8,0.8,0.0,0.0,0.0,0.2,0.3,1.1,,1.0,0.0,0.5,,,,,,0.0,0.1,,0.1,0.2,,0.9,,,0.0,1.4,1.3,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1100,21713,2,2012JJ00,0.7,0.7,,,,0.1,0.1,0.7,,1.0,,0.5,,,,,,0.1,0.2,,0.2,,,0.9,,,0.2,1.3,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
