ID,Geslacht,Perioden,Vergrijzing_1,Alleenstaanden30Tot65Jaar_2,NietWesterseMigratieachtergrond_3,Bevolkingsgroei_4,BBPMarktprijzenPerCapita_5,Bevolkingsdichtheid_6,OnderzoekEnOntwikkelingRD_7,LeeftijdMoederBijGeboorte1eKind_8,MensenDieZichGelukkigVinden_9,GestandaardiseerdHuishoudinkomen_10,ZeerMoeilijkRondkomenVanHhInkomen_11,HuishoudensInLangdurigeArmoede_12,KoopkrachtveranderingVanPersonen_13,InkomensverdelingParticuliereHuish_14,EigenWoningen_15,GemiddeldVermogenVanHuishoudens_16,VermogensverdelingParticuliereHuish_17,BetaaldWerk_18,FlexibeleArbeidsrelatie_19,WerkloosheidsduurLangerDan12Maanden_20,LangdurigeArbeidsongeschiktheid_21,FaillissementenBedrijven_22,UitgesprokenSchuldhulpsanering_23,VoortijdigeSchoolverlaters_24,PersonenMetOpleidingsniveauHBOOfWO_25,PersonenMetHogerOfWetenschBeroep_26,PersonenZonderStartkwalificatie_27,DeelnemersVolwassenenonderwijsVavo_28,Deeltijdbanen_29,LevensverwachtingBijGeboorte_30,Levensverwachting65Jarige_31,ErvarenGezondheidMinderDanGoed_32,GezondeLevensverwachtingBijGeboorte_33,GezondeLevensverwachting65Jarige_34,Overledenen_35,SterfgevallenDoorKanker_36,SterfgevallenDoorHartEnVaatziekten_37,PerinataleSterfte_38,VrijwilligerswerkPolitiekeOrganisatie_39,LidmaatschapVakvereniging_40,LidmaatschapPolitiekePartij_41,VertrouwenInTweedeKamer_42,VertrouwenInRechters_43,VertrouwenInPolitie_44,MensenDieNietStemmenTweedeKamer_45,OnbetaaldeArbeid_46,NietGeisoleerdVoelen_47,TevredenheidMetVriendenEnKennissen_48,BezoektGodsdienstigeBijeenkomsten_49,LidmaatschapSportvereniging_50,LidmaatschapHobbyvereniging_51,VerkeersdodenPer100000_52,VerkeersdodenAantal_53,SlachtofferschapGeweldsdelicten_54,SlachtofferschapVandalismedelicten_55,SlachtofferschapVanVermogensdelicten_56,Onveiligheidsgevoelens_57,SlachtoffersVanMoordEnDoodslag_58,ClientenVanSlachtofferhulpNederland_59,Ondertoezichtstellingen_60,GeluidshinderVanBuren_61,GeluidshinderDoorVliegverkeer_62,GeurhinderDoorIndustrie_63
0,T001038,1999JJ00,13.5,13.5,8.5,6.6,26235.0,465.0,,,,16.5,10.0,,,,50.1,,,,,,,32.0,6.0,6.2,20.5,,,,,,,20.0,,,140.5,38.1,49.6,1.9,2.0,,,,,,,14.0,89.0,49.0,23.0,35.0,8.0,7.0,1.1,5.6,11.6,12.6,21.9,2.0,,20.4,20.0,18.0,10.0
1,T001038,2000JJ00,13.6,13.6,8.9,7.8,28135.0,468.0,,,,17.5,9.0,,,98.3,50.4,,,,,,,36.0,9.0,6.1,21.2,,,,,,,19.6,,,140.5,37.7,49.2,1.9,1.0,,,,,,,,88.0,49.0,22.0,,9.0,6.8,1.1,5.1,11.1,12.4,20.8,1.8,,21.0,20.0,19.0,10.0
2,T001038,2001JJ00,13.6,13.9,9.3,7.4,29708.0,472.0,,,,19.1,8.0,,5.0,101.4,,,,,,,,43.0,9.0,6.8,20.2,,,,,,,19.2,,,140.4,37.6,47.6,1.9,1.0,,,,,,21.0,13.0,89.0,49.0,22.0,,8.0,6.2,1.0,5.9,10.6,12.1,22.5,2.0,,20.6,21.0,18.0,10.0
3,T001038,2002JJ00,13.7,14.1,9.7,5.4,30621.0,475.0,8747.0,,,19.7,10.0,,1.6,101.3,52.2,,,,,,,50.0,9.0,,21.0,,,,,,,19.4,,,142.4,38.1,48.0,1.8,1.0,,,,,,,,89.0,49.0,22.0,,8.0,6.2,1.0,6.0,12.0,12.9,25.4,2.0,,20.4,20.0,19.0,9.0
4,T001038,2003JJ00,13.7,14.3,10.0,4.0,31227.0,479.0,9146.0,,87.0,19.8,12.0,3.8,0.1,103.2,,,,67.3,11.9,96.0,,64.0,11.0,,22.2,27.7,36.0,,,,,19.5,,,141.9,38.2,46.9,1.7,1.0,,,,,,20.0,13.0,88.0,49.0,21.0,34.0,8.0,6.4,1.0,5.8,11.0,11.9,23.7,2.0,,21.4,,18.0,9.0
5,T001038,2004JJ00,13.8,14.5,10.3,2.9,32179.0,481.0,9470.0,,87.0,20.2,13.0,3.5,0.7,100.9,,,,67.7,11.8,143.0,,66.0,14.0,,24.1,27.6,34.3,,,,,19.6,,,136.6,38.8,44.6,1.5,1.0,,,,,,,,89.0,49.0,19.0,,8.0,5.1,0.8,5.3,11.4,12.1,21.8,1.9,,22.2,,18.0,9.0
6,T001038,2005JJ00,14.0,14.7,10.4,1.8,33432.0,483.0,9772.0,,87.0,20.6,17.0,3.5,-0.3,100.0,,,,67.9,12.5,166.0,642.0,68.0,15.0,5.9,24.7,27.1,33.3,,,,,20.1,,,136.4,39.3,43.4,1.5,,,,,,,,,89.0,49.0,20.0,,,4.7,0.8,5.8,13.0,14.4,27.0,1.7,,24.0,20.0,17.0,8.0
7,T001038,2006JJ00,14.3,15.0,10.5,1.5,35434.0,483.0,10175.0,,88.0,21.4,15.0,3.3,3.0,102.3,53.7,158.0,-5.3,68.4,13.5,153.0,626.0,59.0,15.0,5.3,24.9,27.4,32.8,,,,,19.1,,,135.4,39.5,41.7,1.3,,31.0,,60.0,72.0,71.0,20.0,,90.0,49.0,19.0,,,4.6,0.8,5.1,12.0,12.9,23.7,1.3,,26.4,20.0,18.0,8.0
8,T001038,2007JJ00,14.5,15.2,10.6,2.9,37437.0,484.0,10342.0,,88.0,22.8,11.0,2.8,3.1,94.5,54.5,172.0,-3.2,69.6,15.1,122.0,619.0,46.0,15.0,5.1,25.4,28.1,32.0,8.7,,,,18.8,,,133.0,39.8,40.8,1.2,1.0,,,,,,,,91.0,51.0,19.0,33.0,,4.7,0.8,5.3,11.7,11.2,21.8,1.4,,29.6,21.0,17.0,8.0
9,T001038,2008JJ00,14.7,15.4,10.8,4.9,38865.0,486.0,10502.0,,88.0,23.2,12.0,2.6,1.4,99.6,55.2,181.0,-3.4,70.8,15.3,95.0,,46.0,9.0,5.0,26.5,29.2,32.0,7.2,,,,19.4,,,135.1,40.8,40.1,1.2,1.0,,,,,,,,91.0,52.0,19.0,,,4.3,0.7,5.4,13.6,10.7,25.5,1.5,,32.1,19.0,16.0,6.0
