ID,Perioden,LevendgeborenenRelatief_1,LevendgeborenenUitTienermoeders_2,LevendgeborenenUit35Moeders_3,LevendgeborenenUit40Moeders_4,TotaalDoodsoorzaken_5,KwaadaardigeNieuwvormingen_6,ZiektenVanHartEnVaatstelsel_7,ZiektenVanDeAdemhalingsorganen_8,ZiektenVanDeSpijsverteringsorganen_9,WegverkeersongevallenRelatief_10,Wegverkeersongevallen_11,ZelfdodingRelatief_12,Zelfdoding_13,COVID19Coronavirusziekte2019_14,Zwangerschapsduur24WekenOfMeer_15,Zwangerschapsduur22WekenOfMeerWHO_16,BijGeboorteMannen_17,BijGeboorteVrouwen_18,Bij65JaarMannen_19,Bij65JaarVrouwen_20,BijGeboorteMannen_21,BijGeboorteVrouwen_22,Bij65JaarMannen_23,Bij65JaarVrouwen_24,ErvarenGezondheidMinderDanGoed_25,KlachtenOfZiektenSpijsverteringsorg_26,KlachtenOfZiektenHartvaatstelsel_27,KlachtenOfZiektenLuchtwegen_28,KlachtenOfZiektenUrinewegen_29,TotaalAlleDiagnosen_30,KwaadaardigeNieuwvormingen_31,ZiektenVanHartEnVaatstelsel_32,ZiektenVanAdemhalingsstelsel_33,ZiektenVanSpijsverteringsstelsel_34,ZktVanSpierenBeenderenBindweefsel_35,ZiektenUrogenitaalStelsel_36,BepaaldeAandUitPerinatalePeriode_37,OngevalsletselVergiftigingenGevolgen_38,COVID19Coronavirusziekte2019_39,Ziekteverzuim_40,GemiddeldeVerpleegduurKlinischeOpname_41,TotaalAlleMiddelen_42,Diabetesmiddelen_43,BetaBlokkers_44,Antilipaemica_45,Antibiotica_46,Antidepressiva_47,MiddelenBijAstmaCopd_48,Huisarts_49,FysiotherapeutOfOefentherapeut_50,PersonenVan80JaarOfOuder_51,TotaalAWBZZorgMetVerblijfWlzZorg_52,GeenZorgzwaartepakketZzp_53,ZzpVerplegingEnVerzorging_54,ZzpGehandicaptenzorg_55,ZzpGeestelijkeGezondheidszorg_56,TotaalIndicatieAWBZZmvWlz_57,SomatischeAandoening_58,PsychogeriatrischeAandoening_59,PsychiatrischeAandoening_60,LichamelijkeHandicap_61,VerstandelijkeHandicap_62,ZintuiglijkeHandicap_63,TotaalJeugdzorg0Tot23Jaar_64,Jeugdhulp0Tot23Jaar_65,Jeugdbescherming0Tot18Jaar_66,Jeugdreclassering12Tot23Jaar_67,Rokers_68,ZwareRokers_69,ZwaarAlcoholgebruik12JaarOfOuder_70,VoldoetAanBeweegrichtlijn4_71,MatigOvergewicht20JaarOfOuder_72,ErnstigOvergewicht20JaarOfOuder_73,MatigOvergewicht4Tot20Jaar_74,ErnstigOvergewicht4Tot20Jaar_75,HogeBloeddruk12JaarOfOuder_76,ArtsenWerkzaamInDeZorg_77,VerpleegkundigenWerkzaamInDeZorg_78,WerkzamenGezondheidsEnWelzijnszorg_79,WerkzamenGezondheidszorg_80,GediplomeerdenVerzorgingMbo_81,GediplomeerdenVerpleegkundeMbo_82,AfgestudeerdenVerpleegkundeHbo_83,AfgestudeerdenGeneeskundeWo_84,TotaalAanbiedersZorgEnWelzijn_85,AanbiedersMedischSpecialistischeZorg_86,AanbiedersVerplegingVerzorgingKraam_87,AanbiedersGehandicaptenzorg_88,PraktijkenEerstelijnszorg_89,AanbiedersGeestelijkeGezondheidszorg_90,OverigeAanbiedersGezEnWelzijnszorg_91,UitgavenPerHoofdVanDeBevolking_92,UitgavenAlsPercentageVanHetBbp_93,Huisartsenpraktijk_94,Huisartsenpost_95,Apotheek_96,ZiekenhuisInclBuitenpolikliniek_97,Fysiotherapeut_98,Ziekenhuizen_99,k_86104GGZMetOvernachting_100,k_872087301Gehandicaptenzorg_101,VerpleegVerzorgingshuizenThuiszorg_102,Ziekenhuizen_103,k_86104GGZMetOvernachting_104,k_872087301Gehandicaptenzorg_105,VerpleegVerzorgingshuizenThuiszorg_106
0,2001JJ00,12.6,3569.0,36833.0,4344.0,87.5,23.5,29.7,8.3,3.3,0.6,996.0,0.9,1473.0,,9.2,,75.8,80.7,15.9,19.7,61.8,61.6,9.2,10.4,19.2,,,,,1521.0,113.0,168.0,101.0,111.0,150.0,81.0,43.0,82.0,,5.5,8.2,,,,,,,,4.0,2.8,516637,,,,,,,,,,,,,,,,,33.3,9.8,13.6,,35.3,9.6,9.2,2.5,8.6,33495.0,154005.0,1047.0,414.0,,,2512.0,2996.0,50.8,12.2,9.8,4.6,4.2,3.1,16.8,3164.0,10.5,,,,,,,,,,,,,
1,2002JJ00,12.5,3516.0,37491.0,4500.0,88.2,23.6,29.7,8.4,3.5,0.6,1004.0,1.0,1567.0,,8.8,,76.0,80.7,16.0,19.7,62.0,61.9,9.6,10.8,19.4,,,,,1620.0,120.0,176.0,103.0,118.0,163.0,86.0,43.0,84.0,,5.4,7.8,,,,,,,,3.8,2.8,531607,,,,,,,,,,,,,,,,,32.3,8.6,11.7,,35.0,10.1,9.1,2.7,9.7,34455.0,158530.0,1103.0,426.0,,,2670.0,3218.0,56.7,13.8,11.1,5.3,4.8,3.5,18.2,3509.0,11.3,,,,,,,,,,,,,
2,2003JJ00,12.3,3340.0,38870.0,4595.0,87.5,23.5,28.9,8.8,3.6,0.6,1033.0,0.9,1500.0,,8.3,,76.2,80.9,16.2,19.9,62.4,61.6,9.8,10.7,19.5,,,,,1715.0,127.0,182.0,108.0,127.0,170.0,91.0,43.0,88.0,,4.7,7.5,,,,,,,,3.9,3.0,543970,,,,,,,,,,,,,,,,,30.8,8.2,11.3,,35.3,11.1,7.8,2.6,9.6,35395.0,163385.0,1150.0,446.0,,,2523.0,3284.0,60.9,14.7,12.1,5.8,5.2,3.9,19.2,3753.0,11.9,,,,,,,,,,,,,
3,2004JJ00,11.9,3004.0,39386.0,4945.0,83.9,23.9,27.4,7.8,3.4,0.5,836.0,0.9,1514.0,,7.8,9.2,76.9,81.4,16.6,20.3,62.6,62.0,9.7,10.6,19.6,,,,,1839.0,145.0,195.0,108.0,136.0,188.0,97.0,43.0,93.0,,4.2,7.0,,,,,,,,3.5,2.9,558298,228.0,,,,,,,,,,,,,,,,29.6,7.4,11.9,,35.5,11.4,9.8,2.8,9.9,36390.0,166645.0,1150.0,456.0,,,2404.0,3307.0,63.0,15.6,12.2,6.1,5.3,4.2,19.6,3870.0,11.9,,,,,,,,,,,,,
4,2005JJ00,11.5,2795.0,39974.0,5032.0,83.6,24.1,26.6,8.8,3.3,0.5,760.0,1.0,1572.0,,8.1,9.8,77.2,81.6,16.8,20.4,62.5,61.8,10.4,10.1,20.1,,,,,1918.0,155.0,201.0,114.0,143.0,198.0,99.0,42.0,96.0,,4.1,6.8,,,,,,,,3.6,2.9,573573,230.0,,,,,,,,,,,,,,,,29.5,7.7,10.8,,34.1,11.1,10.7,2.2,11.1,37250.0,169095.0,1188.0,472.0,,,2286.0,3321.0,65.4,16.3,12.6,6.3,5.3,4.5,20.4,4009.0,11.9,,,,,,,,,,,,,
5,2006JJ00,11.3,2549.0,40307.0,5071.0,82.8,24.2,25.5,8.4,3.3,0.5,754.0,0.9,1524.0,,7.1,9.1,77.6,81.9,17.1,20.6,63.6,62.9,10.3,11.4,19.1,,,,,2024.0,170.0,204.0,119.0,150.0,204.0,99.0,42.0,98.0,,4.2,6.6,67.5,3.8,8.6,8.1,23.0,5.1,8.4,3.6,2.9,587016,232.0,,,,,,,,,,,,,,,,29.6,7.2,11.3,,35.1,11.7,9.2,2.0,11.8,38130.0,170055.0,1222.0,481.0,,,2252.0,3385.0,68.5,17.1,13.1,6.7,5.9,4.8,21.0,4190.0,11.7,,,,,,,,,,,,,
6,2007JJ00,11.1,2543.0,40609.0,5231.0,81.2,24.3,24.9,8.3,3.3,0.5,770.0,0.8,1353.0,,6.7,8.9,78.0,82.3,17.4,20.9,64.7,63.4,11.2,11.5,18.8,,,,,2120.0,176.0,207.0,120.0,157.0,215.0,105.0,41.0,102.0,,4.2,6.3,67.9,3.9,9.0,8.7,23.7,5.4,8.9,3.8,3.3,600842,239.0,,,,,,,,,,,,,,,,27.9,6.7,10.7,,34.1,11.6,9.0,2.4,12.0,40455.0,169755.0,1258.0,494.0,,,2372.0,3705.0,72.7,18.1,13.3,6.9,6.4,5.2,22.8,4439.0,11.7,0.9,6.0,,5.3,,21.0,26.0,26.0,39.0,92.5,77.1,63.6,64.7
7,2008JJ00,11.2,2553.0,40905.0,5421.0,82.2,24.8,24.4,8.4,3.3,0.4,699.0,0.9,1435.0,,6.3,8.6,78.3,82.3,17.6,20.9,63.7,63.5,10.4,11.4,19.4,,,,,2218.0,187.0,217.0,120.0,164.0,225.0,107.0,44.0,104.0,,4.1,6.1,69.8,4.1,9.2,8.9,23.7,5.4,8.8,4.1,3.1,615489,239.0,,,,,,,,,,,,,,,,27.6,6.8,10.0,,35.6,11.5,10.5,2.9,12.4,41585.0,173300.0,1302.0,507.0,,,2289.0,3783.0,77.7,19.7,14.1,7.6,6.7,5.5,24.1,4725.0,12.0,0.9,6.0,1.2,5.2,0.8,12.0,32.0,26.0,25.0,97.8,79.0,67.1,68.1
8,2009JJ00,11.2,2636.0,40497.0,5721.0,81.2,25.0,23.5,8.4,3.1,0.4,683.0,0.9,1525.0,,5.7,8.1,78.5,82.6,17.8,21.2,65.3,63.8,11.6,11.2,18.6,,,,,2328.0,196.0,227.0,125.0,176.0,236.0,109.0,46.0,115.0,,4.1,5.8,70.1,4.2,9.5,9.3,23.8,5.4,9.1,3.8,3.3,631208,246.0,,,,,302.0,111.0,71.0,34.0,10.0,73.0,3.0,,,,,27.1,6.3,10.4,,35.3,12.1,11.0,2.2,13.5,42575.0,175010.0,1338.0,515.0,,,2487.0,3677.0,82.3,21.3,14.7,8.3,7.1,6.0,25.0,4979.0,13.2,0.9,,1.2,5.1,,12.0,10.0,11.0,17.0,101.9,82.6,70.1,70.0
9,2010JJ00,11.1,2536.0,39788.0,6088.0,81.9,25.5,23.5,7.8,3.2,0.4,597.0,1.0,1600.0,,5.7,7.9,78.8,82.7,18.0,21.2,63.9,63.0,11.3,11.1,19.7,,,,,2438.0,209.0,234.0,127.0,194.0,248.0,113.0,49.0,121.0,,4.2,5.6,70.1,4.4,9.7,9.8,23.2,5.5,9.1,4.2,3.7,647994,254.0,,,,,325.0,112.0,74.0,39.0,17.0,80.0,3.0,,,,,25.6,4.9,9.4,,36.8,11.4,10.5,3.1,15.1,43865.0,178490.0,1390.0,525.0,,,2622.0,3699.0,85.8,22.5,15.4,8.6,7.4,6.1,25.8,5163.0,13.4,0.9,,1.2,4.8,0.8,7.0,15.0,15.0,17.0,107.5,84.5,71.2,69.4
