ID,Cijfersoort,RegioS,Perioden,ZeerGoedGoed_1,PsychischOngezond_2,HogeBloeddruk_3,Gewrichtsslijtage_4,OoitBeroerteGehad_5,OoitHartinfarctGehad_6,ChronischeLuchtwegklachten_7,Rugaandoening_8,MigraineOfErnstigeHoofdpijn_9,SuikerziekteTotaal_10,SuikerziekteType1_11,SuikerziekteType2_12,Minimaal1Aandoening_13,k_1Aandoening_14,k_2Aandoeningen_15,k_3Aandoeningen_16,Minstens1Malaiseklacht_17,Moeheid_18,Slapeloosheid_19,k_1OfMeerBeperkingen_20,BeperkingInBewegen_21,DrinktNooitAlcohol_22,ZwareDrinker_23,Anticonceptiepil_24,VoldoenAanNormGezondBewegen_25,Rokers_26,ZwareRokers_27,Ondergewicht_28,Overgewicht_29,ErnstigOvergewicht_30,OvergewichtKinderen_31,ContactMetHuisarts_32,ContactMetMedischSpecialist_33,ContactMetTandarts_34,ContactMetFysioEnOefentherapeut_35,VoorgeschrevenMedicijnen_36,NietVoorgeschrevenMedicijnen_37
0,1,NL01  ,2011X000,80.5,10.0,15.6,13.0,2.4,2.5,7.7,8.7,13.1,4.3,0.9,3.4,47.2,23.3,11.5,12.5,69.0,44.2,21.4,12.9,7.5,21.1,9.8,38.2,57.0,26.3,5.6,1.6,47.8,11.6,13.3,72.7,39.8,78.4,21.6,37.9,36.6
1,1,LD01  ,2011X000,81.3,8.4,15.8,12.2,2.0,2.8,7.9,7.8,13.4,4.2,0.8,3.4,47.8,23.4,13.1,11.4,68.4,41.9,20.5,12.0,6.7,21.5,9.9,39.9,61.0,29.6,5.6,1.3,49.8,11.6,12.2,69.8,39.0,76.5,20.1,37.7,35.5
2,1,LD02  ,2011X000,81.4,9.2,15.6,13.1,2.1,2.5,7.8,8.8,12.5,4.1,0.9,3.1,46.8,23.0,11.5,12.3,67.5,43.4,20.6,12.9,7.1,20.3,9.7,38.2,57.2,25.7,5.5,1.4,49.5,12.3,13.5,71.6,38.2,79.3,21.1,37.4,35.7
3,1,LD03  ,2011X000,81.0,10.3,15.5,12.6,2.3,2.1,7.4,8.3,13.2,4.2,0.8,3.4,46.7,23.5,11.2,12.0,69.9,45.6,21.7,12.2,7.2,21.6,8.9,37.4,56.7,26.1,5.5,1.7,46.2,11.0,13.8,73.0,39.8,78.5,21.8,37.4,38.1
4,1,LD04  ,2011X000,78.1,11.0,15.8,14.4,3.0,3.4,8.1,10.2,13.3,4.7,1.0,3.7,48.5,22.9,11.4,14.2,68.9,43.2,22.1,15.0,8.8,20.7,11.7,39.0,55.6,25.5,5.8,1.9,48.8,11.9,12.3,74.6,41.7,78.2,22.3,39.5,34.7
5,1,PV20  ,2011X000,80.5,8.6,14.9,11.4,1.8,2.9,9.1,6.1,12.9,3.8,0.7,3.1,45.8,21.9,13.6,10.2,69.3,42.1,21.3,10.3,4.7,21.7,10.7,42.1,62.8,29.7,6.2,1.5,51.5,12.3,13.1,70.1,40.6,78.1,19.2,38.4,37.8
6,1,PV21  ,2011X000,82.2,7.7,16.0,11.6,2.4,2.5,7.4,8.6,13.7,4.2,0.9,3.3,49.3,24.7,13.3,11.3,68.5,44.0,19.3,11.7,6.9,19.8,10.2,40.4,60.8,30.3,5.9,1.7,45.7,10.0,12.0,69.1,37.7,74.5,20.5,38.1,34.7
7,1,PV22  ,2011X000,81.2,8.9,16.4,13.7,1.8,3.1,7.2,8.7,13.5,4.7,0.9,3.8,48.3,23.5,12.1,12.8,67.2,39.1,20.9,14.5,8.7,23.3,8.6,35.9,58.9,28.5,4.5,0.5,52.9,13.0,11.7,70.6,38.8,77.2,20.7,36.4,33.8
8,1,PV23  ,2011X000,81.5,7.9,16.4,13.0,1.8,2.6,7.5,8.8,12.8,4.2,0.8,3.4,47.3,23.3,12.3,11.7,65.9,41.7,19.9,12.9,7.1,19.0,11.9,34.8,59.2,26.6,5.5,1.4,49.4,12.2,12.3,70.8,36.4,78.6,21.7,37.2,34.1
9,1,PV24  ,2011X000,82.0,12.2,15.3,11.8,3.1,3.5,9.8,9.8,14.7,3.1,0.4,2.7,48.0,24.4,10.8,12.9,69.7,48.0,22.9,13.7,8.6,23.8,7.2,37.6,52.5,26.0,7.6,1.0,51.3,14.9,16.5,73.2,40.3,79.8,19.9,36.9,37.8
10,1,PV25  ,2011X000,81.3,9.5,15.1,13.5,2.1,2.3,7.6,8.6,12.0,4.2,1.1,3.0,46.3,22.6,11.2,12.5,68.0,43.5,20.6,12.8,6.8,20.4,9.0,40.2,57.0,25.1,5.0,1.4,49.3,11.9,13.5,71.8,38.8,79.6,21.1,37.7,36.1
11,1,PV26  ,2011X000,81.9,10.6,14.7,10.7,1.7,2.1,7.5,8.0,13.5,3.4,0.7,2.7,45.1,23.2,9.9,12.0,71.0,46.8,20.9,10.6,5.9,19.4,7.9,35.8,59.0,25.5,4.9,2.2,41.7,9.9,10.7,72.3,37.3,79.7,22.0,35.0,39.4
12,1,PV27  ,2011X000,81.2,11.0,15.7,12.0,2.1,2.0,7.5,8.8,12.6,4.4,0.9,3.6,47.0,23.6,11.9,11.5,70.7,46.2,22.5,12.3,7.2,18.9,11.3,38.3,58.5,26.4,5.9,1.8,44.7,10.1,14.0,73.9,41.1,78.9,22.6,37.3,39.0
13,1,PV28  ,2011X000,80.7,10.1,15.5,13.2,2.6,2.1,7.2,7.8,13.7,4.3,0.7,3.5,46.8,23.7,10.9,12.1,69.5,45.3,21.5,12.4,7.4,24.4,7.6,37.3,54.5,26.5,5.5,1.6,48.3,12.1,14.3,72.7,39.7,78.0,21.3,38.2,37.7
