ID,Perioden,OutputBasisprijzen_1,Totaal_2,Totaal_3,ZaaiEnPantgoedGeleverdDoorAnder_4,ZaaiEnPlantgoedGekochtBuitenDe_5,Totaal_6,Elektriciteit_7,Gas_8,AndereBrandstoffen_9,Andere_10,Totaal_11,MeststoffenGeleverdDoorAndereLand_12,MeststoffenGekochtBuitenDeBedrijf_13,FytosanitaireProductenEnPesticiden_14,UitgavenVoorVeeartsen_15,Totaal_16,VeevoederGeleverdDoorAndereLandbo_17,VeevoederGekochtBuitenDeBedrijfst_18,VeevoederGeproduceerdEnVerbruiktO_19,OnderhoudVanMateriaal_20,OnderhoudVanGebouwen_21,Landbouwdiensten_22,IndirectGemetenDienstenVanFinanci_23,AndereGoederenEnDiensten_24,BrutoToegevoegdeWaardeBasisprijzen_25,Totaal_26,Werktuigen_27,Bouwwerken_28,Aanplantingen_29,Andere_30,NettoToegevoegdeWaardeBasisprijzen_31,OutputBasisprijzen_32,Totaal_33,Totaal_34,ZaaiEnPantgoedGeleverdDoorAnder_35,ZaaiEnPlantgoedGekochtBuitenDe_36,Totaal_37,Elektriciteit_38,Gas_39,AndereBrandstoffen_40,Andere_41,Totaal_42,MeststoffenGeleverdDoorAndereLand_43,MeststoffenGekochtBuitenDeBedrijf_44,FytosanitaireProductenEnPesticiden_45,UitgavenVoorVeeartsen_46,Totaal_47,VeevoederGeleverdDoorAndereLandbo_48,VeevoederGekochtBuitenDeBedrijfst_49,VeevoederGeproduceerdEnVerbruiktO_50,OnderhoudVanMateriaal_51,OnderhoudVanGebouwen_52,Landbouwdiensten_53,IndirectGemetenDienstenVanFinanci_54,AndereGoederenEnDiensten_55,BrutoToegevoegdeWaardeBasisprijzen_56,Totaal_57,Werktuigen_58,Bouwwerken_59,Aanplantingen_60,Andere_61,NettoToegevoegdeWaardeBasisprijzen_62,OutputBasisprijzen_63,Totaal_64,Totaal_65,ZaaiEnPantgoedGeleverdDoorAnder_66,ZaaiEnPlantgoedGekochtBuitenDe_67,Totaal_68,Elektriciteit_69,Gas_70,AndereBrandstoffen_71,Andere_72,MeststoffenEnGrondverbeterendeMidd_73,MeststoffenGeleverdDoorAndereLand_74,MeststoffenGekochtBuitenDeBedrijf_75,FytosanitaireProductenEnPesticiden_76,UitgavenVoorVeeartsen_77,Totaal_78,VeevoederGeleverdDoorAndereLandbo_79,VeevoederGekochtBuitenDeBedrijfst_80,VeevoederGeproduceerdEnVerbruiktO_81,OnderhoudVanMateriaal_82,OnderhoudVanGebouwen_83,Landbouwdiensten_84,IndirectGemetenDienstenVanFinanci_85,AndereGoederenEnDiensten_86,BrutoToegevoegdeWaardeBasisprijzen_87,Totaal_88,Werktuigen_89,Bouwwerken_90,Aanplantingen_91,Andere_92,NettoToegevoegdeWaardeBasisprijzen_93,OutputBasisprijzen_94,Totaal_95,Totaal_96,ZaaiEnPantgoedGeleverdDoorAnder_97,ZaaiEnPlantgoedGekochtBuitenDe_98,Totaal_99,Elektriciteit_100,Gas_101,AndereBrandstoffen_102,Andere_103,Totaal_104,MeststoffenGeleverdDoorAndereLand_105,MeststoffenGekochtBuitenDeBedrijf_106,FytosanitaireProductenEnPesticiden_107,UitgavenVoorVeeartsen_108,Totaal_109,VeevoederGeleverdDoorAndereLandbo_110,VeevoederGekochtBuitenDeBedrijfst_111,VeevoederGeproduceerdEnVerbruiktO_112,OnderhoudVanMateriaal_113,OnderhoudVanGebouwen_114,Landbouwdiensten_115,IndirectGemetenDienstenVanFinanci_116,AndereGoederenEnDiensten_117,BrutoToegevoegdeWaardeBasisprijzen_118,Totaal_119,Werktuigen_120,Bouwwerken_121,Aanplantingen_122,Andere_123,NettoToegevoegdeWaardeBasisprijzen_124,NettoToegevoegdeWaardeBasisprijzen_125,NietProductgebondenBelastingen_126,NietProductgebondenSubsidies_127,Landbouwinkomen_128,BeloningVanWerknemers_129,ExploitatieoverschotGemengdInkomen_130,NettoToegevoegdeWaardeBasisprijzen_131,NietProductgebondenBelastingen_132,NietProductgebondenSubsidies_133,Landbouwinkomen_134,BeloningVanWerknemers_135,ExploitatieoverschotGemengdInkomen_136,NettoToegevoegdeWaardeBasisprijzen_137,NietProductgebondenBelastingen_138,NietProductgebondenSubsidies_139,Landbouwinkomen_140,BeloningVanWerknemers_141,ExploitatieoverschotGemengdInkomen_142,NettoToegevoegdeWaardeBasisprijzen_143,NietProductgebondenBelastingen_144,NietProductgebondenSubsidies_145,Landbouwinkomen_146,BeloningVanWerknemers_147,ExploitatieoverschotGemengdInkomen_148,ExploitatieoverschotGemengdInkomen_149,BetaaldePachtED_150,BetaaldeRente_151,OntvangenRente_152,InkomenUitBedrijfsuitoefening_153,Totaal_154,Werknemers_155,Zelfstandigen_156,Inkomensindex2010100_157,MutatieTOVVoorafgaandJaar_158
0,1995JJ00,18831.0,9819.0,848.0,556.0,292.0,854.0,192.0,601.0,36.0,24.0,303.0,,303.0,261.0,185.0,3904.0,80.0,3342.0,481.0,604.0,157.0,1060.0,71.0,1572.0,9012.0,1978,946.0,777.0,34.0,221.0,7034.0,21138.0,13088.0,1171.0,906.0,313.0,1759.0,319.0,1400.0,53.0,35.0,454.0,,454.0,334.0,256.0,4643.0,52.0,4092.0,534.0,814.0,192.0,1429.0,61.0,2050.0,8026.0,2679.0,1027.0,1261.0,48.0,360.0,5315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,75.0,72.5,61.4,93.6,48.5,60.2,42.9,68.6,69.0,66.7,,66.7,78.1,72.4,84.1,153.3,81.7,90.2,74.2,81.9,74.2,115.5,76.7,112.3,73.8,92.1,61.6,69.2,61.4,132.4,7034.0,289.0,211.0,6956.0,1319.0,5637.0,5315.0,364.0,848.0,5755.0,,,,,,,,,132.4,79.5,24.9,120.9,,,5637.0,326.0,1084.0,41.0,4268.0,186.0,60.0,126.0,112.5,
1,1996JJ00,19107.0,10408.0,861.0,559.0,301.0,1019.0,244.0,701.0,43.0,31.0,297.0,,297.0,265.0,194.0,4216.0,98.0,3627.0,491.0,613.0,165.0,1074.0,71.0,1634.0,8699.0,2016,943.0,804.0,38.0,233.0,6682.0,21008.0,13516.0,1146.0,868.0,318.0,2008.0,390.0,1550.0,62.0,46.0,430.0,,430.0,339.0,261.0,4840.0,62.0,4304.0,509.0,817.0,201.0,1429.0,65.0,2111.0,7638.0,2694.0,1038.0,1253.0,53.0,364.0,4977.0,-0.6,3.3,-2.1,-4.2,1.8,14.1,22.1,10.7,16.8,31.2,-5.4,,-5.4,1.6,2.2,4.2,19.1,5.2,-4.7,0.4,4.5,0.0,5.7,3.0,-4.8,0.6,1.1,-0.6,9.7,1.0,-6.4,91.0,77.0,75.1,64.4,94.7,50.8,62.5,45.2,69.7,67.4,69.1,,69.1,78.1,74.3,87.1,157.9,84.3,96.5,75.0,82.4,75.1,109.3,77.4,113.9,74.9,90.8,64.1,70.6,63.9,134.3,6682.0,265.0,350.0,6768.0,1377.0,5391.0,4977.0,341.0,1401.0,5514.0,,,-6.4,-6.4,65.1,-4.2,,,134.3,77.7,25.0,122.7,,,5391.0,336.0,1021.0,36.0,4070.0,189.0,60.0,130.0,106.0,-5.8
2,1997JJ00,20247.0,10552.0,871.0,565.0,306.0,1020.0,261.0,681.0,46.0,33.0,290.0,,290.0,307.0,208.0,4044.0,98.0,3468.0,478.0,658.0,177.0,1167.0,68.0,1742.0,9695.0,2060,957.0,816.0,42.0,244.0,7635.0,21870.0,13604.0,1160.0,881.0,320.0,1862.0,414.0,1354.0,59.0,48.0,435.0,,435.0,382.0,271.0,4699.0,67.0,4056.0,590.0,866.0,211.0,1544.0,67.0,2209.0,8266.0,2718.0,1057.0,1243.0,59.0,370.0,5496.0,4.1,0.7,1.2,1.5,0.6,-7.3,6.2,-12.6,-4.3,4.9,1.4,,1.4,12.7,3.6,-2.9,7.8,-5.7,15.9,6.0,5.2,8.0,3.7,4.7,8.2,0.9,1.8,-0.8,10.5,1.6,10.4,92.6,77.6,75.1,64.2,95.6,54.8,63.0,50.3,76.9,69.0,66.7,,66.7,80.2,76.9,86.1,147.0,85.5,81.0,76.0,83.8,75.6,101.6,78.8,117.3,75.8,90.5,65.6,72.1,66.0,138.9,7635.0,273.0,264.0,7626.0,1430.0,6196.0,5496.0,341.0,1022.0,6004.0,,,10.4,0.2,-27.0,8.9,,,138.9,79.9,25.8,127.0,,,6196.0,347.0,987.0,36.0,4897.0,190.0,61.0,129.0,115.8,9.3
3,1998JJ00,19372.0,10594.0,963.0,610.0,352.0,1019.0,284.0,664.0,39.0,33.0,275.0,,275.0,322.0,220.0,3784.0,79.0,3279.0,426.0,724.0,180.0,1213.0,70.0,1824.0,8778.0,2118,978.0,832.0,47.0,261.0,6660.0,21477.0,13803.0,1146.0,803.0,361.0,1925.0,467.0,1356.0,59.0,48.0,432.0,,432.0,385.0,280.0,4676.0,49.0,4057.0,598.0,943.0,213.0,1588.0,78.0,2258.0,7824.0,2762.0,1084.0,1241.0,64.0,380.0,5099.0,-1.8,1.5,-1.2,-8.8,12.9,3.4,12.8,0.1,0.2,0.1,-0.9,,-0.9,0.7,3.4,-0.5,-27.4,0.0,1.4,8.9,0.7,2.8,16.5,2.2,-5.3,1.6,2.5,-0.2,9.4,2.6,-7.2,90.2,76.8,84.0,76.0,97.6,53.0,60.7,49.0,65.8,68.0,63.6,,63.6,83.7,78.6,80.9,161.8,80.8,71.2,76.8,84.6,76.4,89.8,80.8,112.2,76.7,90.2,67.1,73.7,68.7,130.6,6660.0,265.0,263.0,6658.0,1500.0,5158.0,5099.0,333.0,1043.0,5580.0,,,-7.2,-2.3,2.1,-7.1,,,130.6,79.4,25.2,119.3,,,5158.0,366.0,989.0,34.0,3836.0,187.0,63.0,124.0,100.7,-13.1
4,1999JJ00,19029.0,10662.0,1017.0,615.0,402.0,1018.0,300.0,644.0,44.0,30.0,222.0,,222.0,340.0,223.0,3529.0,93.0,3006.0,431.0,790.0,194.0,1285.0,83.0,1961.0,8366.0,2188,1000.0,850.0,53.0,285.0,6179.0,22357.0,14059.0,1246.0,804.0,448.0,1912.0,474.0,1329.0,64.0,46.0,364.0,,364.0,402.0,281.0,4601.0,54.0,3976.0,592.0,1000.0,229.0,1635.0,89.0,2388.0,8357.0,2806.0,1113.0,1231.0,70.0,395.0,5531.0,4.1,1.9,8.8,0.0,23.9,-0.7,1.5,-1.9,8.0,-4.0,-15.8,,-15.8,4.4,0.5,-1.6,10.4,-2.0,-0.9,6.0,7.5,3.0,13.7,5.7,6.8,1.6,2.7,-0.8,8.5,4.0,8.5,85.1,75.8,81.6,76.5,89.9,53.3,63.3,48.4,69.1,64.5,60.9,,60.9,84.6,79.4,76.7,172.6,75.6,72.8,79.0,85.0,78.6,92.8,82.1,100.1,78.0,89.8,69.1,75.5,72.2,111.7,6179.0,264.0,436.0,6351.0,1596.0,4755.0,5531.0,341.0,922.0,6022.0,,,8.5,2.1,-11.6,7.9,,,111.7,77.5,47.3,105.5,,,4755.0,370.0,975.0,40.0,3450.0,190.0,66.0,124.0,93.3,-7.3
5,2000JJ00,20109.0,11138.0,1031.0,608.0,423.0,1151.0,294.0,768.0,55.0,34.0,252.0,,252.0,345.0,223.0,3488.0,72.0,3005.0,411.0,839.0,203.0,1359.0,97.0,2151.0,8970.0,2338,1050.0,907.0,60.0,321.0,6632.0,22624.0,14154.0,1303.0,841.0,467.0,1873.0,454.0,1306.0,69.0,47.0,360.0,,360.0,407.0,276.0,4415.0,61.0,3793.0,569.0,1048.0,231.0,1668.0,94.0,2536.0,8511.0,2900.0,1156.0,1251.0,77.0,417.0,5603.0,1.2,0.7,4.5,4.7,4.3,-2.0,-4.3,-1.8,6.9,2.6,-0.9,,-0.9,1.2,-1.8,-4.0,13.4,-4.6,-4.0,4.9,0.9,2.0,5.1,6.2,1.8,3.4,3.8,1.6,10.1,5.7,1.3,88.9,78.7,79.1,72.3,90.6,61.4,64.8,58.8,79.8,72.6,69.8,,69.8,84.9,80.8,79.0,117.7,79.2,72.3,80.0,88.1,81.5,103.6,84.8,105.4,80.6,90.8,72.5,78.6,77.0,118.4,6632.0,277.0,267.0,6623.0,1687.0,4936.0,5603.0,345.0,999.0,6130.0,,,1.3,1.4,8.4,1.8,,,118.4,80.2,26.7,108.0,,,4936.0,401.0,992.0,60.0,3603.0,185.0,67.0,118.0,96.4,3.3
6,2001JJ00,20869.0,11657.0,1060.0,654.0,406.0,1205.0,292.0,824.0,48.0,40.0,263.0,,263.0,320.0,242.0,3619.0,88.0,3052.0,478.0,884.0,209.0,1520.0,80.0,2256.0,9212.0,2485,1095.0,969.0,68.0,353.0,6728.0,21948.0,14101.0,1244.0,827.0,427.0,1859.0,446.0,1302.0,65.0,49.0,327.0,,327.0,365.0,288.0,4240.0,60.0,3624.0,565.0,1087.0,234.0,1807.0,102.0,2589.0,7982.0,2990.0,1204.0,1266.0,83.0,432.0,5071.0,-3.0,-0.4,-4.5,-1.7,-8.6,-0.8,-1.7,-0.2,-5.1,2.9,-9.2,,-9.2,-10.3,4.5,-4.0,-1.8,-4.5,-0.6,3.6,1.4,8.3,8.4,2.1,-6.2,3.1,4.2,1.2,8.4,3.7,-9.5,95.1,82.7,85.2,79.1,95.0,64.8,65.6,63.3,74.5,81.7,80.5,,80.5,87.7,83.9,85.4,148.0,84.2,84.5,81.3,89.3,84.1,78.6,87.1,115.4,83.1,90.9,76.5,81.8,81.6,132.7,6728.0,324.0,347.0,6751.0,1763.0,4988.0,5071.0,381.0,1254.0,5584.0,,,-9.5,10.3,25.5,-8.9,,,132.7,85.2,27.7,120.9,,,4988.0,433.0,1046.0,75.0,3584.0,178.0,68.0,110.0,98.4,2.1
7,2002JJ00,20642.0,11808.0,1100.0,688.0,412.0,1126.0,300.0,735.0,49.0,41.0,243.0,,243.0,350.0,234.0,3434.0,70.0,2856.0,508.0,881.0,212.0,1741.0,97.0,2389.0,8834.0,2587,1131.0,1009.0,74.0,373.0,6247.0,22031.0,14113.0,1258.0,803.0,459.0,1791.0,451.0,1227.0,66.0,48.0,317.0,,317.0,393.0,270.0,4040.0,64.0,3412.0,567.0,1067.0,233.0,1986.0,103.0,2678.0,8041.0,3014.0,1224.0,1260.0,87.0,437.0,5108.0,0.4,0.1,1.1,-2.9,7.5,-3.7,1.1,-5.8,1.1,-0.4,-3.0,,-3.0,7.6,-6.2,-4.7,7.0,-5.9,0.4,-1.8,-0.4,9.9,1.4,3.4,0.7,0.8,1.6,-0.5,4.5,1.2,0.7,93.7,83.7,87.4,85.6,89.9,62.8,66.6,59.9,74.6,83.8,76.5,,76.5,89.2,86.5,85.0,108.8,83.7,89.5,82.6,91.1,87.7,94.6,89.2,109.9,85.8,92.4,80.1,84.7,85.2,122.3,6247.0,326.0,221.0,6142.0,1892.0,4250.0,5108.0,381.0,798.0,5519.0,,,0.7,0.0,-36.4,-1.2,,,122.3,85.7,27.7,111.3,,,4250.0,465.0,1062.0,93.0,2817.0,176.0,68.0,108.0,87.3,-11.2
8,2003JJ00,20679.0,11639.0,1062.0,653.0,409.0,1182.0,309.0,783.0,49.0,42.0,258.0,,258.0,350.0,239.0,3239.0,74.0,2716.0,449.0,875.0,215.0,1723.0,115.0,2381.0,9040.0,2650,1126.0,1058.0,78.0,388.0,6391.0,22049.0,13749.0,1213.0,776.0,440.0,1786.0,444.0,1227.0,66.0,50.0,329.0,,329.0,390.0,272.0,3898.0,64.0,3310.0,528.0,1050.0,235.0,1916.0,100.0,2595.0,8334.0,3058.0,1232.0,1289.0,90.0,442.0,5340.0,0.1,-2.6,-3.6,-3.4,-4.0,-0.3,-1.5,0.0,-0.3,2.9,3.8,,3.8,-0.6,0.4,-3.5,0.4,-3.0,-6.9,-1.6,0.9,-3.5,-2.7,-3.1,3.6,1.5,0.7,2.4,4.0,0.9,4.5,93.8,84.7,87.6,84.1,92.9,66.2,69.5,63.8,74.8,83.8,78.2,,78.2,89.7,88.0,83.1,114.6,82.1,85.1,83.3,91.5,89.9,115.1,91.7,108.5,86.6,91.4,82.1,86.6,87.9,119.7,6391.0,297.0,368.0,6462.0,1934.0,4528.0,5340.0,342.0,1329.0,5936.0,,,4.5,-10.2,66.6,7.6,,,119.7,86.9,27.7,108.9,,,4528.0,497.0,1077.0,112.0,3066.0,171.0,66.0,105.0,92.4,5.8
9,2004JJ00,20561.0,12150.0,1000.0,580.0,420.0,1187.0,305.0,791.0,51.0,40.0,266.0,,266.0,378.0,255.0,3582.0,84.0,2932.0,566.0,922.0,226.0,1770.0,114.0,2449.0,8412.0,2731,1141.0,1114.0,82.0,394.0,5681.0,22980.0,14076.0,1196.0,741.0,457.0,1813.0,443.0,1253.0,68.0,51.0,329.0,,329.0,406.0,285.0,4112.0,82.0,3413.0,613.0,1083.0,244.0,1900.0,104.0,2644.0,8883.0,3105.0,1237.0,1335.0,94.0,438.0,5803.0,4.2,2.4,-1.4,-4.5,3.6,1.5,-0.3,2.1,3.8,1.6,0.0,,0.0,4.1,5.0,5.5,28.2,3.1,16.1,3.2,3.7,-0.9,3.6,1.9,6.6,1.5,0.4,3.5,3.4,-0.9,8.7,89.5,86.3,83.6,78.2,92.0,65.5,68.9,63.1,74.9,79.9,80.6,,80.6,93.1,89.4,87.1,102.7,85.9,92.3,85.1,92.7,93.1,110.2,92.6,94.7,87.9,92.3,83.5,87.3,89.9,97.9,5681.0,296.0,395.0,5780.0,1909.0,3871.0,5803.0,336.0,1122.0,6397.0,,,8.7,-1.6,-15.6,7.8,,,97.9,88.1,35.3,90.4,,,3871.0,517.0,1011.0,103.0,2447.0,164.0,64.0,100.0,84.8,-8.2
