ID,Perioden,TotaalZorguitgavenInclWelzijn_1,TotaalAanbiedGeneeskLangdurigeZorg_2,ZiekenhuizenEnSpecialistenpraktijken_3,GeestelijkeGezondheidszorg_4,Huisartsenpraktijken_5,Tandartsenpraktijken_6,ParamedischePraktijken_7,Ouderenzorg_8,Gehandicaptenzorg_9,OvAanbiedersGeneeskLangdurigeZorg_10,TotaalWelzijnJeugdzorgKinderopvang_11,BeleidsEnBeheerorganisaties_12,TotaalZorguitgavenInclWelzijn_13,TotaalAanbiedGeneeskLangdurigeZorg_14,ZiekenhuizenEnSpecialistenpraktijken_15,GeestelijkeGezondheidszorg_16,Huisartsenpraktijken_17,Tandartsenpraktijken_18,ParamedischePraktijken_19,Ouderenzorg_20,Gehandicaptenzorg_21,OvAanbiedersGeneeskLangdurigeZorg_22,TotaalWelzijnJeugdzorgKinderopvang_23,BeleidsEnBeheerorganisaties_24
0,1998JJ00,54930.0,46678.0,14428.0,2687,2017,1688,1638,10498,4734,8989,6000,2253,62.7,62.5,62.6,44.3,81.3,64.6,75.0,68.9,56.4,61.3,61.1,72.0
1,1999JJ00,56973.0,47884.0,14450.0,2748,2037,1736,1689,10618,5050,9556,6745,2344,65.0,64.1,62.7,45.3,82.1,66.4,77.4,69.6,60.1,65.2,68.7,74.9
2,2000JJ00,58701.0,49010.0,14488.0,2957,2131,1799,1734,10887,5168,9846,7297,2393,67.0,65.6,62.9,48.8,85.9,68.8,79.4,71.4,61.5,67.1,74.4,76.5
3,2001JJ00,62192.0,51547.0,14981.0,3097,2105,1873,1727,11621,5645,10498,8155,2490,71.0,69.0,65.0,51.1,84.8,71.7,79.1,76.2,67.2,71.6,83.1,79.6
4,2002JJ00,65261.0,54528.0,15777.0,3423,2206,2012,1755,12173,6225,10956,8155,2578,74.5,73.0,68.5,56.5,88.9,77.0,80.4,79.8,74.1,74.7,83.1,82.4
5,2003JJ00,68055.0,57073.0,16422.0,3904,2236,2119,1830,12767,6634,11161,8377,2606,77.7,76.4,71.3,64.4,90.1,81.1,83.8,83.7,79.0,76.1,85.4,83.3
6,2004JJ00,69781.0,59247.0,17452.0,4259,2253,2181,1831,13009,6813,11449,7877,2658,79.6,79.3,75.7,70.2,90.8,83.5,83.9,85.3,81.1,78.1,80.3,84.9
7,2005JJ00,72060.0,61049.0,18248.0,4524,2254,2124,1788,13365,6982,11763,7993,3018,82.2,81.7,79.2,74.6,90.8,81.3,81.9,87.7,83.1,80.2,81.5,96.5
8,2006JJ00,74349.0,63201.0,18846.0,4830,2266,2142,1872,14118,7270,11857,7905,3243,84.8,84.6,81.8,79.7,91.3,82.0,85.8,92.6,86.6,80.8,80.6,103.6
9,2007JJ00,77782.0,65920.0,19655.0,5135,2412,2286,1962,14493,7388,12589,8505,3358,88.8,88.3,85.3,84.7,97.2,87.5,89.9,95.1,88.0,85.8,86.7,107.3
10,2008JJ00,80872.0,69006.0,20694.0,5444,2469,2422,2060,14617,7797,13503,8687,3179,92.3,92.4,89.8,89.8,99.5,92.7,94.3,95.9,92.8,92.1,88.5,101.6
11,2009JJ00,84750.0,72063.0,22011.0,5808,2522,2507,2141,15065,8214,13794,9516,3171,96.7,96.5,95.5,95.8,101.6,95.9,98.1,98.8,97.8,94.1,97.0,101.4
12,2010JJ00,87632.0,74691.0,23040.0,6063,2482,2613,2183,15246,8398,14666,9812,3129,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13,2011JJ00,91182.0,78332.0,24148.0,6736,2551,2660,2278,15923,9085,14951,9638,3213,104.1,104.9,104.8,111.1,102.8,101.8,104.4,104.4,108.2,101.9,98.2,102.7
14,2012JJ00,91485.0,79285.0,24865.0,6994,2584,2612,2268,16315,9239,14407,9124,3076,104.4,106.2,107.9,115.3,104.1,100.0,103.9,107.0,110.0,98.2,93.0,98.3
15,2013JJ00,,,,6993,2614,2537,2192,16612,9237,14064,8991,3063,,,,115.3,105.3,97.1,100.4,109.0,110.0,95.9,91.6,97.9
16,2014JJ00,,,,6990,2749,2509,2231,16668,9252,14346,9043,3139,,,,115.3,110.8,96.0,102.2,109.3,110.2,97.8,92.2,100.3
