ID,Perioden,TotaalConsumptieveBestedingen_1,Totaal_2,VoedingEnNietAlcoholischeDranken_3,AlcoholischeDrankenTabakEnNarcotica_4,KledingEnSchoeisel_5,HuisvestingWaterEnEnergie_6,WoninginrichtingEnHuishouding_7,Gezondheid_8,Vervoer_9,Communicatie_10,RecreatieEnCultuur_11,Onderwijs_12,Horeca_13,SocialeBescherming_14,OverigeVerbruiksfuncties_15,ConsumptieNietIngezetenenInNederland_16,ConsumptieIngezetenenInHetBuitenland_17,Totaal_18,Totaal_19,BroodEnGraanproducten_20,VleesEnVleesproducten_21,Vis_22,ZuivelEierenOlienEnVetten_23,AardappelenGroentenEnFruit_24,SuikerZoetwarenEnIjs_25,OverigeVoedingsmiddelen_26,KoffieTheeEnCacao_27,MineraalwaterFrisdrankenED_28,AlcoholischeDrankenTabakEnNarcotica_29,Totaal_30,Kleding_31,Schoeisel_32,Totaal_33,WerkelijkeHuurEnToegerekendeHuur_34,OnderhoudEnReparatieVanDeWoning_35,WatervoorzieningEnAndereDiensten_36,Energie_37,WoninginrichtingEnHuishouding_38,Gezondheid_39,Totaal_40,AankoopVanVoertuigen_41,GebruikVanPrivevoertuigen_42,Vervoersdiensten_43,Communicatie_44,RecreatieEnCultuur_45,Onderwijs_46,Horeca_47,SocialeBescherming_48,OverigeVerbruiksfuncties_49,ConsumptieNietIngezetenenInNederland_50,ConsumptieIngezetenenInHetBuitenland_51,Totaal_52,HuisvestingWaterEnEnergie_53,Gezondheid_54,RecreatieEnCultuur_55,Onderwijs_56,SocialeBescherming_57,CollectieveConsumptieDoorDeOverheid_58,TotaalConsumptieveBestedingen_59,Totaal_60,VoedingEnNietAlcoholischeDranken_61,AlcoholischeDrankenTabakEnNarcotica_62,KledingEnSchoeisel_63,HuisvestingWaterEnEnergie_64,WoninginrichtingEnHuishouding_65,Gezondheid_66,Vervoer_67,Communicatie_68,RecreatieEnCultuur_69,Onderwijs_70,Horeca_71,SocialeBescherming_72,OverigeVerbruiksfuncties_73,ConsumptieNietIngezetenenInNederland_74,ConsumptieIngezetenenInHetBuitenland_75,Totaal_76,Totaal_77,BroodEnGraanproducten_78,VleesEnVleesproducten_79,Vis_80,ZuivelEierenOlienEnVetten_81,AardappelenGroentenEnFruit_82,SuikerZoetwarenEnIjs_83,OverigeVoedingsmiddelen_84,KoffieTheeEnCacao_85,MineraalwaterFrisdrankenED_86,AlcoholischeDrankenTabakEnNarcotica_87,Totaal_88,Kleding_89,Schoeisel_90,Totaal_91,WerkelijkeHuurEnToegerekendeHuur_92,OnderhoudEnReparatieVanDeWoning_93,WatervoorzieningEnAndereDiensten_94,Energie_95,WoninginrichtingEnHuishouding_96,Gezondheid_97,Totaal_98,AankoopVanVoertuigen_99,GebruikVanPrivevoertuigen_100,Vervoersdiensten_101,Communicatie_102,RecreatieEnCultuur_103,Onderwijs_104,Horeca_105,SocialeBescherming_106,OverigeVerbruiksfuncties_107,ConsumptieNietIngezetenenInNederland_108,ConsumptieIngezetenenInHetBuitenland_109,Totaal_110,HuisvestingWaterEnEnergie_111,Gezondheid_112,RecreatieEnCultuur_113,Onderwijs_114,SocialeBescherming_115,CollectieveConsumptieDoorDeOverheid_116,TotaalConsumptieveBestedingen_117,Totaal_118,VoedingEnNietAlcoholischeDranken_119,AlcoholischeDrankenTabakEnNarcotica_120,KledingEnSchoeisel_121,HuisvestingWaterEnEnergie_122,WoninginrichtingEnHuishouding_123,Gezondheid_124,Vervoer_125,Communicatie_126,RecreatieEnCultuur_127,Onderwijs_128,Horeca_129,SocialeBescherming_130,OverigeVerbruiksfuncties_131,ConsumptieNietIngezetenenInNederland_132,ConsumptieIngezetenenInHetBuitenland_133,Totaal_134,Totaal_135,BroodEnGraanproducten_136,VleesEnVleesproducten_137,Vis_138,ZuivelEierenOlienEnVetten_139,AardappelenGroentenEnFruit_140,SuikerZoetwarenEnIjs_141,OverigeVoedingsmiddelen_142,KoffieTheeEnCacao_143,MineraalwaterFrisdrankenED_144,AlcoholischeDrankenTabakEnNarcotica_145,Totaal_146,Kleding_147,Schoeisel_148,Totaal_149,WerkelijkeHuurEnToegerekendeHuur_150,OnderhoudEnReparatieVanDeWoning_151,WatervoorzieningEnAndereDiensten_152,Energie_153,WoninginrichtingEnHuishouding_154,Gezondheid_155,Totaal_156,AankoopVanVoertuigen_157,GebruikVanPrivevoertuigen_158,Vervoersdiensten_159,Communicatie_160,RecreatieEnCultuur_161,Onderwijs_162,Horeca_163,SocialeBescherming_164,OverigeVerbruiksfuncties_165,ConsumptieNietIngezetenenInNederland_166,ConsumptieIngezetenenInHetBuitenland_167,Totaal_168,HuisvestingWaterEnEnergie_169,Gezondheid_170,RecreatieEnCultuur_171,Onderwijs_172,SocialeBescherming_173,CollectieveConsumptieDoorDeOverheid_174,TotaalConsumptieveBestedingen_175,Totaal_176,VoedingEnNietAlcoholischeDranken_177,AlcoholischeDrankenTabakEnNarcotica_178,KledingEnSchoeisel_179,HuisvestingWaterEnEnergie_180,WoninginrichtingEnHuishouding_181,Gezondheid_182,Vervoer_183,Communicatie_184,RecreatieEnCultuur_185,Onderwijs_186,Horeca_187,SocialeBescherming_188,OverigeVerbruiksfuncties_189,ConsumptieNietIngezetenenInNederland_190,ConsumptieIngezetenenInHetBuitenland_191,Totaal_192,Totaal_193,BroodEnGraanproducten_194,VleesEnVleesproducten_195,Vis_196,ZuivelEierenOlienEnVetten_197,AardappelenGroentenEnFruit_198,SuikerZoetwarenEnIjs_199,OverigeVoedingsmiddelen_200,KoffieTheeEnCacao_201,MineraalwaterFrisdrankenED_202,AlcoholischeDrankenTabakEnNarcotica_203,Totaal_204,Kleding_205,Schoeisel_206,Totaal_207,WerkelijkeHuurEnToegerekendeHuur_208,OnderhoudEnReparatieVanDeWoning_209,WatervoorzieningEnAndereDiensten_210,Energie_211,WoninginrichtingEnHuishouding_212,Gezondheid_213,Totaal_214,AankoopVanVoertuigen_215,GebruikVanPrivevoertuigen_216,Vervoersdiensten_217,Communicatie_218,RecreatieEnCultuur_219,Onderwijs_220,Horeca_221,SocialeBescherming_222,OverigeVerbruiksfuncties_223,ConsumptieNietIngezetenenInNederland_224,ConsumptieIngezetenenInHetBuitenland_225,Totaal_226,HuisvestingWaterEnEnergie_227,Gezondheid_228,RecreatieEnCultuur_229,Onderwijs_230,SocialeBescherming_231,CollectieveConsumptieDoorDeOverheid_232
0,1969JJ00,37973,33966,,,,,,,,,,,,,,661,824,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,824,5532,,,,,,4007,167779,151307,,,,,,,,,,,,,,2977,5182,117166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977,5182,33530,,,,,,17070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,22.4,,,,,,,,,,,,,,22.2,15.9,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,15.9,16.5,,,,,,23.5
1,1970JJ00,42700,38076,,,,,,,,,,,,,,797,960,31765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,960,6311,,,,,,4624,178131,160648,,,,,,,,,,,,,,3450,5578,124662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,5578,35215,,,,,,18118,6.2,6.2,,,,,,,,,,,,,,15.9,7.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,7.6,5.0,,,,,,6.1,24.0,23.7,,,,,,,,,,,,,,23.1,17.2,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,17.2,17.9,,,,,,25.5
2,1971JJ00,48277,42789,,,,,,,,,,,,,,1069,1085,35327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,1085,7462,,,,,,5488,184276,165593,,,,,,,,,,,,,,4302,6002,127750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302,6002,37364,,,,,,19298,3.4,3.1,,,,,,,,,,,,,,24.7,7.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,7.6,6.1,,,,,,6.5,26.2,25.8,,,,,,,,,,,,,,24.8,18.1,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,18.1,20.0,,,,,,28.4
3,1972JJ00,54146,47894,,,,,,,,,,,,,,1259,1178,39054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,1178,8840,,,,,,6252,190860,171646,,,,,,,,,,,,,,4757,6162,131942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757,6162,39391,,,,,,19864,3.6,3.7,,,,,,,,,,,,,,10.6,2.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,2.7,5.4,,,,,,2.9,28.4,27.9,,,,,,,,,,,,,,26.5,19.1,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,19.1,22.4,,,,,,31.5
4,1973JJ00,61979,54825,,,,,,,,,,,,,,1437,1345,44733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437,1345,10092,,,,,,7154,199193,179638,,,,,,,,,,,,,,4991,6351,138499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4991,6351,40679,,,,,,20290,4.4,4.7,,,,,,,,,,,,,,4.9,3.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.1,3.3,,,,,,2.1,31.1,30.5,,,,,,,,,,,,,,28.8,21.2,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,21.2,24.8,,,,,,35.3
5,1974JJ00,71136,62531,,,,,,,,,,,,,,1471,1501,50566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471,1501,11965,,,,,,8605,205184,184507,,,,,,,,,,,,,,4696,6483,141846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4696,6483,42312,,,,,,21362,3.0,2.7,,,,,,,,,,,,,,-5.9,2.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,2.1,4.0,,,,,,5.3,34.7,33.9,,,,,,,,,,,,,,31.3,23.2,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,23.2,28.3,,,,,,40.3
6,1975JJ00,81085,70990,,,,,,,,,,,,,,1523,1738,56819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523,1738,14171,,,,,,10095,212121,190193,,,,,,,,,,,,,,4498,6785,145975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4498,6785,43921,,,,,,22548,3.4,3.1,,,,,,,,,,,,,,-4.2,4.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,4.7,3.8,,,,,,5.6,38.2,37.3,,,,,,,,,,,,,,33.9,25.6,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,25.6,32.3,,,,,,44.8
7,1976JJ00,92687,81275,,,,,,,,,,,,,,1574,2157,65137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574,2157,16138,,,,,,11412,221470,198911,,,,,,,,,,,,,,4185,7562,153048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,7562,45474,,,,,,23263,4.4,4.6,,,,,,,,,,,,,,-7.0,11.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,11.4,3.5,,,,,,3.2,41.9,40.9,,,,,,,,,,,,,,37.6,28.5,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,28.5,35.5,,,,,,49.1
8,1977JJ00,102373,89647,,,,,,,,,,,,,,1644,2503,71626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644,2503,18021,,,,,,12726,229570,205763,,,,,,,,,,,,,,4055,8095,158006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055,8095,47418,,,,,,24466,3.7,3.4,,,,,,,,,,,,,,-3.1,7.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,7.0,4.3,,,,,,5.2,44.6,43.6,,,,,,,,,,,,,,40.5,30.9,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,30.9,38.0,,,,,,52.0
9,1978JJ00,111836,97824,,,,,,,,,,,,,,1653,2982,78038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,2982,19786,,,,,,14012,237807,212989,,,,,,,,,,,,,,4055,8095,164072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055,8095,48465,,,,,,25475,3.6,3.5,,,,,,,,,,,,,,0.0,0.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.2,,,,,,4.1,47.0,45.9,,,,,,,,,,,,,,40.8,36.8,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,36.8,40.8,,,,,,55.0
