ID,Perioden,TotaalGezondheidsEnWelzijnszorg_1,GeneeskundigeEnLangdurigeZorg_2,WelzijnJeugdzorgEnKinderopvang_3,BeleidEnBeheer_4,TotaalGezondheidszorgIntDef_5,GeneeskundigeEnLangdurigeZorg_6,WelzijnJeugdzorgEnKinderopvang_7,BeleidEnBeheer_8,NettoUPZBKZ_9,VerschilMetUitgavenplafondZorgBKZ_10,TotaalUitgavenOgvVerplichteVerzek_11,GeneeskundigeEnLangdurigeZorg_12,WelzijnJeugdzorgEnKinderopvang_13,BeleidEnBeheer_14,GezondheidsEnWelzijnszorg_15,GezondheidszorgInternationaleDefinitie_16,GezondheidsEnWelzijnszorg_17,GezondheidszorgInternationaleDefinitie_18
0,1998JJ00,39380,33875,3442,2063,30737,29067,0,1671,27242,4311,22931,22358,0,573,10.0,7.8,2507,1957
1,1999JJ00,42394,36195,4002,2197,32822,31047,0,1775,29269,5032,24237,23641,0,595,10.1,7.8,2681,2076
2,2000JJ00,45361,38583,4477,2301,34836,32975,0,1861,31462,5445,26017,25393,0,624,10.0,7.7,2848,2187
3,2001JJ00,50767,43225,5055,2487,38837,36818,0,2019,35146,5869,29277,28593,5,678,10.5,8.1,3164,2420
4,2002JJ00,56663,48745,5214,2703,43344,41196,0,2148,38307,5415,32892,32216,10,667,11.3,8.6,3509,2684
5,2003JJ00,60888,52582,5513,2793,46443,44225,2,2216,41295,5674,35621,34905,20,696,11.9,9.1,3753,2862
6,2004JJ00,63003,54700,5463,2840,48222,45918,3,2300,42671,6238,36433,35699,30,704,11.9,9.1,3870,2962
7,2005JJ00,65424,56571,5592,3261,50112,47443,7,2662,42671,4969,37702,36895,50,756,11.9,9.1,4009,3071
8,2006JJ00,68495,59152,5827,3516,53080,50090,89,2901,44476,-3494,47970,46217,222,1531,11.7,9.1,4190,3247
9,2007JJ00,72713,62404,6618,3691,56053,52913,92,3048,47312,-1789,49101,47480,231,1390,11.7,9.1,4439,3422
10,2008JJ00,77705,66592,7533,3579,60038,56973,108,2957,52562,1090,51472,49903,290,1278,12.0,9.3,4725,3651
11,2009JJ00,82298,70213,8417,3668,62440,59348,120,2971,56313,1857,54456,52967,302,1186,13.2,10.0,4979,3777
12,2010JJ00,85790,73402,8705,3683,64910,61816,130,2964,59444,2441,57003,55461,346,1197,13.4,10.2,5163,3907
13,2011JJ00,88125,75593,8670,3862,66555,63306,134,3114,61312,2925,58387,56687,391,1309,13.6,10.2,5279,3987
14,2012JJ00,90622,78309,8552,3761,68816,65571,179,3067,64292,3968,60324,58508,489,1327,13.9,10.5,5409,4107
15,2013JJ00,90954,78957,8162,3836,69901,66583,181,3137,64237,2921,61316,59435,488,1393,13.8,10.6,5413,4160
16,2014JJ00,91927,80116,7866,3945,70964,67526,174,3264,64215,1855,62360,60388,496,1476,13.7,10.6,5451,4208
17,2015JJ00,92323,80118,8276,3929,71236,67774,216,3246,63731,5127,58604,57006,133,1465,13.4,10.3,5450,4205
18,2016JJ00,94842,82021,8920,3902,72918,69514,218,3187,65922,6045,59877,58365,112,1400,13.4,10.3,5569,4282
19,2017JJ00,96972,83932,9147,3894,74614,71216,219,3179,67830,6324,61506,59963,121,1422,13.1,10.1,5661,4355
20,2018JJ00,101031,87334,9692,4005,77553,74079,227,3247,71079,7016,64063,62530,129,1405,13.1,10.0,5863,4501
21,2019JJ00,107429,92804,10385,4240,82447,78832,209,3406,69854,1323,68531,66930,150,1451,13.2,10.1,6194,4753
22,2020JJ00,116384,100538,11146,4700,89402,85354,227,3821,74269,2101,72168,70574,162,1432,14.6,11.2,6673,5126
23,2021JJ00,124794,107943,11998,4853,96852,92660,250,3942,76449,265,76184,74422,320,1442,14.3,11.1,7118,5524
24,2022JJ00,127306,108279,14027,5000,96820,92549,279,3991,81513,1859,79654,77754,392,1508,13.3,10.1,7192,5470
